EPRTextModeVersion05

Year
2024
Month
12
Day
6
Time
871
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1789
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	1
2500.16675	-1
2500.28345	1
2500.33325	-2
2500.44995	-1
2500.50000	0
2500.61670	-2
2500.66675	-1
2500.78345	0
2500.86670	0
2500.95825	-2
2501.03345	-2
2501.12500	0
2501.19995	0
2501.29175	0
2501.36670	-2
2501.44995	0
2501.53345	0
2501.61670	-1
2501.66675	1
2501.78345	-1
2501.86670	0
2501.94995	1
2502.00000	0
2502.11670	0
2502.16675	1
2502.28345	1
2502.37500	2
2502.45825	0
2502.53345	0
2502.62500	-2
2502.69995	0
2502.79175	1
2502.86670	-1
2502.95825	-1
2503.04175	0
2503.11670	-1
2503.19995	-1
2503.28345	0
2503.36670	-1
2503.41675	0
2503.53345	2
2503.58325	1
2503.69995	2
2503.75000	1
2503.86670	1
2503.91675	1
2504.03345	1
2504.08325	0
2504.19995	0
2504.25000	0
2504.36670	0
2504.41675	1
2504.53345	1
2504.61670	-1
2504.70825	0
2504.79175	-1
2504.87500	-2
2504.94995	-1
2505.03345	0
2505.12500	-1
2505.19995	-1
2505.28345	0
2505.36670	1
2505.44995	0
2505.50000	2
2505.61670	1
2505.66675	2
2505.78345	1
2505.83325	1
2505.94995	0
2506.00000	-2
2506.11670	1
2506.20825	0
2506.28345	0
2506.37500	0
2506.44995	-1
2506.53345	-1
2506.61670	-1
2506.69995	0
2506.78345	-2
2506.83325	-1
2506.91675	-1
2507.00000	-1
2507.11670	-2
2507.16675	-3
2507.28345	-2
2507.33325	-2
2507.44995	-3
2507.50000	-1
2507.61670	-3
2507.66675	-2
2507.78345	-1
2507.83325	0
2507.94995	-2
2508.04175	0
2508.11670	-1
2508.16675	0
2508.29175	0
2508.36670	0
2508.45825	0
2508.53345	0
2508.62500	1
2508.69995	0
2508.78345	0
2508.86670	1
2508.91675	0
2509.00000	0
2509.08325	0
2509.19995	-1
2509.25000	-2
2509.36670	0
2509.41675	-1
2509.53345	0
2509.58325	-1
2509.70825	-1
2509.78345	-3
2509.86670	-1
2509.94995	-1
2510.03345	0
2510.12500	-3
2510.19995	-2
2510.28345	-2
2510.36670	-1
2510.41675	-1
2510.53345	-2
2510.58325	-1
2510.69995	-1
2510.75000	-2
2510.83325	-1
2510.91675	0
2511.03345	-4
2511.08325	-1
2511.19995	-2
2511.25000	0
2511.36670	0
2511.41675	0
2511.53345	0
2511.61670	0
2511.69995	0
2511.79175	1
2511.86670	0
2511.91675	0
2512.03345	1
2512.08325	0
2512.19995	0
2512.25000	0
2512.36670	0
2512.41675	1
2512.50000	0
2512.58325	-1
2512.69995	0
2512.75000	0
2512.86670	0
2512.91675	0
2513.03345	1
2513.08325	1
2513.19995	2
2513.25000	0
2513.36670	2
2513.44995	1
2513.54175	1
2513.61670	0
2513.70825	1
2513.78345	3
2513.87500	2
2513.94995	2
2514.03345	1
2514.11670	2
2514.19995	3
2514.25000	2
2514.36670	3
2514.44995	3
2514.53345	1
2514.61670	4
2514.70825	3
2514.78345	3
2514.83325	3
2514.94995	5
2515.03345	4
2515.11670	3
2515.19995	5
2515.29175	4
2515.37500	2
2515.44995	3
2515.54175	2
2515.61670	3
2515.70825	3
2515.78345	3
2515.86670	1
2515.94995	3
2516.00000	3
2516.11670	2
2516.16675	2
2516.28345	2
2516.33325	4
2516.44995	2
2516.50000	3
2516.61670	3
2516.66675	4
2516.78345	3
2516.83325	4
2516.94995	2
2517.00000	3
2517.11670	2
2517.20825	2
2517.28345	3
2517.33325	3
2517.44995	4
2517.53345	4
2517.62500	4
2517.69995	5
2517.78345	3
2517.86670	2
2517.94995	3
2518.03345	2
2518.11670	4
2518.19995	3
2518.25000	3
2518.36670	3
2518.41675	5
2518.53345	3
2518.58325	4
2518.69995	5
2518.75000	3
2518.86670	3
2518.94995	4
2519.04175	2
2519.11670	4
2519.20825	4
2519.29175	3
2519.37500	4
2519.44995	4
2519.53345	3
2519.61670	1
2519.69995	3
2519.75000	2
2519.86670	3
2519.95825	2
2520.03345	3
2520.11670	2
2520.19995	2
2520.28345	2
2520.36670	1
2520.44995	2
2520.53345	2
2520.61670	1
2520.69995	0
2520.79175	0
2520.86670	0
2520.95825	1
2521.03345	0
2521.12500	0
2521.19995	0
2521.29175	-1
2521.36670	-1
2521.44995	0
2521.50000	1
2521.61670	1
2521.66675	2
2521.78345	1
2521.86670	1
2521.94995	1
2522.03345	0
2522.11670	0
2522.19995	-2
2522.28345	-1
2522.36670	0
2522.44995	1
2522.54175	-1
2522.62500	-1
2522.69995	-1
2522.78345	0
2522.86670	0
2522.95825	-1
2523.04175	1
2523.12500	0
2523.19995	1
2523.25000	0
2523.36670	-2
2523.41675	1
2523.53345	1
2523.61670	0
2523.69995	-1
2523.78345	1
2523.86670	0
2523.94995	0
2524.03345	-3
2524.11670	-2
2524.19995	-2
2524.29175	-3
2524.36670	-3
2524.45825	-4
2524.53345	-3
2524.62500	-1
2524.70825	-2
2524.79175	-4
2524.86670	-1
2524.95825	-2
2525.03345	-4
2525.12500	0
2525.19995	-2
2525.28345	-2
2525.33325	-2
2525.44995	-3
2525.53345	-3
2525.61670	-3
2525.69995	-3
2525.78345	-2
2525.86670	0
2525.94995	-4
2526.00000	-1
2526.11670	-3
2526.19995	-3
2526.29175	-1
2526.37500	-2
2526.45825	-2
2526.53345	-3
2526.62500	-2
2526.69995	0
2526.79175	1
2526.86670	0
2526.95825	3
2527.03345	2
2527.08325	0
2527.19995	1
2527.28345	1
2527.36670	1
2527.44995	2
2527.50000	1
2527.61670	0
2527.66675	0
2527.78345	2
2527.83325	0
2527.94995	0
2528.00000	2
2528.11670	0
2528.19995	1
2528.28345	2
2528.36670	1
2528.45825	2
2528.54175	2
2528.62500	0
2528.69995	0
2528.78345	2
2528.83325	1
2528.94995	2
2529.03345	2
2529.11670	0
2529.19995	0
2529.28345	1
2529.36670	2
2529.41675	2
2529.53345	1
2529.58325	0
2529.69995	0
2529.78345	-1
2529.87500	0
2529.94995	2
2530.03345	1
2530.12500	0
2530.20825	-1
2530.29175	0
2530.37500	2
2530.44995	-1
2530.53345	-2
2530.58325	0
2530.70825	-1
2530.78345	0
2530.86670	-1
2530.91675	-3
2531.03345	-1
2531.11670	-2
2531.16675	-2
2531.28345	-2
2531.33325	-2
2531.44995	-2
2531.50000	-2
2531.61670	-2
2531.66675	-1
2531.79175	-1
2531.86670	-1
2531.95825	0
2532.04175	0
2532.12500	0
2532.19995	0
2532.29175	-1
2532.36670	2
2532.44995	2
2532.53345	1
2532.61670	0
2532.66675	-1
2532.78345	0
2532.86670	-1
2532.91675	-1
2533.04175	1
2533.08325	0
2533.19995	0
2533.25000	0
2533.36670	1
2533.45825	0
2533.53345	-1
2533.61670	0
2533.69995	-1
2533.78345	-1
2533.87500	-1
2533.94995	0
2534.04175	1
2534.11670	1
2534.20825	0
2534.28345	1
2534.37500	0
2534.41675	0
2534.53345	1
2534.61670	1
2534.69995	-1
2534.78345	0
2534.86670	0
2534.94995	0
2535.04175	-1
2535.11670	0
2535.19995	2
2535.28345	-1
2535.36670	1
2535.45825	0
2535.54175	3
2535.61670	0
2535.70825	2
2535.78345	1
2535.87500	0
2535.94995	2
2536.00000	1
2536.11670	1
2536.16675	0
2536.28345	1
2536.33325	1
2536.44995	-1
2536.50000	0
2536.61670	-1
2536.66675	1
2536.78345	0
2536.83325	1
2536.94995	-3
2537.00000	-2
2537.11670	-3
2537.16675	-2
2537.28345	-3
2537.36670	-2
2537.44995	0
2537.53345	-1
2537.62500	-2
2537.69995	-3
2537.78345	-2
2537.86670	-3
2537.94995	-4
2538.03345	-2
2538.12500	-2
2538.19995	0
2538.28345	0
2538.36670	-2
2538.44995	-1
2538.53345	-2
2538.61670	-3
2538.69995	-2
2538.78345	-2
2538.87500	-1
2538.95825	-1
2539.03345	0
2539.11670	-2
2539.19995	-3
2539.29175	-2
2539.36670	-2
2539.45825	-3
2539.54175	-4
2539.61670	-4
2539.69995	-3
2539.75000	-4
2539.86670	-3
2539.91675	-4
2540.03345	-3
2540.08325	-4
2540.19995	-2
2540.25000	-4
2540.36670	-3
2540.41675	-5
2540.53345	-3
2540.58325	-3
2540.69995	-5
2540.78345	-3
2540.86670	-5
2540.91675	-5
2541.03345	-3
2541.11670	-2
2541.19995	-3
2541.29175	-4
2541.37500	-3
2541.44995	-5
2541.53345	-2
2541.61670	-3
2541.66675	-3
2541.79175	-4
2541.83325	-2
2541.94995	-1
2542.00000	-4
2542.11670	-3
2542.16675	-3
2542.28345	-1
2542.33325	-2
2542.44995	-1
2542.50000	-2
2542.61670	-3
2542.70825	-2
2542.78345	-3
2542.87500	-3
2542.94995	-2
2543.04175	-2
2543.12500	-2
2543.20825	-2
2543.28345	-2
2543.36670	-3
2543.41675	-2
2543.53345	-2
2543.61670	-1
2543.69995	-1
2543.78345	0
2543.86670	-2
2543.94995	-1
2544.00000	-2
2544.11670	-4
2544.16675	-2
2544.28345	-4
2544.33325	-5
2544.44995	-2
2544.50000	-4
2544.61670	-3
2544.69995	-2
2544.79175	-2
2544.87500	-3
2544.95825	-2
2545.03345	-2
2545.11670	-1
2545.16675	-1
2545.28345	-1
2545.36670	-1
2545.44995	1
2545.53345	2
2545.62500	-1
2545.69995	-2
2545.75000	-2
2545.86670	-2
2545.94995	-1
2546.03345	-2
2546.11670	-1
2546.19995	-2
2546.29175	-2
2546.36670	-3
2546.45825	-3
2546.54175	-2
2546.62500	-1
2546.69995	-3
2546.79175	-3
2546.86670	-2
2546.94995	-2
2547.03345	0
2547.11670	-2
2547.19995	-2
2547.25000	-4
2547.36670	-3
2547.41675	-3
2547.50000	-2
2547.58325	-1
2547.69995	-1
2547.75000	-1
2547.86670	0
2547.91675	-2
2548.03345	1
2548.11670	2
2548.19995	1
2548.28345	0
2548.37500	1
2548.45825	1
2548.54175	0
2548.62500	-1
2548.70825	1
2548.78345	0
2548.86670	1
2548.94995	-1
2549.00000	-2
2549.11670	-1
2549.16675	1
2549.25000	0
2549.33325	-2
2549.44995	-2
2549.50000	-1
2549.61670	-2
2549.66675	-2
2549.78345	-1
2549.83325	0
2549.94995	1
2550.00000	-2
2550.08325	-3
2550.19995	-1
2550.28345	-3
2550.37500	-1
2550.44995	-2
2550.54175	-2
2550.61670	-1
2550.69995	-1
2550.75000	-2
2550.86670	-1
2550.94995	0
2551.03345	-2
2551.11670	-3
2551.19995	-1
2551.28345	-1
2551.37500	0
2551.44995	-1
2551.53345	-2
2551.61670	-2
2551.69995	-1
2551.79175	-1
2551.86670	0
2551.94995	0
2552.04175	0
2552.11670	-1
2552.20825	-1
2552.29175	-2
2552.37500	-2
2552.44995	-2
2552.50000	-2
2552.61670	-1
2552.66675	-1
2552.75000	-1
2552.86670	-2
2552.94995	0
2553.03345	0
2553.11670	0
2553.20825	0
2553.28345	0
2553.37500	0
2553.44995	0
2553.54175	2
2553.61670	1
2553.69995	-1
2553.78345	1
2553.87500	2
2553.94995	1
2554.03345	0
2554.11670	1
2554.20825	1
2554.28345	0
2554.36670	1
2554.41675	0
2554.53345	1
2554.58325	-1
2554.69995	0
2554.78345	0
2554.86670	0
2554.94995	2
2555.03345	1
2555.11670	0
2555.19995	0
2555.28345	2
2555.37500	2
2555.44995	2
2555.54175	0
2555.62500	1
2555.70825	1
2555.78345	1
2555.87500	0
2555.95825	1
2556.03345	0
2556.12500	0
2556.19995	-2
2556.28345	-3
2556.33325	-2
2556.44995	0
2556.50000	-2
2556.61670	-2
2556.66675	-3
2556.78345	-1
2556.83325	-3
2556.94995	-3
2557.00000	-2
2557.11670	-3
2557.19995	-2
2557.28345	-3
2557.33325	-4
2557.44995	-3
2557.50000	-2
2557.58325	-1
2557.69995	-3
2557.78345	-1
2557.87500	-3
2557.94995	-1
2558.04175	0
2558.11670	-2
2558.19995	0
2558.28345	-1
2558.37500	-2
2558.44995	-3
2558.53345	-3
2558.61670	-2
2558.69995	-3
2558.75000	-3
2558.86670	-3
2558.94995	-4
2559.04175	-5
2559.12500	-5
2559.20825	-4
2559.28345	-5
2559.37500	-5
2559.44995	-5
2559.53345	-3
2559.62500	-2
2559.70825	-4
2559.78345	-5
2559.83325	-5
2559.94995	-5
2560.03345	-3
2560.12500	-6
2560.19995	-5
2560.28345	-4
2560.36670	-2
2560.44995	-4
2560.50000	-6
2560.61670	-2
2560.66675	-4
2560.78345	-5
2560.86670	-5
2560.94995	-3
2561.00000	-5
2561.11670	-5
2561.19995	-4
2561.28345	-5
2561.37500	-5
2561.44995	-5
2561.53345	-5
2561.58325	-4
2561.69995	-6
2561.78345	-5
2561.83325	-5
2561.94995	-3
2562.00000	-4
2562.11670	-2
2562.16675	-2
2562.28345	-1
2562.33325	-2
2562.44995	-2
2562.50000	-2
2562.61670	-2
