EPRTextModeVersion05

Year
2024
Month
12
Day
6
Time
901
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1780
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	2
2500.11670	3
2500.16675	2
2500.28345	3
2500.36670	2
2500.44995	2
2500.54175	2
2500.61670	2
2500.66675	2
2500.78345	2
2500.83325	1
2500.94995	2
2501.03345	2
2501.11670	1
2501.16675	2
2501.25000	4
2501.36670	1
2501.41675	1
2501.50000	2
2501.61670	1
2501.66675	2
2501.78345	2
2501.83325	1
2501.94995	2
2502.00000	2
2502.11670	1
2502.19995	2
2502.29175	2
2502.36670	2
2502.45825	1
2502.53345	1
2502.58325	0
2502.66675	-2
2502.78345	-1
2502.86670	0
2502.91675	0
2503.03345	0
2503.08325	-1
2503.19995	0
2503.25000	0
2503.33325	-1
2503.44995	0
2503.50000	0
2503.58325	0
2503.69995	0
2503.75000	0
2503.86670	-1
2503.94995	-1
2504.04175	-2
2504.11670	0
2504.20825	0
2504.28345	1
2504.36670	1
2504.44995	0
2504.53345	1
2504.61670	-1
2504.69995	1
2504.75000	0
2504.86670	0
2504.94995	2
2505.03345	2
2505.11670	-3
2505.16675	-2
2505.28345	0
2505.33325	-2
2505.44995	-1
2505.50000	-2
2505.61670	2
2505.66675	-1
2505.79175	-2
2505.87500	0
2505.94995	-1
2506.00000	0
2506.11670	-1
2506.19995	-1
2506.28345	1
2506.33325	-4
2506.44995	-2
2506.50000	-2
2506.61670	-1
2506.66675	-1
2506.78345	-1
2506.83325	0
2506.94995	-2
2507.00000	0
2507.11670	-2
2507.16675	-1
2507.25000	0
2507.33325	-2
2507.44995	-3
2507.50000	-3
2507.61670	-2
2507.70825	-3
2507.78345	-2
2507.86670	-1
2507.94995	-2
2508.03345	0
2508.11670	-2
2508.16675	-1
2508.28345	1
2508.33325	-1
2508.44995	-1
2508.50000	-1
2508.58325	0
2508.69995	-1
2508.78345	0
2508.83325	-2
2508.91675	-1
2509.00000	-2
2509.11670	-1
2509.16675	0
2509.28345	0
2509.33325	-1
2509.44995	-1
2509.50000	-1
2509.61670	0
2509.69995	1
2509.78345	0
2509.86670	2
2509.95825	1
2510.03345	1
2510.12500	3
2510.19995	1
2510.28345	3
2510.33325	2
2510.44995	0
2510.53345	3
2510.58325	0
2510.69995	3
2510.75000	3
2510.86670	2
2510.91675	2
2511.03345	2
2511.08325	3
2511.19995	5
2511.25000	2
2511.37500	4
2511.44995	5
2511.54175	4
2511.61670	3
2511.70825	4
2511.78345	4
2511.83325	4
2511.94995	1
2512.03345	5
2512.08325	3
2512.19995	2
2512.25000	3
2512.36670	2
2512.41675	2
2512.53345	3
2512.61670	2
2512.66675	3
2512.78345	2
2512.83325	2
2512.94995	1
2513.00000	3
2513.12500	3
2513.19995	4
2513.29175	2
2513.36670	3
2513.45825	2
2513.53345	4
2513.62500	-1
2513.69995	3
2513.78345	2
2513.83325	2
2513.94995	4
2514.03345	2
2514.11670	1
2514.16675	1
2514.28345	3
2514.33325	2
2514.44995	3
2514.53345	2
2514.58325	2
2514.69995	2
2514.75000	2
2514.86670	2
2514.94995	3
2515.04175	2
2515.11670	3
2515.20825	1
2515.28345	-1
2515.37500	2
2515.44995	2
2515.53345	4
2515.61670	3
2515.69995	2
2515.78345	2
2515.86670	1
2515.91675	2
2516.03345	3
2516.08325	1
2516.19995	5
2516.28345	3
2516.36670	4
2516.41675	4
2516.54175	4
2516.61670	4
2516.69995	4
2516.79175	4
2516.83325	4
2516.94995	2
2517.03345	1
2517.11670	1
2517.19995	2
2517.29175	1
2517.36670	2
2517.44995	2
2517.53345	2
2517.61670	2
2517.66675	2
2517.78345	1
2517.83325	1
2517.94995	2
2518.00000	0
2518.08325	-1
2518.16675	2
2518.28345	0
2518.33325	1
2518.44995	3
2518.50000	1
2518.61670	2
2518.69995	3
2518.78345	2
2518.86670	3
2518.94995	2
2519.03345	2
2519.11670	3
2519.16675	1
2519.28345	1
2519.33325	2
2519.44995	2
2519.50000	2
2519.61670	1
2519.66675	1
2519.75000	2
2519.83325	1
2519.94995	1
2520.00000	-1
2520.11670	0
2520.16675	0
2520.28345	0
2520.33325	2
2520.44995	1
2520.53345	3
2520.61670	2
2520.69995	3
2520.78345	1
2520.83325	1
2520.94995	2
2521.00000	0
2521.11670	2
2521.16675	2
2521.28345	3
2521.33325	3
2521.41675	3
2521.50000	2
2521.61670	2
2521.66675	3
2521.78345	3
2521.83325	2
2521.94995	2
2522.00000	2
2522.11670	1
2522.19995	4
2522.28345	1
2522.36670	2
2522.44995	3
2522.53345	3
2522.61670	1
2522.70825	3
2522.78345	3
2522.83325	2
2522.94995	3
2523.00000	3
2523.11670	2
2523.16675	3
2523.28345	3
2523.33325	2
2523.44995	2
2523.50000	2
2523.61670	2
2523.66675	3
2523.78345	2
2523.83325	2
2523.94995	2
2524.00000	3
2524.11670	6
2524.19995	5
2524.29175	3
2524.33325	3
2524.44995	2
2524.53345	2
2524.62500	2
2524.69995	1
2524.78345	0
2524.86670	1
2524.94995	2
2525.00000	1
2525.11670	3
2525.16675	2
2525.28345	1
2525.33325	0
2525.44995	1
2525.50000	1
2525.58325	2
2525.69995	2
2525.78345	1
2525.86670	0
2525.94995	-1
2526.04175	0
2526.08325	0
2526.19995	0
2526.28345	1
2526.36670	1
2526.44995	2
2526.50000	-1
2526.61670	1
2526.66675	-1
2526.78345	0
2526.83325	1
2526.95825	-1
2527.00000	0
2527.08325	2
2527.16675	3
2527.25000	3
2527.33325	3
2527.44995	4
2527.50000	2
2527.61670	0
2527.69995	2
2527.79175	1
2527.86670	2
2527.95825	1
2528.03345	0
2528.11670	0
2528.19995	3
2528.29175	2
2528.36670	3
2528.44995	0
2528.50000	0
2528.61670	1
2528.66675	0
2528.78345	2
2528.86670	3
2528.91675	2
2529.03345	4
2529.08325	0
2529.19995	0
2529.25000	3
2529.36670	2
2529.41675	2
2529.54175	2
2529.58325	2
2529.69995	1
2529.78345	1
2529.87500	4
2529.94995	3
2530.04175	2
2530.11670	1
2530.16675	2
2530.28345	1
2530.36670	3
2530.41675	2
2530.53345	0
2530.58325	1
2530.69995	3
2530.78345	2
2530.86670	1
2530.94995	0
2531.00000	1
2531.08325	1
2531.19995	1
2531.28345	1
2531.33325	1
2531.44995	3
2531.50000	2
2531.61670	3
2531.69995	4
2531.78345	4
2531.86670	4
2531.95825	5
2532.03345	4
2532.11670	5
2532.19995	4
2532.25000	2
2532.33325	2
2532.41675	4
2532.53345	1
2532.58325	2
2532.70825	4
2532.78345	2
2532.86670	3
2532.94995	2
2533.03345	2
2533.08325	3
2533.20825	3
2533.28345	3
2533.37500	2
2533.44995	2
2533.53345	1
2533.61670	1
2533.70825	1
2533.79175	1
2533.86670	0
2533.91675	0
2534.03345	-1
2534.08325	1
2534.19995	1
2534.28345	1
2534.33325	-1
2534.44995	0
2534.50000	0
2534.61670	0
2534.66675	1
2534.75000	0
2534.83325	1
2534.94995	2
2535.03345	2
2535.12500	3
2535.19995	4
2535.29175	2
2535.36670	4
2535.45825	3
2535.54175	5
2535.61670	4
2535.69995	3
2535.78345	3
2535.83325	3
2535.94995	4
2536.00000	3
2536.11670	5
2536.19995	5
2536.28345	3
2536.36670	3
2536.41675	3
2536.53345	3
2536.58325	3
2536.69995	4
2536.75000	3
2536.86670	4
2536.94995	4
2537.03345	5
2537.11670	5
2537.20825	5
2537.28345	5
2537.37500	4
2537.44995	4
2537.53345	6
2537.58325	3
2537.69995	5
2537.78345	3
2537.86670	5
2537.94995	6
2538.03345	2
2538.08325	2
2538.19995	3
2538.29175	3
2538.36670	3
2538.44995	4
2538.50000	4
2538.61670	4
2538.69995	4
2538.78345	2
2538.86670	5
2538.95825	4
2539.03345	3
2539.12500	3
2539.19995	4
2539.29175	5
2539.33325	2
2539.44995	3
2539.53345	3
2539.61670	3
2539.69995	2
2539.75000	2
2539.86670	2
2539.91675	3
2540.03345	3
2540.08325	2
2540.16675	1
2540.28345	1
2540.36670	2
2540.44995	2
2540.54175	3
2540.61670	2
2540.70825	3
2540.78345	1
2540.86670	1
2540.94995	1
2541.03345	1
2541.11670	3
2541.19995	1
2541.28345	2
2541.36670	4
2541.41675	2
2541.53345	3
2541.61670	4
2541.69995	3
2541.78345	4
2541.83325	4
2541.94995	6
2542.00000	4
2542.11670	4
2542.16675	3
2542.28345	5
2542.36670	3
2542.45825	4
2542.53345	5
2542.61670	6
2542.66675	4
2542.79175	1
2542.86670	3
2542.95825	2
2543.03345	1
2543.08325	2
2543.19995	1
2543.28345	2
2543.36670	1
2543.44995	1
2543.50000	0
2543.61670	0
2543.69995	2
2543.78345	-1
2543.86670	3
2543.91675	1
2544.00000	2
2544.11670	2
2544.20825	1
2544.28345	1
2544.37500	2
2544.44995	2
2544.53345	3
2544.61670	4
2544.70825	4
2544.78345	3
2544.86670	3
2544.91675	2
2545.03345	2
2545.11670	2
2545.16675	3
2545.29175	4
2545.33325	3
2545.44995	3
2545.50000	2
2545.58325	3
2545.66675	1
2545.78345	2
2545.83325	1
2545.94995	1
2546.03345	3
2546.11670	4
2546.16675	2
2546.28345	3
2546.37500	1
2546.44995	2
2546.50000	3
2546.61670	2
2546.66675	1
2546.78345	1
2546.83325	2
2546.94995	2
2547.00000	4
2547.11670	3
2547.16675	4
2547.25000	4
2547.33325	1
2547.41675	3
2547.50000	3
2547.61670	4
2547.66675	3
2547.75000	3
2547.86670	2
2547.91675	2
2548.03345	3
2548.11670	3
2548.19995	4
2548.28345	1
2548.36670	2
2548.44995	3
2548.50000	3
2548.61670	5
2548.69995	3
2548.75000	2
2548.86670	0
2548.91675	4
2549.03345	2
2549.08325	1
2549.19995	1
2549.25000	1
2549.36670	2
2549.41675	2
2549.50000	2
2549.61670	2
2549.69995	1
2549.78345	1
2549.87500	1
2549.95825	2
2550.03345	1
2550.11670	3
2550.20825	1
2550.28345	-1
2550.36670	0
2550.44995	-2
2550.53345	0
2550.58325	-1
2550.69995	1
2550.78345	1
2550.83325	1
2550.94995	4
2551.00000	0
2551.11670	2
2551.16675	3
2551.28345	3
2551.33325	4
2551.41675	3
2551.53345	3
2551.61670	3
2551.70825	7
2551.78345	4
2551.86670	5
2551.95825	4
2552.03345	6
2552.12500	5
2552.19995	6
2552.25000	5
2552.36670	5
2552.44995	4
2552.53345	5
2552.58325	4
2552.66675	5
2552.75000	5
2552.86670	3
2552.91675	3
2553.00000	3
2553.08325	1
2553.19995	1
2553.28345	2
2553.37500	2
2553.45825	3
2553.54175	3
2553.61670	1
2553.69995	2
2553.78345	2
2553.87500	2
2553.94995	4
2554.04175	1
2554.11670	4
2554.19995	4
2554.28345	1
2554.33325	1
2554.41675	2
2554.53345	3
2554.61670	2
2554.66675	2
2554.75000	1
2554.83325	4
2554.94995	2
2555.00000	4
2555.12500	3
2555.19995	2
2555.29175	3
2555.36670	3
2555.45825	4
2555.53345	2
2555.61670	2
2555.69995	2
2555.79175	2
2555.86670	1
2555.94995	3
2556.00000	2
2556.11670	2
2556.16675	2
2556.28345	0
2556.36670	1
2556.41675	2
2556.53345	3
2556.58325	1
2556.69995	1
2556.75000	0
2556.86670	3
2556.94995	1
2557.03345	2
2557.11670	2
2557.20825	3
2557.28345	2
2557.37500	1
2557.44995	2
2557.53345	0
2557.61670	1
2557.66675	1
2557.78345	3
2557.83325	0
2557.94995	0
2558.00000	2
2558.08325	1
2558.19995	1
2558.25000	1
2558.33325	3
2558.44995	2
2558.50000	-1
2558.58325	1
2558.69995	1
2558.78345	0
2558.86670	0
2558.94995	1
2559.03345	3
2559.11670	1
2559.19995	0
2559.28345	1
2559.36670	1
2559.44995	0
2559.50000	-1
2559.61670	0
2559.66675	0
2559.75000	0
2559.83325	0
2559.94995	0
2560.00000	-1
2560.11670	-1
2560.16675	0
2560.28345	1
2560.33325	0
2560.44995	0
2560.50000	0
2560.61670	0
2560.69995	1
2560.78345	0
2560.86670	2
2560.95825	0
2561.00000	0
2561.11670	2
2561.19995	2
2561.28345	2
2561.33325	2
2561.45825	2
2561.53345	0
2561.61670	2
2561.69995	3
2561.78345	3
2561.83325	3
2561.94995	2
2562.03345	1
2562.11670	2
2562.19995	1
2562.25000	1
2562.36670	1
2562.44995	1
2562.53345	3
2562.61670	1
2562.70825	2
2562.78345	1
2562.83325	2
2562.94995	2
2563.03345	2
2563.11670	1
2563.16675	2
2563.28345	2
2563.33325	1
2563.44995	1
2563.50000	1
2563.62500	3
2563.66675	1
2563.75000	1
2563.83325	-1
2563.91675	2
2564.00000	1
2564.11670	1
2564.16675	3
2564.28345	1
2564.36670	2
2564.45825	0
2564.54175	3
2564.62500	3
2564.69995	0
2564.78345	0
2564.86670	0
2564.94995	-1
2565.03345	2
2565.11670	2
2565.16675	1
2565.29175	2
2565.36670	2
2565.44995	2
2565.53345	2
2565.58325	3
2565.69995	2
2565.75000	1
2565.86670	3
2565.91675	3
2566.03345	3
2566.11670	2
2566.20825	3
2566.28345	5
2566.37500	3
2566.44995	4
2566.54175	1
2566.61670	2
2566.69995	2
2566.78345	2
2566.83325	1
2566.94995	2
2567.00000	0
2567.11670	3
2567.16675	3
2567.25000	1
2567.36670	1
2567.44995	1
2567.50000	0
2567.61670	1
2567.66675	-2
2567.78345	-1
2567.83325	1
2567.94995	-1
2568.00000	0
2568.11670	1
2568.19995	3
2568.29175	1
2568.36670	2
2568.45825	3
2568.53345	1
2568.61670	1
2568.66675	3
2568.78345	-1
2568.86670	1
2568.91675	-1
2569.03345	1
2569.08325	1
2569.19995	1
2569.25000	-1
2569.33325	0
2569.44995	0
2569.53345	-1
2569.58325	-1
2569.69995	-1
2569.75000	1
2569.86670	0
2569.94995	0
2570.04175	0
2570.11670	0
2570.19995	1
2570.28345	0
2570.37500	1
2570.44995	2
2570.53345	4
2570.58325	2
2570.69995	2
2570.75000	3
2570.86670	3
2570.94995	0
2571.00000	1
2571.11670	3
2571.16675	1
2571.25000	1
2571.36670	1
2571.41675	0
2571.50000	2
2571.61670	-1
2571.69995	1
2571.79175	0
2571.86670	0
2571.95825	-1
2572.03345	-1
2572.12500	0
2572.19995	-1
2572.28345	2
2572.36670	-1
2572.44995	-1
2572.50000	-1
2572.61670	-2
2572.66675	-2
2572.79175	0
2572.86670	0
2572.91675	-1
2573.03345	1
2573.08325	1
2573.19995	0
2573.28345	2
2573.36670	1
2573.45825	-2
2573.53345	-1
2573.62500	0
2573.69995	-2
2573.79175	1
2573.87500	1
2573.94995	1
2574.03345	3
2574.12500	4
2574.19995	0
2574.25000	2
2574.36670	1
2574.44995	1
2574.53345	2
2574.58325	3
2574.69995	1
2574.75000	1
2574.86670	1
2574.91675	-2
2575.03345	0
2575.08325	1
2575.19995	1
2575.28345	2
2575.36670	2
2575.44995	1
2575.53345	0
2575.61670	0
2575.69995	1
2575.78345	0
2575.87500	2
2575.94995	1
2576.00000	2
2576.11670	0
2576.19995	3
2576.28345	2
2576.33325	3
2576.41675	2
2576.50000	2
2576.61670	2
2576.66675	0
2576.78345	2
2576.83325	0
2576.94995	2
2577.03345	2
2577.11670	3
2577.19995	3
