EPRTextModeVersion05

Year
2024
Month
10
Day
8
Time
1078
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1972
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.08325	-2
2500.19995	-2
2500.25000	-2
2500.36670	0
2500.41675	0
2500.53345	-2
2500.58325	-3
2500.69995	0
2500.75000	-2
2500.86670	-1
2500.91675	-3
2501.03345	-2
2501.08325	-3
2501.16675	-2
2501.25000	-3
2501.36670	-1
2501.44995	-2
2501.53345	-2
2501.61670	-3
2501.69995	-1
2501.78345	-4
2501.86670	-2
2501.91675	-3
2502.00000	-3
2502.11670	-1
2502.19995	-2
2502.28345	-2
2502.36670	-2
2502.41675	-2
2502.53345	1
2502.58325	0
2502.69995	-1
2502.75000	0
2502.86670	-1
2502.91675	-1
2503.03345	0
2503.08325	-1
2503.19995	0
2503.25000	-2
2503.36670	-2
2503.44995	-2
2503.50000	-3
2503.61670	-1
2503.66675	0
2503.75000	1
2503.86670	1
2503.94995	1
2504.03345	-1
2504.08325	-1
2504.19995	-1
2504.25000	-1
2504.36670	0
2504.41675	-1
2504.53345	0
2504.58325	-3
2504.69995	0
2504.75000	0
2504.86670	1
2504.91675	1
2505.03345	0
2505.08325	0
2505.19995	0
2505.28345	2
2505.33325	2
2505.44995	0
2505.50000	0
2505.61670	1
2505.69995	0
2505.75000	0
2505.86670	1
2505.91675	0
2506.03345	2
2506.11670	0
2506.16675	0
2506.28345	1
2506.33325	-1
2506.44995	-2
2506.50000	1
2506.61670	-2
2506.66675	0
2506.78345	0
2506.86670	0
2506.95825	-2
2507.03345	-1
2507.11670	-2
2507.19995	1
2507.28345	-1
2507.33325	1
2507.44995	1
2507.53345	0
2507.62500	1
2507.69995	2
2507.78345	1
2507.83325	0
2507.94995	1
2508.03345	0
2508.12500	-1
2508.19995	0
2508.25000	0
2508.36670	1
2508.44995	-1
2508.53345	-1
2508.61670	-2
2508.70825	-1
2508.79175	0
2508.86670	0
2508.94995	-1
2509.03345	-1
2509.08325	-2
2509.19995	1
2509.28345	-2
2509.36670	-3
2509.44995	-2
2509.50000	-2
2509.61670	-2
2509.69995	-2
2509.75000	-1
2509.86670	-1
2509.91675	-1
2510.03345	0
2510.08325	-1
2510.19995	-1
2510.25000	-1
2510.36670	-1
2510.41675	-1
2510.54175	-1
2510.61670	-3
2510.69995	-1
2510.75000	-1
2510.86670	-1
2510.94995	-1
2511.03345	-1
2511.11670	-2
2511.16675	-3
2511.28345	-2
2511.36670	-1
2511.41675	-2
2511.53345	-3
2511.58325	-1
2511.69995	-2
2511.75000	-2
2511.86670	-2
2511.91675	-2
2512.03345	-2
2512.08325	-4
2512.19995	-2
2512.25000	-1
2512.36670	-1
2512.44995	-2
2512.53345	-3
2512.58325	-2
2512.69995	-3
2512.75000	-3
2512.83325	-3
2512.94995	-4
2513.03345	-4
2513.08325	-4
2513.19995	-2
2513.25000	-4
2513.36670	-2
2513.41675	-4
2513.53345	-3
2513.58325	-4
2513.69995	-2
2513.75000	-1
2513.86670	-3
2513.91675	-4
2514.03345	-3
2514.08325	-3
2514.19995	-2
2514.25000	-2
2514.36670	-2
2514.44995	-3
2514.50000	-4
2514.61670	-4
2514.69995	-3
2514.78345	-4
2514.86670	-3
2514.91675	-2
2515.03345	-1
2515.08325	-2
2515.16675	-3
2515.28345	-4
2515.33325	-4
2515.44995	-3
2515.50000	-4
2515.61670	-3
2515.66675	-3
2515.78345	-3
2515.83325	-1
2515.94995	-2
2516.00000	-2
2516.11670	-1
2516.19995	-2
2516.28345	-3
2516.33325	-3
2516.44995	-1
2516.50000	0
2516.61670	-1
2516.69995	1
2516.78345	-1
2516.83325	0
2516.94995	1
2517.00000	-1
2517.11670	-1
2517.16675	0
2517.28345	-1
2517.33325	0
2517.41675	-1
2517.53345	0
2517.61670	-1
2517.66675	-1
2517.75000	1
2517.86670	2
2517.94995	-1
2518.03345	0
2518.11670	-2
2518.19995	-1
2518.25000	-1
2518.33325	-1
2518.44995	-2
2518.53345	-1
2518.61670	-3
2518.66675	-3
2518.78345	-2
2518.83325	-1
2518.94995	-2
2519.00000	1
2519.11670	-1
2519.16675	0
2519.28345	0
2519.33325	-1
2519.45825	-2
2519.50000	-2
2519.61670	-1
2519.69995	-1
2519.78345	-2
2519.86670	-1
2519.94995	-3
2520.00000	-4
2520.11670	-4
2520.16675	-2
2520.28345	-3
2520.33325	-4
2520.44995	-4
2520.53345	-4
2520.61670	-4
2520.66675	-4
2520.75000	-2
2520.86670	-3
2520.94995	-3
2521.00000	-3
2521.11670	-4
2521.16675	-3
2521.28345	-5
2521.33325	-4
2521.44995	-4
2521.53345	-3
2521.61670	-4
2521.69995	-4
2521.78345	-4
2521.83325	-4
2521.94995	-5
2522.00000	-4
2522.11670	-3
2522.19995	-3
2522.25000	-2
2522.36670	-4
2522.41675	-3
2522.53345	-4
2522.62500	-6
2522.70825	-3
2522.78345	-4
2522.83325	-5
2522.95825	-4
2523.03345	-4
2523.11670	-5
2523.16675	-4
2523.28345	-5
2523.36670	-5
2523.44995	-5
2523.53345	-2
2523.61670	-4
2523.66675	-4
2523.78345	-7
2523.83325	-7
2523.94995	-4
2524.00000	-5
2524.11670	-3
2524.19995	-4
2524.28345	-5
2524.33325	-4
2524.44995	-5
2524.50000	-4
2524.61670	-4
2524.66675	-4
2524.78345	-4
2524.83325	-4
2524.94995	-3
2525.00000	-3
2525.11670	-3
2525.19995	-2
2525.28345	-2
2525.36670	-1
2525.44995	-1
2525.50000	-2
2525.61670	-2
2525.66675	-2
2525.78345	-2
2525.86670	-1
2525.94995	2
2526.03345	3
