EPRTextModeVersion05

Year
2024
Month
10
Day
8
Time
1027
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1976
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-1
2500.11670	-3
2500.16675	-1
2500.28345	-1
2500.33325	-2
2500.44995	-2
2500.50000	-3
2500.61670	-4
2500.66675	-2
2500.78345	0
2500.83325	0
2500.94995	-2
2501.00000	-1
2501.11670	0
2501.16675	-1
2501.28345	-2
2501.33325	-2
2501.44995	-3
2501.53345	-3
2501.61670	-2
2501.66675	-1
2501.78345	-1
2501.83325	-2
2501.94995	-2
2502.03345	-3
2502.11670	-3
2502.19995	-3
2502.25000	-3
2502.33325	-2
2502.44995	-5
2502.50000	-2
2502.61670	-4
2502.66675	-2
2502.78345	-1
2502.83325	-2
2502.94995	-4
2503.00000	-2
2503.11670	-5
2503.16675	-3
2503.28345	-3
2503.37500	-2
2503.44995	-2
2503.50000	-3
2503.62500	-3
2503.69995	-2
2503.75000	-3
2503.86670	-1
2503.91675	-4
2504.04175	-4
2504.11670	-3
2504.19995	-4
2504.28345	-1
2504.33325	-3
2504.44995	-4
2504.50000	-4
2504.61670	-4
2504.66675	-3
2504.78345	-4
2504.83325	-2
2504.94995	-3
2505.00000	-3
2505.11670	-4
2505.19995	-3
2505.28345	-4
2505.33325	-4
2505.44995	-6
2505.50000	-4
2505.61670	-4
2505.69995	-4
2505.78345	-5
2505.83325	-5
2505.94995	-3
2506.00000	-4
2506.11670	-3
2506.16675	-4
2506.28345	-4
2506.33325	-4
2506.44995	-3
2506.50000	-3
2506.62500	-5
2506.66675	-3
2506.78345	-4
2506.83325	-3
2506.94995	-4
2507.03345	-2
2507.11670	-3
2507.16675	-3
2507.28345	-4
2507.33325	-5
2507.45825	-4
2507.50000	-4
2507.61670	-5
2507.66675	-4
2507.78345	-4
2507.83325	-1
2507.94995	-2
2508.00000	-4
2508.11670	-2
2508.16675	-4
2508.28345	-1
2508.33325	-2
2508.44995	-4
2508.50000	-3
2508.61670	-3
2508.66675	-3
2508.78345	-2
2508.86670	-3
2508.91675	-1
2509.03345	0
2509.11670	-2
2509.16675	-3
2509.28345	-5
2509.33325	-4
2509.44995	-4
2509.50000	-3
2509.58325	-4
2509.66675	-2
2509.78345	-3
2509.83325	-2
2509.94995	-3
2510.00000	-5
2510.11670	-6
2510.16675	-4
2510.28345	-5
2510.33325	-5
2510.44995	-4
2510.50000	-4
2510.61670	-4
2510.69995	-4
2510.78345	-3
2510.83325	-4
2510.91675	-6
2511.00000	-3
2511.11670	-5
2511.19995	-5
2511.25000	-2
2511.36670	-6
2511.41675	-3
2511.53345	-5
2511.58325	-7
2511.69995	-4
2511.75000	-5
2511.86670	-4
2511.91675	-6
2512.03345	-5
2512.08325	-4
2512.19995	-4
2512.28345	-5
2512.33325	-4
2512.44995	-3
2512.53345	-4
2512.61670	-4
2512.66675	-4
2512.75000	-3
2512.86670	-2
2512.94995	-2
2513.03345	-2
2513.08325	-3
2513.19995	-3
2513.25000	-5
2513.36670	-4
2513.41675	-4
2513.53345	-3
2513.58325	-4
2513.69995	-4
2513.75000	-3
2513.86670	-3
2513.91675	-5
