EPRTextModeVersion05

Year
2024
Month
12
Day
12
Time
785
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1828
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	0
2500.19995	0
2500.25000	0
2500.36670	-2
2500.41675	-1
2500.53345	-2
2500.58325	-1
2500.69995	-2
2500.75000	-1
2500.86670	-2
2500.91675	-1
2501.03345	-1
2501.08325	-1
2501.19995	-1
2501.28345	1
2501.36670	2
2501.44995	2
2501.53345	1
2501.61670	1
2501.69995	1
2501.78345	1
2501.87500	2
2501.94995	1
2502.03345	0
2502.08325	1
2502.20825	0
2502.28345	2
2502.36670	1
2502.44995	0
2502.50000	0
2502.61670	1
2502.66675	-1
2502.75000	-1
2502.83325	0
2502.94995	-1
2503.03345	-1
2503.11670	0
2503.19995	0
2503.29175	-1
2503.36670	2
2503.44995	1
2503.53345	-2
2503.62500	3
2503.69995	1
2503.75000	1
2503.86670	1
2503.94995	0
2504.00000	1
2504.11670	0
2504.16675	0
2504.28345	2
2504.36670	1
2504.44995	1
2504.50000	2
2504.61670	1
2504.69995	0
2504.79175	0
2504.86670	2
2504.94995	0
2505.03345	1
2505.12500	1
2505.19995	2
2505.28345	2
2505.37500	-1
2505.41675	2
2505.53345	0
2505.58325	1
2505.69995	0
2505.75000	2
2505.83325	3
2505.91675	1
2506.03345	3
2506.08325	4
2506.19995	3
2506.25000	3
2506.36670	2
2506.41675	1
2506.53345	3
2506.61670	2
2506.69995	0
2506.78345	2
2506.86670	2
2506.94995	1
2507.03345	0
2507.08325	0
2507.19995	1
2507.28345	2
2507.36670	3
2507.41675	0
2507.53345	-1
2507.58325	0
2507.69995	1
2507.75000	1
2507.83325	0
2507.94995	-2
2508.03345	-1
2508.08325	1
2508.19995	0
2508.25000	0
2508.33325	-1
2508.44995	1
2508.54175	0
2508.61670	1
2508.70825	0
2508.79175	2
2508.87500	0
2508.94995	0
2509.03345	-1
2509.11670	1
2509.16675	1
2509.25000	0
2509.36670	1
2509.44995	1
2509.50000	2
2509.58325	1
2509.66675	2
2509.78345	1
2509.83325	2
2509.94995	3
2510.00000	2
2510.11670	2
2510.16675	2
2510.28345	1
2510.36670	2
2510.44995	3
2510.53345	1
2510.62500	4
2510.69995	3
2510.78345	2
2510.86670	1
2510.94995	2
2511.00000	1
2511.11670	1
2511.19995	0
2511.25000	0
2511.36670	1
2511.41675	0
2511.53345	1
2511.58325	-2
2511.69995	1
2511.75000	1
2511.86670	3
2511.91675	1
2512.04175	0
2512.11670	0
2512.20825	1
2512.28345	1
2512.36670	-1
2512.44995	1
2512.50000	1
2512.61670	1
2512.69995	-1
2512.75000	3
2512.86670	1
2512.91675	1
2513.03345	2
2513.11670	2
2513.16675	1
2513.28345	3
2513.33325	2
2513.44995	3
2513.50000	3
2513.61670	3
2513.66675	2
2513.78345	4
2513.83325	2
2513.94995	3
2514.03345	2
2514.11670	3
2514.19995	1
2514.28345	3
2514.33325	1
2514.44995	2
2514.50000	2
2514.61670	2
2514.69995	1
2514.78345	2
2514.86670	1
2514.94995	2
2515.00000	4
2515.11670	4
2515.16675	1
2515.29175	1
2515.36670	0
2515.41675	1
2515.53345	3
2515.61670	1
2515.69995	2
2515.78345	2
2515.83325	1
2515.94995	1
2516.03345	0
2516.12500	2
2516.20825	1
2516.28345	1
2516.36670	1
2516.44995	2
2516.53345	4
2516.61670	0
2516.66675	1
2516.78345	3
2516.86670	2
2516.94995	3
2517.03345	0
2517.08325	1
2517.19995	0
2517.25000	0
2517.36670	-1
2517.41675	0
2517.50000	3
2517.61670	3
