EPRTextModeVersion05

Year
2024
Month
12
Day
12
Time
856
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1818
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.11670	3
2500.16675	0
2500.28345	2
2500.33325	0
2500.44995	3
2500.50000	0
2500.61670	0
2500.69995	1
2500.79175	4
2500.86670	2
2500.94995	3
2501.03345	0
2501.11670	2
2501.19995	0
2501.28345	0
2501.37500	2
2501.44995	1
2501.50000	0
2501.61670	0
2501.69995	0
2501.75000	-2
2501.86670	-1
2501.91675	0
2502.03345	0
2502.08325	2
2502.19995	0
2502.25000	0
2502.36670	-2
2502.45825	-1
2502.53345	-1
2502.61670	-2
2502.69995	-1
2502.79175	-1
2502.86670	0
2502.91675	-3
2503.03345	-1
2503.11670	0
2503.16675	-1
2503.28345	-1
2503.36670	-2
2503.41675	-4
2503.53345	-3
2503.58325	-2
2503.69995	-2
2503.75000	-3
2503.86670	-1
2503.91675	-2
2504.03345	-3
2504.08325	-2
2504.19995	-1
2504.28345	1
2504.36670	1
2504.44995	1
2504.54175	-1
2504.61670	0
2504.69995	1
2504.78345	0
2504.87500	1
2504.94995	2
2505.03345	1
2505.12500	3
2505.19995	2
2505.25000	2
2505.36670	1
2505.44995	3
2505.53345	0
2505.61670	2
2505.69995	2
2505.75000	1
2505.86670	0
2505.91675	0
2506.03345	0
2506.11670	1
2506.20825	3
2506.28345	1
2506.36670	3
2506.44995	1
2506.53345	0
2506.62500	1
2506.66675	-1
2506.78345	1
2506.86670	1
2506.94995	0
2507.00000	0
2507.11670	1
2507.16675	0
2507.28345	1
2507.33325	-1
2507.44995	-1
2507.50000	1
2507.61670	0
2507.66675	0
2507.78345	1
2507.83325	2
2507.94995	1
2508.03345	0
2508.11670	1
2508.19995	-1
2508.28345	3
2508.33325	1
2508.44995	1
2508.53345	1
2508.61670	1
2508.66675	1
2508.78345	1
2508.83325	1
2508.94995	2
2509.00000	1
2509.08325	2
2509.19995	1
2509.28345	2
2509.33325	2
2509.44995	3
2509.50000	3
2509.61670	3
2509.66675	3
2509.78345	6
2509.86670	4
2509.94995	4
2510.04175	4
2510.12500	4
2510.19995	2
2510.28345	2
2510.36670	2
2510.44995	2
2510.50000	4
2510.61670	3
2510.69995	3
2510.78345	3
2510.86670	2
2510.91675	3
2511.03345	2
2511.08325	5
2511.19995	1
2511.25000	4
2511.36670	2
2511.41675	5
2511.54175	3
2511.61670	4
2511.69995	3
2511.78345	3
2511.86670	4
2511.94995	4
2512.03345	4
2512.11670	4
2512.19995	2
2512.25000	3
2512.36670	3
2512.41675	2
2512.53345	2
2512.58325	2
2512.66675	2
2512.78345	0
2512.83325	1
2512.94995	0
2513.00000	-1
2513.11670	1
2513.16675	-1
2513.28345	0
2513.33325	-1
2513.44995	0
2513.53345	0
2513.61670	1
2513.70825	0
2513.78345	0
2513.83325	0
2513.94995	2
2514.03345	-1
2514.11670	0
2514.16675	0
2514.28345	-1
2514.33325	1
2514.44995	2
2514.50000	-2
2514.61670	-1
2514.66675	-1
2514.78345	-2
2514.83325	-3
2514.94995	-2
2515.00000	-2
2515.11670	-2
2515.19995	-3
2515.29175	0
2515.37500	0
2515.45825	-1
2515.53345	0
2515.61670	1
2515.66675	-1
2515.78345	1
2515.86670	-1
2515.94995	-1
2516.03345	0
2516.11670	3
2516.19995	0
2516.28345	-2
2516.36670	-2
2516.44995	-1
2516.53345	-2
2516.61670	1
2516.69995	-2
2516.78345	-2
2516.86670	-2
2516.94995	-2
2517.04175	-2
2517.12500	-1
2517.19995	-2
2517.29175	1
2517.36670	-2
2517.41675	-2
2517.53345	-1
2517.61670	-3
2517.69995	-2
2517.78345	-2
2517.86670	-3
2517.95825	-3
2518.03345	-1
2518.11670	-2
2518.19995	-3
2518.28345	-2
2518.36670	-1
2518.44995	-1
2518.53345	-2
2518.61670	-2
2518.69995	0
2518.78345	-3
2518.86670	-2
2518.95825	-1
2519.03345	-2
2519.12500	-2
2519.19995	-1
2519.28345	1
2519.36670	0
2519.44995	-2
2519.50000	-2
2519.61670	-2
2519.69995	-1
2519.78345	0
2519.86670	0
2519.94995	0
2520.03345	2
2520.11670	2
2520.20825	-1
2520.28345	1
2520.37500	1
2520.44995	0
2520.53345	0
2520.58325	-1
2520.70825	1
2520.79175	0
2520.87500	2
2520.95825	0
2521.03345	2
2521.11670	0
2521.19995	2
2521.28345	-1
2521.33325	0
2521.44995	0
2521.50000	1
2521.61670	0
2521.66675	1
2521.78345	2
2521.83325	1
2521.94995	3
2522.00000	0
2522.11670	0
2522.16675	0
2522.28345	0
2522.33325	1
2522.44995	0
2522.53345	0
2522.61670	2
2522.70825	2
2522.78345	2
2522.86670	3
2522.94995	0
2523.00000	2
2523.11670	1
2523.19995	1
2523.25000	3
2523.36670	2
2523.41675	1
2523.53345	3
2523.58325	2
2523.69995	2
2523.75000	2
2523.86670	2
2523.94995	3
2524.03345	-1
2524.11670	2
2524.19995	3
2524.28345	2
2524.36670	4
2524.45825	4
2524.54175	2
2524.62500	4
2524.69995	3
2524.79175	3
2524.86670	2
2524.95825	3
2525.03345	1
2525.11670	3
2525.16675	2
2525.28345	2
2525.33325	1
2525.44995	1
2525.53345	1
2525.61670	2
2525.69995	2
2525.78345	1
2525.86670	3
2525.94995	3
2526.03345	2
2526.11670	2
2526.20825	2
2526.28345	2
2526.36670	1
2526.45825	1
2526.53345	2
2526.58325	1
2526.69995	2
2526.78345	1
2526.86670	3
2526.94995	1
2527.03345	1
2527.08325	2
2527.19995	1
2527.25000	1
2527.36670	2
2527.41675	2
2527.53345	1
2527.58325	1
2527.69995	1
2527.75000	1
2527.86670	-1
2527.91675	2
2528.03345	0
2528.11670	-1
2528.19995	0
2528.28345	0
2528.36670	1
2528.41675	0
2528.53345	-1
2528.61670	0
2528.66675	2
2528.78345	2
2528.86670	2
2528.94995	0
2529.03345	0
2529.11670	1
2529.19995	3
2529.28345	2
2529.36670	1
2529.44995	3
2529.53345	2
2529.61670	3
2529.69995	1
2529.78345	2
2529.87500	1
2529.95825	4
2530.04175	5
2530.11670	1
2530.19995	3
2530.28345	3
2530.36670	3
2530.41675	4
2530.53345	4
2530.61670	4
2530.69995	5
2530.79175	3
2530.86670	5
2530.94995	4
2531.03345	5
2531.11670	4
2531.19995	3
2531.28345	3
2531.33325	4
2531.44995	4
2531.50000	3
2531.61670	2
2531.69995	3
2531.79175	3
2531.86670	1
2531.94995	1
2532.03345	1
2532.12500	1
2532.20825	0
2532.28345	1
2532.36670	0
2532.44995	2
2532.50000	0
2532.61670	1
2532.69995	1
2532.78345	-1
2532.86670	0
2532.94995	0
2533.02490	-2
2533.08325	-2
2533.19995	0
2533.28345	1
2533.33325	-1
2533.44995	0
2533.54175	1
2533.61670	0
2533.66675	-2
2533.78345	2
2533.86670	1
2533.91675	-2
2534.00000	0
2534.11670	0
2534.19995	0
2534.28345	-2
2534.33325	-2
2534.44995	-1
2534.50000	-2
2534.61670	0
2534.66675	0
2534.78345	-1
2534.83325	0
2534.94995	-2
2535.00000	-2
2535.11670	-1
2535.16675	0
2535.29175	-3
2535.37500	-3
2535.44995	-3
2535.53345	-1
2535.62500	-2
2535.69995	-2
2535.78345	-2
2535.86670	0
2535.95825	0
2536.03345	-2
2536.11670	-1
2536.19995	-1
2536.29175	0
2536.36670	-1
2536.44995	-2
2536.50000	-1
2536.61670	0
2536.66675	0
2536.78345	-1
2536.86670	0
2536.94995	2
2537.03345	2
2537.11670	2
2537.19995	1
2537.29175	1
2537.37500	2
2537.45825	3
2537.53345	0
2537.61670	1
2537.69995	2
2537.75000	2
2537.86670	1
2537.91675	1
2538.03345	1
2538.08325	2
2538.19995	1
2538.25000	2
2538.36670	2
2538.41675	1
2538.53345	1
2538.58325	2
2538.69995	2
2538.75000	1
2538.86670	0
2538.91675	1
2539.03345	0
2539.12500	1
2539.19995	1
2539.28345	2
2539.36670	-1
2539.44995	0
2539.53345	1
2539.58325	1
2539.69995	-1
2539.75000	-1
2539.86670	-1
2539.91675	-1
2540.03345	-1
2540.08325	-1
2540.16675	0
2540.28345	1
2540.36670	-1
2540.41675	-3
2540.53345	-3
2540.58325	-1
2540.69995	-2
2540.79175	-2
2540.87500	0
2540.94995	-3
2541.04175	-1
2541.11670	0
2541.19995	2
2541.25000	-1
2541.36670	0
2541.44995	1
2541.54175	-1
2541.61670	0
2541.66675	1
2541.78345	1
2541.86670	-1
2541.94995	2
2542.03345	-1
2542.11670	0
2542.19995	1
2542.28345	2
2542.36670	1
2542.44995	0
2542.53345	3
2542.62500	0
2542.70825	1
2542.79175	0
2542.87500	0
2542.95825	-1
2543.03345	1
2543.11670	0
2543.19995	1
2543.29175	1
2543.36670	0
2543.45825	2
2543.53345	0
2543.61670	0
2543.66675	0
2543.78345	0
2543.86670	2
2543.94995	0
2544.03345	-1
2544.11670	-2
2544.16675	0
2544.28345	0
2544.37500	0
2544.45825	-1
2544.54175	0
2544.62500	-2
2544.69995	0
2544.78345	-1
2544.86670	-2
2544.94995	-2
2545.03345	-1
2545.08325	0
2545.19995	-1
2545.25000	-1
2545.36670	-1
2545.41675	-1
2545.53345	-3
2545.58325	-3
2545.69995	-2
2545.75000	-2
2545.86670	-2
2545.91675	0
2546.03345	-3
2546.08325	-3
2546.19995	-2
2546.28345	0
2546.36670	-2
2546.44995	-1
2546.53345	-1
2546.61670	0
2546.69995	-2
2546.75000	-2
2546.86670	-2
2546.91675	-2
2547.03345	-2
2547.08325	-2
2547.19995	-1
2547.25000	-1
2547.36670	-2
2547.41675	-1
2547.53345	-1
2547.58325	0
2547.69995	-2
2547.75000	-1
2547.86670	-2
2547.91675	-2
2548.03345	-2
2548.11670	-2
2548.19995	-3
2548.28345	-3
2548.37500	-1
2548.44995	-2
2548.50000	-2
2548.61670	-4
2548.69995	-1
2548.78345	0
2548.83325	0
2548.94995	1
2549.03345	0
2549.11670	-1
2549.16675	0
2549.28345	1
2549.33325	0
2549.44995	2
2549.50000	-1
2549.61670	-1
2549.66675	1
2549.78345	0
2549.83325	0
2549.94995	0
2550.03345	0
2550.12500	0
2550.20825	1
2550.28345	0
2550.33325	0
2550.44995	0
2550.50000	0
2550.61670	1
2550.69995	1
2550.78345	3
2550.83325	1
2550.91675	1
2551.00000	3
2551.11670	0
2551.16675	1
2551.28345	1
2551.33325	-1
2551.44995	0
2551.50000	-3
2551.61670	1
2551.66675	0
2551.78345	1
2551.86670	0
2551.95825	0
2552.03345	-1
2552.11670	0
2552.19995	-2
2552.28345	1
2552.33325	-3
2552.44995	-2
2552.53345	-1
2552.58325	-2
2552.66675	1
2552.75000	0
2552.86670	-1
2552.91675	0
2553.03345	0
2553.08325	-1
2553.19995	-1
2553.25000	0
2553.36670	-2
2553.41675	-1
2553.53345	-2
2553.61670	-1
2553.70825	-2
2553.78345	-1
2553.87500	-2
2553.94995	-1
2554.03345	0
2554.08325	1
2554.19995	2
2554.28345	2
2554.36670	-1
2554.44995	0
2554.53345	0
2554.61670	-1
2554.70825	1
2554.78345	1
2554.86670	0
2554.94995	1
2555.03345	0
2555.11670	2
2555.19995	0
2555.28345	1
2555.36670	1
2555.45825	0
2555.54175	0
2555.61670	-1
2555.70825	0
2555.78345	0
2555.83325	1
2555.94995	0
2556.03345	-1
2556.11670	-2
2556.19995	-2
2556.28345	0
2556.36670	0
2556.44995	1
2556.53345	2
2556.61670	0
2556.69995	0
2556.78345	-1
2556.86670	0
2556.94995	-1
2557.03345	-1
2557.11670	-1
2557.19995	1
2557.28345	1
2557.37500	-2
2557.45825	0
2557.54175	-1
2557.61670	2
2557.69995	0
2557.78345	0
2557.87500	2
2557.94995	1
2558.03345	2
2558.11670	0
2558.19995	2
2558.25000	2
2558.37500	1
2558.44995	-1
2558.53345	0
2558.61670	1
2558.69995	-2
2558.78345	-1
2558.86670	1
2558.94995	0
2559.03345	1
2559.12500	1
2559.20825	-1
2559.29175	0
2559.37500	1
2559.44995	1
2559.53345	1
2559.61670	-2
2559.66675	-2
2559.78345	1
2559.83325	-1
2559.94995	0
2560.00000	-1
2560.11670	1
2560.16675	0
2560.28345	-1
2560.33325	-1
2560.44995	-1
2560.50000	-1
2560.61670	0
2560.66675	-2
2560.78345	-1
2560.83325	-1
2560.94995	-1
2561.04175	0
2561.11670	-1
2561.19995	0
2561.28345	-2
2561.36670	-1
2561.41675	-1
2561.50000	0
2561.62500	1
2561.69995	1
2561.78345	2
2561.83325	-1
2561.91675	0
2562.03345	0
2562.11670	0
2562.16675	0
2562.28345	0
2562.33325	-1
2562.44995	1
2562.50000	2
2562.61670	0
2562.66675	0
2562.79175	1
2562.87500	0
2562.94995	1
2563.03345	1
2563.11670	2
2563.16675	1
2563.28345	0
2563.33325	0
2563.44995	0
2563.53345	0
2563.61670	0
2563.66675	-1
2563.78345	0
2563.83325	-2
2563.94995	0
2564.00000	-1
2564.11670	0
2564.16675	-1
2564.28345	-1
2564.33325	-1
2564.44995	-1
2564.53345	-1
2564.61670	1
2564.69995	-2
2564.78345	1
2564.86670	0
2564.94995	0
2565.00000	1
2565.12500	1
2565.16675	-1
2565.28345	2
2565.36670	1
2565.41675	2
2565.53345	1
2565.58325	3
2565.69995	2
2565.75000	3
2565.86670	1
2565.91675	2
2566.03345	2
2566.08325	2
2566.19995	2
2566.25000	3
2566.36670	1
2566.44995	4
2566.53345	3
2566.62500	2
2566.69995	2
2566.78345	1
2566.86670	4
2566.91675	3
2567.03345	2
2567.11670	3
2567.19995	2
2567.28345	2
2567.33325	0
2567.41675	2
2567.53345	1
2567.58325	2
2567.69995	2
2567.75000	1
2567.86670	2
2567.91675	3
2568.03345	1
2568.08325	1
2568.19995	0
2568.28345	1
2568.37500	0
2568.44995	1
2568.54175	1
2568.61670	1
2568.69995	-1
2568.75000	0
2568.86670	-1
2568.94995	1
2569.03345	-1
2569.11670	-2
2569.19995	-1
2569.28345	-3
2569.33325	-1
2569.44995	-2
2569.50000	-1
2569.61670	-3
2569.66675	-1
2569.78345	0
2569.83325	-2
2569.94995	0
2570.03345	0
2570.12500	-1
2570.19995	-2
2570.29175	-1
2570.36670	-1
2570.44995	-1
2570.50000	-2
2570.62500	-1
2570.69995	0
2570.78345	0
2570.86670	1
2570.94995	0
2571.03345	-1
2571.11670	0
2571.20825	1
2571.28345	-1
2571.36670	-1
2571.44995	-1
2571.53345	-1
2571.58325	-1
2571.69995	0
2571.75000	-1
2571.86670	0
2571.94995	-1
2572.04175	0
2572.11670	-2
2572.19995	-1
2572.28345	-1
2572.36670	-2
2572.44995	-1
2572.53345	0
2572.61670	-1
2572.69995	0
2572.78345	-2
2572.86670	-1
2572.91675	-2
2573.03345	0
2573.08325	0
2573.19995	-1
2573.25000	0
2573.36670	-1
2573.41675	0
2573.53345	-1
2573.58325	-1
2573.69995	-1
2573.78345	0
2573.86670	1
2573.94995	-1
2574.03345	-2
2574.08325	-2
2574.19995	-1
2574.28345	-2
2574.33325	-1
2574.44995	-1
2574.53345	0
2574.58325	0
2574.69995	0
2574.75000	0
2574.86670	-1
2574.91675	-2
2575.03345	-2
