EPRTextModeVersion05

Year
2025
Month
2
Day
13
Time
903
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1697
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	2
2500.11670	0
2500.16675	2
2500.28345	2
2500.33325	1
2500.44995	2
2500.50000	3
2500.58325	2
2500.66675	0
2500.78345	1
2500.83325	2
2500.91675	-1
2501.03345	1
2501.11670	1
2501.19995	2
2501.29175	2
2501.36670	1
2501.45825	2
2501.53345	1
2501.61670	2
2501.69995	2
2501.75000	2
2501.86670	2
2501.94995	3
2502.03345	2
2502.11670	3
2502.16675	3
2502.25000	3
2502.36670	3
2502.41675	5
2502.53345	2
2502.58325	2
2502.66675	2
2502.78345	4
2502.86670	4
2502.91675	3
2503.03345	3
2503.11670	3
2503.19995	3
2503.28345	4
2503.37500	1
2503.44995	3
2503.54175	3
2503.61670	3
2503.69995	1
2503.78345	2
2503.83325	2
2503.94995	3
2504.00000	4
2504.08325	1
2504.19995	2
2504.25000	1
2504.33325	2
2504.44995	1
2504.50000	0
2504.61670	1
2504.66675	2
2504.78345	3
2504.86670	1
2504.94995	-1
2505.03345	0
2505.11670	2
2505.19995	2
2505.28345	2
2505.36670	2
2505.44995	0
2505.50000	2
2505.61670	2
2505.66675	3
2505.78345	2
2505.83325	3
2505.91675	4
2506.00000	4
2506.11670	2
2506.16675	4
2506.28345	2
2506.33325	3
2506.44995	1
2506.50000	3
2506.61670	1
2506.69995	2
2506.78345	3
2506.83325	4
2506.94995	3
2507.04175	3
2507.11670	3
2507.16675	4
2507.28345	3
2507.33325	5
2507.44995	2
2507.53345	3
2507.58325	2
2507.69995	4
2507.75000	4
2507.86670	3
2507.91675	4
2508.03345	2
2508.11670	3
2508.16675	2
2508.28345	3
2508.36670	2
2508.41675	2
2508.53345	2
2508.61670	1
2508.69995	3
2508.79175	3
2508.86670	2
2508.94995	3
2509.03345	3
2509.08325	3
2509.19995	5
2509.25000	2
2509.36670	2
2509.41675	3
2509.53345	3
2509.58325	4
2509.66675	3
2509.75000	2
2509.86670	2
2509.91675	3
2510.03345	3
2510.08325	2
2510.19995	0
2510.25000	3
2510.36670	2
2510.44995	1
2510.54175	2
2510.61670	1
2510.70825	3
2510.78345	2
2510.86670	2
2510.91675	3
2511.03345	2
2511.11670	3
2511.19995	1
2511.28345	1
2511.33325	3
2511.41675	3
2511.53345	0
2511.61670	0
2511.66675	1
2511.78345	2
2511.83325	1
2511.95825	2
2512.00000	2
2512.11670	2
2512.19995	1
2512.29175	1
2512.36670	0
2512.45825	1
2512.53345	2
2512.61670	0
2512.66675	2
2512.78345	0
2512.86670	-1
2512.94995	1
2513.00000	2
2513.11670	1
2513.16675	1
2513.28345	1
2513.36670	0
2513.41675	0
2513.53345	0
2513.58325	0
2513.69995	-2
2513.75000	-2
2513.86670	1
2513.91675	0
2514.04175	0
2514.11670	-1
2514.19995	1
2514.28345	0
2514.37500	0
2514.44995	-1
2514.53345	-3
2514.61670	0
2514.66675	1
2514.78345	1
2514.86670	-1
2514.91675	0
2515.03345	0
2515.08325	-1
2515.19995	0
2515.28345	-1
2515.36670	-4
2515.44995	-2
2515.50000	-2
2515.61670	-2
2515.66675	-1
2515.79175	-2
2515.86670	-1
2515.94995	-2
2516.03345	-1
2516.12500	-2
2516.19995	-2
2516.28345	-2
2516.36670	-3
2516.44995	-1
2516.50000	-1
2516.61670	-1
2516.66675	-2
2516.75000	-1
2516.86670	-2
2516.91675	-2
2517.03345	-3
2517.08325	-3
2517.19995	-2
2517.28345	-3
2517.36670	-3
2517.41675	-4
2517.54175	-2
2517.58325	-1
2517.69995	-1
2517.75000	-2
2517.86670	-2
2517.94995	-3
2518.03345	-4
2518.11670	-3
2518.19995	-3
2518.25000	-1
2518.36670	-3
2518.41675	-1
2518.53345	-1
2518.58325	-1
2518.69995	-2
2518.75000	-2
2518.86670	-3
2518.91675	-4
2519.03345	-3
2519.08325	-3
2519.19995	-3
2519.25000	-4
2519.36670	-4
2519.44995	-4
2519.53345	-3
2519.61670	-4
2519.69995	-5
2519.78345	-4
2519.86670	-4
2519.94995	-3
2520.03345	-6
2520.08325	-6
2520.19995	-4
2520.25000	-6
2520.36670	-8
2520.41675	-7
2520.50000	-5
2520.58325	-6
2520.69995	-6
2520.75000	-4
2520.86670	-6
2520.91675	-7
2521.00000	-6
2521.08325	-6
2521.19995	-7
2521.28345	-7
2521.36670	-8
2521.41675	-6
2521.53345	-6
2521.61670	-8
2521.69995	-6
2521.78345	-7
2521.86670	-7
2521.91675	-6
2522.03345	-6
2522.11670	-6
2522.16675	-6
2522.28345	-6
2522.36670	-6
2522.41675	-8
2522.53345	-7
2522.58325	-8
2522.69995	-8
2522.75000	-8
2522.86670	-8
2522.91675	-8
2523.03345	-10
2523.11670	-8
2523.19995	-8
2523.28345	-8
2523.37500	-9
2523.44995	-9
2523.54175	-10
2523.61670	-8
2523.69995	-8
2523.75000	-8
2523.83325	-8
2523.94995	-8
2524.03345	-8
2524.11670	-7
2524.16675	-10
2524.28345	-8
2524.33325	-7
2524.44995	-8
2524.50000	-7
2524.61670	-7
2524.66675	-7
2524.78345	-6
2524.83325	-7
2524.94995	-8
2525.03345	-6
2525.12500	-7
2525.19995	-7
2525.29175	-7
2525.36670	-8
2525.44995	-8
2525.53345	-6
2525.61670	-7
2525.69995	-8
2525.79175	-8
2525.86670	-8
2525.91675	-11
2526.03345	-9
2526.08325	-7
2526.19995	-10
2526.25000	-9
2526.36670	-11
2526.44995	-11
2526.50000	-9
2526.58325	-10
2526.69995	-12
2526.78345	-9
2526.86670	-11
2526.94995	-10
2527.03345	-10
2527.11670	-11
2527.19995	-10
2527.28345	-10
2527.36670	-10
2527.41675	-10
2527.53345	-11
2527.58325	-10
2527.69995	-11
2527.75000	-11
2527.86670	-11
2527.91675	-12
2528.00000	-10
2528.11670	-10
2528.19995	-11
2528.28345	-12
2528.36670	-11
2528.41675	-11
2528.53345	-13
2528.61670	-10
2528.70825	-11
2528.78345	-11
2528.87500	-10
2528.94995	-12
2529.04175	-11
2529.11670	-11
2529.19995	-12
2529.25000	-14
2529.33325	-13
2529.45825	-13
2529.53345	-13
2529.61670	-12
2529.66675	-12
2529.78345	-11
2529.86670	-11
2529.94995	-12
2530.03345	-11
2530.08325	-11
2530.19995	-10
2530.25000	-9
2530.36670	-12
2530.44995	-12
2530.53345	-13
2530.61670	-11
2530.66675	-9
2530.78345	-12
2530.86670	-12
2530.91675	-11
2531.03345	-12
2531.11670	-11
2531.19995	-11
2531.28345	-11
2531.36670	-10
2531.41675	-11
2531.53345	-11
2531.58325	-12
2531.69995	-12
2531.75000	-10
2531.86670	-12
2531.91675	-12
2532.03345	-12
2532.08325	-12
2532.19995	-11
2532.28345	-11
2532.37500	-12
2532.44995	-12
2532.54175	-12
2532.61670	-14
2532.70825	-13
2532.78345	-15
2532.86670	-13
2532.91675	-12
2533.00000	-12
2533.11670	-12
2533.16675	-12
2533.28345	-15
2533.33325	-15
2533.41675	-13
2533.53345	-17
2533.58325	-15
2533.69995	-16
2533.78345	-15
2533.83325	-15
2533.94995	-17
2534.00000	-16
2534.12500	-17
2534.19995	-16
2534.28345	-15
2534.36670	-15
2534.44995	-15
2534.53345	-16
2534.61670	-14
2534.66675	-16
2534.78345	-16
2534.83325	-17
2534.94995	-15
2535.00000	-14
2535.08325	-13
2535.19995	-15
2535.29175	-17
2535.36670	-16
2535.44995	-15
2535.50000	-14
2535.61670	-15
2535.69995	-14
2535.78345	-14
2535.87500	-15
2535.94995	-14
2536.03345	-15
2536.12500	-15
2536.19995	-15
2536.28345	-13
2536.36670	-15
2536.45825	-13
2536.53345	-15
2536.58325	-14
2536.69995	-15
2536.75000	-16
2536.86670	-14
2536.94995	-15
2537.00000	-14
2537.11670	-15
2537.16675	-12
2537.28345	-13
2537.36670	-13
2537.44995	-16
2537.50000	-15
2537.58325	-14
2537.69995	-16
2537.78345	-14
2537.86670	-14
2537.94995	-15
2538.03345	-14
2538.11670	-14
2538.19995	-16
2538.28345	-15
2538.33325	-15
2538.44995	-17
2538.50000	-13
2538.61670	-14
2538.66675	-15
2538.78345	-15
2538.83325	-14
2538.94995	-15
2539.00000	-14
2539.11670	-14
2539.16675	-14
2539.28345	-16
2539.33325	-15
2539.44995	-15
2539.50000	-15
2539.61670	-15
2539.69995	-18
2539.78345	-15
2539.86670	-15
2539.94995	-16
2540.03345	-15
2540.08325	-15
2540.16675	-15
2540.28345	-15
2540.33325	-15
2540.44995	-13
2540.50000	-14
2540.61670	-15
2540.66675	-14
2540.75000	-15
2540.86670	-16
2540.91675	-15
2541.03345	-16
2541.11670	-16
2541.16675	-14
2541.25000	-16
2541.36670	-15
2541.45825	-14
2541.53345	-14
2541.62500	-16
2541.69995	-16
2541.78345	-16
2541.86670	-16
2541.95825	-18
2542.03345	-18
2542.11670	-17
2542.16675	-16
2542.28345	-17
2542.36670	-17
2542.44995	-16
2542.53345	-18
2542.58325	-16
2542.69995	-16
2542.78345	-18
2542.86670	-18
2542.91675	-18
2543.03345	-20
2543.08325	-18
2543.19995	-19
2543.28345	-19
2543.36670	-19
2543.44995	-18
2543.54175	-17
