EPRTextModeVersion05

Year
2025
Month
2
Day
13
Time
1082
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1708
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.11670	-2
2500.16675	-1
2500.28345	-2
2500.33325	-2
2500.44995	-2
2500.50000	-3
2500.61670	-2
2500.66675	-2
2500.78345	-2
2500.83325	-3
2500.94995	-2
2501.03345	-3
2501.12500	-2
2501.19995	-2
2501.29175	-2
2501.36670	-5
2501.44995	-4
2501.53345	-3
2501.61670	-4
2501.70825	-4
2501.78345	-2
2501.86670	-2
2501.94995	-3
2502.03345	-1
2502.08325	-3
2502.19995	-2
2502.25000	-4
2502.36670	-2
2502.41675	-4
2502.53345	-2
2502.58325	-3
2502.69995	1
2502.79175	-2
2502.86670	-1
2502.94995	-1
2503.03345	-1
2503.08325	-1
2503.19995	0
2503.25000	-3
2503.36670	-1
2503.44995	-2
2503.50000	-1
2503.61670	0
2503.69995	-2
2503.75000	-2
2503.86670	-1
2503.91675	0
2504.03345	-1
2504.08325	-4
2504.19995	-2
2504.25000	-4
2504.36670	-2
2504.41675	-2
2504.53345	-3
2504.61670	-3
2504.69995	-4
2504.78345	-5
2504.87500	-4
2504.94995	-4
2505.00000	-4
2505.11670	-4
2505.19995	-3
2505.25000	-4
2505.36670	-4
2505.44995	-4
2505.53345	-3
2505.61670	-4
2505.69995	-3
2505.78345	-4
2505.86670	-3
2505.94995	-3
2506.03345	-4
2506.11670	-3
2506.19995	-4
2506.29175	-1
2506.36670	-2
2506.44995	-3
2506.54175	-2
2506.62500	-2
2506.69995	-2
2506.79175	-2
2506.86670	-1
2506.94995	0
2507.03345	-1
2507.11670	-1
2507.19995	-1
2507.28345	-1
2507.33325	-2
2507.44995	-1
2507.53345	-1
2507.61670	-2
2507.66675	-1
2507.78345	-3
2507.83325	0
2507.94995	-2
2508.03345	-1
2508.12500	-1
2508.20825	-1
2508.29175	0
2508.37500	-1
2508.45825	-1
2508.53345	2
2508.62500	-3
2508.69995	-1
2508.75000	-1
2508.86670	0
2508.94995	1
2509.04175	-1
2509.11670	-1
2509.19995	-2
2509.28345	-1
2509.36670	0
2509.44995	-1
2509.53345	0
2509.61670	-2
2509.69995	-2
2509.78345	-2
2509.86670	-2
2509.94995	-1
2510.04175	-2
2510.11670	-2
2510.20825	-3
2510.28345	-2
2510.37500	-2
2510.44995	-3
2510.54175	-4
2510.61670	-2
2510.69995	-3
2510.78345	0
2510.87500	-1
2510.94995	-2
2511.03345	-2
2511.08325	-4
2511.19995	-2
2511.28345	-1
2511.36670	-4
2511.44995	-2
2511.53345	-2
2511.61670	-2
2511.69995	-2
2511.79175	-3
2511.87500	-3
2511.95825	-4
2512.03345	-5
2512.11670	-4
2512.19995	-4
2512.28345	-5
2512.36670	-4
2512.41675	-3
2512.54175	-2
2512.61670	-3
2512.70825	-2
2512.78345	-2
2512.83325	-1
2512.94995	-1
2513.03345	-2
2513.11670	-1
2513.19995	-2
2513.28345	0
2513.36670	-2
2513.44995	-1
2513.54175	0
2513.62500	0
2513.69995	-1
2513.78345	0
2513.86670	-2
2513.94995	-1
2514.04175	-2
2514.11670	0
2514.20825	1
2514.28345	-1
2514.37500	-3
2514.44995	-4
2514.54175	-2
2514.58325	-2
2514.69995	-2
2514.78345	-1
2514.86670	-1
2514.94995	-1
2515.03345	-3
2515.11670	-2
2515.19995	-1
2515.28345	-2
2515.33325	-2
2515.44995	-1
2515.53345	-3
2515.62500	-1
2515.70825	1
2515.78345	-1
2515.86670	0
2515.94995	0
2516.03345	-1
2516.08325	-1
2516.19995	0
2516.28345	0
2516.33325	-2
2516.44995	0
2516.53345	-1
2516.58325	-1
2516.69995	-1
2516.75000	0
2516.86670	1
2516.91675	0
2517.03345	-1
2517.08325	-1
2517.19995	0
2517.25000	0
2517.36670	0
2517.44995	-2
2517.53345	0
2517.61670	-2
2517.70825	-1
2517.79175	-1
2517.87500	0
2517.94995	-2
2518.03345	-2
2518.11670	-1
2518.20825	0
2518.28345	-2
2518.36670	-3
2518.41675	-4
2518.53345	-4
2518.61670	-2
2518.69995	-1
2518.75000	-2
2518.86670	-4
2518.94995	0
2519.03345	-4
2519.12500	-3
2519.19995	-3
2519.28345	-3
2519.37500	-4
2519.45825	-2
2519.54175	-2
2519.62500	-3
2519.69995	-3
2519.78345	-3
2519.86670	-3
2519.94995	-3
2520.03345	-5
2520.08325	-5
2520.16675	-4
2520.28345	-4
2520.36670	-3
2520.41675	-3
2520.50000	-4
2520.61670	-4
2520.69995	-4
2520.75000	-4
2520.86670	-4
2520.91675	-5
2521.03345	-3
2521.11670	-4
2521.19995	-5
2521.28345	-4
2521.37500	-4
2521.44995	-4
2521.53345	-3
2521.61670	-4
2521.70825	-2
2521.78345	-6
2521.86670	-3
2521.94995	-3
2522.03345	-4
2522.11670	-4
2522.19995	-5
2522.25000	-5
2522.36670	-3
2522.44995	-4
2522.53345	-1
2522.61670	-3
2522.69995	-3
2522.79175	-3
2522.87500	-3
2522.94995	-5
2523.04175	-2
2523.12500	-5
2523.20825	-3
2523.28345	-4
2523.36670	-2
2523.44995	-5
2523.53345	-3
2523.61670	-4
2523.69995	-2
2523.78345	-1
2523.86670	-3
2523.91675	-6
2524.00000	-2
2524.11670	-3
2524.16675	-2
2524.28345	-3
2524.33325	-1
2524.44995	-5
2524.50000	-3
2524.61670	-2
2524.69995	-2
2524.78345	-2
2524.87500	-3
2524.95825	-2
2525.03345	-2
2525.11670	-3
2525.19995	-2
2525.28345	0
2525.33325	-3
2525.45825	-4
2525.53345	-3
2525.61670	-4
2525.69995	-3
2525.75000	-2
2525.86670	-3
2525.91675	-5
2526.03345	-4
2526.08325	-3
2526.19995	-1
2526.25000	-3
2526.36670	-3
2526.41675	-3
2526.53345	-2
2526.62500	-3
2526.70825	-2
2526.78345	-3
2526.86670	-1
2526.94995	-5
2527.03345	-3
2527.08325	-4
