EPRTextModeVersion05
pitch (v maximume pogloshenija)
Year
2023
Month
5
Day
13
Time
814
Type
17
Field set
3275.00000
Scan Range
 100.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.30000
Modulation amplitude
   0.50000
Frequency
   9.12000
Power
  10.00000
Base line
2308
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3225.00000	-1
3225.01245	-5
3225.02075	-8
3225.03003	-10
3225.04175	-14
3225.05005	-18
3225.06274	-17
3225.07104	-21
3225.08325	-25
3225.09253	-28
3225.10034	-32
3225.11255	-34
3225.12085	-37
3225.13354	-39
3225.14185	-41
3225.15015	-43
3225.16284	-46
3225.17114	-47
3225.18335	-50
3225.19165	-50
3225.19995	-50
3225.21362	-51
3225.22095	-53
3225.23364	-54
3225.24243	-56
3225.25073	-57
3225.26245	-60
3225.27075	-61
3225.28345	-61
3225.29175	-62
3225.30103	-62
3225.31274	-64
3225.32202	-64
3225.33325	-66
3225.34155	-65
3225.35034	-66
3225.36255	-66
3225.37085	-69
3225.38354	-69
3225.39185	-71
3225.40015	-72
3225.41284	-72
3225.42163	-72
3225.43335	-72
3225.44165	-73
3225.45093	-71
3225.46265	-73
3225.47095	-73
3225.48364	-73
3225.49194	-73
3225.50024	-73
3225.51245	-72
3225.52173	-74
3225.53003	-73
3225.54175	-73
3225.55005	-73
3225.56274	-73
3225.57104	-73
3225.58325	-74
3225.59155	-74
3225.60034	-74
3225.61255	-74
3225.62085	-76
3225.63354	-76
3225.64185	-74
3225.65015	-76
3225.66284	-75
3225.67114	-77
3225.68335	-74
3225.69165	-74
3225.69995	-73
3225.71265	-71
3225.72095	-71
3225.73022	-73
3225.74194	-73
3225.75024	-72
3225.76343	-72
3225.77075	-72
3225.78345	-71
3225.79175	-72
3225.80005	-71
3225.81274	-69
3225.82104	-71
3225.83325	-70
3225.84155	-71
3225.85034	-71
3225.86255	-70
3225.87085	-71
3225.88354	-71
3225.89185	-69
3225.90015	-69
3225.91284	-64
3225.92163	-67
3225.93335	-66
3225.94165	-67
3225.95093	-67
3225.96265	-65
3225.97095	-67
3225.98364	-64
3225.99243	-66
3226.00024	-65
3226.01245	-64
3226.02075	-65
3226.03345	-64
3226.04175	-62
3226.05005	-63
3226.06274	-61
3226.07104	-62
3226.08423	-61
3226.09155	-60
3226.10034	-61
3226.11255	-62
3226.12085	-60
3226.13354	-59
3226.14185	-60
3226.15112	-59
3226.16284	-61
3226.17114	-59
3226.18335	-59
3226.19165	-60
3226.20093	-59
3226.21265	-57
3226.22095	-56
3226.23364	-56
3226.24243	-56
3226.25024	-56
3226.26245	-55
3226.27075	-55
3226.28345	-55
3226.29175	-53
3226.30005	-53
3226.31274	-53
3226.32104	-53
3226.33325	-53
3226.34253	-52
3226.35034	-52
3226.36255	-49
3226.37085	-52
3226.38354	-49
3226.39185	-48
3226.40015	-49
3226.41284	-47
3226.42114	-48
3226.43335	-46
3226.44165	-45
3226.44995	-46
3226.46265	-45
3226.47192	-45
3226.48364	-44
3226.49194	-44
3226.50024	-45
3226.51245	-43
3226.52075	-42
3226.53345	-42
3226.54175	-39
3226.55005	-41
3226.56274	-38
3226.57202	-41
3226.58325	-40
3226.59155	-40
3226.60034	-39
3226.61255	-39
3226.62085	-39
3226.63354	-37
3226.64185	-38
3226.65015	-36
3226.66284	-36
3226.67114	-36
3226.68335	-35
3226.69165	-35
3226.69995	-36
3226.71265	-35
3226.72095	-34
3226.73364	-35
3226.74243	-33
3226.75024	-32
3226.76245	-33
3226.77173	-33
3226.78345	-31
3226.79175	-32
3226.80005	-30
3226.81274	-28
3226.82104	-28
3226.83325	-28
3226.84155	-28
3226.85034	-27
3226.86255	-25
3226.87183	-26
3226.88354	-24
3226.89185	-23
3226.90112	-21
3226.91284	-23
3226.92114	-22
3226.93335	-21
3226.94165	-19
3226.94995	-19
3226.96265	-18
3226.97095	-20
3226.98022	-19
3226.99243	-18
3227.00024	-17
3227.01245	-16
3227.02075	-13
3227.03345	-15
3227.04175	-15
3227.05005	-16
3227.06274	-17
3227.07104	-14
3227.08325	-10
3227.09253	-13
3227.10034	-12
3227.11255	-12
3227.12085	-8
3227.13354	-10
3227.14185	-9
3227.15015	-8
3227.16284	-7
3227.17163	-6
3227.17993	-5
3227.19165	-6
3227.19995	-6
3227.21265	-4
3227.22192	-6
3227.23364	-4
3227.24194	-4
3227.25024	-4
3227.26245	-4
3227.27075	-2
3227.28345	-2
3227.29272	-3
3227.30103	0
3227.31274	1
3227.32104	1
3227.33325	1
3227.34155	2
3227.35034	2
3227.36255	2
3227.37085	3
3227.38354	4
3227.39185	5
3227.40015	6
3227.41284	8
3227.42114	7
3227.43335	6
3227.44263	8
3227.45093	10
3227.46265	10
3227.47095	9
3227.48364	10
3227.49194	12
3227.50024	11
3227.51245	13
3227.52075	13
3227.53345	15
3227.54175	17
3227.55005	15
3227.56274	19
3227.57104	17
3227.58325	21
3227.59155	18
3227.60034	19
3227.61255	20
3227.62085	21
3227.63354	22
3227.64282	22
3227.65112	24
3227.66284	24
3227.67114	25
3227.68335	24
3227.69165	25
3227.69995	25
3227.71265	25
3227.72095	24
3227.73364	26
3227.74194	27
3227.75024	30
3227.76245	29
3227.77075	30
3227.78003	31
3227.79175	31
3227.80005	31
3227.81274	33
3227.82104	33
3227.83325	34
3227.84155	36
3227.85034	35
3227.86255	38
3227.87085	38
3227.88354	39
3227.89185	38
3227.90015	42
3227.91284	40
3227.92114	40
3227.93335	41
3227.94165	43
3227.94995	44
3227.96265	43
3227.97095	44
3227.98364	43
3227.99243	45
3228.00024	43
3228.01245	47
3228.02075	47
3228.03345	48
3228.04175	46
3228.05005	47
3228.06274	49
3228.07202	49
3228.08325	51
