EPRTextModeVersion05
pitch (v maximume pogloshenija)
Year
2023
Month
5
Day
13
Time
824
Type
17
Field set
3300.00000
Scan Range
 100.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.30000
Modulation amplitude
   0.50000
Frequency
   9.12000
Power
  10.00000
Base line
1978
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3225.00000	-2
3225.01245	-3
3225.02002	-3
3225.03247	-2
3225.04077	-2
3225.05005	-1
3225.06177	-3
3225.07007	-3
3225.08252	-3
3225.09082	-4
3225.10010	-3
3225.11255	-1
3225.12012	-3
3225.13257	-4
3225.14087	-4
3225.15332	-6
3225.16162	-5
3225.16992	-3
3225.18262	-6
3225.19092	-5
3225.20337	-2
3225.21240	-4
3225.21997	-4
3225.23242	-4
3225.24072	-2
3225.25342	-4
3225.26245	-2
3225.27002	-1
3225.28247	-2
3225.29077	1
3225.30322	-1
3225.31177	-1
3225.32007	-1
3225.33252	-1
3225.34082	-1
3225.35327	0
3225.36157	0
3225.37012	-1
3225.38257	0
3225.39160	0
3225.40332	0
3225.41162	3
3225.41992	-1
3225.43262	2
3225.44165	1
3225.45337	-1
3225.46167	0
3225.46997	1
3225.48242	-1
3225.49170	1
3225.50342	-2
3225.51172	-1
3225.52002	-1
3225.53247	-1
3225.54077	-1
3225.55322	-3
3225.56177	-2
3225.57007	-1
3225.58252	0
3225.59155	-3
3225.60327	-3
3225.61157	-2
3225.62012	-3
3225.63257	-4
3225.64160	-4
3225.65332	-3
3225.66162	-5
3225.66992	-4
3225.68262	-4
3225.69165	-5
3225.70337	-4
3225.71167	-3
3225.71997	-4
3225.73242	-4
3225.74072	-6
3225.75342	-3
3225.76172	-3
3225.77002	-2
3225.78247	-3
3225.79175	-3
3225.80322	-6
3225.81177	-4
3225.82007	-3
3225.83252	-3
3225.84155	-5
3225.85327	-5
3225.86255	-5
3225.87012	-3
3225.88257	-5
3225.89160	-6
3225.90332	-5
3225.91162	-3
3225.91992	-5
3225.93262	-6
3225.94092	-5
3225.95337	-3
3225.96167	-6
3225.96997	-4
3225.98242	-3
3225.99170	-4
3226.00342	-5
3226.01172	-4
3226.02002	-6
3226.03247	-5
3226.04077	-3
3226.05322	-2
3226.06177	-3
3226.07007	-2
3226.08252	-4
3226.09155	-3
3226.10327	0
3226.11157	-4
3226.12012	-3
3226.13257	-4
3226.14087	-5
3226.15332	-2
3226.16162	-1
3226.16992	-4
3226.18262	-3
3226.19165	-1
3226.20337	-1
3226.21167	-1
3226.21997	0
3226.23242	-3
3226.24170	-3
3226.25342	-3
3226.26172	-2
3226.27002	-3
3226.28247	-6
3226.29077	-1
3226.30322	-1
3226.31177	-2
3226.32007	-1
3226.33252	-2
3226.34082	0
3226.35327	0
3226.36157	-1
3226.37012	0
3226.38257	-3
3226.39160	-1
3226.40332	-3
3226.41162	-1
3226.41992	-1
3226.43262	-1
3226.44165	0
3226.45337	-2
3226.46167	-1
3226.46997	0
3226.48242	-2
3226.49072	-3
3226.50342	-1
3226.51172	-2
3226.52002	-3
3226.53247	-2
3226.54077	0
3226.55322	0
3226.56177	-2
3226.57080	-3
3226.58252	-3
3226.59082	-1
3226.60425	-1
3226.61157	-1
3226.62012	-3
3226.63257	-4
3226.64087	-2
3226.65405	-2
3226.66162	-2
3226.67090	-1
3226.68262	-2
3226.69092	0
3226.70410	0
3226.71167	-2
3226.71997	-1
3226.73242	-2
3226.74072	-3
3226.75342	-4
3226.76172	-3
3226.77075	-3
3226.78247	-3
3226.79077	-3
3226.80420	-2
3226.81177	-3
3226.82080	-4
3226.83252	-3
3226.84082	-3
3226.85327	-3
3226.86157	-2
3226.87085	-2
3226.88330	-1
3226.89087	-3
3226.90405	-1
3226.91162	-3
3226.91992	-2
3226.93262	0
3226.94092	-2
