EPRTextModeVersion05

Year
2025
Month
1
Day
15
Time
888
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1834
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	2
2500.08325	2
2500.19995	2
2500.28345	2
2500.36670	4
2500.44995	3
2500.50000	4
2500.61670	3
2500.69995	3
2500.78345	2
2500.83325	3
2500.94995	2
2501.00000	4
2501.11670	2
2501.16675	3
2501.28345	1
2501.33325	3
2501.44995	1
2501.50000	1
2501.61670	2
2501.69995	2
2501.75000	4
2501.86670	2
2501.94995	2
2502.03345	1
2502.11670	1
2502.16675	1
2502.28345	2
2502.36670	3
2502.41675	0
2502.53345	3
2502.58325	2
2502.69995	3
2502.75000	2
2502.86670	2
2502.91675	2
2503.03345	3
2503.08325	2
2503.19995	3
2503.25000	3
2503.36670	2
2503.41675	3
2503.53345	3
2503.61670	2
2503.69995	2
2503.78345	2
2503.86670	2
2503.91675	3
2504.03345	1
2504.08325	1
2504.19995	1
2504.25000	2
2504.36670	3
2504.41675	2
2504.53345	3
2504.58325	4
2504.69995	3
2504.75000	4
2504.86670	3
2504.91675	2
2505.03345	2
2505.08325	2
2505.19995	2
2505.25000	2
2505.36670	2
2505.44995	3
2505.50000	3
2505.61670	2
2505.69995	1
2505.78345	2
2505.86670	2
2505.91675	2
2506.03345	3
2506.08325	1
2506.19995	3
2506.25000	2
2506.36670	3
2506.41675	3
2506.53345	2
2506.58325	2
2506.69995	2
2506.75000	2
2506.83325	3
2506.94995	3
2507.03345	2
2507.08325	3
2507.19995	2
2507.25000	3
2507.36670	2
2507.41675	2
2507.53345	3
2507.61670	2
2507.66675	1
2507.75000	1
2507.86670	3
2507.94995	3
2508.03345	2
2508.11670	4
2508.20825	1
2508.28345	3
2508.33325	2
2508.44995	2
2508.53345	3
2508.61670	3
2508.70825	2
2508.78345	3
2508.86670	4
2508.94995	4
2509.03345	3
2509.08325	3
2509.19995	3
2509.28345	3
2509.36670	2
2509.44995	4
2509.53345	4
2509.61670	3
2509.69995	4
2509.78345	3
2509.86670	4
2509.94995	4
2510.04175	4
2510.11670	4
2510.19995	4
2510.28345	6
2510.36670	4
2510.45825	4
2510.53345	5
2510.61670	4
2510.69995	4
2510.78345	6
2510.86670	5
2510.91675	3
2511.04175	4
2511.11670	4
2511.16675	3
2511.28345	3
2511.33325	4
2511.44995	4
2511.53345	2
2511.61670	4
2511.66675	4
2511.78345	4
2511.83325	4
2511.94995	2
2512.00000	3
2512.11670	3
2512.16675	2
2512.28345	2
2512.33325	1
2512.44995	2
2512.50000	2
2512.61670	4
2512.69995	3
2512.78345	2
2512.83325	4
2512.94995	4
2513.03345	3
2513.11670	4
2513.16675	2
2513.25000	2
2513.36670	4
2513.45825	4
2513.53345	5
2513.61670	4
2513.69995	2
2513.78345	4
2513.86670	4
2513.95825	5
2514.03345	5
2514.11670	4
2514.19995	3
2514.28345	4
2514.33325	5
2514.44995	4
2514.53345	6
2514.62500	6
2514.69995	5
2514.78345	5
2514.86670	5
2514.95825	5
2515.03345	5
2515.11670	5
2515.19995	6
2515.28345	5
2515.36670	5
2515.44995	4
2515.53345	5
2515.61670	7
2515.70825	6
2515.78345	5
2515.86670	6
2515.94995	6
2516.03345	6
2516.08325	5
2516.19995	7
2516.28345	6
2516.36670	6
2516.41675	5
2516.53345	5
2516.58325	6
2516.69995	5
2516.78345	5
2516.86670	6
2516.91675	5
2517.03345	4
2517.08325	4
2517.19995	5
2517.25000	4
2517.36670	5
2517.41675	4
2517.53345	5
2517.58325	6
2517.69995	6
2517.75000	3
2517.83325	3
2517.94995	5
2518.03345	4
2518.11670	4
2518.19995	4
2518.25000	4
2518.36670	3
2518.44995	5
2518.54175	4
2518.61670	4
2518.69995	5
2518.78345	4
2518.86670	3
2518.94995	4
2519.03345	6
2519.11670	5
2519.20825	5
2519.28345	4
2519.36670	5
2519.41675	4
2519.53345	4
2519.58325	4
2519.69995	5
2519.78345	5
2519.86670	5
2519.95825	3
2520.03345	7
2520.11670	4
2520.19995	4
2520.28345	5
2520.33325	6
2520.44995	5
2520.50000	6
2520.61670	4
2520.66675	4
2520.78345	4
2520.83325	3
2520.94995	5
2521.00000	5
2521.11670	5
2521.16675	3
2521.28345	5
2521.33325	3
2521.44995	4
2521.50000	5
2521.61670	5
2521.66675	5
2521.78345	5
2521.83325	6
2521.94995	4
2522.03345	4
2522.11670	5
2522.16675	6
2522.28345	3
2522.33325	5
2522.44995	5
2522.53345	5
2522.61670	5
2522.69995	6
2522.75000	5
2522.86670	5
2522.94995	4
2523.00000	4
2523.11670	3
2523.16675	4
2523.28345	6
2523.33325	4
2523.44995	6
2523.50000	6
2523.61670	6
2523.69995	6
2523.79175	6
2523.86670	5
2523.95825	5
2524.03345	6
2524.11670	7
2524.16675	5
2524.28345	7
2524.36670	5
2524.45825	6
2524.53345	7
2524.61670	6
2524.69995	6
2524.78345	5
2524.86670	6
2524.94995	7
2525.03345	5
2525.11670	5
2525.19995	7
2525.28345	8
2525.33325	8
2525.44995	7
2525.53345	6
2525.62500	7
2525.69995	5
2525.78345	6
2525.86670	6
2525.94995	5
2526.03345	6
2526.12500	5
2526.20825	5
2526.28345	6
2526.36670	7
2526.44995	6
2526.53345	5
2526.58325	5
2526.69995	6
2526.75000	5
2526.86670	4
2526.91675	3
2527.03345	5
2527.08325	5
2527.19995	4
2527.29175	4
2527.36670	5
2527.41675	3
2527.53345	4
2527.58325	3
2527.69995	4
2527.75000	4
2527.86670	3
2527.91675	3
2528.03345	3
2528.11670	2
2528.19995	2
2528.25000	2
2528.36670	3
2528.41675	4
2528.54175	5
