EPRTextModeVersion05

Year
2025
Month
1
Day
15
Time
904
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1832
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-3
2500.08325	-1
2500.19995	-1
2500.25000	-1
2500.36670	-2
2500.41675	-1
2500.53345	-2
2500.58325	-2
2500.70825	-2
2500.75000	-3
2500.86670	0
2500.91675	-1
2501.03345	-1
2501.11670	-1
2501.19995	-3
2501.25000	0
2501.36670	-3
2501.41675	-1
2501.53345	-2
2501.58325	-1
2501.69995	0
2501.75000	-1
2501.86670	-1
2501.91675	0
2502.03345	-1
2502.08325	-2
2502.19995	-2
2502.25000	0
2502.36670	-3
2502.41675	-3
2502.54175	-3
2502.58325	-3
2502.69995	-2
2502.75000	-3
2502.86670	-4
2502.94995	-4
2503.03345	-3
2503.08325	-3
2503.19995	-4
2503.25000	-4
2503.36670	-3
2503.41675	-2
2503.53345	-3
2503.61670	-4
2503.69995	-4
2503.78345	-4
2503.83325	-3
2503.94995	-3
2504.03345	-5
2504.11670	-3
2504.19995	-5
2504.28345	-4
2504.37500	-5
2504.44995	-6
2504.53345	-6
2504.61670	-4
2504.69995	-5
2504.78345	-6
2504.86670	-3
2504.94995	-4
2505.03345	-4
2505.11670	-3
2505.19995	-3
2505.29175	-5
2505.36670	-5
2505.44995	-3
2505.53345	-3
2505.61670	-4
2505.66675	-3
2505.78345	-5
2505.83325	-2
2505.94995	-2
2506.00000	-3
2506.11670	-3
2506.16675	-3
2506.28345	-4
2506.33325	-4
2506.44995	-4
2506.50000	-4
2506.61670	-4
2506.66675	-4
2506.78345	-5
2506.83325	-5
2506.94995	-5
2507.03345	-4
2507.11670	-4
2507.19995	-4
2507.28345	-3
2507.33325	-4
2507.44995	-3
2507.50000	-3
2507.61670	-3
2507.66675	-3
2507.78345	-3
2507.83325	-3
2507.94995	-2
2508.00000	-3
2508.11670	-2
2508.16675	0
2508.28345	-4
2508.33325	-3
2508.44995	-2
2508.50000	-4
2508.61670	-2
2508.66675	-3
2508.78345	-2
2508.86670	-3
2508.94995	-4
2509.00000	-3
2509.12500	-4
2509.16675	-2
2509.28345	-3
2509.33325	-4
2509.41675	-1
2509.53345	-3
2509.62500	-3
2509.69995	-2
2509.78345	-3
2509.86670	0
2509.95825	-3
