EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
876
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2124
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	-2
1260.36670	-1
1260.66663	-2
1261.00000	-2
1261.33337	-2
1261.66663	-3
1262.00000	-1
1262.33337	-3
1262.66663	-1
1263.00000	-3
1263.33337	-3
1263.66663	-3
1264.00000	-1
1264.33337	-4
1264.66663	-3
1265.00000	-4
1265.33337	-3
1265.66663	-4
1266.03333	-3
1266.33337	-6
1266.66663	-5
1267.00000	-2
1267.33337	-3
1267.66663	-3
1268.00000	-2
1268.33337	-4
1268.66663	-2
1269.00000	-2
1269.33337	0
1269.66663	-4
1270.00000	-5
1270.33337	-5
1270.66663	-4
1271.00000	-5
1271.36670	-2
1271.66663	-4
1272.00000	-4
1272.33337	-6
1272.66663	-4
1273.00000	-5
1273.33337	-5
1273.66663	-5
1274.00000	-6
1274.33337	-5
1274.69995	-5
1275.00000	-5
1275.33337	-4
1275.66663	-6
1276.00000	-5
1276.33337	-4
1276.66663	-5
1277.00000	-6
1277.33337	-6
1277.66663	-3
1278.00000	-4
1278.33337	-5
1278.66663	-5
1279.00000	-6
1279.36670	-3
1279.69995	-3
1280.03333	-3
1280.33337	-2
1280.69995	-3
1281.00000	-2
1281.33337	-1
1281.66663	-2
1282.06665	-2
1282.33337	-1
1282.66663	0
1283.00000	-1
1283.33337	-2
1283.66663	-3
1284.03333	-3
1284.33337	-3
1284.66663	0
1285.00000	-3
1285.33337	-2
1285.66663	-1
1286.03333	-1
1286.33337	-3
1286.66663	-1
1287.03333	-2
1287.36670	-5
1287.66663	-2
1288.03333	-4
1288.33337	-3
1288.66663	-1
1289.00000	-5
1289.36670	-3
1289.66663	-4
1290.00000	-2
1290.33337	-2
1290.66663	-2
1291.00000	-2
1291.33337	-3
1291.66663	-3
1292.03333	-2
1292.33337	0
1292.69995	-1
1293.03333	-2
1293.33337	-1
1293.66663	-2
1294.00000	-2
1294.33337	-1
1294.69995	-2
1295.00000	-2
1295.36670	-2
1295.66663	-2
1296.00000	0
1296.33337	-1
1296.69995	0
1297.00000	-1
1297.33337	-1
1297.66663	0
1298.03333	-2
1298.33337	-2
1298.66663	0
1299.00000	1
1299.33337	0
1299.66663	-1
1300.00000	1
1300.33337	-1
1300.66663	-1
1301.00000	-2
1301.33337	-1
1301.66663	-2
1302.03333	-2
1302.33337	-3
1302.69995	-2
1303.00000	-2
1303.36670	-2
1303.66663	-3
1304.03333	-2
1304.33337	-4
1304.66663	-3
1305.03333	-4
1305.33337	-3
1305.66663	-5
1306.00000	-3
1306.33337	-3
1306.66663	-4
1307.00000	-4
1307.33337	-4
1307.66663	-4
1308.00000	-2
1308.33337	-5
1308.66663	-4
1309.00000	-5
1309.33337	-4
1309.69995	-5
1310.00000	-5
1310.33337	-4
1310.66663	-3
1311.00000	-4
1311.36670	-3
1311.66663	-5
1312.03333	-4
1312.33337	-3
1312.66663	-3
1313.00000	-4
1313.33337	-3
1313.66663	-4
1314.00000	-2
1314.33337	-3
1314.66663	-5
1315.03333	-4
1315.33337	-3
1315.66663	-4
1316.00000	-2
1316.36670	-4
1316.66663	-4
1317.03333	-4
1317.33337	-3
1317.69995	-4
1318.00000	-4
1318.33337	-4
1318.66663	-4
1319.03333	-4
1319.33337	-4
1319.66663	-3
1320.00000	-5
1320.33337	-6
1320.66663	-4
1321.00000	-4
1321.33337	-4
1321.66663	-5
1322.00000	-4
1322.36670	-4
1322.66663	-3
1323.00000	-4
1323.33337	-4
1323.69995	-2
1324.00000	-3
1324.33337	-4
1324.69995	-6
1325.06665	-4
1325.33337	-3
1325.66663	-5
1326.00000	-4
1326.33337	-4
1326.66663	-5
1327.00000	-6
1327.33337	-4
1327.66663	-4
1328.00000	-4
1328.33337	-4
1328.66663	-4
1329.00000	-4
1329.33337	-4
1329.69995	-5
1330.00000	-3
1330.33337	-5
1330.66663	-3
1331.00000	-3
1331.36670	-2
1331.66663	-3
1332.00000	-2
1332.33337	-3
1332.66663	-3
1333.03333	-4
1333.33337	-3
1333.66663	-4
1334.00000	-3
1334.33337	-5
1334.66663	-4
1335.00000	-3
1335.33337	-2
1335.66663	-3
1336.00000	-4
1336.33337	-1
1336.66663	-1
1337.00000	-3
1337.33337	-3
1337.66663	-3
1338.00000	-3
1338.33337	-3
1338.66663	-3
1339.00000	-3
1339.33337	-4
1339.69995	-2
1340.00000	-2
1340.33337	-4
1340.66663	-4
1341.00000	-3
1341.33337	-4
1341.66663	-5
1342.00000	-4
1342.33337	-5
1342.66663	-4
1343.00000	-4
1343.33337	-3
1343.66663	-3
1344.00000	-5
1344.33337	-2
1344.66663	-4
1345.00000	-5
1345.33337	-7
1345.66663	-5
1346.03333	-5
