EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
892
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2108
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.16663	1
1260.36670	3
1260.69995	2
1261.00000	1
1261.33337	2
1261.73328	-1
1262.00000	0
1262.33337	0
1262.66663	1
1263.00000	2
1263.33337	2
1263.69995	-1
1264.00000	1
1264.33337	1
1264.66663	1
1265.03333	1
1265.33337	-1
1265.69995	-1
1266.00000	2
1266.33337	0
1266.66663	1
1267.03333	1
1267.36670	0
1267.69995	1
1268.00000	1
1268.33337	-1
1268.66663	-1
1269.00000	1
1269.33337	-1
1269.69995	1
1270.00000	1
1270.33337	1
1270.66663	1
1271.03333	2
1271.33337	2
1271.69995	1
1272.00000	2
1272.33337	3
1272.66663	2
1273.00000	3
1273.33337	2
1273.66663	2
1274.03333	2
1274.33337	2
1274.69995	3
1275.00000	3
1275.36670	1
1275.66663	0
1276.00000	2
1276.33337	1
1276.69995	1
1277.00000	1
1277.36670	3
1277.66663	0
1278.00000	1
1278.33337	1
1278.66663	2
1279.03333	1
1279.36670	1
1279.66663	1
1280.00000	2
1280.33337	2
1280.66663	1
1281.00000	3
1281.33337	2
1281.66663	1
1282.03333	3
1282.33337	3
1282.66663	1
1283.00000	1
1283.33337	0
1283.66663	4
1284.00000	2
1284.33337	3
1284.66663	2
1285.00000	3
1285.33337	3
1285.66663	2
1286.00000	2
1286.36670	4
1286.66663	2
1287.00000	2
1287.33337	2
1287.66663	2
1288.00000	2
1288.36670	3
1288.66663	3
1289.00000	4
1289.33337	2
1289.66663	3
1290.00000	1
1290.33337	2
1290.69995	2
1291.00000	3
1291.33337	2
1291.66663	3
1292.00000	4
1292.33337	2
1292.66663	3
1293.00000	3
1293.33337	4
1293.66663	4
1294.00000	4
1294.33337	4
1294.66663	3
1295.00000	4
1295.33337	3
1295.69995	4
1296.03333	3
1296.33337	4
1296.66663	3
1297.00000	3
1297.36670	2
1297.66663	4
1298.00000	4
1298.33337	2
1298.66663	2
1299.00000	4
1299.33337	2
1299.66663	2
1300.00000	2
1300.33337	2
1300.66663	2
1301.00000	2
1301.33337	2
1301.66663	3
1302.00000	3
1302.33337	2
1302.66663	4
1303.03333	3
1303.33337	3
1303.69995	3
1304.03333	2
1304.33337	4
1304.69995	2
1305.00000	3
1305.33337	3
1305.66663	3
1306.03333	4
1306.33337	4
1306.66663	3
1307.00000	6
1307.33337	3
1307.66663	5
1308.00000	4
1308.33337	4
1308.66663	4
1309.00000	3
1309.33337	4
1309.66663	4
1310.00000	4
1310.33337	4
1310.69995	5
1311.00000	3
1311.33337	3
1311.69995	3
1312.00000	3
1312.33337	3
1312.66663	4
1313.00000	2
1313.33337	1
1313.66663	1
1314.00000	1
1314.33337	1
1314.66663	2
1315.00000	1
1315.33337	1
1315.69995	2
1316.00000	1
1316.33337	1
1316.66663	0
1317.00000	0
1317.33337	1
1317.66663	2
1318.00000	1
1318.33337	1
1318.69995	2
1319.00000	1
1319.36670	2
1319.66663	2
1320.03333	4
1320.33337	1
1320.66663	3
1321.00000	2
1321.40002	1
1321.66663	1
1322.00000	1
1322.33337	3
1322.66663	3
1323.00000	2
1323.36670	2
1323.66663	2
1324.00000	2
1324.33337	3
1324.66663	2
1325.00000	2
1325.40002	0
1325.69995	2
1326.03333	3
1326.33337	3
1326.69995	3
1327.00000	2
1327.36670	2
1327.66663	4
1328.00000	3
1328.33337	3
1328.66663	3
1329.00000	1
1329.33337	3
1329.66663	3
1330.00000	3
1330.33337	4
1330.66663	4
1331.00000	3
1331.33337	4
1331.66663	4
1332.00000	3
1332.36670	2
1332.66663	2
1333.00000	2
1333.33337	3
1333.66663	5
1334.03333	5
1334.33337	4
1334.66663	2
1335.00000	2
1335.33337	4
1335.66663	5
1336.00000	5
1336.33337	4
1336.66663	5
1337.00000	6
1337.33337	5
1337.66663	6
1338.00000	5
1338.33337	5
1338.66663	4
1339.00000	5
1339.33337	4
1339.69995	5
1340.00000	4
1340.33337	4
1340.66663	5
1341.00000	5
1341.33337	3
1341.66663	3
1342.00000	4
1342.33337	4
1342.66663	3
1343.00000	1
1343.33337	1
1343.66663	4
1344.00000	3
1344.33337	5
1344.66663	5
1345.00000	2
1345.33337	4
1345.66663	5
1346.00000	3
1346.33337	3
1346.66663	5
1347.00000	4
1347.36670	3
1347.66663	3
1348.00000	4
1348.33337	3
1348.66663	2
1349.00000	2
