EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
939
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2109
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	-1
1260.33337	-2
1260.80005	-2
1261.00000	-3
1261.46667	-3
1261.66663	-3
1262.13330	-4
1262.33337	-2
1262.80005	-2
1263.00000	-3
1263.46667	-3
1263.66663	-5
1264.13330	-3
1264.33337	-3
1264.80005	-3
1265.03333	-3
1265.46667	-3
1265.80005	-3
1266.16663	-2
1266.50000	-3
1266.83337	-4
1267.13330	-2
1267.46667	-3
1267.80005	-3
1268.13330	-3
1268.46667	-3
1268.86670	-4
1269.13330	-3
1269.46667	-3
1269.80005	-3
1270.00000	-3
1270.46667	-6
1270.66663	-5
1271.13330	-4
1271.33337	-4
1271.80005	-5
1272.00000	-6
1272.50000	-6
1272.69995	-4
1273.13330	-7
1273.50000	-5
1273.80005	-6
1274.13330	-4
1274.46667	-4
1274.66663	-1
1275.13330	-4
1275.33337	-3
1275.80005	-3
1276.00000	-5
1276.46667	-4
1276.69995	-3
1277.13330	-3
1277.33337	-4
1277.80005	-1
1278.00000	-3
1278.46667	-3
1278.66663	-4
1279.13330	-3
1279.33337	-4
1279.80005	-2
1280.13330	-2
1280.33337	-2
1280.69995	-2
1281.13330	-2
1281.50000	-2
1281.80005	-2
1282.00000	-1
1282.46667	-1
1282.66663	-1
1283.13330	-4
1283.33337	-2
1283.66663	-2
1284.13330	-2
1284.46667	-2
1284.69995	-1
1285.13330	-3
1285.33337	-2
1285.80005	-2
1286.00000	-3
1286.46667	-3
1286.66663	-3
1287.16663	-5
1287.33337	-2
1287.80005	-4
1288.13330	-5
1288.46667	-4
1288.66663	-4
1289.13330	-4
1289.33337	-3
1289.80005	-4
1290.13330	-4
1290.46667	-3
1290.66663	-3
1291.13330	-3
1291.33337	-3
1291.80005	-4
1292.00000	-2
1292.46667	-3
1292.69995	-2
1293.13330	-3
1293.33337	-2
1293.83337	-2
1294.13330	-1
1294.50000	0
1294.80005	-2
1295.16663	-2
1295.46667	-2
1295.80005	-1
1296.13330	-1
1296.50000	-3
1296.80005	-2
1297.13330	-1
1297.33337	-3
1297.83337	-2
1298.13330	-2
1298.33337	-2
1298.80005	-2
1299.13330	-1
1299.46667	-2
1299.83337	-1
1300.13330	0
1300.46667	-1
1300.80005	-1
1301.00000	-1
1301.46667	0
1301.66663	-1
1302.13330	-1
1302.46667	-2
1302.83337	2
1303.13330	-1
1303.46667	-1
1303.80005	1
1304.13330	1
1304.33337	0
1304.83337	1
1305.13330	0
1305.46667	-1
1305.80005	1
1306.13330	2
1306.46667	0
1306.80005	0
1307.13330	1
1307.46667	0
1307.80005	0
1308.13330	-1
1308.33337	-1
1308.80005	0
1309.13330	-1
1309.50000	-1
