EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
950
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2105
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	-1
1260.33337	-2
1260.66663	-3
1261.00000	-3
1261.33337	-2
1261.66663	-1
1262.00000	-2
1262.33337	-1
1262.69995	-4
1263.00000	-3
1263.33337	-5
1263.66663	-5
1264.00000	-4
1264.33337	-4
1264.66663	-5
1265.00000	-4
1265.33337	-5
1265.66663	-4
1266.00000	-7
1266.33337	-5
1266.69995	-6
1267.00000	-4
1267.36670	-4
1267.69995	-4
1268.00000	-4
1268.33337	-4
1268.66663	-4
1269.00000	-3
1269.36670	-7
1269.66663	-3
1270.03333	-2
1270.33337	-5
1270.69995	-3
1271.00000	-5
1271.36670	-3
1271.66663	-3
1272.03333	-4
1272.33337	-3
1272.69995	-4
1273.00000	-3
1273.33337	-4
1273.66663	-2
1274.00000	-4
1274.33337	-2
1274.66663	-4
1275.03333	-3
1275.36670	-3
1275.66663	-1
1276.00000	-1
1276.36670	-3
1276.69995	-1
1277.03333	-1
1277.36670	-2
1277.66663	-2
1278.00000	-2
1278.33337	-2
1278.69995	-1
1279.00000	-1
1279.36670	-2
1279.66663	-2
1280.00000	-2
1280.33337	-1
1280.73328	-2
1281.00000	0
1281.33337	0
1281.66663	0
1282.00000	0
1282.33337	-1
1282.69995	-2
1283.00000	-2
1283.36670	0
1283.69995	-1
1284.00000	-2
1284.36670	-2
1284.73328	-2
1285.00000	-2
1285.33337	-1
1285.66663	-1
1286.03333	-2
1286.33337	-3
1286.69995	-2
1287.00000	-2
1287.33337	-2
1287.66663	-1
1288.00000	-2
1288.33337	-1
1288.69995	-4
1289.00000	-4
1289.33337	-5
1289.66663	-3
1290.00000	-4
1290.33337	-4
1290.69995	-4
1291.03333	-5
1291.36670	-2
1291.66663	-5
1292.03333	-2
1292.33337	-4
1292.69995	-4
1293.00000	-4
1293.36670	-4
1293.66663	-4
1294.00000	-4
1294.33337	-3
1294.69995	-2
1295.00000	-3
1295.33337	-2
1295.66663	-3
1296.00000	-3
1296.33337	-3
1296.66663	-3
1297.03333	0
1297.33337	-2
1297.66663	-1
1298.00000	-3
1298.33337	-2
1298.66663	-4
1299.00000	-3
1299.36670	-3
1299.66663	-1
1300.00000	-3
1300.33337	-4
1300.66663	-2
1301.00000	-2
1301.33337	-4
1301.66663	-2
1302.00000	-2
1302.33337	-3
1302.66663	-3
1303.00000	-2
1303.33337	-3
1303.66663	-3
1304.00000	-4
1304.36670	-2
1304.66663	-2
1305.00000	-2
1305.33337	-3
1305.66663	-1
1306.03333	-1
1306.33337	-1
1306.69995	-2
1307.03333	-2
1307.33337	-2
1307.66663	-2
1308.03333	-1
1308.33337	-1
1308.66663	0
