EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
965
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2101
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	0
1260.46667	1
1260.66663	0
1261.13330	0
1261.33337	-2
1261.80005	1
1262.00000	0
1262.46667	1
1262.66663	0
1263.13330	2
1263.36670	-1
1263.80005	0
1264.13330	-2
1264.46667	-2
1264.66663	-1
1265.13330	0
1265.33337	-2
1265.80005	-1
1266.00000	0
1266.50000	-1
1266.66663	-1
1267.13330	-1
1267.33337	-2
1267.80005	-1
1268.00000	-3
1268.46667	-2
1268.66663	-3
1269.13330	-2
1269.33337	-2
1269.80005	-2
1270.00000	-2
1270.46667	-3
1270.66663	-2
1271.13330	-2
1271.46667	-3
1271.80005	0
1272.00000	-1
1272.46667	-2
1272.66663	-2
1273.13330	0
1273.33337	0
1273.80005	-1
1274.00000	0
1274.46667	-1
1274.66663	0
1275.13330	0
1275.33337	1
1275.80005	-1
1276.00000	0
1276.46667	0
1276.66663	1
1277.13330	1
1277.33337	0
1277.80005	1
1278.00000	-1
1278.46667	0
1278.83337	-1
1279.13330	0
1279.33337	-3
1279.80005	-1
1280.00000	-3
1280.46667	-3
1280.66663	-2
1281.13330	0
1281.33337	0
1281.80005	0
1282.00000	0
1282.46667	0
1282.66663	-1
1283.00000	-1
1283.46667	-2
1283.66663	-1
1284.13330	-2
1284.46667	-1
1284.66663	-1
1285.13330	-4
1285.33337	-2
1285.80005	-1
1286.00000	0
1286.46667	-1
1286.66663	-2
1287.13330	-3
1287.33337	-1
1287.80005	-1
1288.03333	-3
1288.50000	-1
1288.66663	0
1289.13330	-1
1289.33337	-1
1289.80005	0
1290.00000	-1
1290.33337	-1
1290.80005	-1
1291.13330	-2
1291.33337	-3
1291.80005	-2
1292.00000	-2
1292.46667	-3
1292.66663	-3
1293.13330	-4
1293.33337	-3
1293.80005	-4
1294.00000	-3
1294.46667	-3
1294.80005	-2
1295.13330	-4
1295.33337	-2
1295.80005	-3
1296.00000	-2
1296.46667	-2
1296.66663	-2
1297.13330	-2
1297.33337	-2
1297.80005	-4
1298.00000	-1
1298.46667	-3
1298.66663	-3
1299.13330	-2
1299.33337	-3
1299.80005	-2
1300.00000	-2
1300.46667	-2
1300.80005	-3
1301.13330	0
1301.33337	-1
1301.80005	-4
1302.00000	0
1302.46667	-3
1302.66663	-1
1303.13330	-2
1303.33337	-1
1303.80005	-3
1304.03333	-2
1304.46667	-2
1304.66663	-1
1305.00000	-1
1305.46667	1
1305.80005	-1
1306.00000	-1
1306.46667	-1
1306.66663	-1
1307.13330	0
1307.33337	0
1307.83337	0
1308.00000	3
1308.46667	-1
1308.66663	0
1309.13330	1
1309.33337	-1
1309.80005	-2
1310.00000	-1
1310.50000	-1
1310.66663	-1
1311.13330	-1
1311.33337	0
1311.80005	-1
1312.00000	0
1312.33337	1
1312.69995	2
1313.13330	-2
1313.33337	-2
1313.80005	-1
1314.00000	0
1314.46667	1
1314.66663	0
1315.13330	1
1315.46667	0
1315.80005	-1
1316.00000	0
1316.46667	0
1316.69995	0
1317.13330	1
1317.33337	1
1317.80005	0
1318.00000	0
1318.46667	0
1318.66663	-1
1319.13330	-2
1319.33337	-3
1319.80005	-2
1320.00000	-2
1320.46667	-3
1320.69995	-2
1321.13330	-2
1321.33337	-3
1321.80005	-4
1322.00000	-3
1322.46667	-2
1322.66663	-3
1323.13330	-1
1323.33337	-1
1323.80005	-3
1324.00000	-2
