EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
976
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2101
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	0
1260.33337	1
1260.80005	0
1261.13330	1
1261.33337	2
1261.83337	0
1262.00000	0
1262.46667	-1
1262.80005	0
1263.16663	-2
1263.46667	-2
1263.83337	-1
1264.13330	-1
1264.46667	-3
1264.66663	-3
1265.16663	-2
1265.46667	0
1265.80005	-4
1266.13330	-3
1266.50000	-2
1266.80005	-3
1267.13330	-2
1267.46667	-1
1267.80005	-1
1268.13330	-2
1268.50000	-1
1268.83337	-2
1269.13330	1
1269.46667	0
1269.83337	-1
1270.16663	1
1270.46667	1
1270.80005	-1
1271.16663	1
1271.50000	2
1271.83337	2
1272.13330	0
1272.50000	2
1272.80005	1
1273.00000	1
1273.46667	2
1273.80005	1
1274.03333	1
1274.46667	1
1274.66663	0
1275.00000	0
1275.46667	1
1275.80005	0
1276.00000	0
1276.46667	0
1276.66663	0
1277.13330	0
1277.33337	0
1277.80005	0
1278.03333	0
1278.50000	-1
1278.80005	0
1279.13330	-2
1279.33337	2
1279.80005	0
1280.00000	-1
1280.46667	-1
1280.66663	0
1281.13330	-1
1281.33337	0
1281.80005	0
1282.00000	0
1282.46667	-2
1282.66663	-2
1283.13330	-3
1283.33337	-3
1283.80005	-2
1284.00000	-2
1284.46667	-2
1284.66663	-4
1285.13330	-2
1285.33337	-2
1285.80005	-1
1286.13330	-4
1286.46667	-3
1286.69995	-1
1287.13330	-3
1287.33337	-4
1287.80005	-4
1288.00000	-2
1288.46667	-4
1288.66663	-3
1289.13330	-4
1289.33337	-3
1289.80005	-2
1290.00000	-3
1290.46667	-2
1290.66663	-3
1291.13330	-4
1291.36670	-3
1291.80005	-3
1292.00000	-3
1292.46667	-4
1292.66663	-4
1293.13330	-6
1293.33337	-4
1293.80005	-4
1294.00000	-5
1294.46667	-3
1294.66663	-5
1295.13330	-5
1295.33337	-4
1295.80005	-6
1296.03333	-3
1296.46667	-3
1296.66663	-6
1297.13330	-5
1297.33337	-5
1297.80005	-5
1298.00000	-5
1298.46667	-3
1298.66663	-5
1299.13330	-4
1299.33337	-4
1299.80005	-4
1300.03333	-5
1300.46667	-4
1300.80005	-3
1301.13330	-5
1301.33337	-5
1301.83337	-5
1302.00000	-5
1302.46667	-4
1302.66663	-5
1303.13330	-5
1303.33337	-4
1303.80005	-4
1304.19995	-1
1304.46667	-4
1304.80005	-2
1305.13330	-2
1305.33337	-3
1305.80005	-3
1306.00000	-3
1306.46667	-2
1306.66663	-2
1307.13330	-2
1307.33337	-2
1307.80005	-1
1308.13330	-1
1308.33337	-2
1308.83337	-2
1309.16663	-3
1309.46667	-2
1309.80005	0
1310.16663	-1
1310.46667	-2
1310.80005	-2
1311.13330	-1
1311.46667	-1
1311.80005	1
1312.13330	-1
1312.33337	-2
1312.80005	-2
1313.00000	-3
1313.46667	-1
1313.66663	-2
1314.13330	-3
1314.46667	-3
1314.80005	-2
1315.13330	-1
1315.46667	-2
1315.66663	-2
1316.13330	-4
1316.33337	-4
1316.80005	-3
1317.00000	-2
1317.46667	-4
1317.66663	-4
1318.00000	-5
1318.33337	-3
1318.80005	-3
1319.00000	-1
1319.46667	-3
1319.66663	-4
1320.16663	-1
1320.33337	-1
1320.80005	-2
1321.00000	0
1321.46667	-2
1321.80005	-2
1322.16663	-2
1322.50000	-3
1322.83337	-3
1323.13330	-2
1323.46667	-3
1323.66663	-3
1324.13330	-2
1324.46667	-2
1324.80005	-1
1325.13330	-2
1325.46667	-1
1325.66663	-3
1326.00000	-2
1326.46667	-4
1326.66663	-5
1327.13330	-5
1327.33337	-4
1327.80005	-4
1328.00000	-4
1328.46667	-6
1328.80005	-4
1329.16663	-2
1329.46667	-4
1329.83337	-4
1330.13330	-2
1330.46667	-2
1330.66663	-2
1331.16663	-1
1331.46667	-3
1331.80005	-3
1332.13330	-3
1332.46667	-3
1332.80005	-3
1333.13330	-3
1333.46667	-3
1333.80005	-3
1334.13330	-1
1334.33337	-3
1334.83337	-5
1335.00000	-3
1335.46667	-3
1335.66663	-3
1336.13330	0
1336.46667	-2
1336.83337	-1
1337.13330	-1
1337.46667	-1
1337.66663	0
1338.13330	0
1338.50000	1
1338.80005	0
1339.13330	0
1339.46667	0
1339.80005	0
1340.16663	-1
1340.33337	-1
1340.80005	-1
1341.13330	0
1341.46667	-2
1341.80005	-1
1342.16663	-3
1342.46667	-3
1342.80005	-2
1343.13330	-2
1343.50000	-2
1343.80005	-2
1344.16663	-2
1344.50000	-2
1344.80005	-1
1345.13330	-2
1345.50000	-3
1345.80005	-2
1346.00000	-2
1346.46667	-1
1346.80005	-1
1347.13330	0
1347.53333	0
1347.80005	0
1348.13330	-2
1348.46667	-2
1348.80005	-2
1349.00000	-1
1349.50000	-2
1349.80005	-2
1350.13330	-1
1350.46667	-2
1350.83337	0
1351.13330	-1
1351.50000	1
1351.83337	-2
1352.13330	-2
1352.46667	-2
1352.80005	-1
1353.13330	-3
1353.33337	-1
1353.80005	-2
1354.00000	-4
1354.46667	-2
1354.66663	-2
1355.13330	-2
1355.33337	-1
1355.80005	-1
1356.00000	-3
1356.46667	-1
1356.66663	-2
1357.13330	-1
1357.33337	-2
1357.80005	-2
1358.13330	-3
1358.50000	-1
1358.83337	-1
1359.19995	-1
1359.46667	-1
1359.66663	-1
1360.13330	-2
1360.33337	0
1360.80005	-2
1361.16663	-2
1361.46667	-2
1361.80005	-1
1362.13330	-2
1362.46667	-2
1362.80005	-2
1363.16663	-2
1363.46667	-3
1363.80005	-2
1364.13330	0
1364.50000	-2
1364.80005	-1
1365.16663	0
1365.46667	-1
1365.83337	0
1366.13330	-1
1366.50000	-3
1366.80005	-2
1367.19995	-1
1367.46667	-2
1367.83337	-2
1368.13330	-2
1368.46667	-2
1368.66663	-1
1369.16663	0
1369.46667	0
1369.80005	-1
1370.00000	-1
1370.46667	0
1370.80005	1
1371.13330	-1
1371.53333	1
1371.80005	0
1372.13330	-1
1372.46667	-2
1372.80005	-2
1373.13330	-2
1373.50000	-1
1373.80005	-1
1374.13330	-2
1374.33337	-4
1374.80005	0
1375.16663	0
1375.50000	0
1375.80005	0
1376.13330	0
1376.46667	-1
1376.80005	-2
1377.00000	0
1377.50000	0
1377.80005	0
1378.13330	-2
1378.46667	-2
1378.83337	-1
1379.13330	1
1379.50000	0
1379.80005	-1
1380.16663	-2
1380.50000	-2
1380.80005	-3
1381.16663	-2
1381.50000	-1
1381.80005	-3
1382.16663	-3
1382.46667	-4
1382.66663	-2
1383.13330	-2
1383.50000	-2
1383.80005	-1
1384.00000	-5
1384.46667	-4
1384.80005	-4
1385.16663	-3
1385.50000	-3
1385.80005	-3
1386.16663	-4
1386.46667	-4
1386.83337	-1
1387.13330	-1
1387.50000	-2
1387.80005	-3
1388.13330	-3
1388.46667	-2
1388.80005	-3
1389.13330	-1
1389.50000	0
1389.66663	-2
1390.13330	-2
1390.46667	-3
1390.83337	-3
1391.13330	-1
1391.50000	-1
1391.66663	-3
1392.13330	-2
1392.46667	-2
1392.80005	-3
1393.13330	-4
1393.50000	-3
1393.80005	-4
1394.13330	-2
1394.33337	-3
1394.66663	-5
1395.16663	-2
1395.33337	-3
1395.80005	-2
1396.13330	-1
1396.33337	-3
1396.80005	-4
1397.13330	-3
1397.33337	-2
1397.80005	-1
1398.00000	-2
1398.46667	-1
1398.66663	-3
1399.13330	-2
1399.33337	0
1399.80005	1
1400.00000	-1
1400.46667	0
1400.66663	-1
1401.13330	-1
1401.33337	-1
1401.80005	1
1402.13330	0
1402.46667	1
