EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
986
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2097
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	-3
1260.40002	-3
1260.66663	-3
1261.00000	-3
1261.33337	-3
1261.66663	-2
1262.00000	0
1262.36670	-2
1262.66663	-2
1263.00000	0
1263.33337	-3
1263.69995	-1
1264.00000	-2
1264.36670	0
1264.66663	-1
1265.00000	-1
1265.36670	-2
1265.66663	-1
1266.00000	0
1266.36670	-1
1266.66663	0
1267.00000	-2
1267.33337	-1
1267.69995	-1
1268.00000	-2
1268.36670	-1
1268.69995	0
1269.00000	-1
1269.33337	-1
1269.66663	-1
1270.00000	-1
1270.36670	-1
1270.69995	-2
1271.03333	1
1271.33337	-1
1271.66663	1
1272.00000	-1
1272.33337	-1
1272.66663	-1
1273.00000	-1
1273.33337	-3
1273.66663	-3
1274.00000	-1
1274.33337	-1
1274.66663	0
1275.00000	-1
1275.33337	-2
1275.66663	-3
1276.00000	-3
1276.33337	-2
1276.66663	-3
1277.00000	0
1277.33337	-2
1277.69995	-4
1278.00000	-2
1278.33337	-3
1278.66663	-3
1279.00000	-4
1279.33337	-4
1279.66663	-3
1280.00000	-4
1280.33337	-5
1280.66663	-6
1281.00000	-2
1281.33337	-5
1281.66663	-4
1282.00000	-5
1282.33337	-3
1282.66663	-3
1283.00000	-2
1283.33337	-4
1283.66663	-2
1284.00000	-4
1284.33337	-3
1284.69995	-3
1285.00000	0
1285.40002	-3
1285.69995	-2
1286.00000	-2
1286.33337	0
1286.69995	0
1287.03333	-2
1287.33337	-3
1287.66663	-4
1288.03333	-4
1288.33337	-3
1288.66663	-3
1289.00000	-2
1289.33337	-3
1289.66663	-2
1290.03333	-3
1290.33337	-4
1290.66663	-3
1291.00000	-4
1291.36670	-5
1291.66663	-5
1292.03333	-5
1292.33337	-4
1292.66663	-4
1293.00000	-5
1293.33337	-3
1293.66663	-3
1294.00000	-6
1294.33337	-4
1294.66663	-6
1295.00000	-5
1295.33337	-5
1295.66663	-4
1296.00000	-6
1296.33337	-5
1296.66663	-7
1297.00000	-6
1297.33337	-7
1297.66663	-6
1298.00000	-6
1298.33337	-5
1298.66663	-3
1299.00000	-5
1299.33337	-6
1299.69995	-5
1300.00000	-3
1300.36670	-7
1300.66663	-5
1301.00000	-6
1301.33337	-7
1301.66663	-5
1302.03333	-6
1302.33337	-3
1302.66663	-6
1303.00000	-4
1303.33337	-5
1303.66663	-2
1304.00000	-3
1304.33337	-2
1304.66663	-3
1305.00000	-3
1305.33337	-2
1305.66663	-1
1306.00000	-1
1306.33337	-3
1306.69995	-3
1307.00000	-1
1307.33337	-2
1307.66663	-3
1308.00000	-3
1308.33337	-1
1308.66663	-3
1309.00000	-1
1309.33337	-2
1309.66663	-3
1310.00000	-2
1310.33337	-2
1310.66663	-3
1311.00000	-3
1311.33337	-3
1311.66663	-3
1312.00000	-4
1312.33337	-3
1312.66663	-5
1313.00000	-3
1313.33337	-4
1313.66663	-3
1314.00000	-4
1314.33337	-3
1314.66663	-1
1315.03333	1
1315.33337	-2
1315.66663	-2
1316.00000	-3
1316.33337	0
1316.66663	0
1317.00000	-2
1317.33337	-2
1317.69995	-3
1318.00000	-2
1318.33337	-3
1318.66663	-2
1319.00000	-1
1319.33337	-2
1319.66663	-2
1320.00000	-3
1320.33337	-4
1320.66663	-4
1321.00000	-4
1321.33337	-4
1321.69995	-4
1322.03333	-1
1322.33337	-2
1322.66663	-3
1323.00000	-1
1323.33337	-4
1323.66663	-4
1324.00000	-4
1324.33337	-3
1324.69995	-2
1325.00000	-2
1325.36670	-3
1325.66663	-1
1326.00000	-1
1326.33337	0
1326.66663	-1
1327.00000	0
1327.33337	-1
1327.66663	-1
1328.00000	-1
1328.33337	-1
1328.69995	-2
1329.03333	0
1329.36670	-1
1329.66663	-1
1330.00000	-1
1330.33337	1
1330.66663	-1
1331.00000	-1
1331.33337	-2
1331.66663	0
1332.00000	-1
1332.33337	0
1332.66663	0
1333.00000	1
1333.33337	-1
1333.66663	0
1334.00000	0
1334.33337	0
1334.66663	-2
1335.00000	-1
1335.33337	0
1335.69995	-1
1336.00000	-2
1336.33337	-1
1336.66663	0
1337.00000	-2
1337.33337	-1
1337.66663	-2
1338.00000	-1
1338.33337	-1
1338.69995	-1
1339.00000	-2
1339.33337	0
1339.66663	-1
1340.00000	-2
1340.33337	-2
1340.66663	-3
1341.00000	-3
1341.33337	-3
1341.66663	-3
1342.00000	-1
1342.33337	-3
1342.66663	-4
1343.00000	-3
1343.33337	-4
1343.69995	-2
1344.03333	-4
1344.36670	1
1344.66663	-3
1345.00000	-1
1345.33337	-4
1345.66663	-2
1346.00000	-2
1346.33337	-1
1346.66663	-2
1347.00000	-1
1347.33337	-2
1347.66663	-1
1348.00000	-1
1348.33337	-1
1348.66663	-1
1349.00000	-1
1349.33337	-1
1349.66663	-1
1350.00000	-2
1350.33337	-1
1350.66663	1
1351.00000	0
1351.33337	-1
1351.66663	-1
1352.00000	-3
1352.33337	-2
1352.69995	-1
1353.00000	-2
1353.33337	-2
1353.66663	-1
1354.00000	-2
1354.33337	-1
1354.66663	0
1355.00000	-1
1355.33337	-1
1355.66663	-2
1356.00000	-1
1356.33337	-2
1356.66663	-3
1357.00000	-1
1357.33337	-1
1357.69995	-2
1358.00000	-2
1358.33337	-3
1358.69995	-1
1359.00000	-3
1359.33337	-3
1359.66663	-1
1360.00000	-3
1360.33337	-1
1360.69995	-1
1361.00000	-1
1361.33337	-2
1361.66663	-2
1362.00000	-2
1362.33337	-2
1362.66663	0
1363.00000	-2
1363.33337	-2
1363.66663	0
1364.00000	-2
1364.33337	-2
1364.66663	-1
1365.00000	-1
1365.36670	-3
1365.66663	0
1366.03333	-2
1366.33337	-2
1366.69995	-3
1367.00000	-2
1367.33337	-2
1367.66663	0
1368.03333	-4
1368.33337	-4
1368.66663	-4
1369.00000	-2
1369.36670	-4
1369.66663	-3
1370.03333	-2
1370.33337	-5
1370.66663	-3
