EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
847
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2121
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	1
1260.36670	1
1260.66663	1
1261.03333	1
1261.33337	0
1261.66663	0
1262.00000	0
1262.33337	0
1262.66663	3
1263.00000	2
1263.36670	1
1263.66663	1
1264.00000	1
1264.33337	2
1264.66663	2
1265.00000	0
1265.33337	0
1265.66663	1
1266.00000	0
1266.33337	0
1266.66663	1
1267.00000	1
1267.33337	2
1267.66663	3
1268.00000	1
1268.36670	1
1268.66663	2
1269.03333	1
1269.36670	1
1269.66663	2
1270.00000	1
1270.36670	2
1270.66663	2
1271.00000	2
1271.33337	1
1271.66663	1
1272.00000	1
1272.33337	2
1272.66663	1
1273.00000	1
1273.33337	1
1273.66663	2
1274.03333	1
1274.33337	1
1274.66663	1
1275.00000	1
1275.33337	1
1275.69995	1
1276.03333	0
1276.33337	-1
1276.66663	1
1277.00000	2
1277.36670	2
1277.66663	1
1278.00000	1
1278.33337	1
1278.66663	0
1279.00000	-1
1279.33337	0
1279.66663	-1
1280.00000	-1
1280.33337	0
1280.66663	0
1281.00000	0
1281.33337	-1
1281.66663	0
1282.00000	0
1282.33337	0
1282.69995	-1
1283.03333	-1
1283.33337	0
1283.66663	0
1284.00000	2
1284.36670	0
1284.66663	1
1285.00000	3
1285.33337	2
1285.66663	1
1286.00000	1
1286.33337	1
1286.66663	1
1287.00000	2
1287.33337	1
1287.66663	1
1288.00000	1
1288.33337	1
1288.66663	1
1289.00000	2
1289.36670	1
1289.66663	0
1290.03333	2
1290.33337	1
1290.69995	3
1291.00000	1
1291.36670	2
1291.66663	1
1292.00000	1
1292.33337	0
1292.66663	1
1293.00000	0
1293.33337	1
1293.66663	2
1294.00000	1
1294.33337	0
1294.66663	1
1295.00000	1
1295.33337	1
1295.66663	1
1296.00000	1
1296.33337	0
1296.66663	0
1297.00000	1
1297.33337	0
1297.69995	2
1298.00000	1
1298.36670	2
1298.66663	2
1299.00000	2
1299.33337	2
1299.66663	0
1300.00000	0
1300.33337	2
1300.66663	0
1301.00000	0
1301.33337	0
1301.66663	1
1302.00000	1
1302.33337	2
1302.66663	1
1303.00000	1
1303.33337	3
1303.66663	1
1304.00000	1
1304.33337	1
1304.66663	1
1305.00000	2
1305.33337	1
1305.66663	1
1306.03333	2
1306.33337	1
1306.66663	1
1307.00000	0
1307.36670	1
1307.66663	-1
1308.00000	0
1308.33337	-1
1308.66663	0
1309.00000	-2
1309.33337	-1
1309.66663	0
1310.00000	1
1310.33337	1
1310.66663	1
1311.00000	1
1311.33337	1
1311.66663	-1
1312.03333	0
1312.36670	-1
1312.69995	-2
1313.00000	-1
1313.33337	-1
1313.66663	-1
1314.03333	-2
1314.33337	0
1314.66663	-1
1315.00000	0
1315.33337	1
1315.66663	1
1316.00000	0
1316.33337	2
1316.66663	2
1317.00000	1
1317.33337	2
1317.66663	2
1318.00000	1
1318.33337	2
1318.66663	1
1319.03333	1
1319.36670	1
1319.66663	2
1320.03333	1
1320.33337	2
1320.69995	2
1321.00000	1
1321.33337	2
1321.66663	2
1322.00000	0
1322.33337	3
1322.69995	2
1323.00000	1
1323.36670	2
1323.66663	2
1324.00000	2
1324.33337	2
1324.69995	1
1325.00000	2
1325.33337	1
1325.66663	2
1326.03333	1
1326.36670	1
1326.69995	0
1327.03333	1
1327.36670	1
1327.69995	0
1328.03333	0
1328.33337	0
1328.69995	0
1329.00000	2
1329.33337	1
1329.66663	2
1330.03333	1
1330.33337	0
1330.66663	1
1331.00000	1
1331.36670	1
1331.66663	1
1332.00000	1
1332.33337	1
1332.69995	1
1333.00000	1
1333.33337	1
1333.66663	2
1334.03333	3
1334.36670	2
1334.66663	1
1335.00000	0
1335.36670	1
1335.66663	1
1336.00000	1
1336.33337	0
1336.69995	0
1337.00000	1
1337.33337	2
1337.66663	1
1338.03333	3
1338.33337	3
1338.66663	4
1339.00000	2
1339.36670	2
1339.66663	3
1340.03333	1
1340.33337	2
1340.69995	2
1341.03333	1
1341.36670	2
1341.66663	1
1342.03333	2
1342.33337	1
1342.69995	2
1343.00000	0
1343.33337	0
1343.66663	1
1344.00000	1
1344.33337	2
1344.66663	2
1345.00000	2
1345.33337	1
1345.66663	1
1346.00000	2
1346.33337	3
1346.66663	3
1347.00000	3
1347.33337	1
1347.66663	3
1348.00000	2
1348.33337	0
1348.66663	2
1349.03333	3
1349.33337	2
1349.66663	3
1350.00000	2
1350.33337	3
1350.66663	3
1351.00000	2
1351.33337	2
1351.66663	4
1352.00000	3
1352.33337	3
1352.66663	4
1353.00000	2
1353.33337	3
1353.66663	3
1354.00000	4
1354.33337	3
1354.66663	2
1355.00000	1
1355.33337	3
1355.66663	2
1356.03333	3
1356.33337	2
1356.66663	2
1357.00000	3
1357.33337	1
1357.69995	1
1358.00000	1
1358.33337	2
1358.66663	2
1359.00000	2
1359.33337	1
1359.66663	2
1360.00000	1
1360.33337	3
1360.66663	2
1361.03333	1
1361.33337	2
1361.66663	2
1362.00000	1
1362.33337	2
1362.66663	1
1363.00000	1
1363.33337	1
1363.66663	3
1364.00000	2
1364.33337	3
1364.66663	3
1365.00000	3
1365.33337	4
1365.66663	5
1366.00000	2
1366.33337	3
1366.66663	3
1367.00000	4
1367.33337	3
1367.66663	4
1368.00000	4
1368.33337	2
1368.66663	3
1369.00000	2
1369.33337	4
1369.66663	3
1370.00000	2
1370.33337	2
1370.66663	3
1371.03333	2
1371.33337	3
1371.69995	2
1372.00000	3
1372.33337	2
1372.66663	2
1373.00000	3
1373.33337	3
1373.66663	2
1374.00000	4
1374.33337	3
1374.66663	4
1375.03333	4
1375.33337	5
