EPRTextModeVersion05

Year
2024
Month
9
Day
16
Time
863
Type
17
Field set
3260.00000
Scan Range
4000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2200
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
1260.00000	-1
1260.33337	1
1260.66663	-2
1261.00000	-1
1261.33337	-3
1261.66663	-2
1262.00000	-1
1262.33337	-1
1262.66663	0
1263.00000	0
1263.33337	2
1263.66663	-1
1264.00000	0
1264.33337	-2
1264.66663	-1
1265.00000	-2
1265.33337	-1
1265.66663	-1
1266.00000	-3
1266.33337	-2
1266.66663	-2
1267.00000	0
1267.33337	0
1267.66663	-1
1268.00000	-1
1268.33337	1
1268.66663	0
1269.00000	0
1269.33337	-2
1269.66663	-3
1270.00000	-1
1270.33337	-1
1270.66663	1
1271.00000	-1
1271.33337	1
1271.66663	4
1272.00000	7
1272.33337	5
1272.66663	7
1273.00000	6
1273.33337	6
1273.66663	7
1274.00000	7
1274.33337	7
1274.66663	7
1275.00000	8
1275.33337	8
1275.66663	7
1276.00000	7
1276.33337	6
1276.66663	5
1277.00000	6
1277.33337	3
1277.66663	3
1278.00000	2
1278.33337	4
1278.66663	4
1279.00000	5
1279.36670	3
1279.66663	4
1280.00000	2
1280.33337	2
1280.66663	5
1281.00000	4
1281.33337	4
1281.66663	5
1282.00000	4
1282.33337	5
1282.66663	7
1283.00000	3
1283.33337	4
1283.66663	2
1284.00000	1
1284.33337	1
1284.66663	2
1285.03333	2
1285.33337	4
1285.66663	4
1286.00000	6
1286.36670	4
1286.66663	7
1287.00000	6
1287.33337	8
1287.66663	7
1288.00000	9
1288.33337	9
1288.66663	5
1289.00000	7
1289.33337	7
1289.66663	6
1290.00000	3
1290.33337	6
1290.66663	5
1291.00000	4
1291.33337	5
1291.66663	7
1292.00000	6
1292.33337	5
1292.66663	4
1293.00000	4
1293.36670	6
1293.66663	3
1294.00000	2
1294.33337	1
1294.66663	3
1295.00000	4
1295.33337	3
1295.66663	1
1296.00000	3
1296.33337	2
1296.66663	2
1297.00000	4
1297.33337	1
1297.66663	2
1298.00000	1
1298.33337	1
1298.66663	2
1299.00000	2
1299.33337	1
1299.66663	1
1300.00000	-1
1300.33337	1
1300.66663	0
1301.00000	0
1301.33337	1
1301.66663	-1
1302.00000	1
1302.33337	2
1302.66663	0
1303.00000	-1
1303.33337	-1
1303.66663	1
1304.00000	-1
1304.33337	-1
1304.66663	-1
