EPRTextModeVersion05

Year
2024
Month
11
Day
16
Time
819
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
2193
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	2
2500.08325	1
2500.16675	-1
2500.25000	0
2500.33325	-1
2500.41675	-1
2500.53345	-2
2500.62500	0
2500.69995	-2
2500.79175	-2
2500.86670	-1
2500.94995	-1
2501.03345	-2
2501.12500	-1
2501.19995	-2
2501.29175	-1
2501.36670	-2
2501.44995	-2
2501.50000	-1
2501.61670	-3
2501.69995	0
2501.75000	-1
2501.86670	0
2501.91675	-2
2502.00000	0
2502.11670	0
2502.16675	-1
2502.28345	1
2502.33325	2
2502.44995	0
2502.53345	-1
2502.58325	-2
2502.69995	-1
2502.78345	-1
2502.87500	-1
2502.94995	-2
2503.00000	0
2503.11670	-1
2503.16675	-1
2503.28345	-4
2503.33325	-3
2503.44995	-1
2503.50000	-2
2503.58325	-2
2503.69995	-1
2503.78345	-2
2503.83325	-2
2503.94995	-2
2504.00000	-3
2504.11670	-1
2504.16675	-2
2504.28345	-2
2504.36670	-1
2504.44995	-1
2504.53345	-3
2504.62500	-1
2504.69995	-3
2504.78345	-2
2504.86670	-3
2504.94995	-2
2505.00000	-1
2505.11670	-2
2505.19995	-2
2505.28345	-1
2505.37500	-1
2505.44995	-2
2505.50000	-2
2505.61670	-1
2505.69995	-1
2505.78345	-1
2505.86670	-2
2505.91675	-2
2506.03345	-1
2506.11670	-2
2506.19995	-1
2506.28345	-3
2506.36670	-2
2506.44995	0
2506.53345	-2
2506.61670	-3
2506.70825	-2
2506.75000	-3
2506.87500	-3
2506.94995	-2
2507.03345	-4
2507.08325	-4
2507.16675	-2
2507.28345	-4
2507.33325	-4
2507.44995	-3
2507.50000	-3
2507.58325	-4
2507.66675	-4
2507.78345	-5
2507.83325	-4
2507.94995	-3
2508.03345	-3
2508.12500	-3
2508.19995	-4
2508.28345	-3
2508.36670	-5
2508.44995	-5
2508.53345	-4
2508.61670	-4
2508.69995	-1
2508.78345	-3
2508.83325	-2
2508.94995	-3
2509.00000	-2
2509.11670	-4
2509.19995	-2
2509.25000	-3
2509.36670	-2
2509.41675	-5
2509.54175	-4
2509.61670	-4
2509.66675	-5
2509.78345	-4
2509.87500	-3
2509.94995	-5
2510.03345	-2
2510.11670	-2
2510.20825	-5
2510.29175	-4
2510.37500	-4
2510.44995	-2
2510.50000	-4
2510.61670	-1
2510.69995	-2
2510.78345	-4
2510.83325	-4
2510.91675	-3
2511.03345	-2
2511.11670	-1
2511.16675	-2
2511.25000	-2
2511.33325	1
2511.44995	-1
2511.50000	0
2511.61670	0
2511.69995	-2
2511.75000	0
2511.86670	-1
2511.94995	-4
2512.03345	0
2512.11670	-1
2512.19995	-2
2512.28345	-1
2512.33325	-3
2512.44995	-2
2512.50000	-3
2512.58325	-1
2512.69995	-2
2512.78345	-4
2512.83325	-2
2512.94995	-2
2513.00000	-2
2513.11670	-3
2513.16675	-3
2513.28345	0
2513.33325	-3
2513.44995	-3
2513.50000	-4
2513.61670	0
2513.69995	-1
2513.78345	0
2513.86670	-1
2513.94995	-1
2514.03345	0
2514.11670	0
2514.16675	-3
2514.28345	-1
2514.33325	-3
2514.44995	-5
2514.50000	-3
2514.61670	-1
2514.66675	-2
2514.75000	-2
2514.83325	-3
2514.94995	-1
2515.00000	-5
2515.11670	-3
2515.19995	-3
2515.28345	-3
2515.36670	-3
2515.45825	-4
2515.53345	-2
2515.61670	-4
2515.69995	-4
2515.79175	-2
2515.86670	-2
2515.91675	-3
2516.03345	-4
2516.11670	-3
2516.16675	-4
2516.28345	-3
2516.33325	-1
2516.44995	-6
2516.53345	-5
2516.61670	-4
2516.69995	-4
2516.75000	-5
2516.86670	-2
2516.91675	-2
2517.04175	-3
2517.11670	-3
2517.20825	-1
2517.28345	-4
2517.37500	-1
2517.44995	-3
2517.54175	-3
2517.61670	-4
2517.70825	-4
2517.78345	-2
2517.87500	0
2517.94995	-1
2518.00000	-3
2518.11670	-4
2518.19995	-2
2518.25000	-3
2518.36670	0
2518.41675	-1
2518.53345	1
2518.61670	-1
2518.69995	1
2518.78345	-1
2518.86670	0
2518.95825	0
2519.03345	1
2519.11670	-1
2519.20825	2
2519.28345	0
2519.36670	1
2519.44995	1
2519.54175	2
2519.61670	1
2519.66675	-1
2519.78345	1
2519.86670	0
2519.94995	1
2520.04175	2
2520.08325	-1
2520.19995	2
2520.28345	1
2520.36670	0
2520.41675	-2
2520.50000	0
2520.61670	1
2520.69995	-1
2520.79175	-2
2520.86670	0
2520.95825	1
2521.03345	1
2521.12500	0
2521.19995	0
2521.29175	-1
2521.36670	1
2521.41675	-2
2521.53345	-1
2521.58325	1
2521.69995	0
2521.75000	1
2521.83325	-1
2521.91675	-2
2522.03345	-1
2522.08325	-2
2522.16675	-4
2522.28345	-5
2522.36670	-2
2522.41675	-3
2522.54175	-2
2522.61670	-4
2522.69995	0
2522.78345	-2
2522.87500	-1
2522.94995	-2
2523.03345	-2
2523.11670	-1
2523.20825	-2
2523.28345	-2
2523.36670	-2
2523.41675	-3
2523.53345	-3
2523.58325	-1
2523.69995	-2
2523.78345	-2
2523.83325	-1
2523.95825	0
2524.00000	-2
2524.11670	-4
2524.16675	-4
2524.28345	-4
2524.36670	-3
2524.44995	-3
2524.53345	-1
2524.58325	-3
2524.69995	-1
2524.75000	-4
2524.86670	-2
2524.94995	-3
2525.03345	-3
2525.08325	-2
2525.19995	-4
2525.28345	-4
2525.33325	-1
2525.44995	-4
2525.50000	-3
2525.61670	-4
2525.66675	-4
2525.78345	-3
2525.86670	-4
2525.91675	-2
2526.03345	-3
2526.08325	-3
2526.19995	-2
2526.25000	-3
2526.36670	-4
2526.44995	-2
2526.53345	-3
2526.58325	-2
2526.69995	0
2526.78345	-2
2526.86670	-1
2526.91675	-1
2527.03345	-2
2527.08325	0
2527.16675	-1
2527.25000	-2
2527.37500	-2
2527.41675	-2
2527.53345	-1
2527.58325	-3
2527.69995	-1
2527.75000	1
2527.86670	0
2527.91675	0
2528.03345	1
2528.11670	1
2528.19995	0
2528.28345	-1
2528.36670	-1
2528.44995	0
2528.53345	1
2528.58325	2
2528.69995	2
2528.75000	2
2528.86670	0
2528.91675	-1
2529.03345	2
2529.08325	2
2529.19995	0
2529.25000	0
2529.36670	-1
2529.41675	2
2529.53345	-1
2529.58325	0
2529.66675	-1
2529.78345	1
2529.86670	0
2529.95825	2
2530.04175	0
2530.08325	-1
2530.19995	0
2530.28345	0
2530.37500	0
2530.44995	0
2530.53345	1
2530.61670	-1
2530.69995	0
2530.75000	-2
2530.86670	1
2530.91675	-2
2531.03345	-1
2531.11670	-1
2531.19995	0
2531.28345	-1
2531.33325	-2
2531.44995	-2
2531.50000	-1
2531.61670	-4
2531.69995	0
2531.78345	-3
2531.83325	-2
2531.94995	-3
2532.03345	-2
2532.12500	-2
2532.19995	-2
2532.29175	-2
2532.36670	-2
2532.44995	-3
2532.50000	-2
2532.58325	-4
2532.69995	-2
2532.75000	-2
2532.86670	-4
2532.91675	-3
2533.00000	-3
2533.11670	-3
2533.19995	-2
2533.25000	-4
2533.36670	-1
2533.41675	-1
2533.53345	-3
2533.58325	-3
2533.69995	-3
2533.78345	-2
2533.87500	-5
2533.94995	-5
2534.04175	-4
2534.12500	-4
2534.19995	-2
2534.25000	-3
2534.36670	-4
2534.44995	-4
2534.53345	-4
2534.61670	-4
2534.66675	-5
2534.78345	-3
2534.83325	-1
2534.94995	-2
2535.00000	-2
2535.08325	-4
2535.16675	-2
2535.28345	-2
2535.33325	-4
2535.44995	-2
2535.53345	-2
2535.62500	0
2535.69995	-2
2535.78345	-2
2535.86670	-3
2535.95825	-2
2536.03345	-1
2536.11670	-1
2536.19995	-2
2536.28345	0
2536.33325	-4
2536.44995	-4
2536.53345	-4
2536.61670	-4
2536.69995	-4
2536.75000	-4
2536.86670	-3
2536.91675	-6
2537.03345	-4
2537.08325	-7
2537.19995	-4
2537.28345	-5
2537.37500	-6
2537.44995	-7
2537.54175	-3
2537.61670	-6
2537.69995	-6
2537.78345	-6
2537.86670	-7
2537.94995	-5
2538.00000	-6
2538.08325	-6
2538.16675	-4
2538.28345	-4
2538.33325	-5
2538.41675	-7
2538.50000	-5
2538.61670	-6
2538.66675	-4
2538.78345	-7
2538.83325	-6
2538.94995	-6
2539.03345	-5
2539.12500	-6
2539.19995	-5
2539.29175	-5
2539.36670	-5
2539.45825	-6
2539.53345	-4
2539.62500	-5
2539.69995	-5
2539.79175	-6
2539.86670	-8
2539.94995	-8
2540.03345	-6
2540.08325	-8
2540.16675	-8
2540.28345	-7
2540.36670	-5
2540.41675	-6
2540.50000	-8
2540.58325	-6
2540.69995	-8
2540.78345	-6
2540.86670	-7
2540.94995	-6
2541.03345	-6
2541.11670	-6
2541.20825	-7
2541.28345	-9
2541.36670	-6
2541.44995	-7
2541.53345	-7
2541.58325	-5
2541.69995	-7
2541.75000	-7
2541.86670	-9
2541.94995	-7
2542.03345	-8
2542.11670	-6
2542.16675	-6
2542.28345	-7
2542.33325	-8
2542.44995	-8
2542.50000	-8
2542.62500	-8
2542.69995	-6
2542.78345	-6
2542.86670	-6
2542.95825	-7
2543.03345	-7
2543.12500	-8
2543.19995	-9
2543.28345	-6
2543.36670	-5
2543.41675	-8
2543.53345	-7
2543.58325	-7
2543.66675	-7
2543.75000	-9
2543.83325	-7
2543.94995	-6
2544.03345	-7
2544.08325	-7
2544.19995	-7
2544.25000	-7
2544.33325	-8
2544.44995	-8
2544.53345	-6
2544.61670	-6
2544.69995	-7
2544.78345	-6
2544.86670	-5
2544.91675	-6
2545.03345	-7
2545.11670	-5
2545.19995	-6
2545.25000	-7
2545.36670	-7
2545.41675	-6
2545.50000	-7
2545.61670	-7
2545.69995	-8
2545.75000	-9
2545.86670	-9
2545.91675	-8
2546.03345	-9
2546.08325	-10
2546.19995	-8
2546.28345	-10
2546.36670	-7
