EPRTextModeVersion05

Year
2024
Month
12
Day
16
Time
930
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1820
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
4
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.09155	0
2500.16675	0
2500.25830	0
2500.33325	0
2500.41675	0
2500.50000	1
2500.58325	0
2500.66675	0
2500.75000	0
2500.83325	0
2500.91675	0
2501.00000	0
2501.08325	0
2501.16675	0
2501.25000	0
2501.33325	0
2501.41675	0
2501.50000	0
2501.58325	0
2501.66675	0
2501.75000	0
2501.83325	0
2501.91675	0
2502.00830	0
2502.08325	0
2502.16675	0
2502.25000	0
2502.33325	0
2502.41675	0
2502.50000	0
2502.58325	-2
2502.66675	0
2502.75000	0
2502.83325	0
2502.91675	0
2503.00000	0
2503.08325	0
2503.16675	0
2503.25000	0
2503.33325	0
2503.41675	0
2503.50000	0
2503.58325	-1
2503.66675	0
2503.75000	0
2503.83325	0
2503.91675	0
2504.00000	0
2504.08325	0
2504.16675	0
2504.25000	0
2504.33325	0
2504.41675	0
2504.50000	0
2504.58325	0
2504.66675	0
2504.75000	0
2504.83325	0
2504.91675	0
2505.00000	0
2505.08325	0
2505.16675	0
2505.25000	0
2505.33325	0
2505.41675	0
2505.50000	0
2505.58325	0
2505.66675	0
2505.75830	0
2505.83325	0
2505.91675	0
2506.00830	0
2506.09155	0
2506.16675	0
2506.25000	0
2506.33325	0
2506.41675	0
2506.50000	0
2506.58325	0
2506.66675	0
2506.75000	0
2506.83325	0
2506.91675	-1
2507.00000	-1
2507.08325	0
2507.16675	0
2507.25000	0
2507.33325	0
2507.41675	-1
2507.50830	0
2507.58325	0
2507.66675	-1
2507.75000	0
2507.84155	-1
2507.91675	-1
2508.00000	0
2508.08325	-1
2508.16675	-1
2508.25000	-1
2508.33325	-1
2508.41675	0
2508.50000	-1
2508.58325	-1
2508.66675	-2
2508.75000	-2
2508.83325	-1
2508.91675	0
2509.00000	-2
2509.08325	-1
2509.16675	-1
2509.25830	-1
2509.33325	-1
2509.42505	0
2509.50000	-1
2509.59155	-1
2509.66675	-2
2509.75000	-1
2509.83325	-1
2509.91675	-1
2510.00000	-1
2510.08325	-2
2510.16675	-1
2510.25000	-1
2510.34155	-1
2510.41675	-1
2510.50000	0
2510.58325	-1
2510.66675	0
