EPRTextModeVersion05

Year
2024
Month
12
Day
16
Time
953
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1812
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-1
2500.11670	-2
2500.16675	-1
2500.28345	-3
2500.33325	-2
2500.44995	-1
2500.50000	-2
2500.61670	-2
2500.66675	-2
2500.78345	-1
2500.83325	-3
2500.94995	-3
2501.00000	-1
2501.11670	-3
2501.16675	-1
2501.28345	-3
2501.33325	-2
2501.44995	-2
2501.53345	-3
2501.61670	-2
2501.70825	-3
2501.78345	-4
2501.83325	-4
2501.94995	-3
2502.00000	-2
2502.11670	-2
2502.19995	-2
2502.28345	-3
2502.33325	-2
2502.41675	-2
2502.53345	-3
2502.58325	-4
2502.69995	-4
2502.75000	-3
2502.83325	-4
2502.94995	-2
2503.00000	-3
2503.11670	-4
2503.16675	-3
2503.28345	-1
2503.36670	-4
2503.45825	-3
2503.53345	-4
2503.58325	-3
2503.69995	-4
2503.78345	-4
2503.83325	-2
2503.94995	-5
2504.00000	-2
2504.11670	-5
2504.16675	-3
2504.28345	-3
2504.33325	-3
2504.44995	-4
2504.50000	-3
2504.61670	-3
2504.66675	-2
2504.78345	-4
2504.83325	-3
2504.94995	-5
2505.00000	-3
2505.11670	-2
2505.16675	-4
2505.28345	-5
2505.36670	-3
2505.44995	-2
2505.53345	-3
2505.61670	-1
2505.66675	-1
2505.78345	-1
2505.83325	-1
2505.94995	-4
2506.00000	-3
2506.11670	-2
2506.16675	-3
2506.28345	-4
2506.33325	-2
2506.44995	-2
2506.50000	-3
2506.58325	-4
2506.66675	-3
2506.78345	-2
2506.83325	-2
2506.91675	-4
2507.03345	-1
2507.11670	-3
2507.19995	-1
2507.29175	-4
2507.36670	-4
2507.44995	-3
2507.53345	-3
2507.61670	0
2507.66675	-2
2507.75000	-2
2507.86670	-2
2507.91675	-1
2508.03345	-2
2508.08325	-3
2508.19995	-3
2508.25000	-1
2508.36670	-2
2508.41675	-2
2508.53345	-3
2508.58325	-2
2508.69995	-3
2508.75000	-2
2508.86670	-1
2508.94995	-3
2509.03345	-2
2509.08325	-4
2509.19995	-2
2509.28345	-3
2509.36670	-3
2509.41675	-2
2509.53345	-5
2509.58325	-2
2509.69995	-3
2509.75000	-4
2509.83325	-5
2509.94995	-3
2510.04175	-4
2510.11670	-3
2510.19995	-5
2510.25000	-4
2510.37500	-4
2510.44995	-3
2510.53345	-4
2510.61670	-5
2510.69995	-6
2510.75000	-5
2510.86670	-5
2510.94995	-6
2511.03345	-5
2511.08325	-5
2511.19995	-2
2511.28345	-4
