EPRTextModeVersion05

Year
2024
Month
12
Day
16
Time
823
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1819
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.08325	1
2500.19995	2
2500.28345	1
2500.36670	1
2500.44995	2
2500.54175	1
2500.61670	2
2500.70825	1
2500.75000	1
2500.86670	2
2500.91675	3
2501.03345	5
2501.11670	3
2501.16675	3
2501.28345	2
2501.33325	2
2501.44995	3
2501.50000	4
2501.61670	1
2501.66675	2
2501.78345	2
2501.83325	1
2501.94995	0
2502.00000	2
2502.11670	1
2502.16675	-1
2502.28345	-1
2502.36670	-1
2502.41675	0
2502.53345	-2
2502.61670	-3
2502.69995	-1
2502.78345	-3
2502.83325	1
2502.94995	-2
2503.00000	-2
2503.11670	-3
2503.16675	-1
2503.29175	-1
2503.33325	-1
2503.44995	0
2503.50000	-3
2503.61670	0
2503.66675	1
2503.78345	0
2503.83325	1
2503.94995	0
2504.03345	3
2504.11670	-1
2504.20825	-1
2504.28345	0
2504.33325	-1
2504.44995	-1
2504.50000	1
2504.61670	0
2504.66675	0
2504.78345	-1
2504.83325	-1
2504.94995	-1
2505.00000	-2
2505.08325	-3
2505.19995	-4
2505.28345	-3
2505.33325	-1
2505.44995	-4
2505.50000	-3
2505.61670	-4
2505.66675	-2
2505.78345	0
2505.86670	-4
2505.95825	-3
2506.03345	-3
2506.11670	-4
2506.16675	-4
2506.28345	-4
2506.36670	-3
2506.44995	-3
2506.53345	-4
2506.58325	-3
2506.69995	-4
2506.75000	-1
2506.86670	-4
2506.91675	-4
2507.03345	-2
2507.08325	-3
2507.19995	-2
2507.25000	-2
2507.36670	-2
2507.41675	-2
2507.53345	-2
2507.61670	-2
2507.69995	-4
2507.78345	-1
2507.86670	-3
2507.91675	-1
2508.03345	-2
2508.08325	-2
2508.19995	-2
2508.25000	-1
2508.36670	-1
2508.41675	-2
2508.53345	-2
2508.58325	-3
2508.66675	-2
2508.78345	0
2508.83325	0
2508.94995	-3
2509.03345	-2
2509.08325	0
2509.19995	-1
2509.25000	-1
2509.36670	-1
2509.44995	-1
2509.53345	-1
2509.58325	-1
2509.69995	0
2509.78345	-1
2509.86670	-1
2509.91675	-1
2510.03345	-1
2510.11670	-2
2510.16675	0
2510.28345	-2
2510.33325	0
2510.44995	0
2510.53345	-1
2510.58325	-3
2510.69995	-1
2510.75000	-1
2510.86670	0
2510.94995	0
2511.03345	-1
2511.11670	-1
2511.16675	1
2511.28345	-1
2511.37500	-1
2511.44995	-1
2511.54175	-1
2511.61670	0
2511.69995	0
2511.78345	-2
2511.86670	-1
2511.94995	0
2512.00000	0
2512.11670	-1
2512.16675	-1
2512.28345	-1
2512.33325	0
2512.41675	0
2512.53345	0
2512.61670	0
2512.66675	-1
2512.78345	-1
2512.83325	-1
2512.94995	-1
2513.00000	0
2513.11670	-1
2513.19995	0
2513.28345	0
2513.33325	-1
2513.44995	-1
2513.50000	-1
2513.61670	-2
2513.66675	-2
2513.78345	-2
2513.83325	-1
2513.94995	-1
2514.00000	-2
2514.08325	-3
2514.19995	0
2514.29175	0
2514.36670	0
2514.41675	-2
2514.53345	-1
2514.61670	-1
2514.66675	-2
2514.78345	-3
2514.86670	-2
2514.95825	-3
2515.04175	-3
2515.11670	-1
2515.19995	-2
2515.29175	-3
2515.33325	-3
2515.44995	-3
2515.53345	-2
2515.61670	-2
2515.69995	-2
2515.75000	-1
2515.86670	-4
2515.91675	-3
2516.03345	-1
2516.08325	-3
2516.16675	-2
2516.28345	-1
2516.36670	-3
2516.41675	-2
2516.53345	-2
2516.58325	-3
2516.69995	-4
2516.78345	-4
2516.86670	-3
2516.94995	-3
2517.00000	-2
2517.11670	-3
2517.16675	-3
2517.28345	-3
2517.36670	-3
2517.41675	-4
2517.53345	-2
2517.61670	-4
2517.69995	-5
2517.78345	-5
2517.83325	-4
2517.95825	-5
2518.03345	-6
