EPRTextModeVersion05

Year
2024
Month
12
Day
17
Time
858
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1826
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.11670	-1
2500.19995	-2
2500.28345	-2
2500.37500	-2
2500.44995	-1
2500.53345	-2
2500.61670	-2
2500.69995	-1
2500.78345	-3
2500.83325	-1
2500.94995	0
2501.03345	0
2501.11670	0
2501.16675	0
2501.28345	0
2501.36670	0
2501.44995	0
2501.53345	2
2501.62500	0
2501.69995	1
2501.75000	0
2501.86670	1
2501.94995	0
2502.03345	2
2502.08325	1
2502.19995	1
2502.28345	3
2502.36670	3
2502.41675	2
2502.53345	3
2502.58325	4
2502.69995	5
2502.75000	4
2502.86670	5
2502.91675	3
2503.03345	4
2503.08325	4
2503.19995	4
2503.28345	5
2503.37500	6
2503.44995	6
2503.53345	4
2503.61670	4
2503.69995	5
2503.75000	6
2503.86670	6
2503.94995	5
2504.03345	5
2504.11670	6
2504.19995	5
2504.28345	7
2504.36670	5
2504.44995	6
2504.53345	6
2504.61670	6
2504.69995	7
2504.78345	5
2504.86670	5
2504.94995	6
2505.04175	7
2505.12500	6
2505.19995	7
2505.28345	5
2505.37500	6
2505.44995	6
2505.50000	5
2505.61670	5
2505.70825	5
2505.78345	5
2505.86670	5
2505.94995	7
2506.03345	5
2506.11670	5
2506.19995	5
2506.25000	4
2506.37500	3
2506.44995	3
2506.53345	3
2506.61670	3
2506.69995	5
2506.78345	3
2506.87500	4
2506.94995	4
2507.04175	5
2507.12500	3
2507.20825	3
2507.28345	3
2507.36670	4
2507.45825	4
2507.53345	3
2507.58325	2
2507.69995	3
2507.78345	4
2507.86670	4
2507.94995	3
2508.00000	4
2508.11670	4
2508.16675	3
2508.28345	4
2508.33325	3
2508.44995	3
2508.50000	2
2508.61670	3
2508.69995	4
2508.78345	2
2508.86670	3
2508.95825	1
2509.03345	3
2509.11670	2
2509.19995	2
2509.25000	3
2509.36670	4
2509.41675	2
2509.54175	4
2509.61670	3
2509.66675	2
2509.78345	2
2509.86670	3
2509.91675	2
2510.03345	3
2510.08325	0
2510.19995	3
2510.25000	2
2510.36670	3
2510.41675	3
2510.54175	3
2510.61670	3
2510.70825	2
2510.79175	2
2510.86670	5
2510.94995	3
2511.03345	2
2511.08325	3
2511.19995	2
2511.28345	2
2511.36670	2
2511.41675	4
2511.53345	4
2511.61670	2
2511.69995	3
2511.78345	3
2511.86670	3
2511.94995	2
2512.03345	4
2512.11670	3
2512.19995	1
2512.28345	-1
2512.37500	2
2512.45825	1
2512.54175	4
2512.61670	2
2512.69995	3
2512.78345	5
2512.83325	3
2512.94995	3
2513.03345	4
2513.11670	4
2513.19995	5
2513.28345	5
2513.33325	3
2513.44995	3
