EPRTextModeVersion05

Year
2024
Month
12
Day
17
Time
879
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1831
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
4
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	0
2500.19995	1
2500.25000	1
2500.36670	2
2500.44995	1
2500.53345	2
2500.61670	1
2500.66675	1
2500.75000	1
2500.86670	2
2500.91675	2
2501.03345	1
2501.11670	2
2501.16675	2
2501.28345	1
2501.33325	1
2501.44995	3
2501.53345	1
2501.61670	1
2501.66675	1
2501.78345	1
2501.86670	2
2501.94995	1
2502.00000	1
2502.11670	1
2502.19995	1
2502.29175	0
2502.36670	0
2502.41675	1
2502.53345	1
2502.61670	1
2502.66675	1
2502.78345	1
2502.83325	0
2502.94995	1
2503.04175	1
2503.11670	1
2503.19995	1
2503.25000	2
2503.36670	1
2503.44995	2
2503.53345	2
2503.61670	2
2503.66675	1
2503.78345	2
2503.86670	1
2503.94995	1
2504.03345	0
2504.08325	1
2504.19995	1
2504.28345	1
2504.36670	1
2504.41675	2
2504.50000	0
2504.62500	1
2504.69995	1
2504.78345	1
2504.86670	1
2504.91675	1
2505.03345	1
2505.08325	0
2505.19995	1
2505.28345	1
2505.33325	0
2505.44995	1
2505.50000	0
2505.61670	1
2505.69995	2
2505.75000	2
2505.86670	1
2505.94995	2
2506.03345	1
2506.11670	1
2506.16675	0
2506.25000	1
2506.36670	0
2506.41675	1
2506.53345	0
2506.58325	1
2506.69995	1
2506.75000	2
2506.86670	1
2506.91675	3
2507.03345	1
2507.11670	2
2507.19995	1
2507.28345	2
2507.36670	2
2507.41675	2
2507.54175	2
2507.61670	3
2507.69995	2
2507.78345	2
2507.83325	2
2507.91675	2
2508.00000	3
2508.11670	2
2508.16675	3
2508.28345	2
2508.33325	1
2508.44995	1
2508.50000	2
2508.61670	2
2508.66675	2
2508.78345	2
2508.83325	2
2508.94995	1
2509.00000	1
2509.11670	1
2509.19995	2
2509.29175	2
2509.36670	1
2509.45825	1
2509.50000	3
2509.61670	2
2509.66675	2
2509.78345	1
2509.86670	1
2509.91675	1
2510.03345	2
2510.08325	1
2510.19995	1
2510.25000	2
2510.36670	2
2510.41675	2
2510.53345	2
2510.58325	1
2510.69995	1
2510.78345	1
2510.86670	1
2510.94995	2
2511.03345	2
2511.11670	1
2511.19995	1
2511.29175	2
2511.36670	1
2511.44995	0
2511.53345	1
2511.58325	1
2511.69995	0
2511.75000	0
2511.86670	0
2511.91675	1
2512.03345	1
2512.08325	0
2512.16675	1
2512.28345	2
2512.33325	1
2512.44995	2
2512.50000	1
2512.61670	2
2512.66675	0
2512.78345	1
2512.83325	1
2512.94995	1
2513.00000	1
2513.11670	1
2513.19995	0
2513.25000	0
2513.36670	0
2513.41675	0
2513.50000	0
2513.58325	0
2513.69995	1
2513.75000	1
2513.86670	0
2513.91675	0
2514.03345	0
2514.08325	1
2514.19995	0
2514.25000	0
2514.36670	0
2514.44995	0
2514.50000	1
2514.61670	1
2514.69995	0
2514.78345	1
2514.86670	1
2514.91675	0
2515.03345	0
2515.11670	0
2515.19995	1
2515.25000	1
2515.33325	1
2515.41675	0
2515.53345	1
2515.58325	0
2515.69995	0
2515.75000	1
2515.86670	0
2515.91675	1
2516.03345	1
2516.08325	1
2516.19995	1
2516.25000	1
2516.36670	1
2516.44995	1
2516.50000	2
2516.58325	1
2516.69995	2
2516.78345	1
2516.86670	1
2516.94995	1
2517.00000	3
2517.08325	2
2517.19995	2
2517.25000	1
2517.36670	2
2517.41675	2
2517.53345	2
2517.58325	2
2517.70825	3
2517.75000	3
2517.86670	3
2517.91675	3
