EPRTextModeVersion05

Year
2024
Month
11
Day
18
Time
762
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
2000.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  20.00000
Frequency
   9.14500
Power
  10.00000
Base line
2859
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
4
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.11670	-1
2500.16675	-1
2500.28345	-2
2500.33325	-1
2500.41675	-3
2500.50000	0
2500.61670	0
2500.66675	0
2500.78345	-1
2500.83325	0
2500.94995	0
2501.00000	1
2501.11670	1
2501.19995	1
2501.25000	1
2501.36670	1
2501.44995	2
2501.53345	2
2501.61670	1
2501.70825	1
2501.78345	2
2501.83325	3
2501.94995	2
2502.00000	2
2502.08325	2
2502.16675	4
2502.28345	3
2502.33325	4
2502.44995	3
2502.50000	4
2502.61670	3
2502.66675	4
2502.78345	4
2502.86670	4
2502.94995	3
2503.03345	4
2503.12500	4
2503.19995	4
2503.29175	5
2503.36670	4
2503.44995	4
2503.54175	3
2503.62500	3
2503.69995	3
2503.75000	3
2503.83325	2
2503.94995	0
2504.03345	2
2504.11670	0
2504.16675	1
2504.28345	2
2504.36670	1
2504.41675	1
2504.53345	1
2504.61670	0
2504.69995	1
2504.78345	0
2504.87500	0
2504.94995	0
2505.00000	0
2505.11670	0
2505.20825	0
2505.28345	1
2505.37500	1
2505.44995	0
2505.53345	0
2505.58325	0
2505.69995	0
2505.78345	0
2505.83325	0
2505.94995	-1
2506.00000	0
2506.11670	-1
2506.16675	0
2506.25000	-1
2506.36670	-1
2506.44995	-2
2506.53345	0
2506.61670	-1
2506.66675	-2
2506.78345	-2
2506.86670	-1
2506.94995	-1
2507.03345	0
2507.11670	-1
2507.19995	0
2507.28345	0
2507.33325	0
2507.44995	0
2507.50000	0
2507.61670	2
2507.66675	2
2507.78345	2
2507.83325	2
2507.91675	1
2508.00000	2
2508.11670	1
2508.16675	1
2508.28345	0
2508.36670	0
2508.44995	0
2508.53345	0
2508.61670	-1
2508.70825	-1
2508.78345	0
2508.86670	0
2508.94995	0
2509.03345	0
2509.08325	0
2509.16675	2
2509.28345	0
2509.33325	1
2509.44995	0
2509.50000	1
2509.58325	0
2509.66675	-1
2509.78345	-1
2509.83325	-1
2509.94995	0
2510.00000	0
2510.11670	1
2510.19995	1
2510.28345	1
2510.36670	0
2510.41675	1
2510.53345	1
2510.61670	0
2510.69995	0
2510.79175	0
2510.86670	0
2510.94995	0
2511.03345	-1
2511.11670	-2
2511.16675	-3
2511.29175	-2
2511.33325	-2
2511.44995	-1
2511.53345	-1
2511.61670	0
2511.66675	0
2511.79175	1
2511.86670	0
2511.95825	0
2512.03345	1
2512.11670	1
2512.20825	2
2512.28345	2
2512.36670	3
2512.45825	2
2512.53345	3
2512.61670	2
