EPRTextModeVersion05

Year
2024
Month
11
Day
18
Time
758
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 2000.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  20.00000
Frequency
   9.14500
Power
  10.00000
Base line
2859
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
4
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.11670	-3
2500.16675	-3
2500.28345	-5
2500.36670	-3
2500.41675	-1
2500.50000	0
2500.61670	2
2500.66675	1
2500.78345	-1
2500.83325	0
2500.94995	-4
2501.03345	-4
2501.11670	-5
2501.20825	-5
2501.28345	-3
2501.33325	-2
2501.44995	-1
2501.53345	0
2501.62500	2
2501.69995	1
2501.79175	0
2501.86670	-3
2501.94995	-3
2502.03345	-5
2502.11670	-5
2502.16675	-3
2502.28345	-7
2502.36670	-7
2502.44995	-5
2502.53345	-4
2502.62500	-3
2502.69995	-4
2502.79175	-6
2502.87500	-4
2502.94995	-5
2503.04175	-4
2503.12500	-3
2503.20825	-3
2503.29175	-2
2503.37500	0
2503.44995	1
2503.54175	1
2503.61670	0
2503.69995	4
2503.78345	6
2503.86670	7
2503.91675	5
2504.03345	5
2504.11670	2
2504.19995	2
2504.28345	4
2504.36670	5
2504.41675	6
2504.54175	6
2504.62500	8
2504.70825	8
2504.78345	6
2504.87500	8
2504.95825	7
2505.03345	5
2505.11670	7
2505.20825	3
2505.28345	2
2505.36670	3
2505.44995	4
2505.53345	3
2505.61670	1
2505.66675	2
2505.78345	4
2505.83325	4
2505.94995	3
2506.00000	2
2506.11670	2
2506.16675	2
2506.28345	0
2506.33325	0
2506.44995	1
2506.53345	2
2506.61670	-1
2506.69995	-3
2506.78345	1
2506.86670	3
2506.94995	3
2507.04175	5
2507.11670	4
2507.19995	6
2507.28345	7
2507.33325	11
2507.41675	9
2507.50000	10
2507.61670	8
2507.66675	9
2507.78345	10
2507.83325	11
2507.94995	16
2508.00000	15
2508.08325	14
2508.19995	13
2508.29175	14
2508.36670	16
2508.45825	14
2508.53345	12
2508.62500	13
2508.70825	15
2508.78345	14
2508.86670	15
2508.95825	15
2509.03345	14
2509.11670	13
2509.16675	16
2509.28345	15
2509.36670	17
2509.44995	17
2509.53345	22
2509.61670	19
2509.69995	17
2509.78345	19
2509.83325	17
2509.94995	16
2510.03345	16
2510.12500	14
2510.20825	16
2510.28345	14
2510.36670	12
2510.45825	13
2510.53345	14
2510.61670	11
2510.70825	13
2510.78345	13
2510.86670	14
2510.91675	12
2511.03345	8
2511.11670	10
2511.19995	8
2511.28345	9
2511.36670	7
2511.44995	7
2511.53345	7
2511.58325	5
2511.69995	9
2511.78345	9
2511.86670	11
2511.94995	8
2512.04175	5
2512.11670	4
2512.20825	8
2512.28345	6
2512.36670	6
2512.45825	7
2512.54175	4
2512.61670	1
2512.69995	1
2512.78345	4
2512.86670	5
2512.94995	5
2513.00000	7
2513.11670	5
2513.16675	7
2513.28345	4
2513.33325	5
2513.44995	2
2513.50000	2
2513.61670	-1
2513.66675	-1
2513.78345	0
2513.83325	-1
2513.94995	1
2514.00000	0
2514.11670	-1
2514.20825	-3
2514.28345	-2
2514.37500	-5
2514.44995	-6
2514.54175	-8
2514.61670	-7
2514.66675	-8
2514.75000	-9
2514.83325	-6
2514.94995	-10
2515.00000	-9
2515.08325	-8
2515.16675	-7
2515.28345	-8
2515.33325	-8
2515.44995	-9
2515.50000	-9
2515.61670	-8
2515.69995	-4
2515.79175	-4
2515.86670	-7
2515.95825	-7
2516.03345	-7
2516.12500	-7
2516.20825	-4
2516.29175	-7
2516.36670	-4
2516.44995	-3
2516.50000	-2
2516.62500	-4
2516.69995	-3
2516.78345	-3
2516.83325	-1
2516.94995	-1
2517.03345	-2
2517.11670	-1
2517.19995	-1
2517.28345	-3
2517.36670	-1
2517.45825	-1
2517.53345	-2
2517.62500	-4
2517.70825	-3
2517.79175	-1
2517.87500	-2
2517.94995	-6
2518.03345	-5
2518.12500	-3
2518.19995	-8
2518.25000	-4
2518.36670	-4
2518.41675	-3
2518.53345	-3
2518.58325	-3
2518.69995	-5
2518.75000	-1
2518.86670	-3
2518.91675	-1
2519.03345	0
2519.08325	-1
2519.19995	-1
2519.25000	-3
2519.36670	-2
2519.41675	1
2519.53345	-1
2519.62500	0
2519.69995	-2
2519.78345	1
2519.86670	3
2519.95825	2
2520.03345	1
2520.08325	-1
2520.19995	1
2520.25000	2
2520.33325	4
2520.44995	4
2520.53345	5
2520.58325	6
2520.69995	4
2520.75000	7
2520.86670	1
2520.91675	2
2521.03345	1
2521.11670	2
2521.20825	0
2521.28345	-1
2521.37500	0
2521.44995	-1
2521.53345	0
2521.62500	-2
2521.70825	1
2521.78345	2
2521.87500	3
2521.94995	2
2522.03345	1
2522.08325	0
2522.19995	1
2522.28345	2
2522.36670	-3
2522.44995	-1
2522.53345	-3
2522.61670	-5
2522.69995	-6
2522.79175	-6
2522.87500	-4
2522.94995	-2
2523.03345	-3
2523.11670	-3
2523.19995	-3
2523.29175	-2
2523.36670	-5
2523.44995	-3
2523.54175	-4
2523.61670	-3
2523.66675	-3
2523.78345	-2
2523.83325	-4
2523.94995	-4
2524.00000	-4
2524.11670	-4
2524.16675	-2
2524.28345	-4
2524.33325	-3
2524.44995	-5
2524.50000	-2
2524.61670	-3
2524.69995	-3
2524.79175	-2
2524.87500	0
2524.95825	-1
2525.03345	-2
2525.12500	-2
2525.19995	-5
2525.28345	-4
2525.37500	-4
2525.44995	-5
2525.53345	-4
2525.58325	-4
2525.69995	-6
2525.75000	-6
2525.86670	-2
2525.91675	-2
2526.03345	2
2526.08325	1
2526.19995	0
2526.25000	1
2526.36670	-1
2526.41675	-2
2526.53345	-5
2526.62500	-6
2526.69995	-5
2526.75000	-2
2526.86670	1
2526.94995	0
2527.04175	-2
2527.11670	0
2527.20825	0
2527.28345	2
2527.36670	0
2527.44995	-3
2527.53345	0
2527.61670	0
2527.66675	-1
2527.78345	-1
2527.83325	2
2527.95825	1
2528.00000	-1
2528.11670	-3
2528.16675	-2
2528.29175	0
2528.36670	-3
2528.44995	-4
2528.53345	-4
2528.61670	-2
2528.69995	-2
2528.78345	0
2528.83325	-3
2528.94995	-1
2529.00000	2
2529.11670	3
2529.16675	5
2529.28345	3
2529.33325	5
2529.44995	-1
2529.50000	0
2529.61670	-4
2529.66675	-2
2529.78345	-1
2529.83325	-1
2529.94995	-2
2530.00000	-2
2530.11670	0
2530.19995	-1
2530.28345	-1
2530.37500	4
2530.44995	4
2530.53345	3
2530.61670	3
2530.69995	0
2530.78345	3
2530.86670	2
2530.94995	3
2531.00000	8
2531.11670	8
2531.16675	6
2531.28345	5
2531.33325	6
2531.44995	2
2531.50000	3
2531.61670	2
2531.66675	4
2531.75000	5
2531.86670	4
2531.94995	5
2532.03345	4
2532.12500	3
2532.19995	1
2532.25000	1
2532.36670	-4
2532.45825	-5
2532.53345	-5
2532.62500	-5
2532.69995	-5
2532.78345	-5
2532.83325	-2
2532.94995	-5
2533.03345	-7
2533.11670	-5
2533.16675	-6
2533.29175	-6
2533.36670	-6
2533.44995	-3
2533.53345	-5
2533.61670	-6
2533.69995	-9
2533.78345	-7
2533.87500	-8
2533.95825	-8
2534.03345	-4
2534.12500	-2
2534.19995	-1
2534.28345	2
2534.36670	3
2534.45825	2
2534.54175	3
2534.61670	0
2534.69995	-1
2534.78345	-1
2534.83325	0
2534.91675	0
2535.03345	2
2535.08325	2
2535.19995	3
2535.25000	3
2535.36670	3
2535.41675	4
2535.53345	7
2535.58325	7
2535.69995	4
2535.78345	4
2535.86670	5
2535.91675	5
2536.03345	3
2536.11670	0
2536.20825	2
2536.29175	0
2536.37500	1
2536.44995	5
2536.53345	2
2536.61670	0
2536.66675	2
2536.78345	5
2536.83325	2
2536.94995	5
2537.00000	4
2537.11670	0
2537.16675	0
2537.28345	0
2537.33325	1
2537.44995	1
2537.53345	1
