EPRTextModeVersion05

Year
2024
Month
11
Day
18
Time
887
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
2193
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	0
2500.19995	0
2500.29175	-1
2500.36670	0
2500.45825	-1
2500.53345	-1
2500.62500	0
2500.69995	-1
2500.78345	0
2500.83325	2
2500.91675	0
2501.00000	0
2501.11670	-1
2501.19995	0
2501.25000	0
2501.33325	-1
2501.44995	-2
2501.53345	-1
2501.58325	-1
2501.69995	-2
2501.78345	-2
2501.87500	-3
2501.94995	-2
2502.04175	-3
2502.11670	1
2502.20825	-4
2502.28345	0
2502.36670	-1
2502.44995	-2
2502.53345	-1
2502.58325	-4
2502.69995	-4
2502.75000	-2
2502.86670	-4
2502.94995	1
2503.00000	-2
2503.11670	0
2503.16675	-1
2503.28345	-1
2503.33325	-2
2503.44995	-1
2503.53345	-1
2503.61670	-2
2503.66675	0
2503.78345	0
2503.86670	-1
2503.95825	-1
2504.03345	-1
2504.12500	0
2504.19995	0
2504.25000	0
2504.36670	-1
2504.44995	-1
2504.50000	-1
2504.61670	0
2504.66675	1
2504.78345	0
2504.86670	-2
2504.91675	-3
2505.03345	-2
2505.08325	-3
2505.20825	-1
2505.28345	0
2505.37500	-1
2505.44995	0
2505.50000	1
2505.61670	-1
2505.70825	-2
2505.78345	-2
2505.87500	-3
2505.94995	0
2506.03345	-2
2506.08325	1
2506.19995	0
2506.28345	1
2506.33325	-1
2506.44995	1
2506.50000	0
2506.61670	0
2506.66675	-1
2506.75000	-1
2506.83325	1
2506.94995	-1
2507.00000	0
2507.12500	1
2507.19995	-1
2507.28345	1
2507.33325	0
2507.44995	-2
2507.53345	-1
2507.61670	0
2507.69995	-2
2507.79175	-2
2507.86670	-1
2507.94995	0
2508.00000	-2
2508.12500	-1
2508.16675	0
2508.28345	-2
2508.36670	-3
2508.41675	-2
2508.53345	-2
2508.58325	-2
2508.66675	0
2508.78345	-1
2508.83325	-1
2508.94995	0
2509.03345	-2
2509.11670	-1
2509.19995	-3
2509.28345	-1
2509.36670	-2
2509.41675	-2
2509.54175	-1
2509.61670	0
2509.69995	0
2509.75000	-1
2509.86670	-1
2509.91675	-1
2510.03345	-1
2510.08325	0
2510.19995	-1
2510.25000	-1
2510.36670	-2
2510.41675	-2
2510.53345	-3
2510.58325	-3
2510.69995	-2
2510.78345	-3
2510.86670	-2
2510.94995	-1
2511.03345	-2
2511.11670	-3
2511.19995	-2
2511.28345	-3
2511.36670	-2
2511.44995	-2
2511.53345	-2
2511.58325	-1
2511.69995	-3
2511.75000	-3
2511.86670	-3
2511.91675	-3
2512.03345	-2
2512.08325	-2
2512.16675	-1
2512.25000	-1
2512.36670	-2
2512.41675	-2
2512.53345	0
2512.61670	-1
2512.69995	-2
2512.78345	-1
2512.87500	-1
2512.94995	-1
2513.00000	-1
2513.11670	1
2513.19995	2
2513.29175	1
2513.36670	1
2513.41675	2
2513.53345	0
2513.61670	3
2513.66675	0
2513.75000	1
2513.83325	3
2513.94995	1
2514.00000	-1
2514.11670	1
2514.16675	-1
2514.28345	-3
2514.33325	-2
2514.44995	0
2514.53345	-1
2514.62500	-1
2514.66675	-2
2514.78345	-1
2514.86670	-3
2514.95825	-1
2515.04175	-2
2515.12500	-1
2515.19995	-1
2515.28345	0
2515.36670	0
2515.41675	-1
2515.50000	0
2515.58325	2
2515.69995	0
2515.75000	-1
2515.86670	-2
2515.91675	-2
2516.03345	-1
2516.08325	-1
2516.19995	-1
2516.28345	-2
2516.36670	-1
2516.41675	-1
2516.53345	0
