EPRTextModeVersion05

Year
2024
Month
11
Day
18
Time
928
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
2190
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.08325	1
2500.19995	0
2500.25000	0
2500.33325	-1
2500.41675	0
2500.53345	-1
2500.58325	1
2500.69995	0
2500.75000	0
2500.86670	1
2500.91675	-1
2501.03345	1
2501.08325	2
2501.19995	1
2501.28345	1
2501.36670	0
2501.41675	0
2501.53345	2
2501.58325	1
2501.69995	2
2501.75000	1
2501.86670	0
2501.91675	-1
2502.00000	1
2502.08325	0
2502.19995	-1
2502.25000	1
2502.36670	-1
2502.41675	-1
2502.53345	0
2502.61670	1
2502.69995	-1
2502.79175	0
2502.86670	0
2502.94995	0
2503.03345	1
2503.11670	-1
2503.19995	-1
2503.25000	-1
2503.36670	2
2503.41675	1
2503.50000	0
2503.58325	-1
2503.66675	-1
2503.78345	-1
2503.86670	0
2503.91675	-1
2504.03345	0
2504.08325	0
2504.19995	0
2504.25000	0
2504.36670	-1
2504.44995	1
2504.53345	-1
2504.58325	-2
2504.69995	-1
2504.78345	1
2504.87500	-3
2504.94995	-3
2505.04175	0
2505.11670	-2
2505.19995	-2
2505.25000	-1
2505.33325	-2
2505.44995	-3
2505.50000	-5
2505.61670	-2
2505.66675	-3
2505.75000	-2
2505.83325	-3
2505.91675	-1
2506.00000	-2
2506.11670	-3
2506.19995	-2
2506.29175	0
2506.36670	-3
2506.45825	-2
2506.53345	-3
2506.61670	-3
2506.66675	-3
2506.78345	-3
2506.86670	-4
2506.94995	-3
2507.00000	-3
2507.11670	-2
2507.19995	-1
2507.28345	-2
2507.36670	-1
2507.41675	-2
2507.53345	-3
2507.58325	-2
2507.69995	-4
2507.75000	-2
2507.86670	-2
2507.94995	-3
2508.04175	-2
2508.11670	-1
2508.20825	-1
2508.29175	-2
2508.37500	-1
2508.45825	-1
2508.54175	-2
2508.61670	-2
2508.69995	-2
2508.75000	-1
2508.86670	-1
2508.94995	-1
2509.03345	-1
2509.08325	0
2509.19995	-2
2509.28345	-1
2509.33325	-2
2509.44995	-3
2509.50000	-2
2509.61670	-1
2509.66675	-2
2509.79175	-1
2509.86670	-2
2509.94995	-3
2510.03345	2
2510.11670	1
2510.19995	0
2510.28345	1
2510.33325	1
2510.44995	4
2510.53345	2
2510.61670	3
2510.66675	1
2510.75000	1
2510.83325	0
2510.94995	1
2511.00000	1
2511.11670	1
2511.16675	0
2511.28345	0
2511.33325	1
2511.45825	0
2511.53345	-1
2511.61670	2
2511.69995	0
2511.79175	2
2511.87500	0
2511.95825	1
2512.03345	1
2512.12500	0
2512.19995	-2
2512.28345	0
2512.36670	-1
2512.41675	0
2512.53345	-1
2512.58325	2
2512.69995	-1
2512.75000	-2
2512.83325	-1
2512.94995	-1
2513.03345	-2
2513.08325	-1
2513.19995	-1
2513.25000	0
2513.36670	-2
2513.44995	-2
2513.53345	-4
2513.61670	1
2513.69995	-2
2513.78345	-3
2513.86670	-1
2513.94995	-1
2514.03345	-2
2514.11670	-3
2514.19995	-1
2514.25000	-2
2514.36670	-1
2514.41675	-1
2514.53345	-1
2514.58325	-2
2514.69995	-3
2514.75000	-2
2514.86670	-2
2514.91675	-2
2515.00000	-2
2515.08325	1
2515.19995	-2
2515.25000	-2
2515.36670	-1
2515.44995	0
2515.53345	-1
2515.58325	-1
2515.69995	-1
2515.78345	0
2515.86670	-3
2515.91675	-3
2516.03345	-2
2516.08325	-1
2516.19995	0
2516.25000	-3
2516.36670	0
2516.41675	1
2516.53345	0
2516.58325	2
2516.66675	-1
2516.78345	-1
2516.86670	0
2516.91675	-1
2517.00000	0
2517.11670	-2
2517.19995	-2
2517.28345	-1
2517.36670	-2
2517.44995	-2
2517.53345	-3
2517.61670	-2
2517.70825	-4
2517.78345	-2
2517.86670	-2
2517.94995	-2
2518.03345	-2
2518.08325	-1
2518.16675	-1
