EPRTextModeVersion05

Year
2025
Month
1
Day
20
Time
946
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1811
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-1
2500.11670	-2
2500.16675	-3
2500.28345	-3
2500.36670	-2
2500.41675	-1
2500.53345	-1
2500.61670	0
2500.69995	0
2500.78345	0
2500.83325	0
2500.94995	1
2501.00000	-1
2501.11670	-1
2501.16675	0
2501.28345	1
2501.33325	2
2501.44995	0
2501.50000	1
2501.61670	0
2501.66675	0
2501.78345	-1
2501.83325	0
2501.94995	0
2502.00000	0
2502.11670	-1
2502.16675	1
2502.28345	0
2502.33325	1
2502.44995	-1
2502.53345	2
2502.61670	0
2502.66675	-1
2502.78345	0
2502.83325	-1
2502.94995	-1
2503.00000	-2
2503.11670	-3
2503.16675	-3
2503.28345	-1
2503.33325	-2
2503.44995	-2
2503.50000	-3
2503.61670	-1
2503.66675	-2
2503.78345	-2
2503.86670	-2
2503.94995	-2
2504.03345	-2
2504.12500	-2
2504.19995	-2
2504.28345	-2
2504.36670	-2
2504.44995	-2
2504.50000	0
2504.61670	-1
2504.69995	0
2504.78345	-1
2504.86670	0
2504.94995	0
2505.00000	0
2505.11670	-2
2505.19995	-2
2505.28345	0
2505.37500	-2
2505.45825	0
2505.53345	0
2505.61670	-2
2505.69995	-1
2505.78345	-2
2505.86670	-2
2505.95825	1
2506.03345	0
2506.11670	0
2506.20825	-1
2506.28345	-1
2506.36670	0
2506.44995	-1
2506.53345	-1
2506.58325	-2
2506.69995	-2
2506.75000	-2
2506.86670	-1
2506.91675	1
2507.03345	-1
2507.08325	-1
2507.19995	-2
2507.25000	-1
2507.36670	0
2507.41675	0
2507.53345	0
2507.58325	1
2507.70825	-2
2507.78345	0
2507.86670	0
2507.95825	-1
2508.03345	0
2508.11670	0
2508.19995	0
2508.28345	3
2508.33325	0
2508.44995	1
2508.50000	1
2508.61670	1
2508.66675	2
2508.78345	1
2508.83325	2
2508.94995	-1
2509.00000	0
2509.11670	0
2509.16675	1
2509.28345	1
2509.33325	1
2509.44995	0
2509.53345	-1
2509.61670	-1
2509.66675	0
2509.78345	2
2509.86670	0
2509.94995	1
2510.03345	1
2510.08325	0
2510.19995	1
2510.28345	1
2510.33325	1
2510.44995	1
2510.50000	2
2510.61670	1
2510.66675	2
2510.78345	3
2510.83325	2
2510.94995	3
2511.00000	2
2511.11670	2
2511.19995	2
2511.28345	3
2511.36670	1
2511.41675	4
2511.53345	2
2511.61670	3
2511.66675	2
2511.78345	4
2511.86670	4
2511.94995	3
2512.00000	1
