EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
930
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
   1.25000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
   0.50000
Frequency
   9.12000
Power
   1.00000
Base line
1678
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	3
3200.01245	-1
3200.02075	5
3200.03418	7
3200.04175	4
3200.05005	3
3200.06250	3
3200.07080	1
3200.08325	-3
3200.09155	2
3200.10010	0
3200.11255	2
3200.12085	4
3200.13330	1
3200.14160	2
3200.14990	-1
3200.16260	2
3200.17090	2
3200.18335	0
3200.19165	3
3200.19995	1
3200.21338	3
3200.22095	6
3200.22998	2
3200.24170	4
3200.25000	-1
3200.26416	0
3200.27075	0
3200.28345	2
3200.29175	2
3200.30005	3
3200.31323	0
3200.32080	2
3200.33325	-1
3200.34155	2
3200.35010	4
3200.36426	3
3200.37085	1
3200.37988	1
3200.39160	5
3200.39990	3
3200.41260	2
3200.42090	2
3200.43335	5
3200.44165	3
3200.44995	2
3200.46240	2
3200.47095	0
3200.48340	1
3200.49170	5
3200.50000	3
3200.51245	4
3200.52075	2
3200.53345	-1
3200.54175	3
3200.55005	-1
3200.56250	0
3200.57080	1
3200.58008	0
3200.59155	4
3200.60010	2
3200.61328	3
3200.62085	2
3200.63330	0
3200.64258	2
3200.64990	0
3200.66260	6
3200.67090	2
3200.68335	2
3200.69165	1
3200.69995	0
3200.71338	3
3200.72095	0
3200.73340	4
3200.74170	4
3200.75000	4
3200.76245	2
3200.77173	4
3200.78345	0
3200.79175	1
3200.80005	2
3200.81250	6
3200.82080	1
3200.83325	3
3200.84155	4
3200.85083	5
3200.86255	1
3200.87085	5
3200.88330	2
3200.89160	4
3200.89990	-2
3200.91260	5
3200.92090	2
3200.93335	2
3200.94165	0
3200.94995	2
3200.96338	4
3200.97095	4
3200.98340	3
3200.99243	1
3201.00000	3
3201.01245	1
3201.02075	2
3201.03345	5
3201.04248	5
3201.05005	5
3201.06250	2
3201.07080	1
3201.08325	2
3201.09155	6
3201.10010	1
3201.11255	5
3201.12158	2
3201.12988	1
3201.14160	3
3201.14990	4
3201.16260	3
3201.17090	5
3201.18335	3
3201.19165	4
3201.19995	1
3201.21240	0
3201.22095	4
3201.23340	0
3201.24170	2
3201.25000	5
3201.26245	3
3201.27075	4
3201.28345	4
3201.29175	5
3201.30005	3
3201.31323	1
3201.32080	6
3201.33008	8
3201.34155	1
3201.35010	-2
3201.36255	0
3201.37085	3
3201.38330	3
3201.39258	5
3201.39990	4
3201.41260	0
3201.42090	5
3201.43335	2
3201.44336	5
3201.44995	0
3201.46240	1
3201.47095	4
3201.47998	-1
3201.49243	3
3201.50000	1
3201.51245	1
3201.52075	2
3201.53345	0
3201.54321	5
3201.55005	2
3201.56250	3
3201.57080	6
3201.58325	3
3201.59253	3
3201.60083	0
3201.61255	1
3201.62085	4
3201.63330	4
3201.64160	-1
3201.64990	-2
3201.66260	-1
3201.67163	6
3201.68335	1
3201.69165	2
3201.69995	0
3201.71240	1
3201.72095	0
3201.73340	4
3201.74170	-1
