EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
937
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
   5.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
   0.50000
Frequency
   9.12000
Power
   1.00000
Base line
1678
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	1
3200.01245	4
3200.02075	2
3200.03345	3
3200.04175	3
3200.05005	2
3200.06250	4
3200.07080	5
3200.08325	2
3200.09155	8
3200.10010	0
3200.11255	-1
3200.12085	0
3200.13330	2
3200.14160	2
3200.14990	1
3200.16260	3
3200.17163	1
3200.18335	5
3200.19165	7
3200.19995	2
3200.21240	2
3200.22168	2
3200.23340	2
3200.24170	4
3200.25000	-1
3200.26245	8
3200.27075	-2
3200.28345	3
3200.29175	7
3200.30005	3
3200.31250	3
3200.32178	3
3200.33008	4
3200.34155	0
3200.35010	0
3200.36255	-1
3200.37158	3
3200.38330	0
3200.39160	7
3200.39990	-1
3200.41260	-2
3200.42090	0
3200.43408	1
3200.44165	-1
3200.44995	1
3200.46240	2
3200.47095	6
3200.48511	1
3200.49170	0
3200.50000	3
3200.51245	3
3200.52075	2
3200.53418	7
3200.54175	1
3200.55005	4
3200.56250	1
3200.57080	-1
3200.58496	0
3200.59155	1
3200.60010	-3
3200.61255	2
3200.62085	8
3200.63428	-1
3200.64160	-1
3200.64990	6
3200.66260	3
3200.67090	4
3200.68506	6
3200.69165	5
3200.69995	2
3200.71240	-1
3200.72095	-2
3200.73413	2
3200.74170	5
3200.75000	5
3200.76245	5
3200.77075	2
3200.78491	1
3200.79175	0
3200.80078	1
3200.81250	3
3200.82080	1
3200.83008	-3
3200.84155	5
3200.85010	4
3200.86255	0
3200.87085	2
3200.88086	7
3200.89160	4
3200.89990	5
3200.91333	6
3200.92090	4
3200.92993	3
3200.94165	3
3200.94995	2
3200.96240	1
3200.97095	4
3200.98340	-1
3200.99170	5
3201.00000	3
3201.01245	2
3201.02075	6
3201.03345	3
3201.04175	6
3201.05005	1
3201.06250	0
3201.07080	-1
3201.08008	-4
3201.09155	4
3201.10010	3
3201.11255	1
3201.12085	1
3201.13330	1
3201.14258	-1
3201.14990	3
3201.16260	6
3201.17090	4
3201.18335	-1
3201.19165	0
3201.19995	4
3201.21240	3
3201.22095	3
3201.23340	-2
3201.24170	6
3201.25000	5
3201.26245	7
3201.27173	1
3201.28345	7
3201.29175	5
3201.30005	3
3201.31250	0
3201.32080	4
3201.33423	7
3201.34155	2
3201.35083	-1
3201.36255	-3
3201.37085	3
3201.38330	-2
3201.39160	-1
3201.39990	3
3201.41260	1
3201.42090	0
3201.43335	3
3201.44165	8
3201.44995	3
3201.46240	-2
3201.47095	0
3201.48340	10
3201.49170	4
3201.50000	1
3201.51245	2
3201.52075	1
3201.53418	2
3201.54175	4
3201.55005	4
3201.56250	6
3201.57080	3
3201.58008	2
3201.59155	4
3201.60010	1
3201.61255	0
3201.62085	1
3201.63330	0
3201.64160	5
3201.64990	3
3201.66333	2
3201.67090	0
3201.68335	5
3201.69238	4
3201.69995	1
3201.71240	2
3201.72095	0
3201.73340	4
3201.74243	7
3201.75000	7
3201.76245	0
3201.77075	0
3201.78345	2
3201.79175	4
3201.80005	0
3201.81250	5
3201.82080	2
3201.83008	1
3201.84155	3
3201.85010	1
3201.86255	2
3201.87085	1
3201.88330	4
3201.89160	1
3201.89990	2
3201.91260	0
3201.92090	0
3201.93335	3
3201.94165	1
3201.94995	1
3201.96240	0
3201.97095	2
3201.98340	3
3201.99170	5
3202.00000	0
3202.01343	1
3202.02075	2
3202.03345	4
3202.04175	6
3202.05005	3
3202.06323	3
3202.07080	0
3202.08325	1
3202.09253	4
3202.10010	2
3202.11255	4
3202.12085	3
3202.13330	3
3202.14258	1
3202.14990	2
3202.16333	5
3202.17090	4
3202.17993	1
3202.19165	4
3202.19995	0
3202.21240	6
3202.22095	3
3202.23340	6
3202.24170	5
3202.25000	1
3202.26245	5
3202.27075	7
3202.28345	2
3202.29175	4
3202.30005	2
3202.31250	2
3202.32080	5
3202.33008	3
3202.34155	5
3202.35010	1
3202.36328	1
3202.37085	2
3202.37988	2
3202.39160	2
3202.39990	4
3202.41333	0
3202.42090	4
3202.42993	4
3202.44165	2
3202.44995	1
3202.46411	1
3202.47095	4
3202.48340	7
3202.49170	1
3202.50000	8
3202.51343	-2
3202.52075	3
3202.53003	3
3202.54175	5
3202.55005	0
3202.56421	4
3202.57080	0
3202.58008	1
3202.59155	5
3202.60010	4
3202.61255	5
3202.62085	3
3202.63330	3
3202.64258	0
3202.64990	0
3202.65991	4
3202.67090	2
3202.68335	4
3202.69165	1
3202.69995	3
3202.71240	3
3202.72168	0
3202.73340	2
3202.74170	0
3202.75000	1
3202.76245	4
3202.77075	2
3202.78345	1
3202.79175	4
3202.80005	3
3202.81250	6
3202.82080	4
3202.83325	2
3202.84155	4
3202.85010	3
3202.86255	5
3202.87158	0
3202.88330	3
3202.89160	3
3202.89990	5
3202.91260	6
3202.92090	0
3202.92993	-1
3202.94165	4
3202.94995	2
3202.96240	0
3202.97095	2
3202.98340	4
3202.99170	5
3203.00000	2
3203.01245	2
3203.02173	4
3203.03345	6
3203.04175	4
3203.05005	3
3203.06250	1
3203.07080	4
3203.08008	1
3203.09155	2
3203.10010	5
3203.11328	-3
3203.12085	2
3203.13330	0
3203.14160	2
3203.14990	4
3203.16260	3
3203.17090	6
3203.18335	3
3203.19165	6
3203.19995	2
3203.21240	1
3203.22095	-2
3203.22998	3
3203.24170	1
3203.25000	1
3203.26245	6
3203.27075	-1
3203.28003	5
3203.29175	3
3203.30005	2
3203.31323	1
3203.32080	3
3203.33325	3
3203.34155	1
3203.35010	5
3203.36255	6
3203.37085	1
3203.38330	4
3203.39160	-3
3203.39990	9
3203.41333	4
3203.42090	3
3203.42993	0
3203.44165	1
3203.44995	1
3203.46240	2
3203.47095	1
3203.47998	-3
3203.49170	5
3203.50000	3
3203.51245	4
3203.52075	3
3203.53345	4
3203.54175	2
3203.55005	-2
3203.56250	4
3203.57080	5
3203.58325	1
3203.59155	2
3203.60010	7
3203.61255	1
3203.62085	1
3203.63330	0
3203.64160	3
3203.64990	4
3203.66333	4
3203.67090	-1
3203.68335	2
3203.69165	5
3203.69995	2
3203.71240	3
3203.72095	-2
3203.73340	3
3203.74243	5
3203.75000	4
3203.76245	1
3203.77075	5
3203.78345	2
3203.79175	4
3203.80005	3
3203.81250	1
3203.82080	-1
3203.83008	5
3203.84155	3
3203.85010	3
3203.86255	3
3203.87085	4
3203.88428	3
3203.89160	4
3203.89990	0
3203.91260	3
3203.92090	5
3203.93335	2
3203.94165	10
3203.94995	3
3203.96240	3
3203.97168	3
3203.98340	7
3203.99170	1
3204.00000	1
3204.01343	7
3204.02075	6
3204.03003	3
3204.04175	5
3204.05005	8
3204.06421	0
3204.07080	2
3204.08325	1
3204.09155	-4
3204.10010	1
3204.11328	2
3204.12085	3
3204.13330	2
3204.14160	3
3204.14990	1
3204.16406	5
3204.17090	-2
3204.18335	2
3204.19165	2
3204.19995	4
3204.21338	0
3204.22095	3
3204.23340	6
3204.24170	3
3204.25000	1
3204.26343	-2
3204.27075	3
3204.28003	0
3204.29175	5
3204.30005	2
3204.31323	4
3204.32080	-2
3204.33008	2
3204.34155	5
3204.35010	5
