EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
947
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
   0.50000
Frequency
   9.12000
Power
   1.00000
Base line
1681
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	-16
3200.01172	-13
3200.02075	4
3200.03247	-3
3200.04077	9
3200.05322	3
3200.06177	15
3200.07007	2
3200.08252	-2
3200.09082	-5
3200.10327	10
3200.11157	-1
3200.12012	-1
3200.13257	3
3200.14087	-6
3200.15332	-6
3200.16162	-17
3200.16992	-3
3200.18262	0
3200.19092	15
3200.20410	-6
3200.21167	-3
3200.22095	9
3200.23242	-1
3200.24072	20
3200.25342	7
3200.26172	-7
3200.27075	-4
3200.28247	9
3200.29077	2
3200.30322	-16
3200.31177	-3
3200.32007	-1
3200.33252	3
3200.34082	15
3200.35327	3
3200.36157	5
3200.37012	-6
3200.38257	-4
3200.39087	-9
3200.40332	-6
3200.41162	4
3200.41992	-4
3200.43262	2
3200.44092	3
3200.45337	12
3200.46167	-3
3200.46997	-6
3200.48242	7
3200.49072	-2
3200.50000	1
3200.51172	9
3200.52002	-14
3200.53345	-10
3200.54077	1
3200.55322	15
3200.56250	3
3200.57007	-12
3200.58252	-8
3200.59082	11
3200.60327	-3
3200.61157	-13
3200.62012	11
3200.63257	-6
3200.64087	-8
3200.65332	6
3200.66162	-1
3200.66992	-14
3200.68262	4
3200.69238	-7
3200.70337	4
3200.71167	8
3200.71997	7
3200.73242	-13
3200.74072	5
3200.75415	-16
3200.76245	1
3200.77002	-6
3200.78247	-8
3200.79175	-12
3200.80322	-4
3200.81177	-13
3200.82007	6
3200.83252	1
3200.84155	20
3200.85327	15
3200.86157	11
3200.87012	2
3200.88257	19
3200.89258	14
3200.90332	1
3200.91162	2
3200.91992	-6
3200.93262	12
3200.94165	-3
3200.95337	-3
3200.96167	15
3200.97095	-12
3200.98242	0
3200.99072	-2
3201.00342	-3
3201.01172	8
3201.02002	4
3201.03345	9
3201.04077	-6
3201.05005	-1
3201.06177	-3
3201.07007	4
3201.08423	11
3201.09082	6
3201.10327	3
3201.11157	3
3201.12085	3
3201.13330	1
3201.14087	-6
3201.15332	11
3201.16162	-7
3201.16992	1
3201.18408	-4
3201.19092	-18
3201.20337	0
3201.21167	-9
3201.21997	-10
3201.23340	17
3201.24072	11
3201.25342	-2
3201.26172	7
3201.27002	3
3201.28418	5
3201.29077	-2
3201.30420	7
3201.31177	8
3201.32007	2
3201.33325	-1
3201.34082	0
3201.35327	12
3201.36157	-3
3201.37012	-9
3201.38330	5
3201.39087	5
3201.40332	5
3201.41162	-17
3201.41992	6
3201.43335	-6
3201.44092	-4
3201.45337	1
3201.46167	-7
3201.47095	-4
3201.48340	-6
3201.49072	8
3201.50342	14
3201.51172	-12
3201.52002	4
3201.53247	6
3201.54077	1
3201.55322	13
3201.56177	4
3201.57007	7
3201.58252	0
3201.59082	5
3201.60327	12
3201.61157	-11
3201.62012	-18
3201.63257	13
3201.64087	18
3201.65332	14
3201.66162	3
3201.66992	-19
3201.68262	12
3201.69092	1
3201.70337	2
3201.71167	-1
3201.71997	8
3201.73340	-7
3201.74072	-4
3201.75000	6
3201.76172	-4
3201.77002	-4
3201.78345	20
3201.79077	-7
3201.80005	3
3201.81177	4
3201.82007	-3
3201.83252	3
3201.84082	-5
3201.85425	-9
3201.86255	-9
3201.87012	-12
3201.88257	-14
3201.89087	-12
3201.90332	-3
3201.91162	-3
3201.91992	6
3201.93262	4
3201.94165	-1
3201.95337	8
3201.96167	-3
3201.96997	0
3201.98242	-4
3201.99170	7
3202.00342	21
3202.01172	7
3202.02002	0
3202.03247	-11
3202.04077	6
3202.05322	2
3202.06177	6
3202.07007	11
3202.08252	-3
3202.09082	-6
3202.10327	16
3202.11157	8
3202.12012	15
3202.13330	4
3202.14087	-9
3202.15332	0
3202.16162	-5
3202.16992	1
3202.18262	2
3202.19092	-8
3202.20410	-14
3202.21167	14
3202.22095	-1
3202.23242	7
3202.24072	-15
3202.25342	5
3202.26245	7
3202.27002	6
3202.28345	12
3202.29077	7
3202.30005	3
3202.31177	3
3202.32007	14
3202.33252	2
3202.34082	-19
3202.35327	-2
3202.36157	-3
3202.37012	-1
3202.38257	2
3202.39087	-3
