EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
926
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
   1.25000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
   1.00000
Frequency
   9.12000
Power
   1.00000
Base line
1681
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	-5
3200.01172	0
3200.02002	-2
3200.03345	-1
3200.04077	-2
3200.05005	6
3200.06177	-1
3200.07007	-2
3200.08325	1
3200.09082	0
3200.10327	-4
3200.11157	-2
3200.12012	-2
3200.13257	0
3200.14087	0
3200.14990	-4
3200.16162	2
3200.16992	-1
3200.18335	-2
3200.19092	0
3200.20337	0
3200.21167	2
3200.21997	0
3200.23242	2
3200.24072	-2
3200.25000	0
3200.26172	0
3200.27002	1
3200.28345	0
3200.29077	-1
3200.30420	-2
3200.31177	-1
3200.32007	0
3200.33325	-1
3200.34082	-1
3200.35010	-3
3200.36157	-1
3200.37012	-2
3200.38330	-2
3200.39087	-1
3200.39990	0
3200.41162	-2
3200.41992	0
3200.43335	-2
3200.44092	0
3200.45337	-1
3200.46167	-1
3200.46997	4
3200.48242	1
3200.49072	0
3200.50342	-1
3200.51172	-1
3200.52002	-2
3200.53247	3
3200.54077	0
3200.55005	4
3200.56177	0
3200.57007	-2
3200.58252	0
3200.59082	-1
3200.60010	1
3200.61157	-2
3200.62012	0
3200.63257	-3
3200.64087	2
3200.65332	1
3200.66260	-2
3200.66992	-2
3200.68262	2
3200.69092	-4
3200.70337	-1
3200.71240	0
3200.71997	0
3200.73242	0
3200.74072	-1
3200.75342	-2
3200.76172	2
3200.77002	-1
3200.78247	0
3200.79175	-2
3200.80322	3
3200.81177	-3
3200.82007	-1
3200.83252	2
3200.84155	-3
3200.85327	0
3200.86255	-1
3200.87012	0
3200.88257	2
3200.89087	0
3200.90332	1
3200.91162	2
3200.91992	-1
3200.93262	-2
3200.94165	-1
3200.95337	0
3200.96167	2
3200.96997	-1
3200.98242	0
3200.99072	1
3201.00342	3
3201.01172	2
3201.02002	-1
3201.03247	-1
3201.04077	-4
3201.05420	-3
3201.06177	2
3201.07080	-1
3201.08252	1
3201.09082	2
3201.10425	0
3201.11157	1
3201.12012	2
3201.13257	-1
3201.14087	0
3201.15332	0
3201.16162	-1
3201.16992	2
3201.18335	2
3201.19092	1
3201.19995	2
3201.21167	1
3201.21997	-3
3201.23340	-4
3201.24072	-3
3201.25342	3
3201.26172	-1
3201.27002	-1
3201.28247	2
3201.29077	-1
3201.30005	1
3201.31177	0
3201.32007	2
3201.33325	-1
3201.34082	0
3201.35010	-1
3201.36157	0
3201.37012	0
3201.38257	0
3201.39087	0
3201.39990	-1
3201.41162	3
3201.41992	0
3201.43262	2
3201.44092	0
3201.45337	0
3201.46167	1
3201.46997	0
3201.48340	-1
3201.49072	1
3201.50342	-3
3201.51172	-4
3201.52002	2
3201.53247	0
3201.54077	-1
3201.55322	0
3201.56250	-1
3201.57007	-2
3201.58252	3
3201.59082	-1
3201.60327	0
3201.61255	-4
3201.62012	0
3201.63257	0
3201.64087	0
3201.65332	-1
3201.66260	2
3201.66992	1
3201.68262	2
3201.69092	-2
3201.70337	2
3201.71240	-1
3201.71997	2
3201.73242	-1
3201.74072	-3
3201.75342	-2
3201.76245	2
3201.77002	-3
3201.78247	1
3201.79077	0
3201.80322	0
3201.81250	-2
3201.82007	1
3201.83252	2
3201.84082	1
3201.85327	0
3201.86157	3
3201.87012	-1
3201.88257	-1
3201.89087	-1
3201.90405	0
3201.91260	1
3201.92090	0
3201.93262	1
3201.94092	0
3201.95337	-1
3201.96167	1
3201.97095	-2
3201.98242	1
3201.99072	0
3202.00415	-1
3202.01172	0
3202.02075	0
3202.03247	0
3202.04175	1
3202.05005	-3
3202.06177	1
3202.07080	1
3202.08252	-1
3202.09082	-2
3202.10425	2
3202.11157	1
3202.12012	1
3202.13257	-3
3202.14087	0
3202.15332	1
3202.16162	-1
3202.17090	-1
3202.18262	0
3202.19092	-3
3202.20410	2
3202.21167	-1
3202.21997	-1
3202.23242	-2
3202.24072	-3
3202.25000	0
3202.26172	-2
3202.27075	3
3202.28247	-2
3202.29077	0
3202.30420	4
3202.31250	4
3202.32080	0
3202.33252	0
3202.34082	-6
3202.35327	-1
3202.36157	-1
3202.37012	-1
3202.38257	-3
3202.39087	0
3202.39990	2
3202.41162	-2
3202.41992	-2
3202.43335	-1
3202.44092	0
3202.44995	-2
3202.46167	1
3202.46997	1
3202.48242	-5
3202.49072	-3
3202.50342	2
3202.51172	1
3202.52002	0
3202.53247	-3
3202.54077	0
3202.55322	1
3202.56177	-2
3202.57007	0
3202.58252	-1
3202.59082	0
3202.60327	-1
3202.61157	1
3202.62012	0
3202.63257	-1
3202.64087	-1
3202.65332	1
3202.66260	-1
3202.66992	0
3202.68262	2
3202.69092	1
3202.70337	0
3202.71240	1
3202.71997	-3
3202.73242	1
3202.74170	-2
3202.75000	0
3202.76172	-2
3202.77002	2
3202.78247	0
3202.79175	-2
3202.80322	-1
3202.81177	0
3202.82080	3
3202.83252	3
3202.84155	0
3202.85327	-1
3202.86157	-1
3202.87012	0
3202.88257	1
3202.89087	1
3202.90332	1
3202.91162	-1
3202.91992	2
3202.93262	-3
3202.94165	-1
3202.95337	-1
3202.96167	-1
3202.96997	0
3202.98242	-1
3202.99072	-1
3203.00342	2
3203.01172	-3
3203.02002	1
3203.03247	-1
3203.04175	0
3203.05322	1
3203.06177	-3
3203.07007	-2
3203.08252	0
3203.09082	2
3203.10010	-1
3203.11157	1
3203.12012	-3
3203.13330	-1
3203.14087	-2
3203.14990	0
3203.16162	0
3203.16992	1
3203.18262	-2
3203.19092	0
3203.19995	-1
3203.21167	-1
3203.21997	0
3203.23340	1
3203.24072	-2
3203.25342	-1
3203.26172	-1
3203.27002	0
3203.28247	-2
3203.29077	-1
3203.30005	-2
3203.31177	-3
3203.32007	0
3203.33325	-3
3203.34082	-1
3203.35327	2
3203.36157	0
3203.37012	-2
3203.38330	2
3203.39087	0
3203.39990	0
3203.41162	1
3203.41992	0
3203.43335	0
3203.44092	1
3203.45337	0
3203.46167	-1
3203.46997	-1
3203.48242	-3
3203.49072	1
3203.50000	-1
3203.51172	-4
3203.52002	0
3203.53247	-1
3203.54077	0
3203.55322	1
3203.56177	-1
3203.57007	4
3203.58252	-1
3203.59082	1
3203.60327	1
3203.61255	0
3203.62012	0
3203.63257	1
3203.64087	-1
3203.65332	-2
3203.66162	-3
3203.66992	1
3203.68262	2
3203.69165	6
3203.70337	1
3203.71167	0
3203.71997	2
3203.73242	1
3203.74072	-3
3203.75342	2
3203.76172	-2
3203.77002	1
3203.78247	-2
3203.79077	-2
3203.80322	1
3203.81177	0
3203.82007	-2
3203.83325	-1
3203.84082	2
3203.85010	-2
3203.86157	1
3203.87012	0
3203.88330	2
3203.89087	3
3203.90332	1
3203.91162	-1
3203.91992	0
3203.93335	-1
3203.94092	-3
3203.94995	-2
3203.96167	-2
3203.96997	2
3203.98340	0
3203.99072	-2
3204.00000	1
3204.01172	-3
3204.02002	0
3204.03247	0
3204.04077	0
3204.05005	1
3204.06177	0
3204.07007	-1
3204.08325	-1
3204.09082	0
3204.10425	3
3204.11157	-1
3204.12012	2
3204.13257	0
3204.14087	-1
3204.14990	-1
3204.16162	-1
3204.16992	1
3204.18335	-3
3204.19092	-4
3204.20337	0
3204.21167	-1
3204.21997	-2
3204.23242	-3
3204.24072	2
3204.25000	0
3204.26172	1
3204.27002	-3
3204.28345	-2
3204.29077	-2
3204.30005	-1
3204.31177	1
3204.32007	-1
3204.33252	-1
3204.34082	0
3204.35010	-1
3204.36157	1
3204.37012	1
3204.38330	0
3204.39087	0
3204.40332	1
3204.41162	-1
3204.41992	2
3204.43262	-2
3204.44092	-1
3204.44995	0
3204.46167	0
3204.46997	0
3204.48242	-3
3204.49072	-1
3204.50342	3
3204.51172	-2
3204.52002	2
3204.53247	3
3204.54077	0
3204.55322	1
3204.56177	-1
3204.57007	0
3204.58252	0
3204.59082	-3
3204.60327	0
3204.61157	3
3204.62012	1
3204.63330	1
3204.64087	-1
3204.65332	1
3204.66162	-1
3204.66992	3
3204.68262	-1
3204.69092	2
3204.70337	1
3204.71167	1
3204.71997	1
3204.73242	-2
3204.74072	-2
3204.75342	-1
3204.76245	-1
3204.77002	-1
3204.78247	0
3204.79175	0
3204.80322	1
3204.81177	-1
3204.82007	2
3204.83252	-1
3204.84155	0
3204.85327	0
3204.86157	-4
3204.87012	3
3204.88257	-1
3204.89160	0
3204.90332	0
3204.91162	-3
3204.91992	1
3204.93262	0
3204.94165	-3
3204.95337	1
3204.96167	-1
3204.96997	1
3204.98242	0
3204.99170	1
3205.00342	-1
3205.01172	-5
3205.02002	-2
3205.03247	-1
3205.04077	-1
3205.05322	-2
3205.06177	0
3205.07007	0
3205.08252	-2
3205.09155	3
3205.10327	-3
3205.11157	0
3205.12012	0
3205.13257	-3
3205.14087	1
3205.15332	2
3205.16162	-1
3205.16992	-2
3205.18262	2
3205.19165	1
3205.20410	0
3205.21167	-2
3205.21997	0
3205.23242	1
3205.24072	0
3205.25342	2
3205.26172	3
3205.27002	1
3205.28247	1
3205.29175	-1
3205.30322	2
3205.31177	1
3205.32080	0
3205.33325	-1
3205.34082	-1
3205.35425	1
3205.36157	1
3205.37012	1
3205.38257	-3
3205.39087	1
3205.40332	-3
3205.41162	2
3205.42090	-2
3205.43262	1
3205.44092	0
3205.45410	2
3205.46167	-1
3205.46997	0
3205.48242	1
3205.49072	0
3205.50415	-1
3205.51172	2
3205.52075	-1
3205.53247	1
3205.54175	2
3205.55420	2
3205.56177	2
3205.57080	3
3205.58252	-2
3205.59082	-4
3205.60327	0
3205.61157	-3
3205.62085	0
3205.63257	-3
3205.64087	-3
3205.65332	0
3205.66162	-1
3205.66992	-1
3205.68262	1
3205.69092	1
3205.70337	-2
3205.71167	-1
3205.71997	-1
3205.73242	-1
3205.74072	0
3205.75342	0
3205.76245	-2
3205.77002	-2
3205.78247	0
3205.79077	-1
3205.80322	0
3205.81250	-1
3205.82007	-1
3205.83252	-3
3205.84082	1
3205.85327	-3
3205.86157	2
3205.87012	1
3205.88330	0
3205.89160	0
3205.90332	-1
3205.91162	1
3205.91992	-2
3205.93262	-4
3205.94092	0
3205.95337	3
3205.96167	1
3205.97095	0
3205.98242	0
3205.99072	-3
3206.00415	-1
3206.01172	-3
3206.02002	-1
3206.03247	-3
3206.04175	0
3206.05322	-2
3206.06177	-1
3206.07080	0
3206.08252	-2
3206.09082	-1
3206.10327	1
3206.11157	0
3206.12085	0
3206.13257	-3
3206.14087	-2
3206.15405	-3
3206.16260	2
3206.17090	-3
3206.18262	-1
3206.19092	-2
3206.20337	-1
3206.21167	0
3206.22095	1
3206.23242	0
3206.24072	0
3206.25415	2
3206.26172	2
3206.27002	-2
3206.28247	-2
3206.29175	-3
3206.30420	0
3206.31177	2
3206.32080	0
3206.33252	0
3206.34082	-1
3206.35425	-1
3206.36157	0
3206.37012	0
3206.38257	-1
3206.39087	-1
3206.40332	-1
3206.41162	1
3206.41992	0
3206.43262	-1
3206.44092	2
3206.44995	1
3206.46167	-2
3206.46997	-3
3206.48340	0
3206.49072	-1
3206.50342	2
3206.51245	-1
3206.52002	-3
3206.53247	1
3206.54077	-1
3206.55322	2
3206.56177	-1
3206.57007	0
3206.58252	0
3206.59082	-2
3206.60327	-2
3206.61255	1
3206.62012	-1
3206.63257	-4
3206.64087	0
3206.65332	-3
3206.66260	1
3206.66992	1
3206.68262	0
3206.69092	0
3206.70337	-1
3206.71167	2
3206.71997	-1
3206.73242	-1
3206.74072	1
3206.75342	1
3206.76172	0
3206.77002	0
3206.78247	0
3206.79077	-1
3206.80322	-3
3206.81177	-1
3206.82007	-1
3206.83252	1
3206.84082	-3
3206.85425	-1
3206.86157	2
3206.87012	-2
3206.88257	-3
3206.89087	0
3206.90405	-2
3206.91162	3
3206.92090	0
3206.93262	-4
3206.94092	0
3206.95337	-1
3206.96167	0
3206.96997	-3
3206.98242	0
3206.99170	-5
3207.00000	-2
3207.01172	3
3207.02002	-2
3207.03247	-2
3207.04077	-3
3207.05322	0
3207.06250	-2
3207.07007	-2
3207.08252	-1
3207.09082	-1
3207.10327	4
3207.11157	-1
3207.12012	1
3207.13257	-1
3207.14160	-2
3207.15332	-1
3207.16162	0
3207.16992	2
3207.18262	0
3207.19165	-3
3207.20337	-3
3207.21167	0
3207.21997	-1
3207.23242	-3
3207.24072	-2
3207.25415	0
3207.26172	2
3207.27002	4
3207.28247	-1
3207.29077	0
3207.30322	-1
3207.31177	0
3207.32080	1
3207.33252	1
3207.34082	-2
3207.35010	-1
3207.36157	-4
3207.37012	-3
3207.38257	2
3207.39087	-2
3207.40405	3
3207.41260	0
3207.42090	-1
3207.43262	-1
3207.44092	3
3207.45410	0
3207.46167	-2
3207.46997	-2
3207.48340	6
3207.49072	-1
3207.50000	0
3207.51172	3
3207.52002	-1
3207.53247	-3
3207.54175	-1
3207.55005	-2
3207.56177	2
3207.57007	-2
3207.58252	1
3207.59082	-3
3207.60327	-1
3207.61255	-1
3207.62012	0
3207.63257	0
3207.64087	-2
3207.65332	-2
3207.66162	1
3207.66992	3
3207.68262	-1
3207.69165	-2
3207.70337	2
3207.71167	1
3207.71997	-1
3207.73242	2
3207.74170	0
3207.75342	1
3207.76245	0
3207.77075	1
3207.78247	2
3207.79077	-1
3207.80420	0
3207.81177	-2
3207.82007	-1
3207.83252	-2
3207.84082	0
3207.85010	-3
3207.86157	2
3207.87012	-2
3207.88257	1
3207.89087	-1
3207.89990	0
3207.91162	3
3207.91992	-2
3207.93335	-1
3207.94092	-1
3207.95337	-1
3207.96167	-1
3207.96997	1
3207.98242	-2
3207.99072	-1
3208.00000	1
3208.01172	0
3208.02002	1
3208.03345	-1
3208.04077	-1
3208.05322	-3
3208.06177	-1
3208.07007	-1
3208.08252	-2
3208.09082	-1
3208.10010	-1
3208.11157	-1
3208.12012	-1
3208.13257	1
3208.14087	-2
3208.15332	0
3208.16162	2
3208.16992	-3
3208.18262	0
3208.19092	-3
3208.20337	-1
3208.21167	-2
3208.21997	2
3208.23242	-4
3208.24072	0
3208.25342	2
3208.26172	0
3208.27002	1
3208.28247	-2
3208.29077	2
3208.30005	-1
