EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
954
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
   0.50000
Frequency
   9.12000
Power
  10.00000
Base line
1678
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	-2
3200.01074	24
3200.02344	14
3200.03174	7
3200.04004	11
3200.05249	3
3200.06079	7
3200.07324	7
3200.08179	-11
3200.09009	-17
3200.10254	-10
3200.11157	5
3200.12329	-8
3200.13159	4
3200.13989	7
3200.15259	-3
3200.16089	3
3200.17334	5
3200.18164	4
3200.18994	-27
3200.20239	11
3200.21094	-1
3200.22339	5
3200.23169	14
3200.23999	18
3200.25244	1
3200.26172	-15
3200.27002	-3
3200.28174	-4
3200.29004	-5
3200.30249	2
3200.31079	2
3200.32324	-5
3200.33179	12
3200.34009	-22
3200.35254	5
3200.36084	-1
3200.37329	-2
3200.38159	0
3200.38989	-11
3200.40259	-5
3200.41089	-5
3200.42334	8
3200.43164	8
3200.43994	-1
3200.45239	-9
3200.46094	-1
3200.47339	-15
3200.48169	16
3200.48999	16
3200.50244	0
3200.51172	3
3200.52344	0
3200.53174	7
3200.54004	8
3200.55249	5
3200.56079	8
3200.57007	-11
3200.58179	-4
3200.59009	5
3200.60327	-2
3200.61084	11
3200.62329	-1
3200.63159	13
3200.63989	14
3200.65332	1
3200.66089	0
3200.67334	0
3200.68164	-8
3200.68994	-13
3200.70410	-5
3200.71094	9
3200.72339	4
3200.73169	15
3200.73999	7
3200.75342	-6
3200.76074	-6
3200.77344	5
3200.78174	3
3200.79077	10
3200.80420	-3
3200.81079	1
3200.82324	-19
3200.83179	5
3200.84009	-8
3200.85327	-4
3200.86084	-3
3200.87012	18
3200.88159	-6
3200.88989	12
3200.90405	-3
3200.91089	2
3200.91992	-5
3200.93164	5
3200.93994	-17
3200.95239	1
3200.96094	6
3200.97339	12
3200.98169	14
3200.98999	13
3201.00244	-3
3201.01074	12
3201.02344	15
3201.03174	-2
3201.04004	-12
3201.05322	-13
3201.06079	-13
3201.07324	5
3201.08252	-11
3201.09009	16
3201.10254	10
3201.11084	-10
3201.12329	-1
3201.13257	-2
3201.14087	10
3201.15259	7
3201.16089	11
3201.17334	13
3201.18164	-3
3201.18994	6
3201.20239	7
3201.21094	9
3201.22339	-19
3201.23169	-4
3201.23999	5
3201.25244	4
3201.26074	27
3201.27344	13
3201.28247	-6
3201.29004	15
3201.30249	2
3201.31079	0
3201.32422	-1
3201.33179	-4
3201.34009	-12
3201.35254	3
3201.36084	-17
3201.37329	16
3201.38159	16
3201.38989	3
3201.40332	-15
3201.41089	-4
3201.41992	16
3201.43164	-9
3201.43994	9
3201.45239	-8
3201.46094	2
3201.47339	-9
3201.48169	10
3201.49072	20
3201.50244	10
3201.51074	-2
3201.52344	5
3201.53174	0
3201.54004	-6
3201.55249	-10
3201.56079	11
3201.57324	16
3201.58179	12
3201.59009	28
3201.60254	-4
3201.61157	-7
3201.62329	-5
3201.63159	-11
3201.63989	9
3201.65259	-4
3201.66089	3
3201.67334	7
3201.68164	11
3201.69092	7
3201.70239	-1
3201.71094	4
3201.72339	2
3201.73169	12
3201.73999	5
3201.75244	2
3201.76074	8
3201.77002	-4
3201.78174	10
3201.79004	-5
3201.80249	-2
3201.81079	2
3201.82324	12
3201.83179	4
3201.84009	-1
3201.85254	-5
3201.86084	6
3201.87329	11
3201.88159	10
3201.88989	-11
3201.90259	-10
3201.91089	8
3201.92407	12
3201.93164	7
3201.93994	-4
3201.95239	-6
3201.96094	2
3201.97339	-6
3201.98169	8
3201.98999	12
3202.00244	-7
3202.01074	-11
3202.02417	-7
3202.03247	1
3202.04004	-11
3202.05249	-2
3202.06079	4
3202.07324	2
3202.08179	14
3202.09009	4
3202.10254	-5
3202.11157	8
3202.12329	17
3202.13159	-17
3202.13989	-3
3202.15259	-2
3202.16260	5
