EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
917
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
   1.25000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
  10.00000
Frequency
   9.12000
Power
  10.00000
Base line
1682
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	0
3200.01172	2
3200.02002	2
3200.03247	3
3200.04077	4
3200.05322	0
3200.06177	2
3200.07007	1
3200.08252	-3
3200.09082	1
3200.10010	1
3200.11157	1
3200.12012	-1
3200.13257	1
3200.14087	3
3200.15332	2
3200.16162	1
3200.16992	5
3200.18335	0
3200.19092	3
3200.20337	4
3200.21167	1
3200.21997	-1
3200.23413	0
3200.24072	4
3200.25342	3
3200.26172	-1
3200.27002	1
3200.28345	2
3200.29175	3
3200.30005	3
3200.31177	1
3200.32007	2
3200.33423	2
3200.34082	2
3200.35010	-3
3200.36157	3
3200.37012	3
3200.38330	3
3200.39087	5
3200.40332	4
3200.41260	2
3200.42090	1
3200.42993	3
3200.44092	4
3200.45337	1
3200.46167	0
3200.46997	3
3200.48242	-1
3200.49072	3
3200.50000	3
3200.51172	0
3200.52002	2
3200.53247	4
3200.54077	4
3200.55322	1
3200.56177	4
3200.57007	2
3200.58252	-3
3200.59082	3
3200.60327	0
3200.61157	1
3200.62012	4
3200.63257	-1
3200.64160	1
3200.65332	4
3200.66162	0
3200.66992	3
3200.68262	2
3200.69165	6
3200.70337	1
3200.71167	0
3200.71997	1
3200.73242	-1
3200.74072	5
3200.75342	1
3200.76172	1
3200.77002	3
3200.78247	3
3200.79077	5
3200.80322	1
3200.81177	3
3200.82007	2
3200.83325	4
3200.84155	3
3200.85327	3
3200.86157	-1
3200.87012	-1
3200.88257	3
3200.89160	1
3200.90332	3
3200.91162	-1
3200.92163	2
3200.93262	1
3200.94092	0
3200.95337	2
3200.96167	4
3200.97095	3
3200.98242	0
3200.99072	0
3201.00342	2
3201.01172	2
