EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
900
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
 12.500000
Time scan
   2.00000
Dots number
10000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.12000
Power
  10.00000
Base line
1685
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	0
3200.01245	0
3200.02075	-1
3200.03345	1
3200.04248	-1
3200.05078	1
3200.06250	1
3200.07080	-1
3200.08325	-2
3200.09155	-1
3200.10010	0
3200.11255	-1
3200.12085	-1
3200.13330	0
3200.14160	0
3200.14990	0
3200.16260	0
3200.17163	1
3200.18335	0
3200.19165	2
3200.19995	-1
3200.21240	0
3200.22095	1
3200.23340	1
3200.24170	-1
3200.25073	-2
3200.26245	-1
3200.27075	0
3200.28418	0
3200.29175	-1
3200.30005	-3
3200.31250	1
3200.32178	0
3200.33325	0
3200.34155	-1
3200.35010	1
3200.36255	-1
3200.37085	0
3200.38330	-2
3200.39160	-1
3200.39990	-2
3200.41260	-1
3200.42090	-2
3200.43335	-1
3200.44165	-1
3200.45093	0
3200.46240	-1
3200.47095	-3
3200.48340	0
3200.49170	0
3200.50000	0
3200.51343	-1
3200.52075	0
3200.53003	-2
3200.54175	1
3200.55005	0
3200.56250	0
3200.57080	-1
3200.58325	0
3200.59155	-1
3200.60010	-1
3200.61255	-1
3200.62085	-2
3200.63330	0
3200.64160	-2
3200.64990	-1
3200.66260	0
3200.67090	-1
3200.68335	-1
3200.69165	2
3200.69995	-1
3200.71338	0
3200.72095	-1
3200.73340	1
3200.74170	0
3200.75000	-1
3200.76343	0
3200.77075	0
3200.78003	-1
3200.79175	-2
3200.80005	1
3200.81250	-2
3200.82080	-1
3200.83325	-1
3200.84155	-1
3200.85010	-1
3200.86255	-1
3200.87158	0
3200.87988	-1
3200.89160	0
3200.89990	-2
3200.91260	0
3200.92090	-2
3200.93335	-1
3200.94165	-2
3200.94995	-1
3200.96240	-1
3200.97095	1
3200.98340	0
3200.99341	0
3201.00000	-2
3201.01245	-1
3201.02075	0
3201.03345	0
3201.04248	-1
3201.05005	-1
3201.06250	-1
3201.07080	0
3201.08325	0
3201.09253	-1
3201.10010	0
3201.11328	-1
3201.12085	-1
3201.13330	-1
3201.14258	-2
3201.15088	-1
3201.16260	-3
3201.17090	-2
3201.18335	-1
3201.19336	-1
3201.19995	0
3201.21240	1
3201.22095	-3
3201.23340	-1
3201.24170	1
3201.25000	-1
3201.26245	-1
3201.27075	-2
3201.28003	-1
3201.29175	2
3201.30005	-1
3201.31250	-1
3201.32080	1
3201.33325	1
3201.34155	1
3201.35010	-1
3201.36255	-1
3201.37085	-1
3201.38330	0
3201.39160	-1
3201.39990	0
3201.41260	-1
3201.42090	1
3201.43335	-2
3201.44165	-2
3201.44995	-2
3201.46240	-1
3201.47095	-1
3201.48340	2
3201.49170	1
3201.50073	1
3201.51245	-1
3201.52075	0
3201.53003	0
3201.54175	2
3201.55005	-1
3201.56250	-1
3201.57080	-1
3201.58325	0
3201.59155	2
3201.60010	-1
3201.61328	0
3201.62085	-1
3201.62988	-1
3201.64160	-1
3201.64990	0
3201.66260	0
3201.67090	1
3201.68335	0
3201.69165	2
3201.69995	-1
3201.71240	-2
3201.72095	1
3201.73340	-1
3201.74170	2
3201.75000	0
3201.76245	0
3201.77075	0
3201.78003	-1
3201.79175	1
3201.80005	0
3201.81250	0
3201.82080	-2
3201.83325	-1
3201.84155	0
3201.85010	0
3201.86255	2
3201.87085	-3
3201.88330	-1
3201.89160	1
3201.89990	0
3201.91260	0
3201.92090	0
3201.93335	0
3201.94165	-1
3201.94995	-1
3201.96240	-1
3201.97095	0
3201.98340	0
3201.99170	1
3202.00000	0
3202.01245	1
3202.02075	0
3202.03345	-1
3202.04175	-1
3202.05005	0
3202.06250	-1
3202.07178	-1
3202.08325	-3
3202.09155	2
3202.10010	-1
3202.11255	0
3202.12085	0
3202.13330	0
3202.14160	1
3202.14990	0
3202.16333	-1
3202.17090	0
3202.18335	0
