EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
913
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
 12.500000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
  10.00000
Frequency
   9.12000
Power
  10.00000
Base line
1679
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	6
3200.01245	5
3200.02173	6
3200.03345	3
3200.04175	2
3200.05005	2
3200.06250	4
3200.07178	6
3200.08325	13
3200.09155	4
3200.10010	7
3200.11255	9
3200.12085	0
3200.13330	4
3200.14160	8
3200.14990	4
3200.16260	3
3200.17090	5
3200.18335	2
3200.19165	2
3200.19995	4
3200.21240	9
3200.22095	9
3200.23340	4
3200.24170	3
3200.25000	7
3200.26245	1
3200.27075	3
3200.28491	1
3200.29175	3
3200.30078	5
3200.31250	2
3200.32080	3
3200.33325	7
3200.34253	11
3200.35010	4
3200.36255	6
3200.37085	4
3200.38330	5
3200.39160	12
3200.39990	7
3200.41260	3
3200.42163	5
3200.43335	7
3200.44165	9
3200.44995	9
3200.46240	2
3200.47095	12
3200.48340	5
3200.49170	7
3200.50000	8
3200.51245	7
3200.52075	0
3200.53345	8
3200.54175	3
3200.55005	8
3200.56250	9
3200.57080	9
3200.58325	7
3200.59155	3
3200.60010	5
3200.61255	9
3200.62085	5
3200.63330	6
3200.64160	1
3200.64990	1
3200.66260	7
3200.67090	9
3200.68335	5
3200.69165	9
3200.69995	1
3200.71240	7
3200.72095	2
3200.72998	6
3200.74170	10
3200.75000	6
3200.76245	11
3200.77173	7
3200.78345	6
3200.79175	8
3200.80005	3
3200.81250	8
3200.82080	15
3200.83423	4
3200.84155	4
3200.85083	12
3200.86255	2
3200.87085	3
3200.88501	6
3200.89160	9
3200.89990	9
3200.91260	4
3200.92090	4
3200.93408	3
3200.94165	4
3200.94995	5
3200.96240	6
3200.97095	-1
3200.98511	6
3200.99243	6
3201.00073	12
3201.01245	8
3201.02075	2
3201.03418	2
3201.04175	8
3201.05005	6
3201.06323	2
3201.07080	4
3201.08081	11
3201.09155	7
3201.10010	2
3201.11255	4
3201.12085	5
3201.12988	9
3201.14160	3
3201.14990	6
3201.16333	7
3201.17090	2
3201.18335	11
3201.19165	5
3201.19995	1
3201.21240	6
3201.22095	3
3201.23340	7
3201.24170	8
3201.25000	7
3201.26245	5
3201.27075	9
3201.28345	6
3201.29175	3
3201.30005	8
3201.31323	6
3201.32080	8
3201.33325	6
3201.34155	9
3201.35010	4
3201.36255	4
3201.37085	7
3201.38330	6
3201.39258	5
3201.39990	3
3201.41260	7
3201.42090	1
3201.43335	6
3201.44165	3
3201.44995	2
3201.46240	10
3201.47095	10
3201.48340	4
3201.49170	7
3201.50000	2
3201.51245	7
3201.52173	9
3201.53345	6
3201.54175	7
3201.55005	4
3201.56250	8
3201.57080	6
3201.58325	-1
3201.59155	2
3201.60010	9
3201.61255	5
3201.62085	3
3201.63330	5
3201.64160	7
3201.64990	8
3201.66260	8
3201.67090	5
3201.67993	6
3201.69165	5
3201.69995	8
3201.71240	7
3201.72095	5
3201.72998	8
3201.74170	6
3201.75000	5
3201.76245	4
3201.77075	5
3201.78345	5
3201.79175	2
3201.80005	8
3201.81323	5
3201.82080	8
3201.83008	11
3201.84155	10
3201.85010	6
3201.86328	10
3201.87085	4
3201.88330	2
3201.89160	2
3201.89990	7
3201.91260	8
3201.92090	5
3201.93335	2
3201.94165	6
3201.94995	0
3201.96240	8
3201.97095	6
3201.98340	7
3201.99170	10
3202.00000	9
3202.01245	11
3202.02173	8
3202.03345	5
3202.04175	8
3202.05005	2
3202.06250	7
3202.07178	5
3202.08325	1
3202.09253	4
3202.10010	-2
3202.11255	8
3202.12158	8
3202.13330	8
3202.14160	4
3202.14990	4
3202.16260	7
3202.17261	7
3202.18335	3
3202.19165	5
3202.19995	7
3202.21240	5
3202.22168	3
3202.22998	4
3202.24170	9
3202.25000	5
3202.26245	7
3202.27246	2
3202.28345	7
3202.29175	3
3202.30005	4
3202.31250	4
3202.32178	1
3202.33325	5
3202.34155	7
3202.35010	12
3202.36255	12
3202.37256	8
3202.38330	3
3202.39160	7
3202.39990	10
3202.41260	7
3202.42163	11
3202.42993	6
3202.44165	6
3202.44995	10
3202.46240	8
3202.47241	6
3202.48340	3
3202.49170	9
3202.50000	6
3202.51245	5
3202.52173	3
3202.53345	6
3202.54175	3
3202.55005	5
3202.56250	12
3202.57080	6
3202.58325	10
3202.59155	8
3202.60010	8
3202.61255	8
3202.62085	2
3202.63330	4
3202.64258	6
3202.65088	6
3202.66260	6
3202.67090	3
3202.68335	5
3202.69165	9
3202.69995	10
3202.71240	10
3202.72095	4
3202.73340	2
3202.74170	6
3202.75000	7
3202.76416	8
3202.77173	4
3202.78003	10
3202.79175	9
3202.80005	7
3202.81250	8
3202.82080	9
3202.83325	7
3202.84155	6
3202.85010	6
3202.86255	5
3202.87085	7
3202.88330	6
3202.89160	7
3202.89990	3
3202.91260	6
3202.92090	6
3202.93335	3
3202.94165	2
3202.94995	3
3202.96338	7
3202.97095	8
3202.97998	8
3202.99170	8
3203.00000	4
3203.01245	3
3203.02075	2
3203.03345	6
3203.04175	10
3203.05005	8
3203.06250	6
3203.07080	8
3203.08325	9
3203.09155	8
3203.10010	10
3203.11255	7
3203.12085	7
3203.13330	11
3203.14160	4
3203.14990	6
3203.16260	7
3203.17090	5
3203.18335	6
3203.19165	6
3203.19995	14
3203.21240	13
3203.22095	2
3203.23340	6
3203.24170	4
3203.25000	7
3203.26245	12
3203.27075	7
3203.28345	9
3203.29175	6
3203.30005	6
3203.31250	10
3203.32178	9
3203.33325	3
3203.34155	2
3203.35010	-2
3203.36255	10
3203.37085	4
3203.38330	4
3203.39160	5
3203.39990	7
3203.41260	7
3203.42090	2
3203.43335	3
3203.44165	9
3203.44995	9
3203.46240	10
3203.47095	-1
3203.47998	10
3203.49170	8
3203.50000	11
3203.51245	11
3203.52075	12
3203.53003	11
3203.54175	8
3203.55005	10
3203.56250	3
3203.57080	7
3203.58325	5
3203.59155	8
3203.60010	13
3203.61255	9
3203.62085	6
3203.63330	5
3203.64160	10
3203.64990	7
3203.66260	13
3203.67090	7
3203.68335	6
3203.69165	7
3203.69995	3
3203.71240	6
3203.72095	6
3203.73340	4
3203.74170	7
3203.75000	7
3203.76245	6
3203.77075	12
3203.78345	4
3203.79175	4
3203.80005	8
3203.81250	8
3203.82080	12
3203.83325	6
3203.84155	8
3203.85010	7
3203.86255	5
3203.87158	5
3203.88330	8
3203.89160	7
3203.89990	10
3203.91260	6
3203.92090	7
3203.93335	9
3203.94165	13
3203.94995	6
3203.96240	6
3203.97095	9
3203.98413	3
3203.99170	4
3204.00073	7
3204.01245	6
3204.02075	-3
3204.03491	13
3204.04175	8
3204.05005	5
3204.06323	9
3204.07178	7
3204.08325	10
3204.09155	5
3204.10010	7
3204.11255	9
3204.12085	6
3204.13330	10
3204.14160	5
3204.14990	4
3204.16260	7
3204.17163	8
3204.18335	4
3204.19165	10
3204.19995	2
3204.21240	5
3204.22095	4
3204.22998	6
3204.24170	1
3204.25000	8
3204.26245	9
3204.27075	2
3204.28418	6
3204.29175	8
3204.30005	9
3204.31250	8
3204.32080	6
3204.33496	11
3204.34155	9
3204.35083	8
3204.36255	12
3204.37085	10
3204.38428	7
3204.39160	8
3204.39990	8
3204.41260	7
3204.42090	6
3204.43506	11
3204.44165	3
3204.44995	10
3204.46240	8
3204.47095	3
3204.48413	2
3204.49243	7
3204.50000	5
3204.51245	4
3204.52075	10
3204.53345	7
3204.54175	7
3204.55005	9
3204.56323	7
3204.57080	2
3204.58008	11
3204.59155	7
3204.60010	10
3204.61328	9
3204.62085	9
3204.63330	3
3204.64160	7
3204.64990	8
3204.66260	8
3204.67090	6
3204.68335	6
3204.69165	9
3204.69995	11
3204.71240	9
3204.72095	7
3204.73340	12
3204.74170	5
3204.75000	8
3204.76245	6
3204.77173	5
3204.78345	7
3204.79175	5
3204.80005	7
3204.81250	5
3204.82080	9
3204.83325	9
3204.84253	2
3204.85010	7
3204.86255	8
3204.87085	5
3204.88330	10
3204.89258	12
3204.89990	7
3204.91260	8
3204.92090	4
3204.93335	11
3204.94165	7
3204.94995	6
3204.96240	6
3204.97095	10
3204.97998	10
3204.99170	13
3205.00000	12
3205.01245	10
3205.02075	6
3205.03418	8
3205.04175	7
3205.05005	12
3205.06250	14
3205.07080	12
3205.08325	6
3205.09155	5
3205.10010	10
3205.11255	5
3205.12158	3
3205.13330	9
3205.14160	7
3205.14990	9
3205.16333	12
3205.17090	4
3205.18335	5
3205.19165	11
3205.19995	5
3205.21240	10
3205.22095	9
3205.23340	11
3205.24243	9
3205.25000	9
3205.26245	6
3205.27075	7
3205.28345	10
3205.29175	7
3205.30005	4
3205.31323	10
3205.32080	11
3205.33008	10
3205.34155	4
3205.35010	12
3205.36255	9
3205.37085	13
3205.38330	8
3205.39160	11
3205.39990	9
3205.41260	8
3205.42090	7
3205.43335	9
3205.44165	12
3205.45093	12
3205.46240	13
3205.47095	10
3205.48413	10
3205.49170	12
3205.50073	11
3205.51245	10
3205.52075	9
3205.53491	12
3205.54175	2
3205.55005	6
3205.56250	11
3205.57080	8
3205.58325	7
3205.59155	8
3205.60010	4
3205.61255	9
3205.62085	7
3205.63330	3
3205.64160	8
3205.64990	6
3205.66260	12
3205.67163	2
3205.68335	3
3205.69165	9
3205.69995	5
3205.71240	9
3205.72168	9
3205.73340	4
3205.74170	11
3205.75073	9
3205.76245	12
3205.77173	9
3205.78345	6
3205.79175	5
3205.80078	6
3205.81250	9
3205.82080	8
3205.83325	10
3205.84155	7
3205.85010	7
3205.86328	9
3205.87085	8
3205.87988	10
3205.89160	14
