EPRTextModeVersion05
pitch in KCl
Year
2023
Month
2
Day
20
Time
969
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00010
Modulation amplitude
   5.00000
Frequency
   9.12000
Power
  10.00000
Base line
1656
t, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3200.00000	22
3200.01172	30
3200.02002	39
3200.03345	17
3200.04077	30
3200.05322	30
3200.06250	34
3200.07007	18
3200.08008	22
3200.09082	32
3200.10327	29
3200.11157	34
3200.12012	48
3200.13257	36
3200.14087	30
3200.15332	32
3200.16162	25
3200.16992	30
3200.18262	50
3200.19165	30
3200.20337	21
3200.21167	33
3200.21997	33
3200.23242	30
3200.24072	32
3200.25342	41
3200.26172	39
3200.27002	31
3200.28247	25
3200.29077	24
3200.30322	27
3200.31177	38
3200.32007	29
3200.33252	39
3200.34155	22
3200.35327	25
3200.36157	33
3200.37012	17
3200.38257	19
3200.39087	18
3200.40332	37
3200.41260	15
3200.41992	25
3200.43262	16
3200.44092	18
3200.45337	21
3200.46167	29
3200.46997	18
3200.48242	30
3200.49170	36
3200.50000	16
3200.51172	43
3200.52002	26
3200.53247	53
3200.54175	18
3200.55005	40
3200.56177	32
3200.57007	22
3200.58252	27
3200.59082	31
3200.60327	34
3200.61157	29
3200.62012	21
3200.63257	22
3200.64160	42
3200.65332	42
3200.66162	16
3200.66992	38
3200.68262	37
3200.69092	30
3200.70337	40
3200.71167	24
3200.71997	28
3200.73242	50
3200.74072	17
3200.75342	37
3200.76245	30
3200.77002	24
3200.78247	37
3200.79077	33
3200.80420	42
3200.81177	10
3200.82080	21
3200.83252	28
3200.84082	32
3200.85327	23
3200.86157	33
3200.87012	21
3200.88257	31
3200.89087	23
3200.89990	28
3200.91162	23
3200.91992	16
3200.93262	36
3200.94092	38
3200.95337	34
3200.96167	16
3200.96997	35
3200.98242	28
3200.99072	33
3201.00342	30
3201.01172	17
3201.02002	35
3201.03247	36
3201.04077	39
3201.05005	26
3201.06177	34
3201.07007	38
3201.08252	55
3201.09082	16
3201.10010	16
3201.11157	36
3201.12012	42
3201.13257	29
3201.14087	36
3201.15332	26
3201.16260	27
3201.16992	47
3201.18262	31
3201.19092	31
3201.20337	32
3201.21167	32
3201.21997	23
3201.23242	29
3201.24072	22
3201.25342	26
3201.26172	38
3201.27002	17
3201.28247	25
3201.29077	22
3201.30322	34
3201.31177	16
3201.32080	17
3201.33252	37
3201.34082	29
3201.35327	20
3201.36157	23
3201.37085	38
3201.38257	32
3201.39087	36
3201.40332	24
3201.41162	22
3201.41992	23
3201.43262	32
3201.44092	28
3201.45337	17
3201.46167	23
3201.46997	22
3201.48242	16
3201.49072	20
3201.50342	25
3201.51172	43
3201.52002	14
3201.53247	35
3201.54077	32
3201.55322	24
3201.56177	23
3201.57007	30
3201.58252	48
3201.59155	21
3201.60327	34
3201.61157	39
3201.62012	27
3201.63257	44
3201.64087	35
3201.65332	17
3201.66162	20
3201.66992	33
3201.68262	34
3201.69092	25
3201.70337	27
3201.71167	41
3201.71997	29
3201.73242	42
3201.74072	22
3201.75342	27
3201.76172	48
3201.77002	13
3201.78247	31
3201.79077	39
3201.80005	32
3201.81177	13
3201.82007	25
3201.83252	27
3201.84082	31
3201.85327	28
3201.86157	32
3201.87012	28
3201.88257	36
3201.89087	35
3201.90405	32
3201.91162	32
3201.91992	14
3201.93262	37
3201.94092	36
3201.95508	40
3201.96167	33
3201.96997	40
3201.98242	31
3201.99072	25
3202.00415	23
3202.01172	19
3202.02002	15
3202.03247	36
3202.04077	24
3202.05493	39
3202.06250	41
3202.07007	36
3202.08252	32
3202.09082	4
3202.10425	36
3202.11157	14
3202.12012	26
3202.13330	43
3202.14087	22
3202.15088	19
3202.16162	27
3202.16992	27
3202.18262	26
3202.19092	40
3202.19995	41
3202.21167	24
3202.21997	42
3202.23242	22
3202.24072	30
3202.25073	23
3202.26172	12
3202.27002	22
3202.28247	35
3202.29077	37
3202.30005	42
3202.31177	28
3202.32007	13
3202.33252	18
3202.34082	51
3202.35327	37
3202.36157	26
3202.37012	23
3202.38330	18
3202.39087	51
3202.40332	13
3202.41260	23
3202.41992	26
3202.43262	26
3202.44092	37
3202.45337	24
3202.46240	37
3202.46997	28
3202.48242	13
3202.49072	37
3202.50342	33
3202.51172	32
3202.52002	15
3202.53247	26
3202.54175	22
3202.55005	46
3202.56177	23
3202.57007	44
3202.58252	20
3202.59082	4
3202.60327	37
3202.61157	23
3202.62012	21
3202.63257	29
3202.64087	30
3202.65332	35
3202.66162	26
3202.66992	37
3202.68262	39
3202.69092	24
3202.70337	34
3202.71167	20
3202.71997	9
3202.73340	30
3202.74072	52
3202.75000	22
3202.76172	32
3202.77002	15
3202.78247	40
3202.79077	34
3202.80322	33
3202.81250	31
3202.82007	28
3202.83252	29
3202.84155	33
3202.85327	27
3202.86157	39
3202.87012	28
3202.88257	32
3202.89087	40
3202.89990	25
3202.91162	34
3202.91992	32
3202.93262	38
3202.94092	36
3202.95337	23
3202.96167	33
3202.96997	37
3202.98242	16
3202.99072	26
3203.00342	24
3203.01172	36
3203.02002	33
3203.03247	25
3203.04175	14
3203.05005	17
3203.06177	39
3203.07007	39
3203.08252	4
3203.09155	-1
3203.10010	27
3203.11157	19
3203.12012	27
3203.13257	47
3203.14087	19
3203.15332	37
3203.16260	40
3203.16992	25
3203.18262	36
3203.19092	40
3203.20337	24
3203.21167	30
3203.21997	34
3203.23242	35
3203.24072	37
3203.25342	29
3203.26245	33
3203.27002	42
3203.28247	26
3203.29077	44
3203.30005	17
3203.31323	20
3203.32007	34
3203.33252	35
3203.34082	27
3203.35327	30
3203.36255	27
3203.37012	45
3203.38257	23
3203.39087	25
3203.40332	30
3203.41333	33
3203.41992	20
3203.43262	40
3203.44092	12
3203.45337	22
3203.46240	29
3203.46997	38
3203.48242	37
3203.49072	52
3203.50342	26
3203.51343	22
3203.52002	44
3203.53247	45
3203.54077	28
3203.55322	32
3203.56250	32
3203.57007	29
3203.58252	29
3203.59082	33
3203.60327	23
3203.61328	30
3203.62012	20
3203.63257	24
3203.64087	30
3203.65405	26
3203.66162	27
3203.67090	33
3203.68262	41
3203.69092	24
3203.70410	27
3203.71240	36
3203.72168	29
3203.73242	30
3203.74072	38
3203.75342	30
3203.76172	31
3203.77075	43
3203.78247	26
3203.79077	33
3203.80005	22
3203.81177	24
3203.82007	40
3203.83252	40
3203.84082	31
3203.85010	29
3203.86157	35
3203.87012	35
3203.88257	25
3203.89087	38
3203.90332	42
3203.91162	40
3203.91992	35
3203.93335	35
3203.94092	27
3203.95337	36
3203.96167	41
3203.96997	39
3203.98242	35
3203.99072	46
3204.00342	31
3204.01172	28
3204.02002	19
3204.03345	30
3204.04077	40
3204.05322	33
3204.06250	33
3204.07007	36
3204.08252	38
3204.09082	45
3204.10327	16
3204.11255	48
3204.12012	29
3204.13257	20
3204.14087	27
3204.15332	26
3204.16162	42
3204.16992	36
3204.18262	24
3204.19092	40
3204.20337	31
3204.21167	39
3204.21997	44
3204.23242	34
3204.24072	20
3204.25342	27
3204.26245	28
3204.27075	33
3204.28247	39
3204.29077	30
3204.30322	26
