EPRTextModeVersion05

Year
2024
Month
11
Day
21
Time
725
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
2190
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
9
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	1
2500.19995	2
2500.28345	1
2500.33325	1
2500.44995	1
2500.50000	1
2500.61670	1
2500.69995	1
2500.78345	2
2500.83325	2
2500.94995	2
2501.00000	2
2501.11670	2
2501.16675	2
2501.28345	2
2501.33325	2
2501.41675	2
2501.53345	2
2501.61670	3
2501.66675	3
2501.78345	2
2501.83325	2
2501.94995	2
2502.03345	3
2502.11670	2
2502.19995	3
2502.28345	3
2502.33325	3
2502.44995	3
2502.53345	2
2502.61670	3
2502.66675	3
2502.78345	3
2502.83325	2
2502.94995	3
2503.00000	3
2503.11670	3
2503.16675	3
2503.28345	3
2503.33325	2
2503.44995	3
2503.50000	2
2503.61670	3
2503.66675	2
2503.78345	3
2503.83325	3
2503.94995	3
2504.03345	3
2504.11670	2
2504.16675	2
2504.28345	3
2504.36670	3
2504.44995	3
2504.50000	3
2504.61670	3
2504.66675	4
2504.78345	3
2504.83325	3
2504.94995	4
2505.00000	3
2505.11670	3
2505.16675	3
2505.28345	3
2505.36670	3
2505.44995	4
2505.50000	4
2505.61670	4
2505.69995	3
2505.78345	4
2505.83325	4
2505.94995	4
2506.00000	4
2506.11670	4
2506.19995	4
2506.28345	4
2506.33325	4
2506.45825	4
2506.50000	4
2506.61670	5
2506.66675	5
2506.78345	4
2506.83325	4
2506.94995	4
2507.00000	5
2507.11670	5
2507.19995	4
2507.28345	4
2507.33325	4
2507.44995	4
2507.50000	4
2507.61670	4
2507.69995	4
2507.78345	4
2507.83325	4
2507.94995	4
2508.03345	4
2508.11670	4
2508.16675	4
2508.28345	4
2508.33325	4
2508.44995	4
2508.50000	3
2508.61670	4
2508.66675	4
2508.78345	4
2508.83325	4
2508.94995	4
2509.00000	4
2509.11670	4
2509.16675	4
2509.28345	3
2509.36670	3
2509.44995	3
2509.50000	4
2509.61670	4
2509.66675	4
2509.78345	3
2509.86670	4
2509.91675	4
2510.00000	4
2510.11670	4
2510.16675	4
2510.28345	4
2510.33325	5
2510.44995	4
2510.50000	4
2510.61670	4
2510.66675	4
2510.78345	4
2510.83325	5
2510.94995	5
2511.00000	4
2511.11670	5
2511.19995	4
2511.28345	4
2511.33325	4
2511.44995	4
2511.50000	4
2511.61670	4
2511.66675	3
2511.78345	4
2511.83325	3
2511.94995	4
2512.00000	5
2512.11670	4
2512.16675	4
2512.28345	4
2512.33325	3
2512.41675	3
2512.53345	4
2512.61670	3
2512.66675	4
2512.78345	3
2512.83325	3
2512.94995	4
2513.03345	4
2513.11670	4
2513.19995	4
2513.28345	4
2513.33325	3
2513.44995	4
2513.50000	3
2513.61670	4
2513.66675	3
2513.78345	3
2513.83325	3
2513.94995	4
2514.00000	3
2514.11670	3
2514.16675	4
2514.28345	4
2514.33325	4
2514.44995	3
2514.53345	3
2514.61670	4
2514.66675	3
2514.78345	4
2514.83325	3
2514.91675	4
2515.03345	4
2515.11670	3
2515.16675	3
2515.28345	3
2515.33325	4
2515.44995	3
2515.50000	3
2515.62500	3
2515.66675	3
2515.78345	3
2515.83325	3
2515.94995	3
2516.00000	2
2516.11670	3
2516.16675	2
2516.28345	2
2516.36670	2
2516.44995	3
2516.50000	2
2516.62500	2
2516.66675	1
2516.78345	2
2516.83325	3
2516.94995	3
2517.00000	2
2517.11670	2
2517.16675	2
2517.28345	2
2517.33325	2
2517.44995	3
2517.50000	2
2517.61670	3
2517.66675	3
2517.78345	3
2517.83325	2
2517.94995	2
2518.00000	2
2518.11670	2
2518.19995	3
2518.28345	2
2518.33325	3
2518.44995	3
2518.50000	3
2518.61670	3
2518.66675	4
2518.78345	3
2518.83325	2
2518.94995	3
2519.00000	3
2519.11670	2
2519.16675	3
2519.28345	2
2519.33325	3
2519.44995	3
2519.50000	2
2519.61670	2
2519.66675	2
2519.75000	2
2519.86670	2
2519.94995	2
2520.00000	2
2520.11670	3
2520.20825	2
2520.28345	2
2520.33325	3
2520.44995	3
2520.53345	2
2520.61670	3
2520.66675	2
2520.78345	2
2520.83325	2
2520.94995	3
2521.00000	2
2521.11670	2
2521.16675	2
2521.28345	3
2521.33325	2
2521.44995	3
2521.50000	3
2521.61670	3
2521.66675	3
2521.78345	3
2521.83325	2
2521.94995	3
2522.03345	2
2522.11670	2
2522.16675	2
2522.28345	3
2522.36670	2
2522.44995	2
2522.50000	3
2522.61670	3
2522.66675	2
2522.78345	2
2522.83325	2
2522.94995	2
2523.00000	2
2523.11670	2
2523.16675	2
2523.28345	2
2523.33325	2
2523.44995	2
2523.53345	2
2523.61670	2
2523.66675	1
2523.78345	2
2523.83325	2
2523.94995	2
2524.03345	1
2524.11670	2
2524.19995	2
2524.28345	2
2524.33325	1
2524.44995	2
2524.50000	1
2524.61670	2
2524.66675	1
2524.79175	1
2524.83325	1
2524.94995	1
2525.00000	1
2525.11670	1
2525.16675	2
2525.28345	2
2525.33325	2
2525.44995	2
2525.50000	2
2525.61670	2
2525.66675	2
2525.78345	2
2525.86670	2
2525.94995	2
2526.03345	2
2526.11670	2
2526.16675	2
2526.28345	2
2526.33325	0
2526.44995	1
2526.50000	1
2526.61670	1
2526.66675	1
2526.78345	2
2526.83325	1
2526.94995	2
2527.00000	1
2527.11670	2
2527.19995	1
2527.25000	1
2527.36670	1
2527.44995	1
2527.50000	1
2527.61670	1
2527.66675	1
2527.78345	2
2527.83325	1
2527.94995	1
2528.00000	1
2528.11670	1
2528.16675	1
2528.29175	2
2528.33325	1
2528.44995	1
2528.50000	1
2528.61670	1
2528.66675	1
2528.78345	1
2528.83325	1
2528.94995	1
2529.00000	1
2529.11670	1
2529.16675	1
2529.28345	1
2529.33325	1
2529.44995	1
2529.50000	1
2529.61670	1
2529.66675	1
2529.78345	0
2529.83325	1
2529.94995	1
2530.00000	1
2530.11670	1
2530.16675	1
2530.28345	1
2530.33325	1
2530.44995	1
2530.50000	0
2530.61670	1
2530.66675	0
2530.78345	0
2530.83325	0
2530.91675	1
2531.03345	1
2531.11670	0
2531.16675	1
2531.28345	0
2531.33325	2
2531.44995	1
2531.50000	1
2531.61670	1
2531.66675	1
2531.79175	1
2531.86670	2
2531.94995	2
2532.00000	1
2532.11670	1
2532.16675	1
2532.28345	1
2532.33325	1
2532.44995	1
2532.50000	1
2532.61670	1
2532.66675	1
2532.78345	1
2532.83325	1
2532.94995	1
2533.00000	1
2533.11670	1
2533.19995	0
2533.28345	1
2533.36670	1
2533.41675	1
2533.50000	0
2533.61670	0
2533.66675	1
2533.79175	0
2533.83325	1
2533.95825	0
2534.00000	0
2534.11670	0
2534.16675	0
2534.28345	1
2534.33325	1
2534.44995	1
2534.50000	0
2534.61670	0
2534.69995	1
2534.78345	1
2534.83325	0
2534.94995	0
2535.00000	0
2535.11670	0
2535.19995	0
2535.28345	0
2535.33325	0
2535.44995	0
2535.50000	0
2535.61670	0
2535.66675	0
2535.78345	0
2535.83325	0
2535.94995	0
2536.00000	0
2536.11670	0
2536.16675	0
2536.25000	0
2536.36670	0
2536.44995	0
2536.50000	0
2536.61670	0
2536.66675	0
2536.78345	0
2536.86670	0
2536.91675	0
2537.03345	0
2537.11670	0
2537.19995	0
2537.28345	0
2537.33325	0
2537.44995	0
2537.53345	0
2537.62500	0
2537.69995	0
2537.78345	0
2537.86670	0
2537.94995	0
2538.03345	0
2538.11670	0
2538.19995	0
2538.28345	0
2538.36670	0
2538.44995	0
2538.54175	0
2538.61670	0
2538.69995	0
2538.78345	0
2538.86670	0
2538.94995	0
2539.03345	0
2539.11670	0
2539.19995	0
2539.28345	0
2539.36670	0
2539.45825	0
2539.53345	0
2539.62500	0
2539.69995	0
2539.78345	0
2539.86670	0
2539.94995	0
2540.03345	0
2540.11670	0
2540.19995	0
2540.29175	0
2540.37500	0
2540.44995	0
2540.53345	0
2540.61670	-1
2540.69995	0
2540.75000	0
2540.86670	0
2540.91675	-1
2541.03345	0
2541.08325	0
2541.19995	0
2541.25000	0
2541.36670	0
2541.41675	-1
2541.53345	-1
2541.58325	-1
2541.69995	-1
2541.75000	0
2541.86670	-1
2541.94995	-1
2542.00000	-1
2542.11670	0
2542.19995	-1
2542.25000	-1
2542.36670	-1
2542.41675	0
2542.53345	0
2542.58325	-1
2542.69995	-1
2542.75000	-1
2542.86670	-1
2542.91675	-1
2543.03345	-1
2543.08325	-1
2543.19995	-1
2543.25000	0
2543.36670	-1
2543.41675	-1
2543.53345	-1
2543.58325	-1
2543.69995	-2
2543.78345	-1
2543.83325	-1
2543.94995	-1
2544.03345	-1
2544.08325	-1
2544.19995	-2
2544.28345	-1
2544.36670	-1
2544.41675	-1
2544.53345	-1
2544.58325	-2
2544.69995	-2
2544.75000	-2
2544.87500	-2
2544.91675	-2
2545.03345	-2
2545.08325	-2
2545.19995	-2
2545.25000	-2
2545.36670	-2
2545.41675	-2
2545.53345	-2
2545.61670	-2
2545.69995	-2
2545.75000	-2
2545.87500	-2
2545.91675	-1
2546.03345	-2
2546.08325	-1
2546.19995	-2
2546.25000	-2
2546.36670	-2
2546.41675	-2
2546.53345	-2
2546.58325	-1
2546.66675	-1
2546.78345	-2
2546.86670	-2
2546.91675	-2
2547.03345	-2
2547.08325	-1
2547.19995	-2
2547.25000	-1
2547.36670	-1
2547.41675	-2
2547.53345	-2
2547.58325	-2
2547.70825	-2
2547.75000	-2
2547.86670	-2
2547.91675	-1
2548.03345	-2
2548.08325	-2
2548.19995	-2
2548.25000	-2
2548.36670	-2
2548.41675	-2
2548.53345	-1
2548.58325	-2
2548.69995	-2
2548.75000	-2
2548.86670	-1
2548.91675	-2
2549.03345	-1
2549.08325	-2
2549.19995	-1
2549.25000	-2
2549.36670	-2
2549.41675	-2
2549.54175	-2
2549.58325	-2
2549.69995	-2
2549.78345	-2
2549.86670	-2
2549.91675	-2
2550.03345	-2
2550.08325	-2
2550.19995	-2
2550.25000	-2
2550.36670	-2
2550.41675	-2
2550.53345	-2
2550.58325	-2
2550.69995	-2
2550.75000	-2
2550.86670	-2
2550.91675	-1
2551.03345	-2
2551.11670	-2
2551.16675	-2
2551.28345	-1
2551.36670	-2
2551.41675	-2
2551.53345	-1
2551.58325	-2
2551.69995	-1
2551.75000	-2
2551.87500	-1
2551.94995	-1
2552.03345	-2
2552.08325	-1
2552.19995	-1
2552.25000	-2
2552.36670	-1
2552.41675	-1
2552.53345	-2
2552.58325	-2
2552.69995	-2
2552.75000	-1
2552.86670	-2
2552.94995	-1
2553.03345	-1
2553.08325	-1
2553.19995	-1
2553.25000	-1
2553.36670	-1
2553.44995	-1
2553.53345	-1
2553.58325	-1
2553.69995	-2
2553.75000	-1
2553.86670	-2
2553.91675	-2
2554.03345	-1
2554.08325	-2
2554.19995	-2
2554.25000	-3
2554.36670	-2
2554.41675	-2
2554.53345	-3
2554.58325	-2
2554.69995	-3
2554.75000	-2
2554.86670	-2
2554.91675	-3
2555.03345	-3
2555.08325	-3
2555.19995	-3
2555.25000	-3
2555.33325	-2
2555.45825	-3
2555.53345	-3
2555.61670	-2
2555.69995	-3
2555.78345	-3
2555.86670	-3
2555.95825	-3
2556.03345	-3
2556.11670	-3
2556.19995	-4
2556.28345	-4
2556.33325	-3
2556.44995	-3
2556.53345	-4
2556.62500	-3
2556.69995	-4
2556.75000	-4
2556.87500	-4
2556.91675	-5
2557.03345	-4
2557.08325	-4
2557.19995	-4
2557.25000	-4
2557.36670	-4
2557.41675	-4
2557.53345	-5
2557.58325	-4
2557.69995	-4
2557.75000	-4
2557.86670	-4
2557.91675	-4
2558.03345	-4
2558.08325	-5
2558.19995	-4
2558.25000	-4
2558.36670	-4
2558.41675	-5
2558.53345	-4
2558.58325	-5
2558.69995	-5
2558.75000	-4
2558.86670	-4
2558.91675	-5
2559.03345	-4
2559.08325	-4
2559.19995	-4
2559.25000	-5
2559.36670	-4
2559.41675	-5
2559.53345	-5
2559.58325	-5
2559.70825	-5
2559.75000	-5
2559.86670	-4
2559.91675	-4
2560.03345	-4
2560.08325	-4
2560.19995	-4
2560.28345	-4
2560.36670	-5
2560.41675	-5
2560.53345	-5
2560.58325	-5
2560.69995	-5
2560.75000	-5
2560.86670	-5
2560.91675	-5
2561.03345	-4
2561.08325	-5
2561.19995	-4
2561.25000	-5
2561.36670	-4
2561.41675	-5
2561.53345	-4
2561.58325	-5
2561.69995	-4
2561.75000	-4
2561.86670	-5
2561.91675	-4
2562.03345	-5
2562.08325	-4
2562.19995	-4
2562.25000	-5
2562.36670	-4
2562.41675	-5
2562.53345	-5
2562.58325	-4
2562.69995	-4
2562.75000	-5
2562.86670	-4
2562.91675	-5
2563.03345	-5
2563.12500	-4
2563.19995	-4
2563.29175	-5
2563.36670	-5
2563.44995	-5
2563.53345	-5
2563.61670	-5
2563.69995	-5
2563.78345	-5
