EPRTextModeVersion05

Year
2024
Month
11
Day
21
Time
771
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   4.00000
Dots number
12000
Time constant
   1.00000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1746
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
3
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.08325	1
2500.16675	2
2500.25000	3
2500.33325	3
2500.41675	2
2500.50000	2
2500.58325	3
2500.66675	3
2500.75000	3
2500.83325	3
2500.91675	4
2501.00000	3
2501.08325	3
2501.16675	3
2501.25000	3
2501.33325	4
2501.41675	4
2501.50000	4
2501.58325	4
2501.66675	3
2501.75000	5
2501.83325	4
2501.91675	5
2502.00000	6
2502.08325	5
2502.16675	5
2502.25000	6
2502.33325	5
2502.41675	5
2502.50000	6
2502.58325	6
2502.66675	6
2502.75000	5
2502.83325	6
2502.91675	6
2503.00000	6
2503.08325	7
2503.16675	7
2503.25000	7
2503.33325	7
2503.41675	6
2503.50000	7
2503.58325	7
2503.66675	7
2503.75000	7
2503.83325	8
2503.91675	8
2504.00000	8
2504.08325	8
2504.16675	8
2504.25415	7
2504.33325	7
2504.41675	8
2504.50000	8
2504.58325	8
2504.66675	8
2504.75415	8
2504.83325	9
2504.91675	9
2505.00000	8
2505.08325	8
2505.16675	8
2505.25000	8
2505.33325	9
2505.41675	8
2505.50000	8
2505.58325	9
2505.66675	8
2505.75000	8
2505.83325	9
2505.91675	9
2506.00000	10
2506.08325	9
2506.16675	9
2506.25000	9
2506.33325	9
2506.42090	10
2506.50000	9
2506.58325	10
2506.66675	9
2506.75000	10
2506.83325	10
2506.91675	11
2507.00000	10
2507.08325	9
2507.16675	9
2507.25000	9
2507.33325	10
2507.41675	10
2507.50000	9
2507.58325	10
2507.66675	10
2507.75000	9
2507.83325	10
2507.91675	10
2508.00000	10
2508.08325	10
2508.16675	10
2508.25000	11
2508.33325	11
2508.41675	10
2508.50000	11
2508.58325	10
2508.66675	10
2508.75000	11
2508.83325	10
2508.91675	10
2509.00000	10
2509.08325	9
2509.16675	9
2509.25000	11
2509.33325	10
2509.41675	10
2509.50000	9
2509.58325	11
2509.66675	11
2509.75000	10
2509.83325	11
2509.91675	10
2510.00000	11
2510.08325	11
2510.16675	11
2510.25000	11
2510.33325	10
2510.41675	11
2510.50000	10
2510.58325	10
2510.66675	11
2510.75000	11
2510.83325	10
2510.91675	11
2511.00000	11
2511.08325	10
2511.16675	10
2511.25000	10
2511.33740	11
2511.41675	11
2511.50000	10
2511.58325	10
2511.66675	11
2511.75000	10
2511.83325	10
2511.91675	11
2512.00000	11
2512.08325	11
2512.16675	10
2512.25415	10
2512.33325	10
2512.41675	11
2512.50000	10
2512.58325	10
2512.66675	10
2512.75000	9
2512.83740	11
2512.91675	11
2513.00000	10
2513.08325	10
2513.17090	9
2513.25000	10
2513.33325	11
2513.41675	9
2513.50000	10
2513.58325	9
2513.66675	9
2513.75000	8
2513.83325	10
2513.91675	10
2514.00000	9
2514.08325	10
2514.16675	10
2514.25000	10
2514.33325	10
2514.41675	10
2514.50000	10
2514.58325	10
2514.66675	10
2514.75000	10
2514.83325	11
2514.91675	10
2515.00000	10
2515.08325	10
2515.16675	9
2515.25000	9
2515.33325	10
2515.41675	10
2515.50000	10
2515.58740	9
2515.66675	9
2515.75000	10
2515.83325	9
2515.91675	10
2516.00000	10
2516.08325	10
2516.16675	10
2516.25000	9
2516.33325	9
2516.41675	9
2516.50000	10
2516.58740	10
2516.66675	10
2516.75000	10
2516.83740	9
2516.91675	9
2517.00000	10
2517.08325	10
2517.16675	9
2517.25000	10
2517.33740	9
2517.41675	9
2517.50000	9
2517.58325	10
2517.66675	11
2517.75415	10
2517.83325	10
2517.92090	9
2518.00000	9
2518.08325	9
2518.16675	9
2518.25000	8
2518.33325	10
2518.41675	10
2518.50000	9
2518.58325	10
2518.67090	10
2518.75000	9
2518.83325	9
2518.91675	9
2519.00000	9
2519.08740	9
2519.16675	10
2519.25000	10
2519.33325	10
2519.41675	10
2519.50000	10
2519.58325	10
2519.66675	10
2519.75415	9
2519.83325	9
2519.91675	9
2520.00000	10
2520.08325	10
2520.16675	9
2520.25000	10
2520.33740	9
2520.41675	9
2520.50415	9
2520.58325	9
2520.66675	9
2520.75000	10
2520.83325	10
2520.91675	10
2521.00000	9
2521.08325	9
2521.16675	9
2521.25000	10
2521.33325	10
2521.42090	9
2521.50000	10
2521.58325	8
2521.66675	9
2521.75000	10
2521.83325	9
2521.91675	10
2522.00000	9
2522.08325	10
2522.16675	9
2522.25000	10
2522.33325	10
2522.41675	10
2522.50000	9
2522.58325	10
2522.66675	9
2522.75000	10
2522.83325	9
2522.91675	9
2523.00000	10
2523.08325	10
2523.16675	10
2523.25000	9
2523.33325	10
2523.41675	9
2523.50000	10
2523.58325	11
2523.66675	10
2523.75000	9
2523.83325	10
2523.91675	9
2524.00000	9
2524.08325	10
2524.16675	9
2524.25415	9
2524.33325	8
2524.41675	10
2524.50000	10
2524.58325	9
2524.66675	10
2524.75000	8
2524.83325	9
2524.91675	9
2525.00000	9
2525.08325	9
2525.16675	10
2525.25000	9
2525.33325	9
2525.41675	9
2525.50000	8
2525.58325	9
2525.66675	9
2525.75000	9
2525.83325	9
2525.91675	10
2526.00000	10
2526.08325	8
2526.16675	8
2526.25000	9
2526.33325	9
2526.41675	8
2526.50415	9
2526.58325	10
2526.66675	9
2526.75000	9
2526.83325	9
2526.91675	8
2527.00000	9
2527.08325	8
2527.16675	8
2527.25000	9
2527.33325	8
2527.41675	9
2527.50000	8
2527.58325	9
2527.66675	9
2527.75000	8
2527.83325	9
2527.91675	8
2528.00000	9
2528.08325	8
2528.16675	9
2528.25415	9
2528.33325	9
2528.41675	9
2528.50000	9
2528.58325	8
2528.66675	8
2528.75000	8
2528.83325	9
2528.91675	8
2529.00000	8
2529.08325	8
2529.16675	8
2529.25000	8
2529.33325	8
2529.41675	7
2529.50000	7
2529.58325	8
2529.66675	8
2529.75000	7
2529.83325	8
2529.91675	8
2530.00000	9
2530.08325	9
2530.16675	8
2530.25000	8
2530.33325	9
2530.41675	8
2530.50000	8
2530.58325	9
2530.66675	8
2530.75000	9
2530.83325	8
2530.91675	8
2531.00000	8
2531.08325	8
2531.16675	9
2531.25000	9
2531.33325	8
2531.41675	8
2531.50000	8
