EPRTextModeVersion05

Year
2024
Month
11
Day
21
Time
752
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   4.00000
Dots number
12000
Time constant
   1.00000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1746
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	5
2500.08325	1
2500.18335	2
2500.26660	2
2500.35010	0
2500.43335	2
2500.51660	-1
2500.58325	1
2500.68335	2
2500.76660	2
2500.85010	2
2500.93335	3
2501.00000	4
2501.10010	2
2501.18335	-1
2501.26660	2
2501.35010	0
2501.43335	3
2501.51660	3
2501.60010	3
2501.68335	5
2501.76660	3
2501.85010	3
2501.93335	3
2502.01660	3
2502.10010	4
2502.18335	4
2502.26660	4
2502.33325	4
2502.43335	4
2502.51660	4
2502.60010	4
2502.68335	4
2502.76660	5
2502.85010	5
2502.93335	6
2503.01660	4
2503.10010	6
2503.18335	4
2503.26660	6
2503.35010	5
2503.43335	5
2503.52075	5
2503.60010	6
2503.68335	6
2503.76660	4
2503.85010	5
2503.93335	5
2504.01660	5
2504.10010	6
2504.18335	4
2504.26660	5
2504.35010	5
2504.43335	6
2504.52075	5
2504.60010	6
2504.68335	5
2504.76660	7
2504.85010	7
2504.93335	7
2505.01660	5
2505.10010	6
2505.18335	6
2505.26660	6
2505.35010	6
2505.43335	5
2505.51660	6
2505.58325	5
2505.68335	7
2505.76660	6
2505.85010	6
2505.93335	6
2506.01660	8
2506.10010	5
2506.18335	4
2506.27075	6
2506.35010	5
2506.43335	6
2506.50000	6
2506.60010	6
2506.68335	5
2506.76660	8
2506.85010	5
2506.93335	5
2507.01660	5
2507.10010	5
2507.18335	5
2507.26660	6
2507.35010	6
2507.43335	5
2507.51660	7
2507.60010	5
2507.68335	6
2507.76660	7
2507.85010	5
2507.93335	4
2508.01660	6
2508.10010	7
2508.18335	6
2508.26660	7
2508.35010	6
2508.43335	6
2508.51660	6
2508.60010	6
2508.68335	6
2508.76660	5
2508.85010	7
2508.93335	6
2509.00000	5
2509.10010	5
2509.18335	6
2509.26660	5
2509.35010	5
2509.43335	6
2509.51660	6
2509.60010	8
2509.68335	8
2509.76660	6
2509.85010	8
2509.93335	8
2510.01660	8
2510.10010	9
2510.16675	7
2510.27075	7
2510.35010	7
2510.43335	6
2510.51660	6
2510.60010	5
2510.68335	7
2510.76660	6
2510.85425	7
2510.93335	7
2511.01660	7
2511.10010	7
2511.18335	7
2511.27075	5
2511.35010	6
2511.43335	7
2511.50000	7
2511.60010	6
2511.68335	7
2511.76660	6
2511.85010	5
2511.93335	5
2512.01660	6
2512.10010	6
2512.18335	7
2512.26660	5
2512.35010	7
2512.43335	8
2512.51660	5
2512.60010	6
2512.68335	6
2512.76660	8
2512.85010	6
2512.93335	6
2513.01660	8
2513.10010	6
2513.18335	6
2513.25000	8
2513.35010	7
2513.43335	6
2513.51660	7
2513.60425	6
2513.68750	6
2513.76660	7
2513.85010	5
2513.93335	5
2514.01660	7
2514.10010	6
2514.18335	6
2514.26660	7
2514.35010	7
2514.43335	8
2514.51660	7
2514.60010	7
2514.68335	6
2514.76660	7
2514.85010	7
2514.93335	6
2515.01660	6
2515.10010	7
2515.18335	8
2515.26660	7
2515.35010	7
2515.43335	7
2515.51660	6
2515.60010	6
2515.68335	7
2515.76660	6
2515.85010	7
2515.93335	8
2516.01660	8
2516.10010	6
2516.18335	6
2516.26660	7
2516.35010	7
2516.43335	8
2516.51660	8
2516.60010	8
2516.68335	8
2516.76660	8
2516.85010	8
2516.93335	6
2517.01660	7
2517.10010	8
2517.18335	8
2517.26660	8
2517.35010	7
2517.43335	7
2517.51660	6
2517.60010	7
2517.68335	7
2517.76660	8
2517.85010	6
2517.93335	7
2518.01660	10
2518.10010	8
2518.18335	7
2518.26660	6
2518.35010	7
2518.43335	8
2518.51660	6
2518.60010	6
2518.68335	7
2518.76660	7
2518.85010	7
2518.93335	9
2519.01660	7
2519.10425	7
2519.18335	8
2519.26660	7
2519.35010	7
2519.43335	8
2519.51660	7
2519.60010	7
2519.68335	9
2519.76660	8
2519.85010	7
2519.93335	7
2520.01660	7
2520.10010	8
2520.18335	8
2520.26660	7
2520.35010	7
2520.43335	7
2520.51660	6
2520.60010	8
2520.68335	7
2520.76660	7
2520.85010	7
2520.93335	7
2521.01660	11
2521.10010	9
2521.16675	8
2521.26660	8
2521.35010	9
2521.43335	6
2521.51660	8
2521.60010	7
2521.68335	8
2521.76660	9
2521.85010	7
2521.93335	9
2522.01660	8
2522.10010	8
2522.18335	8
2522.26660	9
2522.35010	8
2522.43335	8
2522.51660	8
2522.60010	5
2522.68335	7
2522.76660	7
2522.85425	6
2522.93335	8
2523.01660	8
2523.10010	8
2523.18335	8
2523.26660	6
2523.35010	7
2523.43335	8
2523.51660	7
2523.60010	8
2523.68750	8
2523.76660	7
2523.85010	8
2523.93335	8
2524.01660	8
2524.10010	7
2524.16675	10
2524.26660	9
2524.35010	8
2524.43335	8
2524.51660	8
2524.60010	8
2524.68335	7
2524.76660	7
2524.85010	6
2524.93335	8
2525.01660	8
2525.10010	7
2525.18335	7
2525.26660	8
2525.35010	7
2525.43335	7
2525.51660	7
2525.60010	5
2525.68335	6
2525.76660	6
2525.85010	7
2525.93335	8
2526.01660	8
2526.10010	7
2526.18335	6
2526.26660	8
2526.35425	6
2526.43335	5
2526.51660	8
2526.60010	6
2526.68335	6
2526.76660	7
2526.85010	7
2526.93335	5
2527.01660	7
2527.10010	7
2527.18335	6
2527.26660	5
2527.35010	6
2527.43335	7
2527.51660	6
2527.60010	7
2527.68335	5
2527.76660	5
2527.85010	5
2527.93335	6
2528.01660	6
2528.08325	7
2528.18335	5
2528.27075	5
2528.35010	5
2528.43335	7
2528.51660	8
2528.60010	6
2528.68335	7
2528.76660	5
