EPRTextModeVersion05

Year
2024
Month
11
Day
21
Time
926
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1745
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
9
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.08325	0
2500.19995	0
2500.25000	0
2500.36670	0
2500.41675	0
2500.53345	1
2500.58325	0
2500.66675	0
2500.78345	0
2500.86670	0
2500.91675	0
2501.03345	1
2501.08325	0
2501.19995	0
2501.29175	0
2501.36670	0
2501.41675	1
2501.53345	1
2501.58325	1
2501.69995	1
2501.75000	1
2501.86670	1
2501.91675	1
2502.03345	2
2502.08325	1
2502.19995	1
2502.25000	2
2502.36670	1
2502.41675	2
2502.53345	2
2502.58325	2
2502.66675	1
2502.78345	2
2502.86670	1
2502.91675	2
2503.03345	2
2503.11670	1
2503.16675	2
2503.28345	1
2503.36670	2
2503.41675	2
2503.53345	1
2503.58325	2
2503.69995	1
2503.75000	1
2503.86670	2
2503.91675	1
2504.04175	1
2504.11670	1
2504.19995	1
2504.25000	1
2504.36670	1
2504.41675	2
2504.53345	2
2504.58325	1
2504.69995	2
2504.75000	1
2504.86670	1
2504.94995	1
2505.03345	2
2505.08325	2
2505.19995	2
2505.25000	1
2505.36670	1
2505.41675	2
2505.53345	1
2505.58325	1
2505.69995	1
2505.75000	2
2505.86670	1
2505.91675	1
2506.03345	0
2506.08325	1
2506.19995	0
2506.25000	1
2506.36670	1
2506.41675	0
2506.53345	1
2506.58325	1
2506.69995	1
2506.79175	1
2506.86670	1
2506.91675	0
2507.03345	1
2507.08325	1
2507.19995	1
2507.25000	1
2507.36670	1
2507.41675	1
2507.53345	1
2507.58325	0
2507.70825	1
2507.78345	1
2507.83325	1
2507.94995	1
2508.03345	1
2508.08325	1
2508.16675	1
2508.28345	1
2508.36670	2
2508.41675	1
2508.53345	1
2508.58325	1
2508.69995	1
2508.75000	1
2508.86670	1
2508.91675	1
2509.03345	1
2509.08325	1
2509.19995	0
2509.25000	1
2509.36670	0
2509.41675	0
2509.54175	0
2509.61670	0
2509.69995	0
2509.78345	0
2509.83325	1
2509.91675	0
2510.03345	1
2510.08325	1
2510.19995	0
2510.25000	0
2510.36670	1
2510.41675	1
2510.53345	1
2510.58325	0
2510.69995	1
2510.75000	1
2510.86670	1
2510.91675	1
2511.03345	1
2511.08325	2
2511.19995	0
2511.25000	1
2511.36670	2
2511.41675	2
2511.53345	1
2511.58325	1
2511.69995	2
2511.75000	1
2511.86670	1
2511.91675	2
2512.03345	2
2512.08325	1
2512.19995	1
2512.25000	1
2512.36670	1
2512.41675	2
2512.53345	1
2512.58325	2
2512.69995	2
2512.75000	2
2512.86670	2
2512.91675	1
2513.03345	2
2513.08325	1
2513.19995	2
2513.25000	1
2513.36670	1
2513.41675	1
2513.53345	1
2513.58325	2
2513.69995	2
2513.75000	1
2513.86670	1
2513.91675	1
2514.03345	1
2514.08325	1
2514.19995	1
2514.25000	1
2514.36670	1
2514.41675	1
2514.53345	1
2514.58325	1
2514.69995	1
2514.75000	2
2514.86670	1
2514.91675	1
2515.03345	1
2515.08325	1
2515.19995	1
2515.25000	0
2515.36670	0
2515.41675	1
2515.53345	1
2515.58325	1
2515.69995	0
2515.78345	1
2515.86670	1
2515.91675	1
2516.03345	1
2516.08325	1
2516.19995	1
2516.25000	0
2516.36670	1
2516.41675	1
2516.53345	1
2516.58325	1
2516.69995	0
2516.75000	0
2516.86670	0
2516.91675	1
2517.03345	0
2517.08325	0
2517.19995	0
2517.25000	1
2517.33325	1
2517.41675	0
2517.53345	0
2517.58325	0
2517.69995	1
2517.75000	1
2517.86670	0
2517.91675	0
2518.03345	0
2518.08325	0
2518.19995	0
2518.25000	0
2518.36670	0
2518.41675	0
2518.53345	0
2518.58325	0
2518.69995	0
2518.75000	0
2518.86670	0
2518.91675	1
2519.00000	0
2519.11670	1
2519.19995	0
2519.25000	0
2519.36670	0
2519.41675	0
2519.53345	0
2519.58325	0
2519.69995	1
2519.75000	1
2519.86670	0
2519.91675	1
2520.03345	0
2520.08325	0
2520.19995	1
2520.25000	0
2520.36670	1
2520.44995	0
2520.53345	1
2520.58325	1
2520.69995	1
2520.75000	1
2520.86670	1
