EPRTextModeVersion05

Year
2024
Month
11
Day
21
Time
824
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1743
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.08325	-2
2500.19995	-1
2500.25000	2
2500.33325	0
2500.44995	0
2500.50000	1
2500.61670	1
2500.66675	0
2500.78345	1
2500.86670	1
2500.94995	0
2501.00000	1
2501.11670	-1
2501.19995	1
2501.28345	0
2501.33325	0
2501.44995	1
2501.50000	-1
2501.61670	2
2501.66675	0
2501.78345	0
2501.83325	2
2501.91675	1
2502.03345	1
2502.11670	1
2502.16675	0
2502.29175	2
2502.33325	1
2502.44995	1
2502.53345	1
2502.61670	1
2502.66675	1
2502.78345	3
2502.83325	2
2502.94995	2
2503.00000	1
2503.11670	2
2503.16675	3
2503.28345	2
2503.33325	1
2503.44995	1
2503.50000	1
2503.61670	1
2503.66675	0
2503.78345	2
2503.83325	1
2503.94995	2
2504.00000	0
2504.11670	1
2504.16675	1
2504.29175	2
2504.36670	0
2504.41675	1
2504.53345	2
2504.61670	1
2504.66675	2
2504.78345	3
2504.83325	3
2504.91675	3
2505.03345	2
2505.08325	2
2505.19995	1
2505.28345	3
2505.33325	3
2505.44995	2
2505.50000	1
2505.61670	2
2505.66675	2
2505.79175	4
2505.83325	1
2505.94995	3
2506.00000	2
2506.11670	5
2506.19995	3
2506.28345	5
2506.33325	3
2506.44995	3
2506.50000	3
2506.61670	3
2506.66675	3
2506.75000	3
2506.86670	6
2506.91675	5
2507.03345	5
2507.11670	4
2507.19995	6
2507.25000	4
2507.36670	5
2507.41675	5
2507.54175	4
2507.58325	5
2507.69995	7
2507.75000	6
2507.86670	5
2507.91675	4
2508.03345	3
2508.08325	5
2508.19995	6
2508.25000	4
2508.36670	3
2508.41675	2
2508.53345	4
2508.58325	4
2508.69995	3
2508.78345	5
2508.86670	3
2508.94995	4
2509.00000	1
2509.11670	1
2509.19995	3
2509.25000	4
2509.36670	3
2509.41675	3
2509.53345	3
2509.58325	4
2509.69995	4
2509.75000	2
2509.86670	4
2509.91675	2
2510.03345	5
2510.08325	5
2510.19995	5
2510.25000	4
2510.36670	5
2510.41675	6
2510.53345	5
2510.58325	5
2510.69995	6
2510.78345	5
2510.86670	4
2510.91675	3
2511.03345	2
2511.08325	5
2511.19995	4
2511.25000	4
2511.36670	4
2511.41675	5
2511.53345	6
2511.58325	5
2511.69995	4
2511.75000	4
2511.86670	4
2511.91675	5
2512.00000	3
2512.11670	5
2512.19995	5
2512.25000	5
2512.36670	7
2512.41675	5
2512.53345	6
2512.61670	6
2512.66675	4
2512.78345	6
2512.86670	5
2512.91675	6
2513.03345	6
2513.08325	6
2513.19995	5
2513.25000	5
2513.37500	6
2513.41675	4
2513.53345	5
2513.58325	6
2513.69995	6
2513.75000	5
2513.86670	7
2513.91675	4
2514.03345	4
2514.08325	3
2514.19995	5
2514.25000	4
2514.36670	4
2514.44995	4
2514.53345	4
2514.58325	3
2514.69995	3
2514.75000	3
2514.86670	4
2514.91675	3
2515.03345	2
2515.08325	3
2515.19995	1
2515.25000	3
2515.36670	3
2515.41675	2
2515.53345	2
2515.58325	2
2515.66675	3
2515.78345	3
2515.83325	2
2515.94995	3
2516.03345	4
2516.08325	3
2516.19995	4
2516.25000	2
2516.36670	3
2516.41675	2
2516.53345	2
2516.58325	2
2516.69995	-1
2516.75000	3
2516.86670	3
2516.91675	3
2517.03345	3
2517.08325	2
2517.19995	2
2517.28345	1
2517.33325	2
2517.44995	0
2517.53345	1
2517.58325	-1
2517.69995	3
2517.75000	3
2517.86670	2
2517.91675	2
2518.03345	2
2518.08325	1
2518.19995	2
2518.25000	2
2518.36670	1
2518.41675	2
2518.50000	1
2518.61670	2
2518.69995	2
2518.75000	1
2518.86670	1
2518.91675	-1
2519.03345	2
2519.08325	0
2519.19995	-1
2519.25000	-3
2519.36670	-1
2519.41675	2
2519.53345	-1
2519.58325	-1
2519.69995	0
2519.75000	1
2519.86670	2
2519.91675	-1
2520.03345	2
2520.08325	3
2520.19995	0
2520.25000	0
2520.36670	0
2520.41675	0
2520.53345	-1
2520.58325	-3
2520.66675	-1
2520.78345	-1
2520.86670	1
2520.94995	0
2521.03345	1
2521.08325	2
2521.19995	1
2521.25000	0
2521.36670	2
2521.44995	3
2521.50000	1
2521.61670	3
2521.66675	3
2521.79175	1
2521.86670	3
2521.91675	4
2522.03345	2
2522.11670	2
2522.19995	3
2522.29175	2
2522.33325	2
2522.44995	3
2522.53345	1
2522.61670	2
2522.66675	1
2522.79175	2
2522.86670	2
2522.94995	1
2523.03345	2
2523.08325	1
2523.19995	2
2523.25000	2
2523.36670	3
2523.45825	3
2523.53345	3
2523.58325	0
2523.69995	3
2523.75000	2
2523.86670	3
2523.91675	2
2524.03345	4
2524.08325	3
2524.19995	4
2524.25000	2
2524.37500	2
2524.41675	2
2524.53345	2
2524.58325	1
2524.69995	2
2524.75000	3
2524.83325	1
2524.94995	2
2525.03345	2
2525.11670	0
2525.19995	0
2525.25000	1
2525.36670	1
2525.41675	0
2525.53345	0
2525.58325	1
2525.69995	1
2525.75000	2
2525.87500	0
2525.91675	0
2526.03345	0
2526.08325	0
2526.19995	0
2526.25000	-1
2526.36670	1
2526.41675	2
2526.53345	0
2526.58325	1
2526.69995	3
2526.75000	1
2526.86670	1
2526.91675	1
2527.03345	1
2527.08325	1
2527.19995	0
2527.25000	1
2527.36670	4
2527.41675	0
2527.53345	2
2527.58325	2
2527.69995	2
2527.75000	3
2527.86670	1
2527.91675	0
2528.03345	-1
2528.11670	2
2528.16675	2
2528.28345	1
2528.36670	0
2528.41675	1
2528.53345	4
2528.58325	1
2528.69995	1
2528.75000	0
2528.86670	1
2528.91675	1
2529.03345	-1
2529.08325	2
2529.19995	1
2529.25000	1
2529.37500	2
2529.41675	1
2529.53345	1
2529.61670	2
2529.66675	-1
2529.78345	1
2529.83325	0
2529.94995	-1
2530.04175	-1
2530.11670	-1
2530.19995	-2
2530.25000	0
2530.36670	0
2530.41675	1
2530.53345	-2
2530.58325	1
2530.69995	0
2530.75000	0
2530.86670	0
2530.91675	1
2531.03345	-1
2531.08325	0
2531.19995	2
2531.25000	3
2531.36670	4
2531.41675	2
2531.53345	1
2531.58325	2
2531.69995	2
2531.78345	3
2531.86670	1
2531.91675	1
2532.03345	1
2532.08325	0
2532.19995	2
2532.25000	3
2532.36670	1
2532.41675	3
2532.53345	4
2532.58325	2
2532.69995	2
2532.75000	2
2532.86670	0
2532.91675	2
2533.03345	-1
2533.08325	0
2533.19995	0
2533.25000	1
2533.36670	-2
2533.41675	-2
2533.53345	-2
2533.58325	0
2533.69995	-2
2533.75000	-1
2533.86670	0
2533.91675	0
2534.00000	-1
2534.08325	0
2534.19995	0
2534.25000	0
2534.36670	-1
2534.41675	1
2534.53345	-1
2534.58325	-1
2534.69995	0
2534.75000	0
2534.86670	0
2534.91675	1
2535.03345	-1
2535.08325	-1
2535.19995	0
2535.25000	-1
2535.36670	2
2535.44995	1
2535.50000	1
2535.61670	0
2535.66675	1
2535.78345	1
2535.86670	0
2535.91675	2
2536.03345	3
2536.08325	2
2536.19995	2
2536.25000	4
2536.36670	5
2536.41675	3
2536.53345	3
2536.58325	2
2536.69995	2
2536.75000	2
2536.83325	2
2536.94995	2
2537.00000	2
2537.11670	1
2537.16675	2
2537.25000	1
2537.36670	4
2537.44995	0
2537.53345	0
2537.61670	0
2537.66675	0
2537.78345	1
2537.83325	-1
2537.94995	1
2538.00000	2
2538.11670	-1
2538.19995	1
2538.28345	2
2538.33325	2
2538.44995	2
2538.50000	2
2538.58325	1
2538.69995	1
2538.78345	2
2538.83325	2
2538.94995	1
2539.00000	1
2539.11670	1
2539.16675	-1
2539.28345	2
2539.36670	2
2539.41675	3
2539.50000	1
2539.61670	3
2539.66675	2
2539.78345	0
2539.83325	2
2539.94995	1
2540.03345	2
2540.08325	3
2540.19995	2
2540.25000	3
2540.36670	3
2540.44995	2
2540.50000	3
2540.61670	2
2540.66675	3
2540.78345	2
2540.83325	2
2540.94995	3
2541.00000	3
2541.11670	5
2541.16675	2
2541.28345	3
2541.33325	3
2541.44995	2
2541.50000	2
2541.61670	3
2541.66675	3
2541.78345	4
2541.83325	3
2541.91675	4
2542.03345	4
2542.08325	3
2542.19995	3
2542.28345	2
2542.33325	2
2542.45825	3
2542.53345	3
2542.61670	3
2542.69995	2
2542.75000	4
2542.86670	4
2542.91675	4
2543.03345	4
2543.08325	4
2543.16675	2
2543.28345	4
2543.36670	3
2543.44995	2
2543.53345	3
2543.58325	2
2543.69995	1
2543.75000	-1
2543.86670	0
2543.91675	-1
2544.03345	2
2544.08325	0
2544.20825	-2
2544.25000	-2
2544.37500	-1
2544.41675	-1
2544.53345	-1
2544.58325	2
2544.69995	2
2544.78345	-2
2544.83325	-1
2544.94995	-1
2545.00000	-1
2545.11670	-2
2545.16675	-2
2545.28345	0
2545.33325	0
2545.44995	0
2545.50000	1
2545.61670	-1
2545.66675	-1
2545.78345	-1
2545.83325	-1
2545.95825	-2
2546.00000	-1
2546.11670	-2
2546.16675	-2
2546.28345	-3
2546.33325	-1
2546.44995	-2
2546.50000	0
2546.61670	0
2546.66675	0
2546.78345	0
2546.83325	-2
2546.94995	-1
2547.00000	-3
2547.11670	-2
2547.16675	-2
2547.28345	-3
2547.33325	-2
2547.44995	-2
2547.50000	0
2547.61670	-2
2547.66675	-1
2547.78345	-1
2547.83325	-1
2547.94995	0
2548.00000	-1
2548.11670	-1
2548.16675	0
2548.28345	0
2548.33325	-1
2548.44995	-1
2548.50000	-1
2548.58325	-1
2548.66675	-1
2548.78345	-1
2548.83325	-1
2548.94995	1
2549.00000	0
2549.11670	1
2549.16675	-1
2549.28345	0
2549.33325	-1
2549.45825	0
2549.50000	1
2549.61670	1
2549.66675	0
2549.78345	0
2549.83325	-1
2549.94995	-2
2550.00000	-1
2550.11670	-2
2550.16675	-1
2550.28345	-2
2550.33325	-1
2550.44995	-2
2550.50000	-2
2550.61670	-1
2550.66675	1
2550.78345	-3
2550.86670	-1
2550.94995	-1
2551.00000	0
2551.08325	0
2551.19995	0
2551.28345	-1
2551.33325	0
2551.44995	0
2551.50000	-2
2551.61670	-1
2551.66675	-2
2551.78345	-1
2551.83325	0
2551.94995	-2
2552.03345	-1
2552.11670	-1
2552.19995	0
2552.28345	0
2552.33325	-1
2552.44995	-1
2552.50000	-1
2552.61670	-2
2552.66675	-2
2552.78345	-3
2552.83325	-3
2552.95825	-2
2553.00000	-2
2553.11670	-2
2553.16675	-4
2553.28345	-4
2553.33325	-3
2553.44995	-2
2553.50000	-4
2553.61670	-2
2553.69995	-2
2553.75000	0
2553.83325	-4
2553.94995	-3
2554.00000	-4
2554.11670	-2
2554.16675	-4
2554.28345	-3
2554.36670	-3
2554.41675	-3
2554.53345	-3
2554.62500	-3
2554.70825	-2
2554.78345	-3
2554.83325	-2
2554.94995	-1
2555.03345	-1
2555.11670	-2
2555.19995	-3
2555.25000	-2
2555.36670	-2
2555.41675	-1
2555.54175	-3
2555.61670	-3
2555.66675	-4
2555.78345	-2
2555.86670	-4
2555.91675	-2
2556.03345	-3
2556.08325	-3
2556.19995	-2
2556.28345	-3
2556.36670	-2
2556.44995	-3
2556.50000	-3
2556.58325	-3
2556.69995	-2
2556.75000	-3
2556.86670	-2
2556.91675	-2
2557.03345	-2
2557.08325	-1
2557.19995	-2
2557.25000	0
2557.33325	-4
2557.44995	-4
2557.53345	-4
2557.61670	-2
2557.69995	-5
2557.75000	-2
2557.83325	-3
2557.94995	-3
2558.03345	-2
2558.08325	-3
2558.19995	-4
2558.28345	-2
2558.36670	-4
2558.41675	-4
2558.53345	-4
2558.58325	-2
2558.69995	-1
2558.75000	-1
2558.86670	-1
2558.91675	0
2559.03345	-2
2559.08325	-1
2559.19995	-3
2559.25000	0
2559.36670	-1
2559.41675	-1
2559.53345	0
2559.58325	1
2559.69995	-2
2559.75000	2
2559.86670	-1
2559.91675	-1
2560.03345	-1
2560.08325	-1
2560.19995	-1
2560.25000	1
2560.36670	0
2560.41675	0
2560.53345	0
2560.58325	-1
2560.69995	-1
2560.75000	-3
2560.86670	-1
2560.91675	0
2561.04175	-1
2561.11670	-1
2561.19995	0
2561.28345	-2
2561.36670	-2
2561.41675	-2
2561.50000	-2
2561.61670	-3
2561.69995	-3
2561.78345	-2
2561.86670	-2
2561.94995	-1
2562.03345	-1
2562.08325	1
2562.19995	0
2562.25000	0
2562.36670	-3
2562.41675	0
2562.53345	-1
2562.58325	1
2562.69995	0
2562.75000	1
2562.83325	1
2562.94995	0
2563.03345	2
2563.08325	1
2563.19995	2
2563.28345	1
2563.36670	1
2563.41675	1
2563.53345	1
2563.58325	2
2563.69995	3
2563.78345	1
2563.83325	2
2563.94995	2
2564.00000	1
2564.08325	0
2564.19995	1
2564.25000	2
2564.36670	-1
2564.41675	2
2564.53345	1
2564.58325	1
2564.69995	0
2564.75000	-1
2564.86670	1
2564.94995	1
2565.03345	1
2565.08325	-1
2565.19995	-1
2565.25000	1
2565.36670	2
2565.41675	-1
2565.53345	-1
2565.62500	2
2565.69995	-1
2565.75000	0
2565.86670	-1
2565.91675	0
2566.03345	-2
2566.08325	1
2566.19995	0
2566.25000	1
2566.36670	-1
2566.41675	-1
2566.54175	-1
2566.61670	-1
2566.69995	-2
2566.78345	0
2566.86670	-4
2566.91675	-3
2567.03345	-5
2567.08325	-3
2567.19995	-4
2567.25000	-1
2567.36670	-4
2567.44995	-2
2567.53345	-3
2567.58325	-2
2567.69995	-3
2567.75000	-2
2567.86670	-4
2567.91675	-3
2568.03345	-3
2568.08325	-3
2568.19995	-4
2568.25000	-4
2568.36670	-5
2568.41675	-4
2568.53345	-6
2568.58325	-4
2568.69995	-5
2568.75000	-4
2568.86670	-4
2568.91675	-2
2569.03345	-5
2569.08325	-5
2569.19995	-3
2569.25000	-4
2569.36670	-4
2569.41675	-3
2569.53345	-6
2569.58325	-6
2569.69995	-6
2569.75000	-5
2569.86670	-5
2569.91675	-6
2570.03345	-5
2570.08325	-5
2570.19995	-5
2570.25000	-3
2570.36670	-5
2570.41675	-2
2570.53345	-5
2570.61670	-3
2570.66675	-4
2570.78345	-3
2570.86670	-3
2570.94995	-4
2571.03345	-2
2571.08325	-2
2571.19995	-2
2571.25000	-1
2571.36670	-2
2571.41675	-2
2571.53345	-2
2571.58325	-2
2571.69995	-3
2571.75000	-4
2571.86670	-1
2571.91675	-2
2572.03345	-4
2572.08325	-2
2572.19995	-3
2572.28345	-5
2572.33325	-4
2572.44995	-3
2572.53345	-4
2572.61670	-3
2572.69995	-5
2572.75000	-4
2572.86670	-4
2572.94995	-5
2573.04175	-4
2573.11670	-2
2573.16675	-4
2573.28345	-5
2573.36670	-3
2573.41675	-4
2573.53345	-3
2573.58325	-4
2573.69995	-3
2573.78345	-3
2573.87500	-3
2573.94995	-4
2574.00000	-4
2574.11670	-4
2574.19995	-3
2574.28345	-5
2574.36670	-4
2574.41675	-5
2574.53345	-5
2574.61670	-6
2574.69995	-3
2574.75000	-4
2574.86670	-4
2574.91675	-5
2575.03345	-5
2575.08325	-2
2575.19995	-4
2575.25000	-5
2575.36670	-6
2575.41675	-3
2575.53345	-4
2575.58325	-3
2575.66675	-5
2575.78345	-5
2575.83325	-5
2575.94995	-3
2576.03345	-4
2576.08325	-2
2576.19995	-6
2576.25000	-5
2576.36670	-6
2576.41675	-5
2576.53345	-5
2576.58325	-4
2576.69995	-4
2576.75000	-4
2576.86670	-2
2576.91675	-2
2577.03345	-3
2577.08325	-3
2577.19995	-2
2577.25000	-4
2577.36670	-4
2577.41675	-3
2577.54175	-3
2577.61670	-4
2577.69995	-6
2577.75000	-4
2577.86670	-4
2577.91675	-3
2578.03345	-2
2578.08325	-4
2578.19995	-4
2578.29175	-4
2578.36670	-4
2578.41675	-5
2578.53345	-5
2578.58325	-4
2578.69995	-3
2578.75000	-5
2578.86670	-5
2578.91675	-4
2579.03345	-3
2579.08325	-1
2579.19995	-3
2579.25000	-3
2579.36670	-2
2579.41675	-4
2579.53345	-4
2579.61670	-4
2579.66675	-4
2579.78345	-5
2579.83325	-5
2579.94995	-4
2580.00000	-3
2580.11670	-4
2580.19995	-4
2580.25000	-3
2580.36670	-3
2580.41675	-3
2580.53345	-3
2580.58325	-3
2580.69995	-2
2580.75000	-4
2580.87500	-5
2580.91675	-5
2581.03345	-5
2581.11670	-4
2581.19995	-4
2581.25000	-4
2581.36670	-3
2581.41675	-4
2581.53345	-6
2581.58325	-4
2581.69995	-5
2581.75000	-3
2581.86670	-3
2581.91675	-2
2582.03345	-3
2582.08325	-3
2582.19995	-4
2582.25000	-5
2582.36670	-5
2582.41675	-3
2582.53345	-3
2582.58325	-1
2582.69995	-2
2582.75000	-2
2582.86670	-2
2582.91675	-2
2583.04175	-1
2583.08325	-1
2583.19995	-2
2583.28345	-3
2583.36670	-3
2583.41675	-3
2583.53345	-5
2583.58325	-2
2583.69995	-3
2583.75000	-3
2583.86670	-4
2583.91675	-1
2584.03345	-2
2584.08325	-3
2584.19995	-4
2584.25000	-2
2584.36670	-3
2584.41675	-3
2584.53345	-4
2584.58325	-3
2584.69995	-4
2584.79175	-6
2584.86670	-5
2584.91675	-4
2585.03345	-6
2585.08325	-5
2585.19995	-5
2585.25000	-5
2585.36670	-7
2585.41675	-7
2585.53345	-8
2585.58325	-6
2585.69995	-7
2585.75000	-6
2585.83325	-8
2585.94995	-7
2586.03345	-6
2586.08325	-6
2586.19995	-6
2586.25000	-6
2586.36670	-3
2586.41675	-5
2586.53345	-5
2586.58325	-4
2586.69995	-5
2586.75000	-5
2586.86670	-6
2586.91675	-4
2587.03345	-5
2587.08325	-5
2587.19995	-6
2587.25000	-6
2587.36670	-5
2587.41675	-5
2587.53345	-5
2587.58325	-4
2587.69995	-4
2587.75000	-6
2587.87500	-6
2587.91675	-3
2588.03345	-5
2588.08325	-6
2588.19995	-3
2588.25000	-7
2588.36670	-6
2588.44995	-6
2588.50000	-4
2588.61670	-4
2588.69995	-5
2588.75000	-6
2588.86670	-5
2588.95825	-5
2589.00000	-5
2589.11670	-4
2589.19995	-6
2589.28345	-8
2589.36670	-7
2589.41675	-6
2589.53345	-6
2589.58325	-6
2589.69995	-7
2589.75000	-8
2589.86670	-6
2589.91675	-7
2590.03345	-6
2590.08325	-5
2590.19995	-6
2590.25000	-6
2590.36670	-7
2590.41675	-4
2590.53345	-7
2590.61670	-6
2590.66675	-7
2590.78345	-7
2590.86670	-7
2590.91675	-6
2591.03345	-7
2591.08325	-6
2591.19995	-7
2591.25000	-5
2591.37500	-5
2591.41675	-8
