EPRTextModeVersion05

Year
2024
Month
10
Day
22
Time
1136
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1974
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.11670	-1
2500.19995	-1
2500.28345	-1
2500.36670	0
2500.44995	-1
2500.50000	0
2500.61670	1
2500.69995	0
2500.75000	0
2500.86670	0
2500.91675	0
2501.03345	1
2501.11670	0
2501.19995	0
2501.25000	-1
2501.36670	-1
2501.41675	0
2501.53345	0
2501.58325	1
2501.66675	0
2501.78345	1
2501.86670	0
2501.91675	0
2502.03345	0
2502.12500	-3
2502.19995	1
2502.29175	2
2502.36670	-1
2502.44995	-1
2502.53345	2
2502.58325	1
2502.69995	1
2502.75000	1
2502.86670	0
2502.91675	-1
2503.03345	0
2503.08325	0
2503.16675	-1
2503.28345	0
2503.33325	1
2503.44995	-1
2503.53345	1
2503.58325	1
2503.69995	1
2503.75000	0
2503.86670	1
2503.94995	0
2504.04175	1
2504.11670	1
2504.20825	0
2504.28345	0
2504.37500	1
2504.44995	-1
2504.53345	0
2504.58325	0
2504.69995	1
2504.75000	0
2504.86670	1
2504.94995	0
2505.00000	-2
2505.11670	1
2505.16675	0
2505.28345	1
2505.33325	0
2505.41675	0
2505.50000	0
2505.61670	1
2505.69995	1
2505.79175	1
2505.86670	1
2505.94995	1
2506.03345	2
2506.12500	2
2506.19995	2
2506.25000	2
2506.36670	1
2506.44995	3
2506.50000	3
2506.61670	3
2506.66675	2
2506.78345	2
2506.86670	3
2506.94995	3
2507.03345	3
2507.08325	1
2507.19995	1
2507.25000	1
2507.36670	2
2507.41675	1
2507.53345	0
2507.61670	-1
2507.69995	1
2507.78345	0
2507.87500	1
2507.94995	0
2508.04175	1
2508.11670	0
2508.19995	0
2508.25000	0
2508.36670	2
2508.41675	-2
2508.53345	-1
2508.58325	0
2508.69995	0
2508.75000	1
2508.86670	-2
2508.91675	-1
2509.03345	-1
2509.08325	-2
2509.19995	-2
2509.25000	-1
2509.36670	-2
2509.44995	-3
2509.53345	-1
2509.62500	-2
2509.69995	0
2509.78345	-1
2509.87500	-2
2509.94995	-3
2510.03345	-3
2510.11670	-3
2510.19995	-2
2510.28345	-3
2510.33325	-3
2510.44995	-4
2510.50000	-2
2510.61670	-3
2510.66675	-3
2510.75000	-4
2510.83325	-1
2510.94995	-4
2511.00000	-3
2511.11670	-2
2511.19995	0
2511.28345	-3
2511.36670	-2
2511.44995	-1
2511.53345	-1
2511.62500	0
2511.69995	0
2511.79175	-1
2511.86670	-1
2511.94995	-2
2512.03345	1
2512.08325	1
2512.19995	0
2512.25000	-2
2512.36670	1
2512.41675	0
2512.50000	0
2512.58325	-1
2512.69995	3
2512.75000	1
2512.86670	2
2512.91675	1
