EPRTextModeVersion05

Year
2024
Month
9
Day
23
Time
970
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.16000
Power
  10.00000
Base line
2122
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.11670	2
2500.19995	0
2500.25000	1
2500.37500	2
2500.41675	2
2500.53345	3
2500.61670	2
2500.69995	2
2500.75000	1
2500.86670	3
2500.91675	2
2501.03345	3
2501.08325	2
2501.19995	1
2501.25000	3
2501.36670	2
2501.44995	4
2501.53345	4
2501.58325	4
2501.69995	4
2501.75000	5
2501.86670	4
2501.91675	4
2502.03345	2
2502.08325	3
2502.19995	3
2502.25000	4
2502.36670	3
2502.45825	1
2502.53345	2
2502.58325	3
2502.69995	1
2502.75000	2
2502.86670	1
2502.91675	1
2503.03345	0
2503.08325	0
2503.19995	3
2503.28345	2
2503.37500	2
2503.44995	3
2503.50000	4
2503.61670	2
2503.69995	1
2503.78345	2
2503.87500	3
2503.94995	2
2504.03345	1
2504.11670	3
2504.20825	1
2504.28345	3
2504.36670	3
2504.44995	3
2504.53345	3
2504.58325	1
2504.69995	1
2504.78345	2
2504.86670	2
2504.94995	0
2505.03345	1
2505.11670	2
2505.19995	0
2505.28345	0
2505.36670	0
2505.44995	3
2505.53345	1
2505.62500	1
2505.69995	2
2505.78345	3
2505.86670	2
2505.91675	3
2506.03345	3
2506.12500	5
2506.19995	4
2506.28345	3
2506.33325	1
2506.44995	3
2506.50000	3
2506.61670	2
2506.69995	4
2506.78345	4
2506.86670	2
2506.94995	6
2507.00000	4
2507.11670	3
2507.16675	2
2507.28345	5
2507.33325	4
2507.44995	6
2507.50000	3
2507.61670	5
2507.66675	4
2507.78345	5
2507.83325	4
2507.94995	4
2508.00000	3
2508.11670	5
2508.19995	4
2508.28345	3
2508.36670	4
2508.41675	4
2508.53345	5
2508.61670	5
2508.69995	5
2508.78345	4
2508.86670	2
2508.94995	2
2509.03345	5
2509.12500	3
2509.19995	3
2509.28345	3
2509.33325	2
2509.44995	5
2509.50000	3
2509.61670	2
2509.69995	1
2509.79175	6
2509.86670	3
2509.94995	3
2510.03345	2
2510.11670	2
2510.19995	2
2510.28345	3
2510.33325	2
2510.44995	2
2510.53345	2
2510.62500	0
2510.69995	-1
2510.78345	0
2510.87500	-1
2510.94995	0
2511.03345	-1
2511.11670	1
2511.19995	0
2511.25000	-1
2511.36670	-1
2511.41675	0
2511.53345	0
2511.62500	1
2511.69995	1
2511.75000	0
2511.86670	0
2511.94995	1
2512.00000	0
2512.11670	0
2512.19995	0
2512.28345	-1
2512.36670	-2
2512.44995	-1
2512.53345	-1
2512.61670	-1
2512.69995	1
2512.78345	1
2512.86670	0
2512.94995	-1
2513.03345	-1
2513.11670	-1
2513.19995	-1
2513.28345	0
2513.37500	-3
2513.44995	-2
2513.53345	-3
2513.61670	-2
2513.69995	-2
2513.75000	-2
2513.86670	-2
2513.94995	-1
2514.03345	0
2514.11670	-1
2514.19995	0
2514.28345	0
2514.37500	-1
2514.44995	0
2514.54175	-1
2514.61670	0
2514.69995	0
2514.78345	0
2514.86670	2
2514.94995	0
2515.03345	-1
2515.11670	1
2515.20825	0
2515.28345	2
2515.36670	1
2515.44995	1
2515.54175	1
2515.61670	0
2515.69995	0
2515.75000	1
2515.86670	1
2515.94995	2
2516.03345	1
2516.11670	1
2516.16675	0
2516.28345	0
2516.33325	0
2516.44995	-1
2516.50000	-2
2516.61670	-1
2516.66675	-2
2516.78345	-1
2516.83325	0
2516.94995	0
2517.00000	-1
2517.11670	1
2517.19995	0
2517.28345	2
2517.36670	0
2517.44995	0
2517.53345	1
2517.61670	1
2517.66675	2
