EPRTextModeVersion05

Year
2024
Month
11
Day
23
Time
875
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1755
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	3
2500.16675	3
2500.28345	2
2500.33325	2
2500.44995	2
2500.50000	1
2500.58325	1
2500.66675	1
2500.78345	2
2500.83325	2
2500.94995	2
2501.03345	2
2501.11670	2
2501.19995	0
2501.28345	1
2501.33325	2
2501.44995	4
2501.50000	1
2501.61670	2
2501.66675	1
2501.78345	2
2501.83325	2
2501.91675	1
2502.03345	0
2502.08325	-1
2502.19995	0
2502.25000	1
2502.36670	2
2502.41675	0
2502.53345	-1
2502.58325	-1
2502.69995	2
2502.75000	-1
2502.86670	-1
2502.91675	2
2503.03345	3
2503.08325	1
2503.19995	0
2503.25000	2
2503.36670	1
2503.41675	2
2503.53345	0
2503.58325	1
2503.69995	1
2503.75000	0
2503.86670	2
2503.91675	2
2504.04175	1
2504.08325	1
2504.19995	0
2504.25000	0
2504.33325	-1
2504.44995	0
2504.53345	1
2504.58325	-2
2504.69995	-2
2504.78345	-3
2504.86670	-2
2504.91675	-1
2505.03345	2
2505.11670	0
2505.19995	-1
2505.25000	0
2505.36670	-1
2505.41675	-1
2505.53345	-1
2505.58325	-1
2505.69995	0
2505.75000	-2
2505.86670	-1
2505.91675	-2
2506.03345	-1
2506.08325	0
2506.19995	-1
2506.25000	1
2506.36670	1
2506.41675	0
2506.53345	1
2506.62500	0
2506.70825	0
2506.78345	1
2506.86670	0
2506.94995	0
2507.03345	-2
2507.08325	-1
2507.19995	2
2507.28345	2
2507.33325	2
2507.44995	3
2507.50000	3
2507.61670	1
2507.66675	2
2507.78345	4
2507.83325	1
2507.94995	4
2508.00000	4
2508.11670	2
2508.16675	2
2508.28345	2
2508.37500	1
2508.45825	3
2508.53345	1
2508.61670	3
2508.69995	1
2508.78345	3
2508.83325	1
2508.94995	3
2509.03345	0
2509.11670	1
2509.20825	-1
2509.28345	-1
2509.36670	1
2509.45825	2
2509.53345	0
2509.61670	0
2509.69995	1
2509.78345	1
2509.86670	-1
2509.94995	0
2510.03345	1
2510.08325	0
2510.19995	-1
2510.28345	-2
2510.36670	-2
2510.41675	-1
2510.53345	-1
2510.58325	0
2510.69995	-2
2510.75000	-1
2510.86670	-1
2510.91675	0
2511.03345	1
2511.08325	-2
2511.19995	-2
2511.25000	1
2511.36670	0
2511.41675	0
2511.53345	1
2511.58325	1
2511.69995	0
2511.75000	0
2511.86670	0
2511.91675	1
2512.03345	0
2512.12500	-1
2512.20825	-1
2512.28345	-1
2512.36670	-1
2512.44995	0
2512.53345	0
2512.58325	-1
2512.69995	1
2512.78345	0
2512.86670	1
2512.94995	2
2513.03345	2
2513.08325	0
2513.19995	1
2513.28345	1
2513.36670	0
2513.45825	0
2513.53345	1
2513.61670	2
2513.69995	-1
2513.78345	2
2513.86670	2
2513.95825	1
2514.04175	1
2514.11670	1
2514.19995	1
2514.28345	1
2514.33325	0
2514.44995	3
2514.50000	2
2514.61670	2
2514.66675	1
2514.78345	2
2514.83325	2
2514.94995	3
2515.00000	3
2515.11670	4
2515.16675	3
