EPRTextModeVersion05

Year
2024
Month
11
Day
23
Time
886
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1755
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-1
2500.11670	0
2500.16675	-1
2500.28345	0
2500.33325	2
2500.44995	0
2500.50000	1
2500.61670	0
2500.66675	1
2500.78345	1
2500.83325	1
2500.95825	2
2501.00000	0
2501.11670	2
2501.16675	2
2501.28345	4
2501.33325	5
2501.44995	3
2501.53345	3
2501.58325	1
2501.69995	2
2501.75000	3
2501.86670	1
2501.94995	4
2502.00000	2
2502.11670	0
2502.16675	2
2502.28345	3
2502.33325	3
2502.41675	2
2502.53345	1
2502.61670	1
2502.66675	3
2502.78345	3
2502.83325	3
2502.94995	2
2503.00000	2
2503.08325	4
2503.19995	0
2503.25000	2
2503.33325	1
2503.44995	3
2503.50000	4
2503.61670	3
2503.66675	3
2503.78345	2
2503.83325	2
2503.94995	1
2504.00000	2
2504.11670	1
2504.16675	1
2504.28345	3
2504.33325	1
2504.44995	2
2504.50000	1
2504.61670	1
2504.66675	2
2504.78345	2
2504.83325	0
2504.94995	-1
2505.03345	2
2505.12500	1
2505.19995	1
2505.29175	0
2505.33325	0
2505.44995	0
2505.53345	1
2505.61670	2
2505.69995	3
2505.75000	1
2505.86670	3
2505.91675	1
2506.00000	1
2506.11670	1
2506.16675	1
2506.28345	0
2506.36670	1
2506.41675	1
2506.50000	0
2506.58325	0
2506.69995	1
2506.78345	0
2506.87500	1
2506.94995	0
2507.03345	0
2507.11670	1
2507.16675	0
2507.28345	2
2507.33325	2
2507.44995	0
2507.50000	0
2507.61670	0
2507.69995	1
2507.75000	-1
2507.83325	0
2507.94995	-1
2508.00000	-2
2508.11670	0
2508.16675	0
2508.28345	1
2508.33325	0
2508.44995	0
2508.50000	0
2508.62500	0
2508.69995	0
2508.78345	-1
2508.83325	0
2508.94995	2
2509.00000	0
2509.11670	0
2509.16675	-1
2509.28345	-1
2509.33325	0
2509.44995	0
2509.50000	2
2509.61670	-1
2509.66675	0
2509.78345	-1
2509.83325	-1
2509.91675	2
2510.03345	0
2510.11670	-2
2510.16675	-2
2510.28345	-1
2510.33325	-1
2510.44995	-2
2510.53345	0
2510.61670	1
2510.66675	0
2510.78345	1
2510.83325	1
2510.95825	3
2511.00000	1
2511.11670	1
2511.16675	1
2511.28345	0
2511.33325	2
2511.44995	1
2511.50000	0
2511.61670	2
2511.66675	2
2511.78345	1
2511.83325	1
2511.94995	2
2512.00000	1
2512.11670	1
2512.16675	1
2512.28345	1
2512.36670	0
2512.41675	1
2512.53345	0
2512.61670	1
2512.66675	1
2512.78345	1
2512.83325	2
2512.94995	-2
2513.00000	-1
2513.11670	-1
2513.16675	0
2513.28345	-3
2513.33325	-1
2513.44995	-1
2513.50000	-3
2513.61670	0
2513.66675	-1
2513.78345	0
2513.83325	-3
2513.94995	-2
2514.00000	-3
2514.11670	0
2514.19995	-3
2514.28345	-1
2514.33325	2
2514.44995	1
2514.50000	-1
2514.61670	1
2514.66675	2
2514.78345	-1
2514.83325	0
2514.94995	1
2515.00000	-1
2515.11670	-1
2515.16675	0
2515.28345	0
2515.33325	0
2515.44995	0
2515.50000	-1
2515.61670	1
2515.66675	-2
2515.78345	1
2515.83325	1
2515.94995	1
2516.03345	0
2516.08325	1
2516.20825	2
2516.28345	2
2516.33325	2
2516.44995	1
2516.50000	1
2516.61670	0
2516.66675	-2
2516.78345	0
2516.83325	-1
2516.94995	-1
2517.00000	0
2517.08325	-1
2517.19995	-1
2517.28345	-1
2517.33325	0
2517.44995	0
