EPRTextModeVersion05
pich стандарт
Year
2025
Month
2
Day
24
Time
796
Type
17
Field set
3200.00000
Scan Range
 200.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
   1.00000
Frequency
   9.15000
Power
  10.00000
Base line
1801
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
3100.00000	1
3100.01660	0
3100.04004	0
3100.05664	-1
3100.06665	-2
3100.09009	-1
3100.10010	1
3100.12329	-2
3100.13330	-2
3100.15845	-2
3100.16675	-1
3100.18994	-1
3100.20679	-1
3100.22339	0
3100.23340	0
3100.25000	1
3100.27344	0
3100.29004	0
3100.30664	-1
3100.31665	0
3100.34155	0
3100.35669	0
3100.37329	1
3100.38330	1
3100.40674	1
3100.41675	0
3100.44165	1
3100.44995	1
3100.47339	-2
3100.48340	-2
3100.50659	-1
3100.51660	-3
3100.54004	-1
3100.55005	0
3100.57324	-2
3100.59009	0
3100.60669	-2
3100.61670	-2
3100.63989	-2
3100.65674	0
3100.67334	-1
3100.68994	-1
3100.70679	-1
3100.72339	-1
3100.73999	-2
3100.75000	-1
3100.77344	0
3100.78345	0
3100.80664	-2
3100.81665	0
3100.84009	-2
3100.85010	-1
3100.87329	2
3100.88330	-2
3100.90674	-1
3100.91675	-1
3100.93994	1
3100.95679	-2
3100.97339	-1
3100.98340	0
3101.00659	-1
3101.02344	0
3101.04004	0
3101.05664	-3
3101.06665	-1
3101.09155	-1
3101.10669	0
3101.11670	-1
3101.13989	-2
3101.14990	-1
3101.17334	-2
3101.18335	0
3101.20679	-1
3101.21655	-1
3101.23999	0
3101.25000	1
3101.27490	1
3101.28345	0
3101.30664	0
3101.31665	0
3101.34009	0
3101.35010	-1
3101.37329	-1
3101.38330	-1
3101.40674	-1
3101.42334	-1
3101.43994	-1
3101.44995	-1
3101.47339	0
3101.48340	-1
3101.50659	0
3101.51660	0
3101.54004	-1
3101.55005	-1
3101.57324	-1
3101.58325	0
3101.60669	-1
3101.61670	-1
3101.63989	-1
3101.64990	1
3101.67334	-1
3101.68335	0
3101.70679	-1
3101.71655	0
3101.73999	-1
3101.75659	0
3101.76660	0
3101.79004	-1
3101.80835	0
3101.82495	0
3101.84009	-2
3101.85669	-1
3101.87329	-1
3101.88989	-1
3101.90674	0
3101.92334	-1
3101.93335	0
3101.95825	0
3101.96655	-1
3101.98999	1
3102.00659	-1
3102.02344	0
3102.04004	1
3102.05005	-2
3102.07324	-1
3102.08325	-1
3102.10669	2
3102.11670	-2
3102.13989	-1
3102.15674	-1
3102.17334	-1
3102.18994	-1
3102.20679	-2
3102.21655	-1
3102.23999	-3
3102.25000	2
3102.27344	-1
3102.28345	-2
3102.30835	-1
3102.31665	-1
3102.34009	0
3102.35010	-1
3102.37329	0
3102.38989	-1
3102.39990	-1
3102.42334	0
3102.43994	-1
3102.44995	-1
3102.47339	0
3102.48340	1
3102.50659	-1
3102.52344	1
3102.54175	-1
3102.55664	0
3102.57324	-2
3102.59009	0
3102.60669	-1
3102.61670	-2
3102.63989	-1
3102.65845	1
3102.67334	-1
3102.68994	-1
3102.70679	-1
3102.72510	-1
3102.73999	1
3102.75659	2
3102.77344	-1
3102.79004	1
3102.80664	-1
3102.82324	-1
3102.83325	-2
3102.85669	0
3102.87329	-2
3102.88989	0
3102.90674	0
3102.92334	-2
3102.93994	-1
3102.95679	0
3102.96655	1
3102.98999	1
3103.00000	0
3103.02344	-2
3103.03345	-1
3103.05664	-1
3103.06665	0
3103.09155	0
3103.10010	-1
3103.12329	-1
3103.13330	-1
3103.15674	-1
3103.16675	1
3103.18994	-2
3103.20679	1
3103.22339	0
3103.23999	-2
3103.25659	-1
3103.27344	-1
3103.29004	-1
3103.30664	-2
3103.32324	0
3103.33325	1
3103.35669	0
3103.36670	-1
3103.38989	0
3103.39990	0
3103.42334	0
3103.43335	0
3103.45679	-2
3103.46655	-2
3103.48999	1
3103.50659	-1
3103.52344	-1
3103.53345	0
3103.55664	-1
3103.57324	0
3103.59009	0
3103.60669	-2
3103.62329	-1
3103.64160	0
3103.64990	-1
3103.67334	1
3103.68994	-1
3103.69995	0
3103.72339	-2
3103.73340	0
3103.75659	1
3103.76660	1
3103.79004	1
3103.80005	-2
3103.82324	-1
3103.83325	-1
3103.85669	0
3103.87329	1
3103.88989	0
3103.90674	-1
3103.92334	-1
3103.93994	-1
3103.95679	0
3103.97339	-2
3103.98999	0
3104.00830	0
3104.02344	-1
3104.04004	-1
3104.05835	-1
3104.07324	-1
3104.09009	0
3104.10669	-1
3104.12329	0
3104.13330	-1
3104.15674	-1
3104.17334	1
3104.18335	0
3104.20679	0
3104.21655	-1
3104.23999	-1
3104.25659	-1
3104.27344	2
3104.28345	-2
3104.30664	0
3104.32324	-1
3104.34009	1
3104.35669	0
3104.37329	-1
3104.38989	-3
3104.40845	-2
3104.42334	-2
3104.43994	-1
3104.45679	-1
3104.47339	-2
3104.48340	1
3104.50830	0
3104.52490	0
3104.54004	1
3104.55835	0
3104.57324	0
3104.59009	-2
3104.60840	-1
3104.62329	0
3104.63330	0
3104.65674	-1
3104.67334	-1
3104.68994	-1
3104.70679	0
3104.72339	-1
3104.74170	-1
3104.75659	-1
3104.77344	-1
3104.79004	0
3104.80664	-1
3104.82324	-1
3104.84155	-1
3104.85669	-1
3104.87329	-2
3104.88989	-2
3104.90674	1
3104.91675	-1
3104.93994	-1
3104.95679	-2
3104.97339	1
3104.98999	-1
3105.00659	-2
3105.02344	-1
3105.04004	-3
3105.05664	1
3105.07324	-1
3105.09009	1
3105.10840	-1
3105.12329	-2
3105.13989	0
3105.15674	-1
3105.17334	-1
3105.19165	0
3105.20679	-2
3105.22339	-1
3105.24170	-1
3105.25659	0
3105.26660	0
3105.29004	1
3105.30664	1
3105.32324	1
3105.34009	-2
3105.35669	0
3105.36670	2
3105.38989	-2
3105.40674	-1
3105.42334	-2
3105.43994	0
3105.45679	-1
3105.46655	0
3105.48999	-1
3105.50000	0
3105.52344	0
3105.53345	1
3105.55664	-1
3105.56665	2
3105.59009	0
3105.60010	0
3105.62329	-1
3105.63330	1
3105.65674	-2
3105.66675	-2
3105.68994	-1
3105.70679	-1
3105.72339	-1
3105.73999	0
3105.75000	-2
3105.77344	-1
3105.79004	2
3105.80664	0
3105.82324	0
3105.84009	2
3105.85669	-1
3105.87329	0
3105.88989	0
3105.90674	0
3105.92334	-2
3105.93994	-1
3105.95679	-1
3105.97510	2
3105.99170	-2
3106.00659	-1
3106.02490	-1
3106.04004	-1
3106.05664	0
3106.07324	-1
3106.09009	-1
3106.10010	0
3106.11670	-1
3106.13989	-2
3106.14990	0
3106.17334	-1
3106.18994	0
3106.20825	-2
3106.22339	1
3106.23999	-1
3106.25659	0
3106.27344	-1
3106.29004	2
3106.30664	-1
3106.32324	1
3106.34009	-1
3106.35010	-1
3106.37329	-1
3106.38330	1
3106.40674	-1
