EPRTextModeVersion05
pich стандарт
Year
2025
Month
2
Day
24
Time
813
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.15000
Power
  10.00000
Base line
1903
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.08325	2
2500.16675	-1
2500.25000	0
2500.33325	1
2500.41675	1
2500.50000	0
2500.58325	2
2500.66675	-1
2500.75000	0
2500.83325	-1
2500.91675	1
2501.00000	0
2501.08325	-1
2501.16675	1
2501.25000	1
2501.33325	0
2501.41675	1
2501.50000	2
2501.58325	1
2501.66675	4
2501.75000	1
2501.83325	2
2501.91675	2
2502.00000	2
2502.08325	0
2502.16675	0
2502.25000	1
2502.33325	0
2502.41675	1
2502.50000	0
2502.58325	0
2502.66675	0
2502.75000	1
2502.83325	0
2502.91675	0
2503.00000	2
2503.08325	3
2503.17505	1
2503.25000	1
2503.33325	2
2503.41675	1
2503.50000	1
2503.58325	1
2503.66675	2
2503.75000	2
2503.83325	0
2503.91675	0
2504.00000	1
2504.08325	1
2504.16675	0
2504.25000	1
2504.33325	0
2504.41675	2
2504.50000	1
2504.59155	2
2504.66675	1
2504.75000	2
2504.83325	2
2504.91675	2
2505.00000	2
2505.08325	2
2505.16675	2
2505.25000	1
2505.33325	0
2505.41675	1
2505.50000	1
2505.58325	2
2505.66675	1
2505.75000	0
2505.83325	0
2505.91675	1
2506.00000	2
2506.08325	3
2506.16675	2
2506.25000	1
2506.33325	2
2506.41675	1
2506.50000	4
2506.58325	3
2506.66675	3
2506.75000	3
2506.83325	2
2506.91675	1
2507.00000	5
2507.08325	2
2507.16675	1
2507.25000	2
2507.33325	2
2507.41675	3
2507.50000	4
2507.58325	1
2507.66675	3
2507.75830	1
2507.83325	2
2507.91675	3
2508.00000	3
2508.08325	2
2508.16675	3
2508.25000	3
2508.33325	2
2508.41675	3
2508.50000	2
2508.58325	3
2508.66675	4
2508.75000	4
2508.83325	3
2508.91675	1
2509.00000	2
2509.08325	2
2509.16675	4
2509.25000	3
2509.33325	3
2509.41675	4
2509.50000	3
2509.58325	3
2509.66675	3
2509.75000	3
2509.83325	5
2509.91675	4
2510.00000	3
2510.08325	2
2510.16675	2
2510.25000	3
2510.33325	1
2510.41675	1
2510.50000	2
2510.58325	3
2510.66675	1
2510.75000	0
2510.83325	1
2510.91675	1
2511.00000	2
2511.08325	0
2511.16675	0
2511.25000	-1
2511.33325	0
2511.41675	0
2511.50000	-1
2511.58325	1
2511.66675	0
2511.75000	0
2511.83325	0
2511.91675	1
2512.00000	1
2512.08325	1
2512.16675	0
2512.25000	1
2512.33325	1
2512.41675	2
2512.50000	2
2512.58325	1
2512.66675	1
2512.75000	1
2512.83325	1
2512.91675	1
2513.00000	1
2513.08325	1
2513.16675	2
2513.25000	1
2513.33325	2
2513.41675	1
2513.50000	3
2513.58325	2
2513.66675	1
2513.75000	2
2513.83325	2
2513.91675	2
2514.00000	1
2514.08325	0
2514.16675	1
2514.25000	1
2514.33325	1
2514.41675	1
2514.50000	2
2514.58325	2
2514.66675	0
2514.75000	2
2514.83325	2
2514.91675	0
2515.00000	1
2515.08325	2
2515.16675	0
2515.25000	0
2515.33325	0
2515.41675	0
2515.50000	0
2515.58325	0
2515.66675	2
2515.75000	1
2515.83325	1
2515.91675	1
2516.00000	-1
2516.08325	1
2516.16675	1
2516.25000	2
2516.33325	0
2516.41675	1
2516.50000	1
2516.58325	0
2516.66675	0
2516.75000	0
2516.83325	1
2516.91675	0
2517.00000	1
2517.08325	-1
2517.16675	1
2517.25000	0
2517.33325	0
2517.41675	1
2517.50000	-2
2517.58325	-2
2517.66675	-3
2517.75000	-2
2517.84155	1
2517.91675	-1
2518.00000	1
2518.08325	0
2518.16675	-1
2518.25000	-1
2518.33325	0
2518.41675	0
2518.50000	0
2518.58325	0
2518.66675	-1
2518.75000	-1
2518.83325	0
2518.91675	-1
2519.00000	0
2519.08325	0
2519.16675	-1
2519.25000	0
2519.33325	0
2519.41675	2
2519.50000	0
2519.58325	-1
2519.67505	-1
2519.75000	1
2519.83325	2
2519.91675	-1
2520.00000	-3
2520.08325	0
2520.16675	1
2520.25000	-1
2520.33325	-3
2520.41675	-3
2520.50000	-3
2520.58325	-3
2520.66675	-2
2520.75000	-3
2520.83325	-4
2520.91675	-5
2521.00000	-3
2521.08325	-5
2521.16675	-2
2521.25830	-4
2521.33325	-2
2521.41675	-3
2521.50000	-3
2521.58325	-5
2521.66675	-4
2521.75000	-2
2521.83325	-3
2521.91675	-3
2522.00000	-4
2522.08325	-3
2522.16675	-3
2522.25000	-3
2522.33325	-4
2522.42505	-2
2522.50000	-3
2522.58325	-2
2522.66675	-3
2522.75000	-1
2522.83325	-2
2522.91675	-3
2523.00000	-1
2523.08325	-2
2523.16675	-2
2523.25000	-3
2523.33325	-2
2523.41675	-3
2523.50000	-3
2523.58325	-3
2523.66675	-3
2523.75000	-1
2523.83325	-3
2523.91675	-4
2524.00000	-5
2524.08325	-2
2524.16675	-4
2524.25000	-5
2524.33325	-3
2524.41675	-3
2524.50000	-2
2524.58325	-6
2524.66675	-5
2524.75000	-4
2524.83325	-2
2524.91675	-3
2525.00000	-3
2525.08325	-3
2525.17505	-6
2525.25000	-3
2525.34155	-2
2525.41675	-1
2525.50830	-3
2525.58325	-3
2525.66675	-2
2525.75000	-2
2525.83325	-2
2525.91675	-3
2526.00000	-4
2526.08325	-3
2526.16675	-3
2526.25000	-4
2526.33325	-2
2526.41675	-2
2526.50000	-3
2526.58325	-3
2526.66675	-5
2526.75000	-4
2526.83325	-3
2526.91675	-1
2527.00000	-3
2527.08325	-5
2527.16675	0
2527.25000	-3
2527.33325	-3
2527.41675	-4
2527.50000	-4
2527.58325	-4
2527.66675	-3
2527.75000	-4
2527.83325	-4
2527.92505	-5
2528.00000	-4
2528.08325	-3
2528.16675	-3
2528.25000	-2
2528.33325	-3
2528.41675	-5
2528.50000	-4
2528.58325	-4
2528.66675	-4
2528.75000	-3
2528.83325	-2
2528.91675	-3
2529.00000	-3
2529.08325	-4
2529.16675	-4
2529.25000	-3
2529.33325	-4
2529.41675	-5
2529.50000	-4
2529.58325	-5
2529.66675	-5
2529.75000	-2
2529.83325	-6
2529.91675	-5
2530.00000	-6
2530.08325	-5
2530.16675	-7
2530.25000	-5
2530.33325	-4
2530.41675	-6
2530.50000	-7
2530.58325	-4
2530.67505	-5
2530.75000	-5
2530.83325	-6
2530.91675	-5
2531.00000	-6
2531.08325	-6
2531.16675	-5
2531.25000	-5
2531.33325	-5
2531.41675	-4
2531.50000	-6
2531.58325	-4
2531.66675	-5
2531.75000	-6
2531.83325	-6
2531.91675	-6
2532.00000	-5
2532.08325	-5
2532.16675	-5
2532.25000	-5
2532.33325	-6
2532.41675	-5
2532.50000	-5
2532.58325	-6
2532.66675	-7
2532.75000	-7
2532.83325	-6
2532.91675	-6
2533.00000	-7
2533.08325	-6
2533.16675	-6
2533.25000	-4
2533.33325	-5
2533.41675	-6
2533.50000	-6
2533.58325	-4
2533.66675	-5
2533.75000	-4
2533.83325	-5
2533.91675	-4
2534.00000	-3
2534.08325	-5
2534.16675	-2
2534.25000	-2
2534.33325	-5
2534.41675	-4
2534.50000	-4
2534.58325	-4
2534.66675	-5
2534.75000	-4
2534.83325	-4
2534.91675	-3
2535.00000	-5
2535.08325	-2
2535.16675	-7
2535.25000	-5
2535.33325	-4
2535.41675	-6
2535.50830	-4
2535.58325	-6
2535.66675	-4
2535.75000	-7
2535.83325	-6
2535.91675	-7
2536.00000	-6
2536.08325	-7
2536.16675	-5
2536.25000	-5
2536.33325	-6
2536.41675	-5
2536.50000	-6
2536.58325	-4
2536.66675	-4
2536.75000	-4
2536.83325	-6
2536.91675	-5
2537.00000	-5
2537.08325	-5
2537.16675	-4
2537.25000	-6
2537.33325	-5
2537.41675	-6
2537.50000	-6
2537.58325	-7
2537.66675	-7
2537.75000	-5
2537.83325	-7
2537.91675	-6
2538.00000	-6
2538.08325	-5
2538.16675	-5
2538.25000	-5
2538.33325	-5
2538.41675	-6
2538.50000	-5
2538.58325	-5
2538.66675	-5
2538.75000	-6
2538.83325	-6
2538.91675	-4
2539.00000	-5
2539.08325	-4
2539.16675	-5
2539.25000	-5
2539.33325	-5
2539.41675	-6
2539.50000	-4
2539.58325	-6
2539.66675	-6
2539.75000	-6
2539.83325	-5
2539.91675	-6
2540.00000	-6
2540.08325	-6
2540.16675	-6
2540.25000	-6
2540.33325	-6
2540.41675	-6
2540.50000	-7
2540.58325	-6
2540.66675	-8
2540.75000	-7
2540.83325	-3
2540.91675	-5
2541.00000	-7
2541.08325	-6
2541.16675	-4
2541.25000	-4
2541.33325	-8
2541.41675	-5
2541.50000	-6
2541.58325	-6
2541.66675	-6
2541.75000	-6
2541.83325	-7
2541.91675	-7
2542.00000	-6
2542.09155	-7
2542.16675	-6
2542.25000	-8
2542.33325	-7
2542.41675	-6
2542.50000	-5
2542.58325	-7
2542.66675	-6
2542.75000	-7
2542.83325	-7
2542.91675	-6
2543.00000	-7
2543.08325	-8
2543.16675	-9
2543.25000	-8
2543.33325	-5
2543.41675	-8
2543.50830	-8
2543.58325	-7
2543.66675	-6
2543.75000	-7
2543.83325	-8
2543.91675	-10
2544.00000	-6
2544.08325	-9
2544.16675	-8
2544.25000	-9
2544.33325	-9
2544.41675	-8
2544.50000	-6
2544.58325	-7
2544.66675	-9
2544.75000	-7
2544.83325	-7
2544.91675	-7
2545.00000	-6
2545.08325	-7
2545.16675	-6
2545.25000	-7
2545.33325	-4
2545.41675	-6
2545.50000	-5
2545.58325	-6
2545.66675	-6
2545.75000	-5
2545.83325	-6
2545.91675	-7
2546.00000	-6
2546.08325	-7
2546.16675	-6
2546.25830	-6
2546.33325	-6
2546.41675	-8
2546.50000	-8
2546.58325	-7
2546.66675	-6
2546.75000	-8
2546.83325	-7
2546.91675	-7
2547.00000	-7
2547.08325	-7
2547.16675	-8
2547.25000	-8
2547.33325	-8
2547.41675	-7
2547.50000	-7
2547.58325	-8
2547.66675	-9
2547.75000	-9
2547.83325	-8
2547.91675	-6
2548.00000	-8
2548.08325	-9
2548.16675	-9
2548.25000	-7
2548.33325	-8
2548.41675	-8
2548.50000	-10
2548.58325	-7
2548.66675	-9
2548.75000	-9
2548.83325	-9
2548.91675	-10
2549.00830	-11
2549.08325	-10
2549.16675	-8
2549.25000	-10
2549.33325	-8
2549.41675	-10
2549.50000	-9
2549.58325	-9
2549.66675	-9
2549.75000	-11
2549.83325	-10
2549.91675	-9
2550.00000	-10
2550.08325	-10
2550.16675	-10
2550.25000	-11
2550.34155	-10
2550.42505	-10
2550.50000	-8
2550.58325	-10
2550.66675	-9
2550.75000	-10
2550.83325	-9
2550.91675	-9
2551.00000	-8
2551.08325	-10
2551.16675	-9
2551.25000	-10
2551.33325	-8
2551.41675	-10
2551.50000	-10
2551.58325	-10
2551.66675	-9
2551.75000	-10
2551.83325	-10
2551.91675	-11
2552.00000	-10
2552.08325	-10
2552.16675	-11
2552.25000	-11
2552.33325	-11
2552.41675	-9
2552.50000	-10
2552.58325	-9
2552.66675	-7
2552.75000	-12
2552.83325	-10
2552.91675	-9
2553.00000	-10
2553.08325	-10
2553.16675	-9
2553.25000	-10
2553.33325	-10
2553.41675	-12
2553.50000	-11
2553.58325	-10
2553.66675	-7
2553.75000	-10
2553.84155	-10
2553.91675	-10
2554.00000	-9
2554.08325	-8
2554.16675	-10
2554.25000	-9
2554.33325	-8
2554.41675	-10
2554.50000	-8
2554.58325	-8
2554.66675	-9
2554.75000	-10
2554.83325	-9
2554.91675	-11
2555.00000	-11
2555.08325	-11
2555.16675	-9
2555.25830	-10
2555.33325	-12
2555.42505	-14
2555.50000	-13
2555.59155	-12
2555.66675	-12
2555.75000	-12
2555.83325	-12
2555.91675	-12
2556.00000	-11
2556.09155	-10
2556.16675	-10
2556.25000	-11
2556.34155	-11
2556.41675	-11
2556.50000	-11
2556.58325	-11
2556.66675	-11
2556.75000	-12
2556.83325	-11
2556.91675	-12
2557.00000	-11
2557.08325	-12
2557.16675	-11
2557.25000	-12
2557.34155	-13
2557.41675	-11
2557.50000	-13
2557.58325	-13
2557.66675	-12
2557.75000	-12
2557.83325	-12
2557.91675	-12
2558.00000	-13
2558.08325	-13
2558.16675	-13
2558.25000	-12
2558.33325	-13
2558.41675	-13
2558.50000	-14
2558.58325	-12
2558.66675	-11
2558.75830	-13
2558.83325	-12
2558.91675	-11
2559.00000	-16
2559.08325	-15
2559.16675	-13
2559.25000	-13
2559.33325	-13
2559.41675	-13
2559.50000	-14
2559.58325	-15
2559.66675	-14
2559.75000	-14
2559.83325	-14
2559.91675	-14
2560.00000	-18
2560.08325	-15
2560.16675	-15
2560.25000	-17
2560.33325	-16
2560.41675	-16
2560.50000	-16
2560.58325	-15
2560.66675	-16
2560.75000	-15
2560.84155	-16
2560.91675	-16
2561.00000	-16
2561.08325	-16
2561.16675	-16
2561.25000	-15
2561.33325	-14
2561.41675	-15
2561.50000	-17
2561.58325	-13
2561.66675	-14
2561.75000	-15
2561.83325	-14
2561.91675	-14
2562.00000	-12
2562.08325	-12
2562.16675	-14
2562.25000	-13
2562.33325	-14
2562.41675	-14
2562.50000	-13
2562.58325	-12
2562.66675	-13
2562.75830	-13
2562.83325	-13
2562.92505	-13
2563.00000	-14
2563.08325	-12
2563.16675	-11
2563.25000	-12
2563.33325	-13
2563.41675	-11
2563.50000	-14
2563.59155	-13
2563.67505	-14
2563.75000	-13
2563.83325	-15
2563.91675	-14
2564.00000	-16
2564.08325	-16
2564.16675	-14
2564.25000	-14
2564.33325	-16
2564.41675	-15
2564.50000	-16
2564.58325	-14
2564.66675	-18
2564.75000	-17
2564.83325	-18
2564.91675	-17
2565.00000	-19
2565.08325	-15
2565.16675	-18
2565.25000	-17
2565.33325	-18
2565.41675	-18
2565.50000	-18
2565.58325	-17
2565.66675	-18
2565.75000	-17
2565.83325	-17
2565.91675	-17
2566.00000	-18
2566.08325	-18
2566.16675	-17
2566.25000	-19
2566.33325	-18
2566.41675	-19
2566.50000	-18
2566.58325	-17
2566.66675	-16
2566.75000	-17
2566.83325	-17
2566.91675	-17
2567.00000	-17
2567.09155	-18
2567.16675	-18
2567.25000	-18
2567.33325	-16
2567.41675	-17
2567.50000	-17
2567.58325	-19
2567.66675	-18
2567.75000	-19
2567.84155	-19
2567.91675	-19
2568.00000	-21
2568.08325	-19
2568.16675	-18
2568.25000	-17
2568.33325	-18
2568.41675	-18
2568.50000	-18
2568.58325	-19
2568.66675	-17
2568.75000	-18
2568.83325	-19
2568.91675	-19
2569.00000	-18
2569.08325	-20
2569.16675	-18
2569.25000	-16
2569.33325	-17
2569.41675	-17
2569.50000	-18
2569.58325	-16
2569.66675	-17
2569.75000	-17
2569.83325	-17
2569.91675	-17
2570.00000	-17
2570.08325	-19
2570.16675	-19
2570.25000	-18
2570.33325	-15
2570.41675	-17
2570.50000	-17
2570.58325	-19
2570.66675	-17
2570.75000	-21
2570.83325	-20
2570.91675	-19
2571.00000	-20
2571.08325	-18
2571.16675	-21
2571.25830	-20
2571.33325	-18
2571.41675	-21
2571.50000	-18
2571.58325	-20
2571.66675	-22
2571.75000	-18
2571.83325	-22
2571.91675	-22
2572.00000	-19
2572.08325	-20
2572.16675	-20
2572.25000	-21
2572.33325	-22
2572.41675	-19
2572.50000	-20
2572.58325	-20
2572.66675	-20
2572.75000	-19
2572.83325	-21
2572.91675	-19
2573.00000	-20
2573.08325	-20
2573.16675	-22
2573.25000	-21
2573.33325	-19
2573.41675	-22
2573.50000	-22
2573.58325	-20
2573.66675	-21
2573.75000	-21
2573.83325	-21
2573.91675	-19
2574.00000	-20
2574.08325	-21
2574.16675	-22
2574.25000	-22
2574.33325	-19
2574.41675	-20
2574.50000	-20
2574.58325	-20
2574.67505	-20
2574.75000	-22
2574.83325	-21
2574.91675	-22
2575.00000	-21
2575.08325	-22
2575.16675	-22
2575.25000	-21
2575.33325	-19
2575.42505	-20
2575.50000	-21
2575.58325	-20
2575.66675	-21
2575.75000	-21
2575.83325	-22
2575.91675	-22
2576.00000	-23
2576.08325	-22
2576.16675	-22
2576.25000	-23
2576.33325	-22
2576.41675	-23
2576.50000	-21
2576.58325	-24
2576.66675	-23
2576.75000	-24
2576.83325	-23
2576.91675	-23
2577.00000	-23
2577.08325	-23
2577.16675	-23
2577.25000	-22
2577.33325	-23
2577.42505	-23
2577.50000	-25
2577.58325	-24
2577.66675	-24
2577.75000	-24
2577.83325	-24
2577.91675	-24
2578.00000	-21
2578.08325	-23
2578.16675	-24
2578.25000	-23
2578.33325	-24
2578.41675	-25
2578.50000	-23
2578.58325	-24
2578.66675	-24
2578.75000	-22
2578.83325	-23
2578.91675	-23
2579.00000	-22
2579.08325	-23
2579.16675	-24
2579.25000	-25
2579.33325	-23
2579.41675	-24
2579.50000	-23
2579.58325	-24
2579.66675	-24
2579.75000	-25
2579.83325	-24
2579.91675	-24
2580.00000	-23
2580.08325	-25
2580.17505	-26
2580.25000	-23
2580.33325	-24
2580.41675	-22
2580.50000	-23
2580.58325	-25
2580.66675	-22
2580.75000	-24
2580.83325	-24
2580.92505	-26
2581.00000	-24
2581.08325	-24
2581.16675	-22
2581.25000	-23
2581.33325	-20
2581.41675	-22
2581.50000	-23
2581.58325	-23
2581.66675	-23
2581.75000	-25
2581.83325	-25
2581.91675	-23
2582.00000	-24
2582.08325	-24
2582.16675	-23
2582.25000	-23
2582.33325	-25
2582.41675	-24
2582.50000	-22
2582.58325	-24
2582.66675	-23
2582.75000	-24
2582.83325	-23
2582.91675	-25
2583.00000	-23
2583.08325	-25
2583.16675	-24
2583.25000	-24
2583.33325	-26
2583.41675	-25
2583.50000	-26
2583.58325	-26
2583.66675	-27
2583.75000	-26
2583.83325	-27
2583.91675	-27
2584.00000	-26
2584.08325	-26
2584.16675	-27
2584.25000	-28
2584.33325	-25
2584.41675	-25
2584.50000	-27
2584.58325	-28
2584.66675	-27
2584.75000	-28
2584.83325	-30
2584.91675	-29
2585.00000	-28
2585.08325	-29
2585.16675	-28
2585.25000	-29
2585.33325	-29
2585.41675	-31
2585.50000	-30
2585.59155	-32
2585.67505	-29
2585.75000	-31
2585.83325	-31
2585.91675	-30
2586.00000	-32
2586.08325	-30
2586.16675	-29
2586.25000	-30
2586.33325	-29
2586.41675	-28
2586.50000	-31
2586.58325	-30
2586.66675	-30
2586.75000	-30
2586.83325	-30
2586.91675	-30
2587.00000	-31
2587.08325	-30
2587.16675	-30
2587.25000	-31
2587.33325	-31
2587.41675	-32
2587.50830	-31
2587.58325	-32
2587.66675	-31
2587.75000	-30
2587.83325	-31
2587.91675	-31
2588.00000	-32
2588.08325	-32
2588.16675	-30
