EPRTextModeVersion05
pich стандарт
Year
2025
Month
2
Day
24
Time
824
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.15000
Power
  10.00000
Base line
1889
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.08325	1
2500.19995	1
2500.25000	2
2500.36670	2
2500.41675	2
2500.53345	2
2500.58325	2
2500.69995	3
2500.75000	3
2500.83325	2
2500.94995	3
2501.03345	2
2501.11670	5
2501.19995	6
2501.25000	3
2501.36670	3
2501.41675	3
2501.53345	4
2501.61670	5
2501.66675	5
2501.75000	4
2501.86670	2
2501.91675	4
2502.03345	4
2502.08325	3
2502.19995	4
2502.25000	4
2502.36670	4
2502.41675	5
2502.53345	2
2502.58325	5
2502.69995	5
2502.75000	5
2502.86670	6
2502.91675	5
2503.03345	7
2503.08325	4
2503.19995	7
2503.25000	6
2503.36670	5
2503.44995	6
2503.50000	4
2503.58325	5
2503.69995	6
2503.78345	4
2503.86670	7
2503.91675	5
2504.03345	3
2504.08325	2
2504.19995	4
2504.25000	4
2504.36670	5
2504.41675	5
2504.53345	6
2504.58325	4
2504.69995	5
2504.78345	6
2504.86670	6
2504.94995	8
2505.00000	7
2505.11670	8
2505.19995	7
2505.28345	8
2505.36670	7
2505.41675	6
2505.53345	6
2505.62500	6
2505.69995	5
2505.78345	6
2505.83325	7
2505.94995	7
2506.03345	7
2506.11670	8
2506.19995	6
2506.25000	6
2506.36670	6
2506.41675	7
2506.53345	7
2506.61670	8
2506.66675	7
2506.75000	7
2506.86670	6
2506.94995	8
2507.03345	9
2507.08325	10
2507.19995	9
2507.25000	6
2507.36670	9
2507.44995	10
2507.50000	10
2507.61670	8
2507.66675	8
2507.78345	8
2507.86670	7
2507.91675	6
2508.03345	7
2508.08325	8
2508.16675	8
2508.28345	7
2508.36670	7
2508.41675	7
2508.53345	6
2508.61670	8
2508.69995	6
2508.75000	8
2508.86670	6
2508.94995	6
2509.03345	8
2509.08325	6
2509.19995	8
2509.28345	8
2509.37500	6
2509.44995	6
2509.54175	7
2509.58325	5
2509.69995	8
2509.75000	6
2509.86670	7
2509.94995	8
2510.00000	7
2510.11670	6
2510.19995	8
2510.28345	7
2510.36670	7
2510.41675	8
2510.53345	7
2510.62500	7
2510.69995	7
2510.78345	7
2510.83325	9
2510.94995	8
2511.03345	5
2511.12500	8
2511.19995	5
2511.25000	7
2511.37500	6
2511.44995	7
2511.53345	5
2511.61670	9
2511.66675	6
2511.78345	7
2511.86670	6
2511.94995	8
2512.03345	6
2512.08325	5
2512.19995	4
2512.28345	8
2512.36670	5
2512.44995	7
2512.53345	5
2512.61670	6
2512.69995	4
2512.75000	7
2512.87500	5
2512.94995	4
2513.03345	4
2513.08325	6
2513.16675	6
2513.28345	8
2513.33325	7
2513.44995	6
2513.50000	6
2513.61670	9
2513.66675	6
2513.75000	6
2513.86670	7
2513.91675	6
2514.03345	6
2514.11670	5
2514.16675	4
2514.28345	4
2514.33325	5
2514.44995	6
2514.53345	5
2514.58325	4
2514.69995	7
2514.78345	7
2514.86670	5
2514.91675	5
2515.03345	6
2515.08325	5
2515.19995	5
2515.25000	6
2515.36670	6
2515.41675	4
2515.53345	7
2515.58325	7
2515.69995	6
2515.78345	7
2515.86670	4
2515.94995	6
2516.00000	5
2516.11670	9
2516.19995	7
2516.25000	6
2516.37500	6
2516.44995	8
2516.53345	4
2516.61670	7
2516.66675	5
2516.78345	7
2516.83325	5
2516.94995	7
2517.00000	6
2517.11670	7
2517.16675	6
2517.28345	6
2517.33325	5
2517.44995	6
2517.50000	4
2517.61670	7
2517.69995	5
2517.75000	6
2517.86670	5
2517.91675	6
2518.00000	4
2518.12500	5
2518.19995	6
2518.28345	7
2518.33325	6
2518.44995	6
2518.50000	5
2518.61670	7
2518.66675	7
2518.78345	9
2518.83325	5
2518.94995	6
2519.00000	5
2519.11670	6
2519.16675	5
2519.28345	6
2519.33325	6
2519.44995	4
2519.53345	5
2519.58325	5
2519.69995	5
2519.78345	7
2519.83325	4
2519.94995	4
2520.00000	4
2520.11670	4
2520.16675	4
2520.28345	3
2520.33325	3
2520.44995	7
2520.50000	3
2520.61670	5
2520.66675	4
2520.78345	4
2520.83325	5
2520.94995	6
2521.00000	5
2521.11670	3
2521.19995	2
2521.25000	4
2521.36670	6
2521.44995	4
2521.50000	5
2521.61670	4
2521.66675	3
2521.78345	3
2521.83325	4
2521.94995	3
2522.03345	4
2522.08325	2
2522.19995	1
2522.28345	3
2522.33325	4
2522.45825	3
2522.50000	4
2522.61670	3
2522.66675	2
2522.78345	6
2522.83325	4
2522.94995	5
2523.03345	4
2523.11670	2
2523.19995	3
2523.29175	3
2523.33325	3
2523.44995	4
2523.53345	5
2523.61670	5
2523.66675	4
2523.75000	3
2523.86670	3
2523.91675	4
2524.03345	4
2524.08325	4
2524.19995	5
2524.25000	3
2524.36670	3
2524.41675	4
2524.53345	2
2524.58325	3
2524.69995	1
2524.78345	1
2524.86670	0
2524.94995	1
2525.00000	2
2525.11670	0
2525.19995	0
2525.28345	0
2525.36670	0
2525.41675	-1
2525.54175	0
2525.61670	1
2525.69995	1
2525.78345	3
2525.83325	2
2525.94995	2
2526.00000	1
2526.11670	4
2526.16675	2
2526.28345	1
2526.33325	0
2526.44995	0
2526.50000	1
2526.61670	2
2526.66675	1
2526.78345	1
2526.83325	2
2526.94995	1
2527.00000	-1
2527.11670	1
2527.19995	0
2527.28345	1
2527.36670	0
2527.44995	2
2527.50000	1
2527.61670	1
2527.66675	2
2527.78345	4
2527.83325	1
2527.94995	2
2528.00000	0
2528.11670	3
2528.16675	1
2528.28345	3
2528.33325	1
2528.44995	1
2528.53345	1
2528.61670	2
2528.69995	2
2528.75000	2
2528.86670	0
2528.94995	1
2529.03345	3
2529.11670	3
2529.16675	1
2529.29175	4
2529.36670	1
2529.45825	1
2529.53345	0
2529.58325	1
2529.69995	-1
2529.78345	1
2529.86670	-1
2529.94995	0
2530.00000	-2
2530.11670	-2
2530.19995	2
2530.28345	-1
2530.36670	-1
2530.41675	0
2530.53345	-2
2530.61670	-1
2530.69995	-2
2530.78345	0
2530.83325	-1
2530.94995	-1
2531.03345	-1
2531.11670	-1
2531.20825	-1
2531.28345	-1
