EPRTextModeVersion05
pich стандарт
Year
2025
Month
2
Day
24
Time
857
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.15000
Power
  10.00000
Base line
1875
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.11670	1
2500.16675	1
2500.28345	1
2500.36670	3
2500.41675	3
2500.53345	1
2500.58325	2
2500.69995	2
2500.78345	-1
2500.83325	1
2500.94995	2
2501.00000	4
2501.11670	2
2501.16675	2
2501.28345	4
2501.33325	5
2501.44995	5
2501.50000	4
2501.61670	4
2501.66675	3
2501.78345	4
2501.83325	6
2501.94995	4
2502.00000	3
2502.11670	5
2502.16675	6
2502.28345	5
2502.33325	4
2502.44995	5
2502.50000	4
2502.61670	5
2502.66675	4
2502.75000	5
2502.86670	6
2502.91675	5
2503.03345	5
2503.11670	5
2503.16675	6
2503.28345	5
2503.33325	7
2503.41675	7
2503.53345	7
2503.61670	7
2503.66675	7
2503.78345	6
2503.83325	6
2503.94995	8
2504.00000	8
2504.12500	7
2504.16675	6
2504.28345	8
2504.33325	7
2504.44995	6
2504.50000	7
2504.58325	8
2504.69995	5
2504.79175	8
2504.86670	6
2504.94995	5
2505.00000	7
2505.11670	7
2505.19995	6
2505.28345	9
2505.36670	7
2505.41675	6
2505.53345	7
2505.58325	6
2505.69995	4
2505.75000	5
2505.86670	6
2505.94995	6
2506.03345	6
2506.08325	5
2506.19995	6
2506.25000	7
2506.36670	6
2506.41675	5
2506.53345	6
2506.58325	5
2506.69995	3
2506.75000	5
2506.87500	5
2506.91675	5
2507.03345	3
2507.11670	4
2507.19995	2
2507.25000	4
2507.36670	4
2507.41675	4
2507.53345	3
2507.61670	5
2507.69995	7
2507.75000	7
2507.86670	5
2507.91675	6
2508.03345	5
2508.08325	6
2508.19995	5
2508.25000	5
2508.36670	5
2508.41675	5
2508.53345	5
2508.58325	5
2508.66675	4
2508.78345	6
2508.86670	5
2508.94995	4
2509.00000	4
2509.11670	4
2509.16675	3
2509.28345	6
2509.36670	4
2509.41675	4
2509.53345	5
2509.58325	5
2509.69995	6
2509.75000	3
2509.86670	4
2509.91675	5
2510.03345	4
2510.08325	5
2510.19995	6
2510.25000	5
2510.37500	3
2510.41675	4
2510.53345	3
2510.58325	5
2510.69995	4
2510.78345	4
2510.83325	1
2510.91675	3
2511.03345	4
2511.08325	4
2511.19995	5
2511.25000	2
2511.36670	4
2511.41675	4
2511.53345	3
2511.61670	2
2511.66675	3
2511.78345	4
2511.86670	2
2511.91675	5
2512.03345	3
2512.08325	3
2512.19995	4
2512.25000	3
2512.36670	3
2512.41675	4
2512.53345	3
2512.61670	1
2512.69995	2
2512.75000	3
2512.83325	2
2512.94995	3
2513.03345	4
2513.11670	2
2513.19995	2
2513.25000	3
2513.36670	2
2513.41675	2
2513.53345	3
2513.58325	3
2513.69995	3
2513.75000	4
2513.87500	3
2513.91675	3
2514.03345	2
2514.08325	4
2514.20825	6
2514.25000	3
2514.36670	4
2514.44995	3
2514.53345	4
2514.58325	2
2514.66675	3
2514.75000	3
2514.86670	2
2514.94995	3
2515.00000	3
2515.11670	6
2515.19995	4
2515.25000	4
2515.36670	4
2515.41675	4
2515.53345	3
2515.58325	4
2515.69995	4
2515.75000	3
2515.86670	5
2515.91675	4
2516.03345	4
2516.08325	4
2516.19995	5
2516.28345	5
2516.33325	2
2516.44995	4
2516.53345	4
2516.58325	5
2516.69995	4
2516.78345	4
2516.86670	4
2516.91675	3
2517.03345	5
2517.08325	3
2517.19995	4
2517.25000	3
2517.37500	2
2517.41675	4
2517.53345	3
2517.58325	5
2517.69995	4
2517.75000	2
2517.86670	3
2517.91675	3
2518.03345	2
2518.11670	3
2518.19995	1
2518.25000	3
2518.33325	3
2518.41675	1
2518.53345	4
2518.58325	3
2518.69995	2
2518.75000	0
2518.86670	2
2518.91675	3
2519.03345	3
2519.08325	2
2519.19995	2
2519.25000	4
2519.36670	2
2519.41675	5
2519.53345	5
2519.58325	3
2519.70825	3
2519.75000	3
2519.86670	2
2519.91675	3
2520.00000	2
2520.11670	1
2520.16675	2
2520.28345	2
2520.36670	0
2520.41675	0
2520.53345	1
2520.58325	5
2520.69995	0
2520.75000	1
2520.87500	1
2520.94995	0
2521.03345	-1
2521.08325	1
2521.19995	1
2521.25000	1
2521.36670	0
2521.41675	1
2521.53345	0
2521.58325	-2
2521.69995	-1
2521.75000	-1
2521.86670	-1
2521.91675	-1
2522.03345	-1
2522.08325	-1
2522.19995	0
2522.25000	-1
2522.36670	-4
2522.44995	-2
2522.50000	-2
2522.61670	0
2522.69995	-1
2522.75000	-2
2522.86670	-1
2522.91675	-1
2523.03345	0
2523.08325	-1
2523.19995	-1
2523.25000	-1
2523.36670	-2
2523.41675	-2
2523.53345	2
2523.61670	0
2523.66675	-2
2523.78345	-1
2523.86670	-2
2523.91675	-1
2524.03345	-3
2524.11670	-1
2524.16675	-2
2524.28345	-2
2524.37500	-2
2524.44995	-1
2524.53345	-2
2524.58325	1
2524.69995	-2
2524.75000	0
2524.86670	-1
2524.94995	-2
2525.00000	-2
2525.11670	-2
2525.16675	0
2525.28345	-1
2525.33325	-2
2525.44995	1
2525.53345	-2
2525.61670	-4
2525.66675	-2
2525.78345	1
2525.83325	-2
2525.94995	-3
2526.00000	-2
2526.12500	-2
2526.16675	-4
2526.28345	-1
2526.33325	-2
2526.44995	-1
2526.50000	0
2526.61670	-1
2526.66675	-2
2526.78345	-1
2526.83325	-1
2526.94995	-3
2527.00000	-2
2527.11670	-1
2527.16675	-6
2527.28345	-3
2527.36670	-3
2527.44995	-3
2527.50000	-2
2527.61670	-3
2527.66675	-2
2527.78345	-4
2527.83325	-4
2527.94995	-5
2528.00000	-2
2528.11670	-2
2528.16675	-5
2528.29175	-2
2528.33325	-1
2528.44995	-1
2528.53345	-3
2528.62500	-1
2528.69995	-2
2528.75000	0
2528.87500	-1
2528.94995	-2
2529.03345	0
2529.11670	-1
2529.16675	-1
2529.28345	-1
2529.36670	-3
2529.44995	-1
2529.53345	-1
2529.58325	-2
2529.69995	1
2529.75000	-2
2529.86670	0
2529.91675	-2
2530.03345	0
2530.08325	-3
2530.19995	-2
2530.25000	-2
2530.36670	-1
2530.41675	-4
2530.53345	-5
2530.58325	-4
2530.69995	-2
2530.75000	-4
2530.86670	-5
2530.91675	0
2531.03345	-6
2531.11670	-5
2531.19995	-5
2531.25000	-2
2531.36670	-4
2531.44995	-3
2531.53345	-2
2531.58325	-4
2531.69995	-4
2531.75000	-4
2531.86670	-2
2531.91675	-2
2532.03345	-4
2532.08325	-4
2532.19995	-3
2532.25000	-3
2532.36670	-5
2532.41675	-4
2532.53345	-4
2532.58325	-2
2532.69995	-5
2532.75000	-5
2532.86670	-5
2532.91675	-4
2533.03345	-4
2533.08325	-6
2533.19995	-7
2533.28345	-4
2533.33325	-7
2533.41675	-5
2533.53345	-7
2533.58325	-6
2533.69995	-8
2533.75000	-7
2533.86670	-8
2533.91675	-8
2534.03345	-7
2534.08325	-6
2534.19995	-6
2534.25000	-6
2534.36670	-7
2534.41675	-7
2534.53345	-6
2534.58325	-6
2534.69995	-4
2534.78345	-6
2534.83325	-6
2534.94995	-7
2535.00000	-7
2535.11670	-7
2535.19995	-8
2535.28345	-6
2535.36670	-7
2535.41675	-7
2535.53345	-8
2535.58325	-7
2535.70825	-8
2535.75000	-6
2535.83325	-6
2535.94995	-5
2536.00000	-8
2536.11670	-7
2536.16675	-7
2536.28345	-6
2536.36670	-6
2536.41675	-8
2536.53345	-6
2536.58325	-7
2536.66675	-8
2536.78345	-7
2536.86670	-8
2536.94995	-9
2537.00000	-7
2537.08325	-8
2537.16675	-9
2537.28345	-8
2537.33325	-8
2537.45825	-8
2537.50000	-8
2537.61670	-8
2537.66675	-10
2537.78345	-10
2537.83325	-10
2537.94995	-8
2538.00000	-9
2538.11670	-11
2538.16675	-10
2538.28345	-10
2538.33325	-9
2538.44995	-10
2538.50000	-10
2538.61670	-9
2538.66675	-10
2538.78345	-8
2538.86670	-8
2538.94995	-10
2539.00000	-12
2539.11670	-9
2539.16675	-9
2539.28345	-10
2539.33325	-12
2539.44995	-10
2539.50000	-11
2539.61670	-13
2539.66675	-12
2539.78345	-12
2539.83325	-14
2539.94995	-11
2540.03345	-11
2540.11670	-11
2540.19995	-12
2540.25000	-13
2540.33325	-13
2540.44995	-12
2540.53345	-12
2540.61670	-12
2540.69995	-12
2540.78345	-13
2540.83325	-12
2540.95825	-11
2541.00000	-12
2541.11670	-12
2541.16675	-13
2541.25000	-13
2541.36670	-11
2541.44995	-12
2541.50000	-14
2541.61670	-13
2541.66675	-14
2541.78345	-10
2541.83325	-12
2541.94995	-14
2542.03345	-15
2542.08325	-13
2542.16675	-13
2542.28345	-13
2542.33325	-13
2542.44995	-13
2542.50000	-12
2542.61670	-11
2542.66675	-12
2542.78345	-12
2542.83325	-12
2542.94995	-12
2543.00000	-13
2543.08325	-14
2543.19995	-12
2543.28345	-14
2543.33325	-14
2543.44995	-12
2543.50000	-14
2543.61670	-13
2543.69995	-14
2543.75000	-14
2543.86670	-15
2543.94995	-13
2544.00000	-12
2544.11670	-12
2544.16675	-13
2544.28345	-13
2544.36670	-14
2544.45825	-12
2544.53345	-14
2544.62500	-13
2544.69995	-15
2544.78345	-13
2544.83325	-15
2544.94995	-14
2545.00000	-15
2545.11670	-14
2545.19995	-13
2545.29175	-13
2545.36670	-15
2545.41675	-15
2545.53345	-14
2545.61670	-14
2545.69995	-14
2545.78345	-17
2545.83325	-13
2545.94995	-15
2546.03345	-13
2546.11670	-14
2546.19995	-15
2546.25000	-17
2546.36670	-17
2546.44995	-15
2546.53345	-17
2546.58325	-18
2546.69995	-18
2546.75000	-17
2546.86670	-15
2546.91675	-16
2547.03345	-16
2547.08325	-18
2547.19995	-16
2547.25000	-15
2547.36670	-18
2547.44995	-15
2547.50000	-17
2547.61670	-17
2547.69995	-18
2547.75000	-19
2547.86670	-20
2547.91675	-18
2548.03345	-20
2548.11670	-18
2548.19995	-20
2548.25000	-20
2548.33325	-19
2548.41675	-19
2548.53345	-20
2548.58325	-18
2548.69995	-17
2548.75000	-19
2548.86670	-18
2548.91675	-19
2549.03345	-18
2549.08325	-19
2549.19995	-19
2549.25000	-18
2549.36670	-18
2549.41675	-18
2549.53345	-19
2549.58325	-20
2549.66675	-20
2549.78345	-20
2549.86670	-20
2549.91675	-20
2550.03345	-22
2550.08325	-23
2550.19995	-22
2550.25000	-21
2550.36670	-22
2550.41675	-23
2550.53345	-23
2550.58325	-22
2550.69995	-23
2550.75000	-22
2550.87500	-22
2550.94995	-22
2551.03345	-22
2551.11670	-22
2551.19995	-22
2551.25000	-19
2551.36670	-22
2551.44995	-21
2551.53345	-20
2551.61670	-22
2551.66675	-21
2551.79175	-21
2551.83325	-22
2551.94995	-22
2552.00000	-22
2552.11670	-21
2552.16675	-22
2552.28345	-21
2552.33325	-23
2552.44995	-20
2552.50000	-21
2552.61670	-20
2552.66675	-24
2552.78345	-22
2552.86670	-21
2552.91675	-22
2553.03345	-24
2553.08325	-24
2553.16675	-23
2553.28345	-22
2553.33325	-23
2553.44995	-25
2553.50000	-24
2553.61670	-23
2553.66675	-24
2553.78345	-26
2553.83325	-24
2553.94995	-24
2554.00000	-25
2554.11670	-25
2554.16675	-22
2554.28345	-24
2554.33325	-25
2554.44995	-24
2554.50000	-25
2554.61670	-25
2554.69995	-26
2554.78345	-23
2554.86670	-23
2554.94995	-25
2555.00000	-24
2555.11670	-22
2555.19995	-23
2555.28345	-22
2555.36670	-24
2555.41675	-26
2555.53345	-25
2555.61670	-23
2555.69995	-24
2555.79175	-23
2555.83325	-23
2555.95825	-23
2556.03345	-24
2556.11670	-26
2556.16675	-25
2556.28345	-25
2556.36670	-28
2556.44995	-25
2556.53345	-23
2556.61670	-24
2556.66675	-25
2556.78345	-23
2556.86670	-25
2556.94995	-23
2557.03345	-24
2557.08325	-25
2557.19995	-26
2557.28345	-25
2557.36670	-27
2557.41675	-28
2557.54175	-27
2557.58325	-27
2557.69995	-27
2557.75000	-27
2557.86670	-27
2557.91675	-26
2558.03345	-27
2558.08325	-28
2558.19995	-27
2558.28345	-27
2558.33325	-28
2558.41675	-28
2558.53345	-28
2558.61670	-27
2558.69995	-29
2558.75000	-28
2558.86670	-29
2558.91675	-27
2559.03345	-29
2559.11670	-28
2559.16675	-28
2559.25000	-28
2559.36670	-27
2559.41675	-29
2559.53345	-28
2559.58325	-28
2559.69995	-28
2559.75000	-29
2559.86670	-31
2559.91675	-29
2560.03345	-27
2560.11670	-28
2560.16675	-29
2560.28345	-27
2560.33325	-29
2560.44995	-26
2560.53345	-26
2560.58325	-29
2560.69995	-28
2560.78345	-28
2560.83325	-29
2560.94995	-27
2561.04175	-28
2561.11670	-26
2561.19995	-28
2561.25000	-30
2561.36670	-28
2561.44995	-26
2561.53345	-29
2561.61670	-28
