EPRTextModeVersion05

Year
2024
Month
12
Day
26
Time
991
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1811
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.11670	-2
2500.20825	-2
2500.28345	1
2500.33325	-1
2500.44995	-1
2500.50000	-1
2500.61670	1
2500.66675	0
2500.78345	3
2500.83325	0
2500.94995	1
2501.00000	0
2501.11670	3
2501.16675	2
2501.28345	1
2501.33325	1
2501.44995	2
2501.50000	-1
2501.61670	1
2501.66675	1
2501.78345	4
2501.83325	3
2501.94995	2
2502.04175	2
2502.11670	5
2502.16675	4
2502.28345	2
2502.36670	2
2502.41675	3
2502.53345	3
2502.61670	2
2502.66675	1
2502.78345	4
2502.83325	2
2502.94995	3
2503.00000	2
2503.11670	4
2503.16675	3
2503.28345	3
2503.36670	4
2503.44995	3
2503.50000	3
2503.61670	3
2503.66675	3
2503.79175	4
2503.86670	4
2503.94995	4
2504.00000	6
2504.11670	2
2504.19995	4
2504.28345	2
2504.33325	1
2504.44995	4
2504.50000	4
2504.61670	4
2504.66675	3
2504.78345	4
2504.83325	3
2504.91675	3
2505.00000	2
2505.11670	2
2505.19995	2
2505.25000	0
2505.36670	4
2505.44995	3
2505.50000	3
2505.61670	4
2505.69995	1
2505.78345	4
2505.83325	4
2505.94995	3
2506.03345	4
2506.08325	4
2506.19995	5
2506.25000	5
2506.36670	5
2506.44995	6
2506.50000	5
2506.61670	5
2506.66675	5
2506.78345	4
2506.83325	3
2506.94995	4
2507.00000	4
2507.11670	3
2507.16675	3
2507.29175	2
2507.33325	1
2507.44995	1
2507.53345	0
2507.61670	3
2507.66675	1
2507.78345	1
2507.86670	1
2507.94995	4
2508.00000	3
2508.11670	3
2508.16675	2
2508.28345	4
2508.33325	3
2508.44995	4
2508.50000	2
2508.58325	2
2508.66675	3
2508.78345	4
2508.86670	3
2508.94995	4
2509.00000	3
2509.11670	4
2509.19995	4
2509.28345	3
2509.36670	4
2509.44995	5
2509.50000	2
2509.61670	6
2509.69995	4
2509.78345	4
2509.83325	4
2509.94995	5
2510.00000	4
2510.11670	4
2510.16675	3
2510.28345	7
2510.33325	5
2510.41675	5
2510.53345	4
2510.61670	6
2510.66675	3
2510.79175	3
2510.83325	3
2510.94995	3
2511.03345	2
2511.08325	1
2511.20825	2
2511.28345	3
2511.33325	2
2511.44995	2
2511.53345	2
2511.61670	3
2511.66675	2
2511.78345	4
2511.83325	2
2511.94995	2
2512.00000	4
2512.11670	2
2512.16675	3
2512.28345	2
2512.33325	3
2512.44995	3
2512.50000	1
2512.61670	4
2512.66675	5
2512.78345	5
2512.86670	5
2512.94995	4
2513.03345	5
2513.11670	5
2513.16675	4
2513.28345	6
2513.36670	5
2513.44995	6
2513.50000	4
2513.61670	5
2513.66675	4
2513.78345	5
2513.83325	4
2513.91675	5
2514.00000	4
2514.11670	5
2514.16675	4
2514.29175	6
2514.33325	4
2514.44995	5
2514.50000	4
2514.61670	4
2514.66675	2
2514.78345	4
2514.86670	4
2514.94995	5
2515.00000	4
2515.11670	4
2515.16675	4
2515.28345	4
2515.33325	4
2515.44995	4
2515.50000	4
2515.61670	6
2515.66675	6
2515.78345	4
2515.83325	5
2515.91675	6
2516.00000	4
2516.11670	4
2516.16675	4
2516.28345	5
2516.33325	3
2516.44995	2
2516.50000	3
2516.61670	5
2516.69995	5
2516.78345	5
2516.83325	5
2516.94995	5
2517.03345	4
2517.11670	5
2517.16675	5
2517.28345	4
2517.33325	4
2517.44995	4
2517.50000	4
2517.61670	5
2517.66675	4
2517.75000	5
2517.86670	3
2517.94995	5
