EPRTextModeVersion05

Year
2024
Month
12
Day
26
Time
897
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1834
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.11670	-3
2500.16675	-1
2500.25000	-2
2500.33325	0
2500.44995	0
2500.50000	0
2500.61670	1
2500.66675	-1
2500.78345	0
2500.83325	0
2500.94995	-1
2501.00000	0
2501.11670	-1
2501.20825	-1
2501.28345	0
2501.36670	-1
2501.44995	-1
2501.53345	0
2501.58325	0
2501.69995	1
2501.78345	-1
2501.86670	0
2501.94995	3
2502.03345	1
2502.11670	2
2502.16675	2
2502.28345	4
2502.36670	4
2502.45825	3
2502.53345	6
2502.61670	2
2502.69995	4
2502.78345	3
2502.86670	4
2502.95825	2
2503.03345	3
2503.12500	0
2503.19995	4
2503.29175	3
2503.36670	1
2503.44995	0
2503.53345	2
2503.61670	1
2503.66675	1
2503.78345	2
2503.86670	1
2503.94995	0
2504.03345	1
2504.11670	1
2504.19995	2
2504.29175	-1
2504.36670	2
2504.44995	0
2504.53345	1
2504.61670	2
2504.70825	1
2504.78345	0
2504.86670	1
2504.95825	0
2505.03345	0
2505.11670	0
2505.19995	0
2505.28345	-2
2505.36670	0
2505.41675	-2
2505.53345	-1
2505.58325	-2
2505.66675	-2
2505.78345	-1
2505.83325	-2
2505.94995	-1
2506.00000	-2
2506.12500	2
2506.16675	-2
2506.28345	-2
2506.33325	-1
2506.45825	0
2506.50000	0
2506.61670	-1
2506.69995	-1
2506.78345	-3
2506.86670	0
2506.94995	-2
2507.04175	-2
2507.11670	-1
2507.16675	-1
2507.28345	1
2507.33325	0
2507.44995	-1
2507.50000	-1
2507.61670	-2
2507.66675	1
2507.78345	-3
2507.83325	-1
2507.94995	-1
2508.00000	-2
2508.11670	-1
2508.16675	-1
2508.28345	0
2508.36670	-1
2508.44995	0
2508.53345	1
2508.61670	-1
2508.69995	2
2508.78345	-1
2508.83325	-1
2508.94995	0
2509.00000	0
2509.11670	0
2509.16675	0
2509.28345	0
2509.33325	-2
2509.44995	-1
2509.50000	-1
2509.61670	0
2509.66675	-2
2509.78345	0
2509.83325	1
2509.95825	-2
2510.00000	-1
2510.11670	-2
2510.19995	-1
2510.25000	-3
2510.36670	-1
2510.44995	-2
2510.54175	0
2510.61670	-2
2510.66675	-2
2510.78345	0
2510.83325	-1
2510.94995	-1
2511.00000	-2
2511.11670	-2
2511.16675	0
2511.28345	0
2511.33325	-3
2511.44995	-2
2511.50000	-3
2511.62500	-3
2511.66675	-2
2511.78345	-3
2511.83325	-2
2511.94995	-1
2512.00000	0
2512.11670	-1
2512.19995	0
2512.28345	-2
2512.37500	-3
2512.44995	-1
2512.50000	-1
2512.61670	-3
2512.66675	-1
2512.78345	-3
2512.83325	-2
2512.94995	0
2513.00000	-1
2513.08325	-1
2513.20825	-1
2513.28345	1
2513.36670	1
2513.45825	-1
2513.53345	-1
2513.61670	-1
2513.69995	-1
2513.78345	1
2513.83325	-2
2513.94995	-1
2514.03345	-2
2514.11670	-3
2514.19995	-1
2514.28345	-3
2514.33325	-2
2514.44995	-2
2514.50000	-1
2514.61670	-1
2514.66675	-3
2514.78345	-1
2514.83325	-1
2514.91675	0
2515.03345	-1
2515.11670	-1
2515.16675	-1
2515.29175	0
2515.33325	-1
2515.44995	-2
2515.50000	0
2515.61670	0
2515.66675	-2
2515.79175	-2
2515.86670	-1
2515.94995	-3
2516.03345	-1
2516.11670	-1
2516.16675	-2
2516.28345	0
2516.33325	0
2516.44995	0
2516.50000	0
2516.61670	-1
2516.66675	0
2516.75000	0
2516.83325	0
2516.94995	1
2517.00000	-1
2517.12500	0
2517.16675	-1
2517.28345	0
2517.36670	2
2517.44995	1
2517.50000	1
2517.61670	2
2517.69995	2
2517.78345	1
2517.83325	0
2517.94995	-2
2518.00000	1
2518.11670	0
2518.16675	0
2518.29175	0
2518.33325	0
2518.44995	1
2518.50000	-1
2518.61670	-1
2518.66675	0
2518.78345	-1
2518.83325	0
2518.94995	1
2519.00000	1
2519.11670	1
2519.16675	1
2519.28345	3
2519.33325	-1
2519.44995	0
2519.54175	3
2519.61670	1
2519.69995	0
2519.78345	-2
2519.83325	1
2519.94995	-1
2520.00000	0
2520.11670	0
2520.16675	1
2520.28345	1
2520.33325	-1
2520.44995	0
2520.50000	-1
2520.61670	2
2520.66675	1
2520.79175	0
2520.86670	2
2520.91675	0
2521.03345	2
2521.11670	1
2521.19995	2
2521.29175	2
2521.37500	0
2521.44995	1
2521.54175	1
2521.61670	1
2521.66675	1
2521.78345	1
2521.86670	-1
2521.94995	1
2522.03345	0
2522.11670	1
2522.19995	0
2522.28345	-1
2522.36670	0
2522.44995	-1
2522.53345	0
2522.58325	-1
2522.69995	3
2522.78345	1
2522.86670	1
2522.94995	-1
2523.04175	2
2523.08325	2
2523.19995	1
2523.29175	2
2523.37500	4
2523.44995	1
2523.54175	2
2523.61670	2
2523.69995	3
2523.75000	0
2523.86670	1
2523.94995	2
2524.03345	3
2524.11670	1
2524.19995	1
2524.28345	3
2524.36670	3
2524.45825	1
2524.53345	3
2524.61670	3
2524.69995	3
2524.78345	4
2524.83325	2
2524.94995	2
2525.03345	4
2525.11670	4
2525.19995	4
2525.28345	1
2525.33325	3
2525.44995	2
2525.50000	3
2525.61670	3
2525.66675	3
2525.78345	2
2525.83325	2
2525.91675	2
2526.03345	1
2526.11670	1
2526.19995	1
2526.29175	1
2526.36670	1
2526.44995	1
2526.53345	0
2526.61670	1
2526.69995	1
2526.79175	0
2526.86670	0
2526.95825	-1
2527.03345	0
2527.11670	-1
2527.19995	1
2527.28345	2
2527.33325	1
2527.44995	-1
2527.53345	0
2527.61670	1
2527.66675	-2
2527.78345	0
2527.86670	0
2527.94995	-2
2528.03345	0
2528.12500	2
2528.19995	0
2528.25000	-1
2528.36670	2
2528.44995	2
2528.54175	0
2528.61670	1
2528.70825	0
2528.78345	0
2528.87500	0
2528.94995	0
2529.04175	0
2529.12500	1
2529.19995	1
2529.28345	1
2529.36670	1
2529.41675	0
2529.53345	1
2529.61670	-1
2529.69995	3
2529.78345	0
2529.86670	1
2529.95825	1
2530.04175	-1
2530.11670	0
2530.19995	0
2530.28345	2
2530.37500	1
2530.44995	1
2530.54175	1
2530.61670	1
2530.69995	2
2530.78345	0
2530.87500	1
2530.94995	0
2531.03345	1
2531.11670	-1
2531.19995	0
2531.28345	0
2531.36670	2
2531.44995	-2
2531.53345	0
2531.61670	-1
2531.69995	-2
2531.79175	-1
2531.86670	0
2531.94995	-2
2532.03345	-1
2532.11670	-2
2532.19995	0
2532.29175	0
2532.37500	0
2532.44995	-2
2532.53345	-2
2532.61670	-1
2532.70825	-1
2532.78345	-1
2532.83325	0
2532.94995	-1
2533.03345	0
2533.11670	-1
2533.19995	0
2533.28345	-2
2533.36670	0
2533.44995	-2
2533.54175	-2
2533.62500	-2
2533.69995	0
2533.78345	-1
2533.86670	-1
2533.91675	0
2534.03345	-2
2534.11670	-3
2534.20825	-2
2534.29175	-1
2534.37500	-2
2534.44995	-3
2534.50000	-1
2534.61670	-3
2534.66675	-3
2534.78345	-2
2534.86670	-2
2534.94995	-3
2535.03345	-2
2535.11670	-2
2535.19995	0
2535.28345	0
2535.37500	-2
2535.44995	0
2535.53345	-2
2535.61670	-2
2535.69995	-2
2535.75000	-3
2535.86670	-3
2535.91675	-2
2536.03345	-1
2536.11670	0
2536.19995	0
2536.25000	-1
2536.36670	-1
2536.41675	-1
2536.53345	0
2536.58325	-1
2536.69995	-2
2536.75000	-1
2536.83325	-1
2536.91675	0
2537.04175	0
2537.08325	-1
2537.19995	2
2537.25000	0
2537.36670	1
2537.44995	0
2537.53345	5
2537.58325	2
2537.69995	3
2537.75000	2
