EPRTextModeVersion05
pitch
Year
2023
Month
2
Day
27
Time
984
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
20000
Time constant
   0.00100
Modulation amplitude
   0.50000
Frequency
   9.13000
Power
  10.00000
Base line
2100
Not used
   0.00000
Not used
   0.00000
Setted field
   0.00000
Scans number
1
Used ADC
3
x_ratio
1.00000
x-coordinate	Amplitude
3200.00000	-1
3200.00830	-3
3200.01245	0
3200.01660	2
3200.02173	-2
3200.02490	-4
3200.03003	-2
3200.03833	1
3200.04175	-2
3200.04590	-3
3200.05005	-3
3200.05493	-4
3200.06250	-4
3200.06738	0
3200.07178	-2
3200.07495	-1
3200.08325	-2
3200.08838	-2
3200.09155	-3
3200.09595	-2
3200.10010	-2
3200.10498	-1
3200.11255	-1
3200.11670	0
3200.12085	-2
3200.12500	-2
3200.13330	-1
3200.13843	-2
3200.14160	-2
3200.14673	-1
3200.14990	-1
3200.15503	-4
3200.16260	0
3200.16748	1
3200.17163	-2
3200.17505	-3
3200.17993	-2
3200.18750	-4
3200.19165	1
3200.19580	-1
3200.19995	-2
3200.20508	-1
3200.21240	-2
3200.21655	-1
3200.22168	0
3200.22510	-1
3200.22998	-1
3200.23828	-2
3200.24170	2
3200.24585	-5
3200.25000	-1
3200.25488	-1
3200.26245	1
3200.26660	2
3200.27173	-1
3200.27490	2
3200.28345	1
3200.28833	-5
3200.29175	3
3200.29590	-4
3200.30078	-3
3200.30835	0
3200.31250	-4
3200.31665	0
3200.32178	0
3200.32495	-3
3200.33325	1
3200.33838	-4
3200.34253	0
3200.34595	-4
3200.35010	2
3200.35498	-5
3200.36255	1
3200.36670	-2
3200.37158	-1
3200.37500	1
3200.37988	-5
3200.38745	-2
3200.39160	2
3200.39673	-4
3200.39990	4
3200.40503	-5
3200.41260	-4
3200.41748	1
3200.42163	-4
3200.42505	2
3200.43335	3
3200.43823	-3
3200.44165	-4
3200.44580	-1
3200.44995	-3
3200.45508	-2
3200.46240	-2
3200.46655	1
3200.47168	-3
3200.47510	2
3200.48340	0
3200.48755	-1
3200.49243	-3
3200.49585	-4
3200.50000	2
3200.50488	-3
3200.51245	-2
3200.51660	0
3200.52173	-4
3200.52490	2
3200.53003	-2
3200.53833	-2
3200.54175	-1
3200.54590	-2
3200.55005	2
3200.55493	-1
3200.56250	-1
3200.56738	-1
3200.57178	-3
3200.57495	0
3200.58325	-1
3200.58838	2
3200.59155	1
3200.59595	-1
3200.60083	-1
3200.60498	1
3200.61255	-3
3200.61670	-3
3200.62158	-1
3200.62500	-2
3200.63330	-1
3200.63843	3
3200.64160	-2
3200.64673	0
3200.64990	-4
3200.65503	1
3200.66260	0
3200.66675	-1
3200.67090	-2
3200.67578	3
3200.68335	-4
3200.68823	-1
3200.69165	-2
3200.69580	-2
3200.69995	-5
3200.70508	1
3200.71240	-1
3200.71655	-2
3200.72168	-1
3200.72510	-3
3200.72998	2
3200.73755	1
3200.74170	-3
3200.74658	-1
3200.75000	-1
3200.75488	1
3200.76245	-1
3200.76660	-4
3200.77173	2
3200.77490	0
3200.78345	-1
3200.78833	-3
3200.79175	-2
3200.79590	1
3200.80005	-7
3200.80493	0
3200.81250	2
3200.81738	-6
3200.82178	-1
3200.82495	-1
3200.83325	-4
3200.83838	0
3200.84155	-4
3200.84595	-2
3200.85010	-5
3200.85840	-3
3200.86255	-3
3200.86670	-5
3200.87158	-2
3200.87500	3
3200.88330	0
3200.88843	0
3200.89160	0
3200.89673	-2
3200.89990	-1
3200.90845	-1
3200.91260	0
3200.91675	0
3200.92163	-4
3200.92505	-3
3200.93335	0
3200.93823	1
3200.94165	0
3200.94580	-1
3200.94995	-1
3200.95508	-3
