EPRTextModeVersion05
pitch
Year
2023
Month
2
Day
27
Time
1015
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
20000
Time constant
   0.00100
Modulation amplitude
   0.50000
Frequency
   9.13000
Power
   1.00000
Base line
2117
Not used
   0.00000
Not used
   0.00000
Setted field
   0.00000
Scans number
1
Used ADC
3
x_ratio
1.00000
x-coordinate	Amplitude
3200.00000	3
3200.00830	0
3200.01172	-1
3200.01587	1
3200.02002	-2
3200.02490	2
3200.03247	3
3200.03662	0
3200.04175	1
3200.04492	-1
3200.05322	-1
3200.05835	0
3200.06177	2
3200.06592	3
3200.07007	-3
3200.07495	2
3200.08252	4
3200.08667	0
3200.09082	1
3200.09497	1
3200.10327	0
3200.10742	-1
3200.11255	3
3200.11572	1
3200.12012	-3
3200.12500	-1
3200.13330	-2
3200.13672	1
3200.14087	-3
3200.14502	0
3200.14990	1
3200.15747	1
3200.16260	0
3200.16675	3
3200.16992	3
3200.17822	0
3200.18335	1
3200.18677	-2
3200.19092	0
3200.19507	0
3200.19995	-1
3200.20752	0
3200.21240	-2
3200.21582	0
3200.22095	3
3200.22827	0
3200.23242	0
3200.23657	-1
3200.24072	-1
3200.24585	1
3200.25000	2
3200.25757	1
3200.26245	-1
3200.26587	1
3200.27002	1
3200.27905	0
3200.28247	0
3200.28662	2
3200.29077	0
3200.29590	0
3200.30322	0
3200.30762	-3
3200.31250	0
3200.31592	0
3200.32007	1
3200.32495	-1
3200.33252	0
3200.33667	0
3200.34082	-2
3200.34595	2
3200.35327	1
3200.35742	2
3200.36255	-2
3200.36572	-3
3200.37012	1
3200.37500	0
3200.38257	2
3200.38672	1
3200.39087	2
3200.39575	-2
3200.40332	2
3200.40747	-1
3200.41162	0
3200.41675	1
3200.41992	-2
3200.42822	0
3200.43335	-1
3200.43677	-1
3200.44092	-4
3200.44580	0
3200.45337	-3
3200.45752	1
3200.46240	1
3200.46582	1
3200.47095	0
3200.47827	-1
3200.48242	-2
3200.48657	1
3200.49072	1
3200.49585	-1
3200.50000	3
3200.50757	1
3200.51245	0
3200.51587	-3
3200.52002	0
3200.52832	1
3200.53247	2
3200.53662	-2
3200.54175	0
3200.54492	-1
3200.55322	-2
3200.55835	-2
3200.56177	-3
3200.56592	-3
3200.57007	-2
3200.57495	2
3200.58252	1
3200.58740	2
3200.59155	-3
3200.59497	-1
3200.60327	-1
3200.60840	2
3200.61157	0
3200.61572	1
3200.62085	2
3200.62500	-1
3200.63257	0
3200.63672	0
3200.64087	2
3200.64575	0
3200.65332	0
3200.65747	-2
3200.66162	-3
3200.66675	0
3200.66992	-2
3200.67505	0
3200.68262	0
3200.68677	1
3200.69092	0
3200.69507	-1
3200.70337	-1
3200.70825	0
3200.71167	-2
3200.71655	2
3200.71997	-3
3200.72510	-2
3200.73242	1
3200.73657	-1
3200.74170	0
3200.74512	5
3200.75000	-1
3200.75757	1
3200.76172	-2
3200.76587	0
3200.77002	-1
3200.77490	3
3200.78247	-3
3200.78760	1
3200.79175	0
3200.79492	0
3200.80322	0
3200.80835	0
3200.81177	0
3200.81592	0
3200.82007	2
3200.82837	1
3200.83252	-2
3200.83667	1
3200.84082	2
3200.84595	0
3200.85327	-2
3200.85840	2
3200.86157	-1
3200.86572	2
3200.87012	0
3200.87500	-2
3200.88257	1
3200.88672	1
3200.89087	3
3200.89575	-1
3200.90332	0
3200.90845	0
3200.91162	1
3200.91675	-1
3200.91992	-2
3200.92505	4
3200.93335	0
3200.93677	-3
3200.94165	3
3200.94507	0
3200.95337	2
3200.95825	1
3200.96167	0
3200.96655	-2
3200.96997	2
3200.97827	1
3200.98340	1
3200.98657	1
3200.99072	-1
3200.99512	0
3201.00000	3
3201.00757	4
3201.01172	2
3201.01660	-2
3201.02002	-2
3201.02832	0
3201.03247	0
3201.03760	-3
3201.04175	0
3201.04492	2
3201.05005	1
3201.05762	0
3201.06177	-1
3201.06665	0
3201.07007	0
3201.07495	-2
3201.08252	0
3201.08667	3
3201.09082	2
3201.09497	1
3201.10010	2
3201.10742	-4
3201.11255	3
3201.11670	1
3201.12012	-1
3201.12500	-2
3201.13257	4
3201.13745	-1
3201.14087	-2
3201.14502	0
3201.14990	0
3201.15747	-3
3201.16162	1
3201.16675	0
3201.16992	0
3201.17822	1
3201.18335	-1
3201.18677	4
3201.19092	2
3201.19507	-2
3201.20337	-1
3201.20752	-2
3201.21167	3
3201.21582	0
3201.22095	1
3201.22827	-1
3201.23340	-1
3201.23657	0
3201.24072	-2
3201.24512	3
3201.25000	4
3201.25757	-4
3201.26172	0
3201.26587	2
3201.27075	-1
3201.27832	-2
3201.28345	0
3201.28662	0
3201.29175	0
3201.29492	-1
3201.30005	0
3201.30762	-1
3201.31177	-1
3201.31665	0
3201.32007	4
3201.32837	1
3201.33325	0
3201.33667	3
3201.34082	-2
3201.34497	1
3201.35010	1
3201.35742	1
3201.36255	-1
3201.36670	0
3201.37012	1
3201.37842	3
3201.38257	2
3201.38672	1
3201.39087	-1
3201.39502	-2
3201.39990	0
3201.40747	1
3201.41162	2
3201.41675	1
3201.41992	1
3201.42822	-3
3201.43335	-2
3201.43677	2
3201.44165	-3
3201.44507	0
3201.44995	1
3201.45825	-1
3201.46167	0
3201.46655	0
3201.46997	4
3201.47827	2
3201.48340	1
3201.48657	2
3201.49072	1
3201.49512	1
3201.50000	-2
3201.50757	5
3201.51245	0
3201.51660	0
3201.52002	0
3201.52832	-1
3201.53345	-2
3201.53662	-2
3201.54175	0
3201.54492	0
3201.55005	1
3201.55762	1
3201.56177	-2
3201.56592	-4
3201.57080	-2
3201.57837	0
3201.58325	-1
3201.58667	1
3201.59082	2
3201.59497	-1
3201.60010	-2
3201.60742	0
3201.61255	-3
3201.61572	0
3201.62012	-3
3201.62500	1
3201.63257	2
3201.63672	-1
3201.64160	2
3201.64502	2
3201.64990	2
3201.65747	-1
3201.66162	-2
3201.66675	1
3201.66992	-4
3201.67822	1
3201.68335	-1
3201.68677	0
3201.69092	0
3201.69507	1
3201.69995	-1
3201.70752	2
3201.71240	0
3201.71655	3
3201.71997	2
3201.72827	-1
3201.73340	0
3201.73657	4
3201.74072	-1
3201.74512	0
3201.75342	1
3201.75757	2
3201.76172	2
3201.76587	0
3201.77002	2
3201.77832	3
3201.78345	-1
3201.78662	0
3201.79175	-1
3201.79492	2
3201.80005	1
3201.80762	1
3201.81177	0
3201.81592	0
3201.82080	0
3201.82837	-1
3201.83325	-2
3201.83667	-1
3201.84082	3
3201.84497	-2
3201.85010	-4
3201.85742	1
3201.86157	1
3201.86670	1
3201.87012	0
3201.87500	3
3201.88257	0
3201.88672	1
3201.89160	2
3201.89502	2
3201.89990	-1
3201.90747	-1
3201.91162	-1
3201.91577	1
3201.91992	2
3201.92920	2
3201.93262	1
3201.93677	-2
3201.94092	-1
3201.94580	0
3201.95337	2
3201.95825	4
3201.96240	2
3201.96582	-4
3201.96997	1
3201.97510	-2
3201.98242	0
3201.98657	1
3201.99072	-2
3201.99585	0
3202.00000	1
3202.00757	1
3202.01245	-1
3202.01587	-1
3202.02002	2
3202.02832	1
3202.03345	0
3202.03662	0
3202.04175	-2
3202.04492	3
3202.05322	-1
3202.05835	-3
3202.06177	0
3202.06592	3
3202.07080	-2
3202.07495	3
3202.08252	-1
3202.08667	-3
3202.09155	2
3202.09497	0
3202.10327	1
3202.10742	-1
3202.11157	2
3202.11572	0
3202.12085	1
3202.12842	-1
3202.13257	0
3202.13745	0
3202.14160	-2
3202.14502	3
3202.15332	0
3202.15747	0
3202.16162	1
3202.16675	-1
3202.16992	2
3202.17822	3
3202.18262	-1
3202.18677	1
3202.19092	0
3202.19507	0
3202.19995	-1
3202.20825	1
3202.21167	-2
3202.21655	0
3202.21997	2
3202.22827	1
3202.23340	3
3202.23657	-3
3202.24072	4
3202.24585	0
3202.25000	1
3202.25757	0
3202.26172	2
3202.26660	1
3202.27002	-1
3202.27832	-1
3202.28247	-2
3202.28662	1
3202.29077	0
3202.29590	1
3202.30322	-3
3202.30762	0
3202.31250	2
3202.31592	1
3202.32007	1
3202.32837	-2
3202.33325	-1
3202.33667	0
3202.34082	-2
3202.34595	-2
3202.35010	2
3202.35742	0
3202.36255	1
3202.36572	2
3202.37012	-1
3202.37500	-1
3202.38257	4
