EPRTextModeVersion05
pitch
Year
2023
Month
2
Day
27
Time
1043
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
20000
Time constant
   0.00100
Modulation amplitude
   0.50000
Frequency
   9.13000
Power
  10.00000
Base line
2126
Not used
   0.00000
Not used
   0.00000
Setted field
   0.00000
Scans number
1
Used ADC
3
x_ratio
1.00000
x-coordinate	Amplitude
3200.00000	-34
3200.00830	-23
3200.01343	-27
3200.01660	-27
3200.02075	-44
3200.02490	-1
3200.03003	16
3200.03760	-41
3200.04175	-30
3200.04663	-23
3200.05078	23
3200.05835	-19
3200.06323	-8
3200.06665	-49
3200.07080	14
3200.07495	-15
3200.08008	-17
3200.08740	-23
3200.09253	-16
3200.09595	-26
3200.10010	-24
3200.10840	-20
3200.11255	5
3200.11743	3
3200.12085	-1
3200.12500	-6
3200.13428	-31
3200.13745	-6
3200.14160	13
3200.14575	21
3200.14990	-21
3200.15503	-18
3200.16260	2
3200.16675	6
3200.17090	7
3200.17578	-26
3200.18408	-31
3200.18750	3
3200.19165	-34
3200.19580	-2
3200.20093	-14
3200.20825	3
3200.21240	20
3200.21753	5
3200.22095	-8
3200.22583	-12
3200.23340	2
3200.23755	0
3200.24170	-16
3200.24585	17
3200.25073	-26
3200.25830	-3
3200.26343	-29
3200.26758	-8
3200.27075	-32
3200.27490	-15
3200.28418	3
3200.28760	-34
3200.29175	-31
3200.29590	-35
3200.30078	-8
3200.30835	-26
3200.31250	-33
3200.31738	-20
3200.32080	-34
3200.32495	6
3200.33325	-25
3200.33838	-30
3200.34253	-24
3200.34595	5
3200.35083	20
3200.35840	-6
3200.36255	-8
3200.36743	-8
3200.37085	19
3200.37500	27
3200.38330	0
3200.38745	-25
3200.39160	11
3200.39575	-36
3200.40088	-2
3200.40918	-1
3200.41260	-38
3200.41675	-15
3200.42090	-16
3200.42578	-12
3200.43408	-4
3200.43750	34
3200.44165	-22
3200.44678	-51
3200.44995	-22
3200.45508	-6
3200.46240	-15
3200.46753	-31
3200.47095	0
3200.47510	-35
3200.48413	-12
3200.48755	-6
3200.49170	6
3200.49585	-11
3200.50073	-22
3200.50830	-15
3200.51245	0
3200.51758	8
3200.52075	1
3200.52490	-32
3200.53345	-26
3200.53760	2
3200.54248	-6
3200.54590	-13
3200.55078	-22
3200.55835	12
3200.56250	-5
3200.56738	2
3200.57080	8
3200.57495	-27
3200.58325	-8
3200.58838	2
3200.59253	-36
3200.59595	-34
3200.60010	-31
3200.60840	-10
3200.61255	-8
3200.61743	5
3200.62085	2
3200.62573	-18
3200.63330	-40
3200.63745	-25
3200.64160	-5
3200.64575	2
3200.65088	14
3200.65845	3
3200.66260	-6
3200.66748	-30
3200.67090	-13
3200.67578	0
3200.68335	-20
3200.68750	-25
3200.69165	13
3200.69678	-11
3200.69995	11
3200.70825	-29
