EPRTextModeVersion05
pitch
Year
2023
Month
2
Day
27
Time
920
Type
17
Field set
3250.00000
Scan Range
 100.00000
Reciver Gain
  50.00000
Time scan
   2.00000
Dots number
10000
Time constant
   0.00001
Modulation amplitude
   0.50000
Frequency
   9.13000
Power
  10.00000
Base line
2048
Not used
   0.00000
Not used
   0.00000
Setted field
   0.00000
Scans number
1
Used ADC
3
x_ratio
1.00000
x-coordinate	Amplitude
3200.00000	-73
3200.01245	-72
3200.02075	-71
3200.03345	-70
3200.04175	-71
3200.05005	-75
3200.06250	-69
3200.07178	-75
3200.08325	-75
3200.09155	-74
3200.10010	-75
3200.11255	-73
3200.12085	-69
3200.13330	-75
3200.14160	-73
3200.14990	-75
3200.16260	-72
3200.17090	-73
3200.18335	-72
3200.19165	-74
3200.19995	-75
3200.21240	-72
3200.22095	-73
3200.23340	-76
3200.24170	-70
3200.25000	-71
3200.26245	-71
3200.27173	-77
3200.28345	-72
3200.29175	-70
3200.30005	-74
3200.31250	-71
3200.32080	-72
3200.33325	-75
3200.34155	-74
3200.35010	-70
3200.36255	-73
3200.37085	-77
3200.38330	-75
3200.39160	-72
3200.39990	-71
3200.41260	-74
3200.42090	-73
3200.43335	-74
3200.44165	-73
3200.44995	-69
3200.46338	-72
3200.47095	-73
3200.47998	-68
3200.49170	-74
3200.50000	-73
3200.51245	-75
3200.52075	-78
3200.53418	-72
3200.54175	-77
3200.55078	-77
3200.56250	-74
3200.57080	-72
3200.58325	-75
3200.59155	-72
3200.60010	-69
3200.61255	-76
3200.62085	-73
3200.63428	-74
3200.64160	-75
3200.64990	-76
3200.66260	-70
3200.67090	-72
3200.68335	-74
3200.69165	-75
3200.69995	-74
3200.71338	-72
3200.72095	-73
3200.73340	-72
3200.74170	-75
3200.75000	-74
3200.76245	-75
3200.77075	-74
3200.78345	-73
3200.79248	-70
3200.80005	-77
3200.81250	-71
3200.82080	-73
3200.83325	-73
3200.84155	-72
3200.85010	-70
3200.86255	-74
3200.87085	-71
3200.87988	-74
3200.89160	-74
3200.89990	-72
3200.91260	-72
3200.92090	-71
3200.93335	-73
3200.94238	-72
3200.94995	-73
3200.96240	-78
3200.97095	-74
3200.98340	-75
3200.99170	-74
3201.00000	-74
3201.01245	-70
3201.02075	-72
3201.03345	-73
3201.04175	-74
3201.05005	-70
3201.06250	-76
3201.07080	-71
3201.08325	-75
3201.09155	-71
3201.10010	-73
3201.11255	-75
3201.12085	-76
3201.13428	-75
3201.14160	-69
3201.14990	-73
3201.16260	-74
3201.17090	-77
3201.18335	-76
3201.19165	-73
3201.19995	-73
3201.21240	-76
3201.22095	-72
3201.23340	-73
3201.24170	-76
3201.25000	-70
3201.26245	-73
3201.27075	-71
3201.28345	-71
3201.29175	-72
3201.30078	-74
3201.31250	-72
3201.32080	-72
3201.33325	-74
3201.34155	-70
3201.35010	-72
3201.36255	-71
3201.37085	-72
3201.38330	-74
3201.39160	-70
3201.39990	-73
3201.41260	-72
3201.42090	-71
3201.43335	-76
3201.44165	-72
3201.44995	-73
3201.46240	-73
3201.47095	-73
3201.48340	-76
3201.49170	-74
3201.50000	-70
3201.51245	-72
3201.52075	-72
3201.53345	-73
3201.54175	-76
3201.55005	-73
3201.56250	-75
3201.57080	-74
3201.58325	-70
3201.59155	-70
3201.60010	-75
3201.61255	-71
3201.62085	-78
3201.62988	-75
3201.64160	-74
3201.64990	-73
3201.66260	-75
3201.67090	-77
3201.68335	-74
3201.69165	-72
3201.69995	-73
3201.71240	-71
3201.72168	-72
3201.73340	-72
3201.74170	-72
3201.75000	-75
3201.76245	-72
3201.77075	-74
3201.78345	-70
3201.79175	-72
3201.80005	-75
3201.81323	-73
3201.82080	-72
3201.83325	-72
3201.84155	-72
3201.85010	-69
3201.86255	-70
3201.87085	-71
3201.88330	-72
3201.89160	-71
3201.89990	-71
3201.91260	-73
3201.92090	-71
3201.93335	-70
3201.94165	-69
3201.94995	-74
3201.96240	-77
3201.97095	-72
3201.98340	-73
3201.99170	-75
3202.00000	-73
3202.01245	-73
3202.02075	-76
3202.03345	-70
3202.04175	-73
3202.05005	-72
3202.06250	-71
3202.07080	-79
3202.08325	-73
3202.09155	-71
3202.10010	-73
3202.11255	-74
3202.12085	-72
3202.12988	-73
3202.14258	-75
3202.14990	-76
3202.16260	-73
3202.17090	-72
3202.18335	-70
3202.19238	-74
3202.19995	-72
3202.21240	-76
3202.22095	-74
3202.23340	-71
3202.24170	-73
3202.25000	-69
3202.26245	-75
3202.27075	-75
3202.28345	-72
3202.29175	-73
3202.30005	-76
3202.31250	-76
3202.32080	-73
3202.33325	-73
3202.34155	-75
3202.35010	-73
3202.36255	-73
3202.37085	-76
3202.38330	-75
3202.39160	-75
3202.39990	-73
3202.41260	-74
3202.42090	-74
3202.43335	-71
3202.44165	-73
3202.44995	-73
3202.46240	-73
3202.47095	-76
3202.48340	-73
3202.49170	-73
3202.50000	-71
3202.51245	-73
3202.52075	-72
3202.53345	-70
3202.54175	-71
3202.55005	-76
3202.56250	-72
3202.57080	-71
3202.58325	-72
3202.59155	-72
3202.60010	-77
3202.61255	-72
3202.62085	-75
3202.63330	-73
3202.64160	-76
3202.64990	-73
3202.66260	-73
3202.67163	-74
3202.68335	-73
3202.69165	-77
3202.69995	-70
3202.71338	-74
3202.72095	-73
3202.73340	-75
3202.74170	-79
3202.75000	-72
3202.76245	-76
3202.77075	-76
3202.78345	-72
3202.79175	-73
3202.80005	-71
3202.81250	-75
3202.82178	-75
3202.83325	-75
3202.84155	-75
3202.85010	-74
3202.86255	-69
3202.87085	-70
3202.88330	-72
3202.89160	-71
3202.89990	-74
3202.91333	-73
3202.92090	-73
3202.93335	-73
3202.94165	-75
3202.94995	-78
3202.96240	-70
3202.97095	-74
3202.98340	-74
3202.99170	-77
3203.00000	-75
3203.01245	-73
3203.02075	-71
3203.03345	-73
3203.04175	-73
3203.05005	-74
3203.06323	-73
3203.07080	-70
3203.08325	-76
3203.09155	-71
3203.10010	-76
3203.11255	-72
3203.12085	-75
3203.13330	-73
3203.14258	-73
3203.14990	-76
3203.16260	-73
3203.17090	-72
3203.18335	-73
3203.19165	-72
3203.19995	-75
3203.21240	-70
3203.22095	-76
3203.23340	-74
3203.24170	-74
3203.25000	-71
3203.26245	-69
3203.27075	-73
3203.28345	-77
3203.29175	-72
3203.30005	-72
3203.31250	-75
3203.32080	-72
3203.33325	-78
3203.34155	-73
3203.35010	-73
3203.36255	-68
3203.37158	-73
3203.38330	-75
3203.39160	-75
3203.39990	-74
3203.41260	-72
3203.42090	-71
3203.43335	-75
3203.44165	-72
3203.44995	-73
3203.46240	-70
3203.47095	-74
3203.48340	-72
3203.49170	-72
3203.50000	-72
3203.51245	-72
3203.52075	-71
3203.53345	-74
3203.54175	-76
3203.55005	-75
3203.56323	-74
3203.57080	-76
3203.58325	-69
3203.59155	-79
3203.60010	-73
3203.61255	-76
3203.62085	-72
3203.63428	-76
3203.64160	-71
3203.64990	-70
3203.66260	-73
3203.67090	-72
3203.68335	-78
3203.69238	-74
3203.69995	-73
3203.71240	-73
3203.72095	-71
3203.73340	-73
3203.74170	-75
3203.75000	-76
3203.76245	-73
3203.77173	-72
3203.78345	-76
3203.79175	-74
3203.80005	-75
3203.81250	-71
3203.82080	-72
3203.83325	-75
3203.84155	-78
3203.85010	-73
3203.86255	-73
3203.87085	-72
3203.88330	-71
3203.89160	-74
3203.89990	-77
3203.91260	-70
3203.92163	-71
3203.93335	-72
3203.94165	-71
3203.94995	-72
3203.96240	-77
3203.97095	-75
3203.98340	-75
3203.99170	-71
3204.00000	-71
3204.01245	-72
3204.02075	-72
3204.03345	-71
3204.04175	-70
3204.05005	-75
3204.06250	-75
3204.07080	-73
3204.08325	-71
3204.09155	-70
3204.10010	-72
3204.11255	-76
3204.12085	-73
3204.13330	-73
3204.14160	-70
3204.14990	-73
3204.16260	-73
3204.17090	-75
3204.18335	-71
3204.19165	-71
3204.19995	-73
3204.21240	-75
3204.22095	-70
3204.23340	-73
3204.24170	-75
3204.25000	-77
3204.26245	-72
3204.27075	-72
3204.28345	-72
3204.29175	-74
3204.30005	-71
3204.31250	-72
3204.32080	-75
3204.33325	-72
3204.34155	-75
3204.35010	-73
3204.36255	-72
3204.37085	-75
3204.37988	-74
3204.39160	-72
3204.39990	-72
3204.41260	-76
3204.42090	-72
3204.43335	-72
3204.44165	-76
3204.44995	-73
3204.46338	-75
3204.47095	-75
3204.48340	-72
3204.49170	-73
3204.50000	-73
3204.51245	-72
3204.52075	-73
3204.53345	-74
3204.54175	-71
3204.55005	-73
3204.56250	-71
3204.57080	-72
3204.58325	-74
3204.59155	-74
3204.60010	-73
3204.61255	-72
3204.62085	-74
3204.63428	-77
3204.64160	-75
3204.64990	-70
3204.66260	-71
3204.67090	-73
3204.68335	-76
3204.69165	-73
3204.69995	-75
3204.71240	-70
3204.72168	-76
3204.73340	-77
3204.74170	-75
3204.75000	-72
3204.76245	-74
3204.77075	-75
3204.78345	-71
3204.79175	-70
3204.80005	-75
3204.81250	-72
3204.82080	-72
3204.83325	-74
3204.84155	-71
3204.85010	-76
3204.86255	-72
3204.87085	-75
3204.88330	-75
3204.89160	-77
3204.89990	-73
