EPRTextModeVersion05

Year
2024
Month
11
Day
28
Time
883
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1773
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-1
2500.11670	-1
2500.20825	0
2500.28345	0
2500.33325	-1
2500.44995	-1
2500.53345	0
2500.61670	2
2500.66675	-1
2500.78345	-2
2500.83325	-1
2500.94995	-2
2501.00000	-1
2501.11670	-1
2501.19995	-2
2501.29175	-1
2501.36670	-2
2501.44995	-3
2501.53345	-3
2501.61670	-1
2501.70825	-1
2501.78345	0
2501.86670	3
2501.94995	-2
2502.04175	0
2502.08325	-1
2502.19995	-1
2502.25000	-1
2502.36670	-2
2502.41675	0
2502.53345	-2
2502.58325	-1
2502.69995	-3
2502.75000	-1
2502.86670	-1
2502.91675	-4
2503.03345	-1
2503.11670	-1
2503.19995	-2
2503.28345	-3
2503.37500	-1
2503.45825	-1
2503.53345	0
2503.61670	0
2503.69995	1
2503.78345	0
2503.83325	1
2503.94995	1
2504.00000	0
2504.11670	2
2504.16675	2
2504.28345	2
2504.33325	2
2504.44995	1
2504.50000	3
2504.61670	2
2504.66675	0
2504.78345	-1
2504.86670	0
2504.94995	1
2505.04175	0
2505.11670	0
2505.20825	0
2505.28345	1
2505.36670	1
2505.44995	0
2505.53345	0
2505.58325	2
2505.70825	1
2505.78345	3
2505.86670	3
2505.94995	2
2506.03345	3
2506.08325	2
2506.19995	4
2506.28345	3
2506.36670	2
2506.44995	2
2506.53345	1
2506.62500	1
2506.70825	1
2506.78345	2
2506.87500	-1
2506.94995	0
2507.04175	0
2507.12500	1
2507.19995	0
2507.28345	1
2507.33325	1
2507.44995	0
2507.50000	0
2507.61670	1
2507.66675	1
2507.78345	3
2507.83325	1
2507.94995	0
2508.00000	-1
2508.11670	1
2508.16675	-1
2508.28345	0
2508.33325	0
2508.44995	0
2508.53345	-1
2508.62500	-1
2508.69995	-1
2508.79175	0
2508.87500	-2
2508.94995	-1
2509.03345	1
2509.11670	-1
2509.19995	0
2509.28345	-1
2509.37500	0
2509.44995	-2
2509.53345	-1
2509.61670	-2
2509.69995	0
2509.75000	1
2509.86670	-1
2509.91675	0
2510.03345	1
2510.08325	-1
2510.19995	-1
2510.25000	-2
2510.36670	0
2510.41675	-1
2510.53345	0
2510.62500	0
2510.69995	1
2510.75000	1
2510.86670	1
2510.91675	2
2511.03345	0
2511.08325	1
2511.19995	1
2511.25000	0
2511.36670	1
2511.41675	0
2511.50000	0
2511.58325	-1
2511.69995	0
2511.75000	0
2511.86670	1
2511.91675	-2
2512.03345	1
2512.08325	-2
2512.19995	1
2512.28345	0
2512.37500	2
2512.45825	1
2512.54175	3
2512.61670	0
2512.69995	1
2512.78345	0
2512.83325	1
2512.94995	1
2513.00000	2
2513.11670	1
2513.16675	-1
2513.25000	1
2513.33325	1
2513.44995	1
2513.50000	0
2513.61670	-1
2513.66675	0
2513.78345	0
2513.83325	-1
2513.94995	-1
2514.03345	0
2514.12500	0
2514.20825	2
2514.28345	-1
2514.36670	-2
2514.44995	1
2514.53345	-1
2514.58325	-1
2514.69995	2
2514.75000	0
2514.86670	1
2514.91675	3
2515.00000	3
2515.08325	2
2515.19995	2
2515.25000	2
2515.36670	2
2515.41675	2
2515.53345	2
2515.58325	1
2515.69995	2
2515.75000	1
2515.87500	1
2515.94995	3
2516.03345	2
2516.11670	0
2516.19995	-1
2516.25000	1
2516.36670	2
2516.41675	1
2516.53345	4
2516.58325	2
2516.69995	3
2516.75000	2
2516.86670	2
2516.91675	2
2517.03345	0
2517.08325	1
2517.19995	0
2517.25000	2
2517.36670	2
2517.41675	1
2517.53345	1
2517.58325	1
2517.69995	1
2517.78345	0
2517.86670	1
2517.94995	0
2518.03345	2
2518.08325	0
2518.19995	0
2518.25000	0
2518.36670	-1
2518.41675	1
2518.53345	-2
2518.58325	-3
2518.69995	-1
2518.75000	1
2518.86670	-1
2518.91675	1
2519.00000	1
2519.11670	0
2519.19995	0
2519.25000	1
2519.36670	2
2519.41675	1
2519.53345	0
2519.61670	1
2519.70825	0
2519.78345	0
2519.87500	2
2519.94995	0
2520.04175	1
2520.11670	1
2520.19995	3
2520.28345	3
2520.36670	3
2520.41675	0
2520.53345	1
2520.61670	5
2520.69995	1
2520.78345	3
2520.83325	2
2520.91675	1
2521.03345	1
2521.11670	0
2521.16675	0
2521.28345	1
2521.36670	1
2521.45825	4
2521.53345	0
2521.61670	0
2521.70825	1
2521.79175	2
2521.86670	0
2521.91675	1
2522.03345	1
2522.11670	0
2522.16675	2
2522.28345	1
2522.36670	0
2522.44995	0
2522.53345	1
2522.62500	2
2522.66675	0
2522.78345	2
2522.86670	2
2522.94995	2
2523.03345	1
2523.12500	2
2523.20825	1
2523.29175	1
2523.37500	-1
2523.44995	2
2523.53345	3
2523.58325	3
2523.69995	1
2523.75000	2
2523.86670	1
2523.91675	2
2524.03345	2
2524.08325	2
2524.19995	4
2524.25000	2
2524.33325	2
2524.41675	1
2524.53345	0
2524.58325	2
2524.69995	2
2524.75000	0
2524.86670	-1
2524.91675	-1
2525.03345	0
2525.11670	0
2525.20825	2
2525.29175	0
2525.36670	0
2525.41675	1
2525.53345	1
2525.61670	-1
2525.66675	0
2525.78345	0
2525.83325	-1
2525.94995	0
2526.00000	0
2526.11670	0
2526.16675	0
2526.28345	0
2526.33325	-1
2526.44995	1
2526.50000	0
2526.61670	0
2526.66675	-1
2526.78345	0
2526.86670	2
2526.94995	1
2527.00000	1
2527.11670	-1
2527.19995	3
2527.28345	1
2527.33325	2
2527.44995	2
2527.50000	1
2527.61670	0
2527.70825	-2
2527.75000	0
2527.87500	0
2527.94995	-1
2528.03345	1
2528.11670	1
2528.16675	1
2528.28345	0
2528.33325	1
2528.44995	1
2528.50000	-1
2528.62500	0
2528.69995	0
2528.75000	1
2528.86670	0
2528.95825	0
2529.03345	0
2529.11670	0
2529.19995	-1
2529.28345	0
2529.36670	-3
2529.44995	-2
2529.50000	1
2529.62500	1
2529.69995	-1
2529.78345	1
2529.86670	1
2529.94995	0
2530.00000	-1
2530.12500	0
2530.19995	0
2530.28345	1
2530.36670	4
2530.45825	2
2530.53345	1
2530.62500	2
2530.69995	0
2530.79175	1
2530.87500	0
2530.94995	1
2531.03345	2
2531.11670	2
2531.16675	1
2531.28345	1
2531.36670	1
2531.44995	1
2531.53345	0
2531.61670	0
2531.69995	0
2531.78345	-2
2531.83325	-1
2531.94995	-1
2532.03345	-1
2532.08325	0
2532.19995	-2
2532.25000	0
2532.36670	-1
2532.44995	-2
2532.54175	-3
2532.61670	-3
2532.70825	-3
2532.78345	-2
2532.86670	-2
2532.91675	-2
2533.03345	1
2533.11670	-1
2533.19995	-2
2533.28345	-2
2533.36670	-1
2533.44995	-2
2533.53345	-1
2533.61670	-1
2533.69995	1
2533.78345	0
2533.83325	1
2533.94995	1
2534.00000	-1
2534.11670	0
2534.19995	1
2534.29175	4
2534.36670	0
2534.45825	0
2534.53345	0
2534.62500	2
2534.69995	0
2534.78345	2
2534.86670	-1
2534.94995	3
2535.00000	2
2535.11670	-2
2535.19995	-2
2535.28345	0
2535.36670	0
2535.44995	0
2535.50000	-1
2535.61670	0
2535.66675	-1
2535.78345	2
2535.83325	0
2535.94995	1
2536.03345	0
2536.11670	0
2536.19995	3
2536.29175	1
2536.37500	1
2536.41675	2
2536.53345	0
2536.62500	4
2536.69995	0
2536.78345	1
2536.86670	3
2536.94995	0
2537.03345	3
2537.11670	3
2537.19995	2
2537.25000	1
2537.36670	0
2537.41675	1
2537.53345	2
2537.58325	1
2537.69995	2
2537.75000	2
2537.86670	1
2537.94995	2
2538.04175	0
2538.12500	2
2538.20825	2
2538.28345	1
2538.37500	1
2538.44995	1
2538.50000	-1
2538.61670	-1
2538.66675	2
2538.78345	2
2538.86670	0
2538.94995	2
2539.00000	1
2539.11670	0
2539.16675	2
2539.28345	3
2539.33325	3
2539.44995	3
2539.50000	0
2539.62500	2
2539.69995	1
2539.78345	-1
2539.86670	0
2539.94995	1
2540.03345	1
2540.11670	0
2540.16675	1
2540.28345	0
2540.33325	-1
2540.44995	-1
2540.50000	2
2540.61670	-1
2540.66675	0
2540.78345	1
2540.83325	-1
2540.94995	2
2541.00000	0
2541.11670	1
2541.16675	-1
2541.28345	-1
2541.33325	-2
2541.44995	-2
2541.53345	-1
2541.61670	-2
2541.69995	-3
2541.78345	-2
2541.86670	-4
2541.91675	-2
2542.03345	-2
2542.11670	-3
2542.16675	-2
2542.28345	-2
2542.33325	-2
2542.44995	0
2542.50000	-3
2542.58325	-2
2542.69995	-1
2542.75000	-2
2542.86670	-2
2542.91675	-2
2543.03345	-4
2543.08325	-3
2543.19995	-2
2543.29175	-3
2543.37500	-2
2543.44995	-2
2543.54175	-2
2543.61670	-1
2543.69995	-2
2543.79175	-2
2543.86670	-2
2543.94995	-2
2544.00000	-4
2544.11670	-2
2544.16675	-3
2544.28345	0
2544.33325	-2
2544.44995	-1
2544.50000	-3
2544.61670	-2
2544.66675	0
2544.78345	-2
2544.83325	-3
2544.94995	-1
2545.00000	-2
2545.11670	0
2545.16675	-2
2545.28345	-1
2545.37500	1
2545.45825	0
2545.53345	-1
2545.61670	-2
2545.69995	-1
2545.75000	-1
2545.86670	-1
2545.91675	-1
2546.03345	-1
2546.08325	-1
2546.19995	-2
2546.25000	-1
2546.36670	0
2546.41675	-1
2546.53345	1
2546.58325	1
2546.69995	-1
2546.75000	1
2546.86670	-1
2546.94995	0
2547.04175	0
2547.12500	-1
2547.19995	1
2547.28345	-1
2547.36670	0
2547.44995	1
2547.53345	1
2547.61670	1
2547.69995	0
2547.78345	-2
2547.86670	0
2547.94995	2
2548.03345	1
2548.11670	0
2548.19995	0
2548.28345	-1
2548.36670	0
2548.44995	0
2548.53345	0
2548.61670	0
2548.69995	-1
2548.79175	0
2548.87500	-2
2548.94995	-1
2549.04175	-1
2549.12500	-2
2549.19995	-3
2549.28345	-1
2549.36670	-4
2549.44995	-2
2549.50000	-2
2549.61670	-2
2549.66675	-3
2549.78345	-2
2549.83325	-4
2549.94995	-2
2550.00000	-3
2550.12500	-4
2550.19995	-4
2550.28345	-1
2550.36670	-5
2550.44995	-3
2550.53345	-3
2550.62500	-3
2550.69995	-4
2550.79175	-3
2550.87500	-3
2550.95825	-3
2551.03345	-3
2551.11670	-2
2551.19995	-2
2551.25000	-2
2551.36670	-4
2551.41675	-3
2551.53345	-2
2551.58325	-2
2551.69995	-3
2551.75000	-4
2551.86670	-2
2551.91675	-2
2552.03345	-2
2552.08325	-3
2552.19995	-1
2552.25000	-1
2552.36670	-1
2552.44995	-1
2552.54175	0
2552.62500	-1
2552.70825	0
2552.78345	0
2552.87500	0
2552.94995	0
2553.00000	0
2553.11670	1
2553.20825	1
2553.28345	2
2553.37500	0
2553.44995	2
2553.50000	2
2553.61670	2
2553.69995	1
2553.78345	2
2553.86670	2
2553.94995	1
2554.03345	1
2554.11670	3
2554.19995	2
2554.28345	-1
2554.37500	0
2554.44995	1
2554.54175	2
2554.62500	1
2554.69995	0
2554.75000	0
2554.86670	2
2554.94995	1
2555.03345	0
2555.11670	1
2555.19995	0
2555.25000	0
2555.36670	-1
2555.44995	0
2555.53345	-1
2555.61670	1
2555.69995	0
2555.78345	-1
2555.86670	-1
2555.94995	-3
2556.04175	-3
2556.12500	-3
2556.20825	-3
2556.29175	-3
2556.37500	-1
2556.44995	-2
2556.53345	-3
2556.61670	-1
2556.70825	-2
2556.78345	-1
2556.83325	-3
2556.94995	-2
2557.00000	-3
2557.11670	-2
2557.16675	-2
2557.28345	-2
2557.36670	-1
2557.44995	-1
2557.53345	-2
2557.62500	-1
2557.69995	-2
2557.78345	-1
2557.87500	-1
2557.95825	-1
2558.03345	-3
2558.12500	-2
2558.19995	-3
2558.28345	-2
2558.36670	-4
2558.45825	-2
2558.53345	-3
2558.58325	0
2558.69995	-1
2558.75000	-2
2558.86670	0
2558.94995	-1
2559.00000	-1
2559.11670	-3
2559.19995	-3
2559.28345	-2
2559.36670	-1
2559.44995	-1
2559.53345	-1
2559.62500	1
2559.69995	0
2559.79175	-1
2559.86670	0
2559.95825	-2
2560.04175	-1
2560.12500	-1
2560.19995	-1
2560.28345	2
2560.33325	1
2560.44995	1
2560.53345	-1
2560.61670	0
2560.69995	-1
2560.78345	3
2560.86670	2
2560.94995	1
2561.03345	-2
2561.11670	0
2561.19995	-1
2561.28345	-1
2561.36670	-2
2561.44995	0
2561.53345	-1
2561.62500	-1
2561.70825	-2
2561.79175	-2
2561.86670	-1
2561.95825	-1
2562.03345	-1
2562.08325	-1
2562.19995	0
2562.28345	0
2562.36670	0
2562.44995	2
2562.53345	-1
2562.61670	0
2562.69995	0
2562.78345	-1
2562.83325	-1
2562.94995	2
2563.00000	-2
2563.11670	-2
2563.19995	-2
2563.28345	-2
2563.37500	-2
