EPRTextModeVersion05

Year
2024
Month
11
Day
28
Time
911
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1764
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-1
2500.11670	-2
2500.20825	-2
2500.28345	0
2500.36670	1
2500.44995	1
2500.54175	0
2500.62500	0
2500.70825	0
2500.78345	-1
2500.87500	0
2500.94995	-1
2501.03345	1
2501.11670	-2
2501.19995	1
2501.28345	0
2501.33325	-1
2501.44995	-1
2501.50000	1
2501.61670	0
2501.66675	2
2501.78345	2
2501.83325	1
2501.94995	1
2502.00000	1
2502.11670	4
2502.16675	2
2502.25000	2
2502.37500	0
2502.44995	3
2502.53345	-1
2502.61670	-1
2502.69995	1
2502.78345	2
2502.86670	2
2502.94995	1
2503.00000	0
2503.11670	2
2503.16675	2
2503.28345	1
2503.33325	3
2503.41675	1
2503.53345	2
2503.61670	3
2503.66675	0
2503.78345	1
2503.83325	1
2503.94995	0
2504.00000	-1
2504.11670	0
2504.19995	1
2504.28345	0
2504.33325	1
2504.44995	0
2504.53345	-1
2504.61670	0
2504.69995	1
2504.78345	2
2504.83325	0
2504.94995	2
2505.00000	1
2505.11670	1
2505.16675	-1
2505.28345	2
2505.33325	-1
2505.44995	3
2505.50000	1
2505.61670	2
2505.66675	2
2505.78345	3
2505.83325	2
2505.94995	2
2506.03345	3
2506.12500	3
2506.19995	4
2506.29175	4
2506.36670	4
2506.45825	3
2506.53345	4
2506.61670	5
2506.69995	6
2506.78345	4
2506.83325	3
2506.95825	3
2507.03345	3
2507.11670	4
2507.19995	3
2507.28345	3
2507.33325	3
2507.44995	5
2507.53345	4
2507.61670	3
2507.69995	4
2507.75000	5
2507.86670	4
2507.94995	3
2508.03345	2
2508.11670	2
2508.20825	3
2508.28345	5
2508.36670	4
2508.44995	3
2508.53345	2
2508.58325	6
2508.70825	3
2508.78345	2
2508.86670	3
2508.94995	3
2509.03345	4
2509.08325	3
2509.19995	3
2509.28345	3
2509.36670	3
2509.44995	2
2509.54175	1
2509.58325	2
2509.69995	3
2509.75000	3
2509.86670	2
2509.94995	3
2510.03345	6
2510.11670	3
2510.19995	3
2510.25000	3
2510.36670	3
2510.41675	4
2510.53345	4
2510.58325	2
2510.66675	3
2510.78345	2
2510.86670	3
2510.91675	2
2511.03345	3
2511.08325	2
2511.19995	1
2511.25000	2
2511.36670	2
2511.41675	4
2511.53345	4
2511.61670	4
2511.70825	4
2511.78345	3
2511.87500	3
2511.95825	5
2512.03345	4
2512.08325	3
2512.20825	3
2512.28345	4
2512.36670	4
2512.44995	3
2512.53345	3
