EPRTextModeVersion05

Year
2024
Month
12
Day
28
Time
911
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1829
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.12500	1
2500.19995	2
2500.28345	1
2500.36670	3
2500.44995	3
2500.53345	2
2500.58325	3
2500.69995	3
2500.75000	3
2500.86670	4
2500.91675	4
2501.03345	2
2501.11670	1
2501.19995	0
2501.25000	1
2501.36670	1
2501.41675	3
2501.53345	2
2501.58325	2
2501.69995	1
2501.75000	1
2501.86670	2
2501.91675	2
2502.03345	2
2502.08325	2
2502.19995	0
2502.29175	1
2502.36670	2
2502.41675	2
2502.53345	2
2502.58325	2
2502.69995	2
2502.75000	3
2502.86670	3
2502.91675	4
2503.00000	5
2503.08325	3
2503.19995	4
2503.25000	4
2503.36670	3
2503.41675	4
2503.53345	3
2503.58325	3
2503.69995	2
2503.75000	1
2503.86670	2
2503.94995	2
2504.03345	1
2504.11670	4
2504.19995	3
2504.25000	3
2504.36670	2
2504.41675	3
2504.53345	4
2504.58325	3
2504.69995	4
2504.75000	4
2504.83325	1
2504.91675	2
2505.03345	1
2505.08325	1
2505.19995	1
2505.25000	0
2505.36670	1
2505.41675	1
2505.54175	2
2505.58325	2
2505.69995	1
2505.78345	1
2505.86670	2
2505.94995	2
2506.03345	1
2506.08325	1
2506.19995	1
2506.25000	0
2506.36670	0
2506.41675	1
2506.53345	0
2506.58325	0
2506.69995	1
2506.75000	1
2506.86670	1
2506.91675	0
2507.03345	0
2507.08325	1
2507.19995	2
2507.25000	1
2507.36670	0
2507.41675	1
2507.53345	0
2507.61670	1
2507.69995	1
2507.78345	1
2507.86670	4
2507.91675	2
2508.03345	2
2508.08325	1
2508.16675	0
2508.28345	1
2508.36670	3
2508.41675	2
2508.53345	2
2508.58325	2
2508.69995	2
2508.75000	3
2508.86670	0
2508.91675	1
2509.04175	0
2509.08325	1
2509.19995	4
2509.25000	1
2509.36670	3
2509.44995	4
2509.53345	4
2509.61670	4
2509.69995	5
2509.75000	4
2509.86670	2
2509.91675	4
2510.03345	3
2510.08325	3
2510.19995	3
2510.25000	1
2510.36670	2
2510.41675	1
2510.53345	2
2510.58325	1
2510.69995	2
2510.75000	2
2510.86670	1
2510.91675	1
2511.03345	2
2511.08325	0
2511.19995	1
2511.28345	1
2511.37500	1
2511.44995	0
2511.53345	1
2511.61670	0
2511.69995	0
2511.78345	0
2511.87500	2
2511.94995	-2
2512.03345	1
2512.11670	-1
2512.19995	-2
2512.28345	0
2512.36670	-1
2512.41675	-1
2512.54175	-2
2512.61670	-1
2512.69995	-3
2512.78345	-2
2512.86670	-1
2512.94995	-1
2513.04175	0
2513.12500	0
2513.20825	-1
2513.28345	1
2513.36670	1
2513.44995	0
2513.50000	1
2513.61670	1
2513.66675	1
2513.78345	2
2513.83325	2
2513.95825	0
2514.03345	1
2514.11670	0
2514.19995	1
2514.29175	2
2514.36670	1
2514.44995	1
2514.53345	0
2514.61670	2
2514.70825	0
2514.78345	0
