EPRTextModeVersion05

Year
2025
Month
1
Day
30
Time
1035
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1272
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.11670	-3
2500.16675	-4
2500.28345	-3
2500.33325	-3
2500.45825	-2
2500.50000	-2
2500.61670	-2
2500.69995	-2
2500.78345	1
2500.83325	0
2500.91675	-2
2501.03345	-2
2501.11670	-2
2501.16675	-1
2501.28345	-1
2501.33325	0
2501.44995	1
2501.50000	0
2501.61670	0
2501.66675	0
2501.75000	1
2501.86670	1
2501.91675	1
2502.03345	-1
2502.08325	2
2502.19995	1
2502.25000	-1
2502.36670	1
2502.41675	1
2502.53345	1
2502.58325	1
2502.69995	0
2502.75000	1
2502.86670	0
2502.91675	0
2503.03345	0
2503.08325	0
2503.19995	0
2503.25000	1
2503.36670	-1
2503.41675	0
2503.53345	1
2503.58325	-1
2503.66675	1
2503.78345	1
2503.86670	0
2503.91675	1
2504.03345	4
2504.08325	1
2504.19995	0
2504.25000	1
2504.36670	0
2504.41675	1
2504.53345	1
2504.58325	1
2504.69995	1
2504.75000	0
2504.86670	2
2504.91675	0
2505.04175	0
2505.08325	4
2505.19995	1
2505.25000	1
2505.36670	0
2505.41675	0
2505.53345	3
2505.58325	4
2505.69995	0
2505.75000	2
2505.86670	1
2505.91675	1
2506.03345	1
2506.08325	2
2506.19995	0
2506.28345	0
2506.36670	1
2506.41675	0
2506.53345	-2
2506.58325	0
2506.69995	1
2506.75000	-1
2506.86670	-1
2506.91675	-1
2507.03345	0
2507.08325	0
2507.19995	-1
2507.25000	-1
2507.36670	-1
2507.41675	-1
2507.53345	-3
2507.58325	-1
2507.69995	-1
2507.75000	-2
2507.86670	-2
2507.91675	-2
2508.03345	-1
2508.08325	-1
2508.19995	0
2508.25000	1
2508.36670	-1
2508.41675	-1
2508.53345	-1
2508.61670	0
2508.69995	-1
2508.75000	-1
2508.86670	-1
2508.91675	-1
2509.03345	-1
2509.08325	-1
2509.19995	0
2509.25000	-1
2509.36670	0
2509.41675	0
2509.53345	0
2509.58325	0
2509.69995	-1
2509.75000	-1
2509.86670	-1
2509.91675	-2
2510.03345	-2
2510.08325	1
2510.19995	-2
2510.25000	-2
2510.36670	-3
2510.41675	-5
2510.53345	-3
2510.58325	-2
2510.69995	-2
2510.75000	-3
2510.86670	-2
2510.91675	0
2511.03345	-3
2511.08325	-3
2511.19995	-3
2511.25000	-3
2511.36670	-3
2511.41675	-3
2511.53345	-5
2511.58325	-4
2511.69995	-3
2511.75000	-4
2511.86670	-3
2511.91675	-3
2512.03345	-4
2512.08325	-2
2512.19995	-3
2512.25000	-2
2512.36670	-3
2512.41675	-5
2512.53345	-3
2512.58325	-2
2512.69995	-2
2512.75000	-2
2512.86670	-2
2512.91675	-3
2513.03345	-3
2513.08325	-2
2513.19995	0
2513.25000	-3
2513.36670	-2
2513.41675	-4
2513.53345	-4
2513.58325	-3
2513.69995	-3
2513.75000	-3
2513.86670	-3
2513.91675	-4
2514.03345	-4
2514.11670	-4
2514.20825	-3
2514.29175	-4
2514.36670	-4
2514.44995	-3
2514.53345	-4
2514.61670	-3
2514.69995	-4
2514.78345	-2
2514.86670	-4
2514.94995	-4
2515.03345	-2
2515.12500	-2
2515.19995	-1
2515.28345	-1
2515.36670	-3
2515.44995	-1
2515.50000	-1
2515.61670	-1
2515.66675	-3
2515.78345	-3
2515.83325	-2
2515.94995	-5
2516.00000	-4
2516.11670	-6
2516.16675	-3
2516.28345	-4
2516.33325	-4
2516.44995	-5
2516.50000	-3
2516.61670	-4
2516.66675	-4
2516.79175	-6
2516.87500	-4
2516.95825	-4
2517.03345	-3
2517.11670	-3
2517.19995	-3
2517.28345	-2
2517.36670	-3
2517.44995	-2
2517.54175	-3
2517.61670	-2
2517.69995	-2
2517.75000	-3
2517.86670	-4
2517.91675	-4
2518.03345	-3
2518.08325	-4
2518.19995	-4
2518.25000	-4
2518.36670	-3
2518.41675	-3
2518.53345	-4
2518.58325	-4
2518.69995	-3
2518.75000	-6
2518.86670	-2
2518.91675	-4
2519.03345	-2
2519.08325	-2
2519.19995	-3
2519.25000	-2
2519.36670	-2
2519.41675	-3
2519.53345	-3
2519.58325	1
2519.69995	-3
2519.75000	-4
2519.86670	-5
2519.91675	-4
2520.03345	-4
2520.08325	-3
2520.19995	-4
2520.25000	-3
2520.36670	-3
2520.41675	-4
2520.53345	-2
2520.58325	-3
2520.69995	-5
2520.78345	-4
2520.86670	-2
2520.91675	-2
2521.03345	-2
2521.08325	-4
2521.19995	-3
2521.25000	-3
2521.36670	-5
2521.41675	-3
2521.53345	-4
2521.58325	-4
2521.69995	-2
2521.75000	-4
2521.86670	-3
2521.91675	-3
2522.03345	-4
2522.08325	-4
2522.19995	-3
2522.25000	-2
2522.36670	-4
2522.41675	-5
2522.53345	-4
2522.61670	-3
2522.69995	-4
2522.75000	-4
2522.86670	-5
2522.91675	-2
2523.03345	-6
2523.08325	-4
2523.19995	-4
2523.25000	-2
2523.37500	-5
2523.41675	-5
2523.53345	-4
2523.58325	-3
2523.66675	-5
2523.78345	-4
2523.86670	-4
2523.91675	-2
2524.03345	-4
2524.08325	-3
2524.19995	-3
2524.25000	-4
2524.36670	-2
2524.45825	-1
2524.53345	-2
2524.61670	-3
2524.69995	-4
2524.78345	-4
2524.86670	-2
2524.94995	-5
2525.03345	-5
2525.11670	-3
2525.19995	-3
2525.28345	-3
2525.33325	-2
2525.44995	-3
2525.53345	-4
2525.61670	-1
2525.69995	-4
2525.75000	-3
2525.86670	-3
2525.91675	-4
2526.03345	-4
2526.08325	-4
2526.19995	-4
2526.25000	-5
2526.36670	-5
2526.41675	-4
2526.53345	-2
2526.58325	-6
2526.69995	-5
2526.75000	-5
2526.86670	-5
2526.94995	-4
2527.04175	-5
2527.12500	-5
2527.19995	-6
2527.28345	-6
2527.36670	-4
2527.44995	-5
2527.50000	-4
2527.61670	-3
2527.66675	-4
2527.78345	-4
2527.83325	-4
2527.95825	-5
2528.00000	-3
2528.11670	-5
2528.19995	-5
2528.28345	-3
2528.33325	-7
2528.44995	-6
2528.50000	-6
2528.61670	-6
2528.69995	-6
2528.75000	-9
2528.86670	-7
2528.91675	-7
2529.03345	-6
2529.11670	-9
2529.19995	-7
2529.28345	-9
2529.36670	-9
2529.44995	-7
2529.53345	-5
2529.61670	-6
2529.69995	-8
2529.79175	-7
2529.86670	-6
2529.95825	-7
2530.03345	-7
2530.11670	-8
2530.16675	-9
2530.28345	-8
2530.33325	-8
2530.44995	-10
2530.53345	-8
2530.62500	-8
2530.70825	-8
2530.78345	-10
2530.86670	-9
2530.94995	-10
2531.00000	-9
2531.11670	-10
2531.19995	-11
2531.28345	-7
2531.36670	-9
2531.41675	-8
2531.53345	-9
2531.58325	-9
2531.69995	-9
2531.78345	-7
2531.83325	-8
2531.94995	-7
2532.00000	-6
2532.12500	-9
2532.16675	-9
2532.28345	-7
2532.33325	-9
2532.44995	-7
2532.50000	-8
2532.61670	-9
2532.69995	-9
2532.78345	-10
2532.83325	-7
2532.94995	-11
2533.00000	-9
2533.11670	-8
2533.16675	-8
2533.28345	-10
2533.33325	-9
2533.44995	-12
2533.50000	-9
2533.61670	-12
2533.69995	-11
2533.78345	-9
2533.83325	-9
2533.94995	-8
2534.00000	-11
2534.12500	-10
2534.16675	-11
2534.28345	-11
2534.33325	-10
2534.44995	-11
2534.50000	-11
2534.61670	-11
2534.66675	-10
2534.78345	-12
2534.83325	-9
2534.94995	-10
2535.00000	-9
2535.11670	-11
2535.16675	-10
2535.28345	-10
2535.33325	-10
2535.44995	-10
2535.50000	-10
2535.61670	-10
2535.66675	-7
2535.78345	-11
2535.83325	-9
2535.94995	-10
2536.00000	-9
2536.11670	-9
2536.16675	-9
2536.28345	-10
2536.33325	-8
2536.44995	-11
2536.50000	-8
2536.61670	-10
2536.66675	-10
2536.78345	-9
2536.83325	-10
2536.94995	-9
2537.00000	-9
2537.12500	-11
2537.16675	-8
2537.28345	-11
2537.36670	-10
2537.44995	-11
2537.53345	-9
2537.61670	-10
2537.66675	-9
2537.78345	-11
2537.83325	-9
2537.94995	-9
2538.00000	-8
2538.11670	-9
2538.16675	-6
2538.28345	-11
2538.33325	-10
2538.44995	-9
2538.50000	-10
2538.61670	-9
2538.66675	-10
2538.78345	-7
2538.83325	-9
2538.94995	-9
2539.00000	-9
2539.11670	-10
2539.16675	-8
2539.28345	-9
2539.33325	-7
2539.44995	-9
2539.50000	-11
2539.61670	-10
2539.66675	-10
2539.78345	-12
2539.83325	-10
2539.94995	-9
2540.00000	-10
2540.11670	-12
2540.16675	-10
2540.25000	-13
2540.33325	-10
2540.44995	-13
2540.50000	-12
2540.61670	-11
2540.66675	-10
2540.78345	-11
2540.83325	-10
2540.94995	-12
2541.00000	-10
2541.11670	-11
2541.19995	-13
2541.28345	-12
2541.33325	-12
2541.44995	-14
2541.50000	-13
2541.61670	-14
2541.66675	-13
2541.78345	-14
2541.83325	-12
2541.94995	-14
2542.00000	-13
2542.11670	-15
2542.16675	-14
2542.28345	-15
2542.33325	-16
2542.44995	-14
2542.50000	-13
2542.62500	-13
2542.66675	-13
2542.78345	-14
2542.83325	-13
2542.94995	-14
2543.00000	-12
2543.11670	-13
2543.16675	-15
2543.28345	-17
2543.33325	-15
2543.44995	-16
2543.50000	-14
2543.61670	-13
2543.66675	-13
2543.78345	-15
2543.83325	-14
2543.94995	-13
2544.00000	-13
2544.11670	-12
2544.16675	-12
2544.28345	-13
2544.33325	-13
2544.44995	-14
2544.50000	-13
2544.61670	-13
2544.66675	-14
2544.78345	-14
2544.86670	-14
2544.94995	-15
2545.00000	-14
2545.11670	-14
2545.16675	-14
2545.28345	-15
2545.33325	-12
2545.44995	-13
2545.50000	-13
2545.61670	-12
2545.66675	-14
2545.78345	-15
2545.83325	-13
2545.94995	-14
2546.00000	-13
2546.11670	-15
2546.16675	-15
2546.29175	-14
2546.33325	-13
2546.44995	-13
2546.50000	-12
2546.61670	-14
2546.66675	-11
2546.78345	-14
2546.83325	-13
2546.94995	-14
2547.00000	-12
2547.11670	-12
2547.16675	-12
2547.28345	-12
2547.33325	-12
2547.44995	-13
2547.50000	-12
2547.61670	-11
2547.66675	-11
2547.78345	-12
2547.83325	-12
2547.94995	-12
2548.00000	-12
2548.11670	-13
2548.19995	-12
2548.28345	-13
2548.33325	-13
2548.44995	-14
2548.50000	-13
2548.61670	-14
2548.66675	-13
2548.78345	-13
2548.83325	-12
2548.94995	-14
2549.00000	-14
2549.11670	-15
2549.16675	-14
2549.28345	-16
2549.33325	-15
2549.44995	-16
2549.50000	-16
2549.61670	-14
2549.66675	-14
2549.78345	-14
2549.83325	-15
2549.94995	-15
2550.04175	-16
2550.11670	-15
2550.19995	-15
2550.28345	-15
2550.33325	-16
2550.44995	-17
2550.50000	-17
2550.61670	-17
2550.66675	-15
2550.78345	-16
2550.83325	-14
2550.94995	-17
2551.00000	-14
2551.11670	-15
2551.16675	-15
2551.28345	-15
2551.33325	-14
2551.44995	-15
2551.50000	-14
2551.61670	-16
2551.66675	-15
2551.78345	-16
2551.86670	-17
2551.94995	-17
2552.00000	-16
2552.11670	-16
2552.16675	-15
2552.28345	-17
2552.33325	-17
2552.44995	-17
2552.50000	-17
2552.61670	-14
2552.66675	-13
2552.78345	-15
2552.83325	-15
2552.94995	-16
2553.00000	-15
2553.11670	-17
2553.16675	-15
2553.28345	-16
2553.33325	-16
2553.44995	-16
2553.50000	-15
2553.61670	-16
2553.69995	-19
2553.78345	-18
2553.83325	-17
2553.94995	-18
2554.00000	-17
2554.08325	-17
2554.20825	-17
2554.28345	-16
2554.33325	-17
2554.44995	-18
2554.50000	-18
2554.61670	-17
2554.66675	-17
2554.78345	-18
2554.83325	-17
2554.94995	-18
2555.00000	-17
2555.11670	-17
2555.16675	-17
2555.28345	-17
2555.33325	-19
2555.45825	-18
2555.53345	-18
2555.61670	-18
2555.66675	-18
2555.78345	-19
2555.83325	-18
2555.94995	-18
2556.00000	-17
2556.11670	-18
2556.16675	-20
2556.28345	-18
2556.33325	-17
2556.44995	-17
2556.50000	-15
2556.61670	-16
2556.66675	-16
2556.78345	-18
2556.83325	-18
2556.94995	-15
2557.00000	-17
2557.11670	-19
2557.16675	-18
2557.28345	-20
2557.36670	-18
2557.44995	-19
2557.50000	-18
2557.61670	-19
2557.66675	-18
2557.78345	-18
2557.83325	-17
2557.94995	-19
2558.00000	-19
2558.11670	-20
2558.16675	-19
2558.28345	-19
2558.33325	-19
2558.44995	-19
2558.50000	-17
2558.61670	-19
2558.66675	-18
2558.78345	-19
2558.83325	-16
2558.94995	-19
2559.00000	-18
2559.11670	-20
2559.19995	-18
2559.28345	-19
2559.33325	-20
2559.44995	-20
2559.50000	-20
2559.61670	-21
2559.66675	-21
2559.78345	-21
2559.83325	-20
2559.94995	-19
2560.00000	-21
2560.11670	-21
2560.16675	-22
2560.25000	-21
2560.33325	-21
2560.44995	-21
2560.50000	-20
2560.61670	-20
2560.66675	-21
2560.78345	-21
2560.83325	-21
2560.94995	-22
2561.03345	-21
2561.11670	-21
2561.16675	-22
2561.28345	-21
2561.33325	-20
2561.41675	-21
2561.53345	-19
2561.61670	-22
2561.66675	-19
2561.78345	-20
2561.83325	-20
2561.94995	-22
2562.00000	-21
2562.11670	-21
2562.16675	-20
2562.28345	-19
2562.33325	-18
2562.44995	-22
2562.50000	-20
2562.61670	-21
2562.66675	-21
2562.78345	-21
2562.86670	-21
2562.94995	-22
2563.00000	-21
2563.11670	-22
2563.16675	-21
2563.28345	-24
2563.33325	-23
2563.44995	-25
2563.50000	-23
2563.61670	-27
2563.66675	-24
2563.78345	-25
2563.83325	-24
2563.94995	-25
2564.00000	-23
2564.11670	-25
2564.16675	-24
2564.28345	-24
2564.33325	-23
2564.44995	-23
2564.50000	-23
2564.61670	-25
2564.66675	-23
2564.78345	-23
2564.83325	-22
2564.94995	-25
2565.00000	-24
2565.11670	-25
2565.16675	-24
2565.28345	-25
2565.33325	-24
2565.44995	-24
2565.50000	-24
2565.61670	-25
2565.66675	-24
2565.78345	-26
2565.83325	-25
2565.94995	-26
2566.00000	-25
2566.11670	-27
2566.16675	-26
2566.28345	-26
2566.33325	-26
2566.44995	-27
2566.53345	-26
2566.61670	-26
2566.66675	-25
2566.78345	-28
2566.83325	-26
2566.94995	-26
2567.00000	-27
2567.11670	-26
2567.16675	-26
2567.29175	-25
2567.33325	-26
2567.44995	-28
2567.50000	-29
2567.61670	-28
2567.66675	-26
2567.78345	-27
2567.83325	-27
2567.94995	-29
2568.00000	-28
2568.11670	-28
2568.16675	-27
2568.28345	-28
2568.36670	-28
2568.44995	-28
2568.50000	-28
2568.61670	-27
2568.66675	-27
2568.78345	-28
2568.83325	-27
2568.94995	-27
2569.00000	-28
2569.11670	-29
2569.16675	-29
2569.28345	-29
2569.33325	-28
2569.44995	-30
2569.50000	-29
2569.61670	-26
2569.66675	-28
2569.78345	-27
2569.83325	-27
2569.94995	-27
2570.00000	-26
2570.11670	-28
